,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Brilliantly crafted and well worth seeing....unless some idiot told you THE secret!,10,11 July 2011,"I am making 100% sure I don't in any way reveal the surprise twist in this film--too many have and I think those people are evil. So, if you know THE twist, you'll probably not enjoy the film nearly as much when you first see it. But, if you haven't, it's a heck of an enjoyable film.Haley Joel Osment delivers a truly amazing performance considering his age. He is THE reason the film works as well as it does and I wish the Oscar folks had given him some sort of special award to honor his great work. And, in addition, I can't believe I am saying this, but Bruce Willis and the director, M. Night Shyamalan, were at the top of their game as well. The other huge star here is the writing--and it was superb because it was so original, creative and the story bears many repeated viewings as each one reveals yet another layer of complexity.By the way, while nominated for six Oscars, the movie somehow won none. Instead, the darkly cynical ""American Beauty"" carried off five of the trophies--though I really didn't think this winner was nearly as good a movie. Good, yes...but not great like ""The Sixth Sense""....provided some moron didn't tell you THE secret.",The Sixth Sense
1,TheLittleSongbird,Shyamalan's best film and the only film of his I consider a masterpiece,10,6 January 2012,"I have to say I am not a fan generally of M Night Shyamalan's films, but I absolutely loved The Sixth Sense. It is a beautifully made film with an afterlife that is anything but angels and harps, and the score has lots of subtlety and atmosphere to it. The script is chilling, intelligent and poignant and the story complete with a knockout twist ending(easily the best and only wholly believable ending of Shyamalan's movies) is simplicity at its finest. Shyamalan's direction is wonderfully controlled, which is exactly what the story needed. Haley Joel Osment gives perhaps his best performance here, though he's superb in AI too, while Toni Collette plays the troubled mum very convincingly and Bruce Willis is suitably quiet and reflective. Overall, a wonderful film and Shyamalan's best by a mile in my opinion. 10/10 Bethany Cox",The Sixth Sense
2,Leofwine_draca,A thoughtful ghost story that became a Hollywood blockbuster,9,21 December 2016,"My latest outing to the local multiplex was to see this, the second biggest horror film of 1999 after THE BLAIR WITCH PROJECT. Unfortunately for me, the film had already been ruined partially by trailers, which give away all the key moments of the film. I for one could do without them, as I spent most of the time waiting for the kid to say ""I see dead people"", ""...all the time"" and ""she's standing by my window"". Seeing as these are the best moments of the film, a lot of the impact was softened.Saying that, THE SIXTH SENSE is still an expertly-crafted, entertaining film with some great acting (something lacking in a lot of recent blockbusters), and I'm glad that it's enjoying huge success at the moment - hopefully horror film-makers will turn their minds to something a bit more insightful and psychological rather than the latest gore fest. This is an extremely slow-moving film with no action in it whatsoever, no screaming girls being chased by maniacs, just important dialogue and realistic people in real situations. There are plenty of reasons to watch the film for. When we eventually start seeing the 'ghosts' that Cole himself sees, there is ample opportunity for some chills, and the ghosts themselves are really quite frightening - both in their behaviour, and of course their gory looks. These spooks are of the kind THE HAUNTING remake could have done with.The acting is of the highest calibre, with a relatively unknown cast headed by that great action star, Bruce Willis. Willis turns in his most sombre, thoughtful performance ever, and surprised many people who didn't realise he could actually act. In fact I would say that this the best I've ever seen him - his character is sympathetic, and Willis really does excel himself in portraying a believable, faded and disheartened man. Toni Collette also puts in a good role as the frustrated mother of Cole, and even though she doesn't play a likable character and has a relatively supporting role in the proceedings, she remains a totally believable and understandable character, and the same can be said of Olivia Williams. However, it's Haley Joel Osment who really shines as the star of the piece, and his acting is spot on, conveying a boy totally in fear of his own unnatural abilities, and who labels himself a 'freak'. Thankfully, Osment doesn't get too many opportunities to do 'cute' scenes, which I was grateful for.Aside from the many genuine chills at Cole's revelations that he can see dead people, there are a few too many 'jump' scenes for my liking, where somebody brushes past the camera and somebody screams. A variation on the cat in the cupboard, really. However what seems to be initially an average film is suddenly boosted by the now famous twist in the tale, which really changes your entire perception of the film and makes you think about how clever it was long after the images have faded from the screen. This ending was brilliant, one of the best I've seen, and I should probably watch the film again now that I know the outcome, in order to spot all the clues, as it were. THE SIXTH SENSE may not be the greatest horror film ever, but it's one of the best we've had in a long time.",The Sixth Sense
3,SnoopyStyle,one of the greatest reveals of all time,10,7 September 2015,"Child psychologist Malcolm Crowe (Bruce Willis) celebrates an award win with his wife Anna (Olivia Williams). Deranged ex-patient Vincent Grey (Donnie Wahlberg) breaks in and shots Malcolm. Vincent then commits suicide. The next fall, Malcolm is treating distressed Cole Sear (Haley Joel Osment) who lives with his single mom Lynn (Toni Collette). His suffering leaves him an outcast at school. After another episode leaves him in the hospital, he tells Malcolm his secret that he ""sees dead people"".This is one of the best reveals in movie history. It's not simply a shocking twist. Anybody can write a random twist that aims to shock people. This twist is well-planned and constructed from the first moments of the film. Shyamalan lays out not only clues but the right amount of clues. It is a twist that people are unlikely to foresee but then beat themselves for not forseeing it. He gets the perfect balance.The other question is whether this is a good movie without the twist. The great thing is that the intensity does not rely on the twist. HJO has the perfect wise innocence quality. It has great creepiness. It's a traditional ghost story and a well made one. The intensity ramps up as the ghosts reveal themselves. This would be one of the great horrors even without the twist.",The Sixth Sense
4,Hitchcoc,It Really Captured My Attention,9,3 April 2006,"I rented this and watched it around midnight a couple years ago. This film, like ""Poltergeist,"" has contributed a line to the eternal world of cinema: ""I see dead people."" I will not spoil this for someone that has not seen it. My comments are on the craftsmanship that is this film. It starts with Haley Joel Osment, who will go down as one of our great child actors. He has the vulnerability and pain that expresses itself so well. His continual bouts with his ""gift"" bring him more pain. He gets an ally in Bruce Willis's character, and they begin to face things together. Unfortunately, like most movies that present something supernatural, a set of rules apply to the world and it these rules that make it fairly easy to pull this down. However, I would rather have them craft it as best they can than try to keep consistent in every aspect. Like ""Memento"" which I saw pretty close to the same time, I don't want to think too much or the fine fabric of the film starts to unravel. How's that for cowardice?",The Sixth Sense
5,Horst_In_Translation,A boy who sees dead people,6,10 February 2015,"""The Sixth Sense"" is a film written and directed by M. Night Shyamalan and usually seen as his best work. It runs for slightly over 100 minutes. The director also appears himself in the film again just like he usually does. I personally believe, however, that ""Signs"" is still his best work to this day. I have to say I enjoyed the first half of ""The Sixth Sense"" more than the second. It feels more intimate with basically the whole first half (after the shooting) being communications between Willis' and Osment's characters. If you know the final twist, it does not hurt the film at all. It even makes the interaction between Willis' character and his ex-wife more interesting: the Zoloft, her not speaking except ""Happy anniversary!""... I've seen this film two or three times already and I always find something new and intriguing about it. The second half with the play and the interactions between the boy and other dead people did not do so much for me.The film scored six Academy Award nominations that year. The only one I'm a bit baffled by is Toni Collette's, who I did not find that memorable. And Osment is obviously lead and not supporting. Back in 1999, over 15 years ago, this was the second most successful film of the year at the box office, right behind the newest Star Wars film. I felt the film was at its weakest when it tried to go too much for horror instead of mystery thriller. Most of the dialogs were very well written, so no need to include any of the cheap thrills instead.Funnily enough, I watched the Witherspoon/Ruffalo comedy ""Just like Heaven"" before ""The Sixth Sense"" and in a way they are both about seeing dead (or almost dead) people. Of course, this one here is much more serious in tone. I recommend it and believe you should have seen it at least once, even if it certainly has more rewatch value than most people will admit, even if you know the final development of Willis' character. (I myself have to say I did not see it coming the first time I watched this movie.) Oh and if you liked Osment's work here, make sure to check out some of his other films. He did not have a career as great as this suggested he could, at least not yet, but he is a talented young actor, just like his sister Emily.",The Sixth Sense
6,mark.waltz,Those who are unaware that they are dead have a lot of problems.,8,25 August 2021,"I do not know if I could ever watch this chilling movie ever again. It only took me 22 years to break down and see it. For Haley Joel Osment, it will keep his image alive forever as the sad little boy who softly declared that he sees dead people, much like ""They're here!"" kept Heather O'Rourke alive past her sadly short life. Reruns of ""Murphy Brown"" on Nick at Night made fun of the line in phony interviews with Candice Bergen, but like many famous lines in movie history, the subtle way the line is said is often dramatically altered. I see now why this is considered one of the scariest thrillers of all time, more psychological than horrific and definitely a different type of scary movie that shows the ghosts for their ongoing pain than for going out of their way to haunt people.This has to also be the greatest, most subtle performance in the career of Bruce Willis, soft spoken and in fear of the unknown, Haunted early on by a patient who shot him then killed himself over apparent drug addiction. Osment doesn't utter this line until 50 minutes into the movie, and when he does actually see the dead people, you can't help but feel sorry for them. A few do seem subtly demonic, but the dead who appear to them are often more wounded emotionally than the living, and yet appear as if evil forces have put up a barrier to keep them from finding peace.The narrative is a bit too complex at times, but once you have grasped what's happening, it's smooth sailing as far as viewing goes if not in grasping everything that is going on. It could take several viewings to really comprehend all that happens but I have grasped enough to move on. The film seems to be a big circle of circumstance, and the mystery is in connecting everything together. Could Osment really be the child version of Willis or is he really a ghost himself? The possibilities for twists in this are endless, but there has to be just one conclusion which makes this all the more chilling. Toni Collette and Olivia Williams are perfect support. It is a film that starts with a mystery, turns to be horror, and quickly twists and turns to be a spiritual thriller that will have you thinking about it for hours after it is over.",The Sixth Sense
7,classicsoncall,"""I don't want to be scared anymore"".",8,1 April 2011,"I have to admit, when I saw this film the first time, I never saw the twist coming. I'm thinking now I should have, like I should have been paying closer attention to the principals and their relationship to each other, but somehow they sneaked one past me. This film and ""Unbreakable"" made me a Shyamalan fan for a time, but then he went ahead and squandered it with ""The Village"" and ""Lady in the Water"", but that's another story.Movie fans tuning in expecting to see a down and out horror flick here might come away disappointed. It's got some scary stuff to be sure, but I don't think that was the point. What the director was going for here was a treatment of the life after death theme, and the concept of lost souls hanging around until their mission in life has been accomplished. Watching the picture a second time, the clues become obvious, as when Dr. Crowe (Bruce Willis) responds to young Cole's (Haley Joel Osmont) question whether he was a good doctor - ""Well, I used to be"". 'Used' to be! Willis' character telegraphs the punch line for the viewer without making it overtly obvious, and that's the brilliance of the film.I think this kid Osmont has a wonderful career ahead of him if he doesn't get sucked into the Britney Spears/Lindsay Lohan school of dysfunctional celebrity. Though he looked younger here than his actual age (11), I thought he did a superb job, especially during the heart wrenching admission when he confesses his ability to see 'dead people'. It was at that point that believers in the hereafter got on board with the theme of the film, that there's a life after death and that there are things that can't be rationally explained once a spirit passes on. Dr. Crowe realizes that it's time for him to move on once he's helped Cole get beyond his grief over a father that's abandoned him. In Cole Sear's case, it meant dealing with the visions of spirits who departed in conflicted circumstances instead of peacefully passing on.",The Sixth Sense
8,lee_eisenberg,a thriller in the real sense of the word,10,19 October 2005,"Dr. Malcolm Crowe (Bruce Willis) is a Philadelphia psychiatrist meeting with Cole Sear (Haley Joel Osment), a boy who can - OK, I'll say it this one last time - see dead people. While too many horror flicks have relied on gore, this one relies on the subconscious, and other things that we don't realize. And of course, there's the ending. I literally did not see that coming, although there were a number of clues throughout the movie. All that I can say is, you are going to have your mind blown. M. Night Shyamalan truly created an impressive piece of cinema history here, and of his later movies, only ""Unbreakable"" came close to equalling this one's quality.On another note, I think that it was appropriate that ""The Sixth Sense"" came out in 1999, when I was 15. It was named by Entertainment Weekly as one of the many movies that year that revolutionized the movie industry (along with ""Election"", ""The Blair Witch Project"", ""American Beauty"" and ""Being John Malkovich""). Similarly, in 1967, when my parents were 15, movies such as ""In the Heat of the Night"", ""Bonnie and Clyde"" and ""The Graduate"" - all revolutionizing the movie industry - were released. Some things just work out perfectly.",The Sixth Sense
9,jboothmillard,The Sixth Sense,8,20 September 2005,"You probably know the five human senses: Touch, Scent, Sight, Sound and Taste, and this is a terrifying idea for a sixth, from director M. Night Shyamalan (also starring as Dr. Hill). Basically Malcolm Crowe (Bruce Willis) is a child psychologist recently awarded, and on the same night visited by a mad ex-patient who wounds him by gunshot. A few months later Malcolm is visited by the troubled 9-year-old Cole Sear (Forrest Gump's Haley Joel Osment). He does not tell his secret for a while, but when he does, it is one of the iconic moments of the film, it was number 44 on 100 Years, 100 Quotes, ""I see dead people"". It is because of this he is a freak in school, and his mother Lynn (Toni Collette) is very concerned about his increasing problems. Malcolm is now trying to find out whether he is seeing things or not, and trying to rekindle his relationship with wife Anna Crowe (Olivia Williams). Also starring Saw II's Donnie Wahlberg as Vincent Gray, Glenn Fitzgerald as Sean, young Mischa Barton as Kyra Collins and Jurassic Park III's Trevor Morgan as Tommy Tammisimo. The film has a great conclusion as well with Cole's mother weeping at the idea of Cole seeing his Grandma, and Malcolm finding out why his wife has been ignoring him for so long, he wasn't wounded in that gunshot, he died. It was number 60 on 100 Years, 100 Thrills, and it was number 33 on The 100 Greatest Scary Moments. Very good!",The Sixth Sense
