,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Destination to death,7,1 December 2017,"'Final Destination' is most notable for two things mainly. The first being that it was the introduction of a fascinating and clever premise that is pretty unique for a supernatural horror. The other being that it was the feature film directing debut of James Wong, best known beforehand as a veteran of 'The X Files'.It spawned four sequels with the fifth film being released in 2011. While it is flawed and somewhat of an uneven film, the first 'Final Destination' is still, six years after the fifth film, one of the franchise's better outings. Perhaps even the best, and the one where the premise feels the freshest. The more stale the concept got, the more the novelty wore off and the less effective the film. Could 'Final Destination' have executed its premise better? Perhaps. Mostly, to me, it did it quite well.Visually, 'Final Destination' looks pretty good for low budget. It's slickly shot and very atmospheric, while the plane effects in the Flight 180 plane scene/explosion are quite impressive. The music score has a suitable eeriness.The film is never dull and is a vast majority of the time fun and suspenseful, with elaborately creative death scenes that are ingeniously unsettling. The film's highlight is the opening Flight 180 scene, anyone already with a fear of flying will have their fear exemplified and it is likely to turn people from boarding a plane for a while. Wong does competently with the directing and the portrayal of Death is an interesting and well done one.Acting varies, with personable Devon Sawa, affecting Ali Larter and Tony Todd's creepy cameo coming off best. Really liked the characters' surnames, that were nifty homages to horror/suspense icons.Not all the acting works however. The others are saddled with one-dimensional and flatly written roles and are a mix of bland (Kristen Cloke) and irritating (Kerr Smith), also found myself not being able to take Seann William Scott seriously.The biggest issue is the script, which is very high in the cheese and awkwardness factors and there is some clumsy exposition that often feels under-explored and not really going anywhere. Generally the story is nice, but things could have been explained better and explored more and it's a little too reliant on coincidence. Things also take a dumb turn towards the end before the film concludes on a logic-defying note.Overall, patchy but entertaining. 7/10 Bethany Cox",Final Destination
1,bkoganbing,You Don't Cheat The Grim Reaper,5,30 January 2012,"Final Destination which spawned a veritable cottage industry of sequels like Rocky had a certain popularity among the young who really seem to have a terribly negative view of life. When young Devon Sawa has a creepy premonition and gets himself thrown off a plane bound for Paris in a class trip, a few others of his classmates and one teacher get thrown off with him.They all see in real life exactly what Sawa saw in his vision and they count themselves horrified at seeing friends and classmates die in a spectacular way as the plane exploded. They count themselves lucky at first, but then some mysterious force best articulated by Tony Todd says that Death is a character like any other and it's got a mean disposition. There is a plan of leaving this mortal coil in a specific order and you dare not disrupt the order.After which the rest start dropping in a series of bizarre situations and this has been the secret of the success of Final Destination and its sequels. And the deaths are properly gory and spectacular as well.For this kind of film of which I'm not a particular fan, Final Destination is as good as it gets.",Final Destination
2,Leofwine_draca,Uniquely entertaining,7,14 July 2016,"Once in a while a film comes along that you have no hopes for, but which pleasantly surprises you anyway. And into the over-saturated market of the teen flick comes FINAL DESTINATION, a dizzying and suspenseful shocker which has to be the best teen horror film we've had since SCREAM - all right, I know that's not saying much, but watch this anyway. Tired viewers will be glad to hear that this teen-orientated film isn't full of moronic dialogue and boring situations set in a school - instead, the film is focused entirely on the central premise, there is no deviation.Created by the two guys who made THE X-FILES so interesting when it first started - James Wong and Glen Morgan - this is, at last, an original film. There is no bogeyman here, no masked slasher, instead the killer is fate itself. I'd give my right arm for a little bit of originality these days, which is why this film enthralled me so much. The film starts off excellently with a strong sense of impending doom and a horrific to watch plane explosion. It then slows down only to pick up the pace in the second half, becoming both exciting and thrilling. Of course, it's the deaths which are the highlights of the film, and these definitely do not disappoint.Inbetween them, we get some typical teen angst as the shunned Sawa tries to convince his friends that they're about to die. Sawa, who starred in horror comedy IDLE HANDS, is surprisingly good in the lead role, giving us a likable neurotic who manages to be heroic when the time comes. Okay, so the rest of the cast are merely passable - full of the beautiful but bland faces populating most American soap operas these days - but it's nice to see Tony Todd pop up in a cameo as a creepy morgue attendant who gets all the best lines.As I mentioned before, the death scenes are outstanding, yes, FANTASTIC; they consist of a series of commonplace accidents which culminate in the victim's demise. They're grisly and surprisingly gory in places, making a nice change these days from relatively bloodless stuff like I KNOW WHAT YOU DID LAST SUMMER. Okay, so the fiery, frenetic climax is a bit predictable but there's a nice twist at the very end. FINAL DESTINATION is a clever film, and one to be watched. It has a uniqueness about it which sets it above the rest and it's thoroughly enjoyable too - what more can be said?",Final Destination
3,SnoopyStyle,Interesting original concept,6,21 October 2013,Alex (Devon Sawa) is going to France on a school trip. He falls asleep and has a vivid dream where everyone dies in a fiery crash. It's so vivid that he freaks out and gets thrown off the plane with many of his fellow students. The plane actually explodes and those people seem to escape death. Only something is hunting them down one at a time.It's a great original concept. However it doesn't lend itself to being filmed in a compelling way. Basically weird things happen and everybody dies. There isn't a crazy manic. The kids aren't trying to outrun somebody. Death is invisible. That's the whole point. It's just one weird death after another. There's something much more visceral about an axe murderer gutting his young nubile victims.,Final Destination
4,kosmasp,Great idea,8,29 October 2009,"The concept (not a high end concept of course) of the movie is really great. It works perfectly as a Horror movie and it is fairly good acted. Since it is/was the first of its kind, it has the seal/stamp of something new.Since there are 3 follow ups, the title isn't really accurate, but that shouldn't bother you. Apart from the idea, what really will grip you is the inventiveness of the script. There are so many settings and so many different ways of ... well you'll see if you watch the movie. I don't want to spoil anything, if you haven't read anything about the movie(s) yet. But as Horror movies go, this was one of the best that came out ""recently"".",Final Destination
5,jboothmillard,Final Destination,5,11 March 2005,"""In death there are no accidents, no coincidences, no mishaps, and no escapes!"" When I was younger, I found this scary movie, and the sequels that followed, thrilling and fun. I'm glad I watched again to get a better perspective, directed by James Wong (The X-Files, The One, Black Christmas). Basically, on May 13, 2000, high school student Alex Browning (Devon Sawa) and his class are boarding a plane, Flight 180, from New York John F. Kennedy Airport for a field trip to Paris, France. Before take-off, Alex has a premonition that the plane will explode in mid-air, killing everybody on board. When the events from his vision begin to occur in reality, he panics and causes a fight between him and student Carter Horton (Kerr Smith). Resulting in them, and others to be removed from the plane. They include Carter's girlfriend Terry Chaney (Amanda Detmer), teacher Valerie Lewton (Kristen Cloke), and student Billy Hitchcock (American Pie's Seann William Scott), while Alex's best friend Tod Waggner (Chad E. Donella) and student Clear Rivers (Ali Larter) choose to leave. Moments later, after the plane takes off, the plane explodes in mid-air, and the surviving passengers stare at Alex in shock. The survivors are each interrogated by FBI agents Weine (Daniel Roebuck) and Schreck (Roger Guenveur Smith), who show they are suspicious about Alex. Thirty-nine days later, the survivors attend a memorial service for the victims. Following this, a chain reaction of strange events begins to occur. An invisible force causes Tod to accidentally hang himself in his bathtub with the clothesline coiled around his neck. His death is ruled as a suicide, but Alex and Clear break into the mortuary to examine Tod's corpse. The mortician, William Bludworth (Candyman's Tony Todd), reveals that the survivors have disrupted Death's design, and the Grim Reaper is now taking the lives of those who were meant to die on the plane. Alex and Clear discuss their next move and realise that Alex's visions was Death's plan, he and the others have to figure out how to cheat death again. Carter confronts Alex outside a café, with the other survivors also arriving at the scene. Terry is angry with Carter continually arguing with Alex, and as she walks away, she is immediately hit by a speeding bus, splattering the others with her blood. After watching a news report about the cause of the explosion, Alex concludes that Death is reclaiming the survivors according to the order they were supposed to die on the plane. He works out that Ms. Lewton is next, and goes to warn her, but is taken away by the FBI agents. He is released without charge, but is too late to save Ms. Lewton, who is hit in the neck by an exploding computer screen, her house is set on fire, and she is impaled by a falling kitchen knife. The remaining survivors reunite while driving through town as Alex explains the situation. Carter, mourning the death of Terry, is both enraged and scared, and drives the car at high speed without controlling the wheel attempting to die. Eventually, he stops the car on a train crossing while the others get out. At the last minute, Carter is trapped in the car, as the car won't start, the door is locked, and the seatbelt is jammed. Alex manages to save Carter before the car is smashed an oncoming train. A piece of shrapnel is knocked onto the track, the train swipes up this shrapnel, which is sent flying in Billy's direction, the shrapnel decapitates Billy from the jaw up. Alex realises that because he intervened, it skipped Carter to the next person afterwards. Realising he is next, Alex hides in a cabin in the woods, and does stop an attempt on his life. But he recalls that he changed seats with two classmates in his premonition, meaning that Clear is actually next. Alex rushes to her house to save her while being pursued by Weine and Schreck. Death makes various attempts to kill Clear, including electric power breaks throughout the house, and a swimming pool spilled with a broken power cable thrown into the water on the ground. Alex finds Clear trapped inside her car surrounded by the loose electrical cables that ignites a gasoline leak around her. He grabs the cable, allowing her to escape from the car just before it explodes. Six months later, Alex survived, he, Clear and Carter have travelled to Paris, France to celebrate their survival. While discussing their ordeal, Alex reveals that Death never skipped him after he saved Clear. Fearing the nightmare is not over, Alex starts to walk away, when Clear warns him of a speeding bus, which he avoids. Then Carter saves him from a falling neon sign. It ends when Carter questions who is next, and the neon sign returns to crush them. Also starring Brendan Fehr as George Waggner, Forbes Angus as Larry Murnau, Lisa Marie Caruk as Christa Marsh, Christine Chatelain as Blake Dreyer, Barbara Tyson as Barbara Browning, Robert Wisden as Ken Browning, P. Lynn Johnson as Mrs. Waggner, and Larry Gilman as Mr. Waggner. All the performances are fine, it is a clever concept that the villain is Death itself stalking the victims, the editing and pace is okay, and it is eerie and creepy when it needs to be. I admit all the chat in between slows it down a little, but for the inventive, gory, and often over-the deaths, best being the train decapitation, it is a worthwhile enough horror thriller. It was number 46 on The 100 Greatest Scary Moments. Worth watching!",Final Destination
6,ma-cortes,"Guilty pleasure with full of scary crimes , twists , turns and following various sequels",7,28 April 2021,"A high school student called Browning : Devon Sawa along with schoolmates are readying a journey to Europe, when he has a terrifying vision of a plane crash. That's why he and other passengers : Ali Larter , Brendan Ferr , Ken Smith, Kristen Cloke , Chad Donella , Sean William Scott, Amanda Detmer , don't go on board , so that they are saving their lives . But seems Death feels cheated and soon seeks vengeance against survivors , and is getting ever . Along the way , two State Agents : Daniel Roebuck , Roger Smith start investigating the weird murders .Thrilling and suspenseful film with an interesting premise about the prediction of a psychic student, saving his schoolmates , then things get interesting and a little philosophical when the survivors begin dying . It really results to be an ordinary Slasher with a high body-count , getting a series of twists and turns from the machinations of fate or whatever. The chief excitement of the movie turns out to be watching how Death carries out gruesome and twisted killings , as Death doesn't like to be cheated and the adolescents begin to die in bizarre accidents. As Death has a creepy tendency to lay convoluted , elaborate plans to bring the intented victims to their grisly disappearing. Stars Devon Sawa as the teenager who predicts a plane filled with classmates will explode, and from now to happen fateful and eerie events with fateful consequences . Acceptable cast of newcomers , and subsequently most of them to have long careers, such as : Ali Larter , Brendan Ferr , Kerr Smith , Chad Donella , Sean William Scott , Amanda Detmer, among others . And special appearance from Tony Todd who has a cameo as a morgue attendant and to be continued his intervention in other follow-ups . The motion picture was well directed by James Wong , starting a popular and successful saga .Followed by four sequels that have the same premise as the original , these are the following ones : Final Destination 2, 2003 by David R Ellis with Ali Larter , AJ Cook , Michael Landes , Jonathan Cherry , Keegan Connor Tracy , James Kirk , Sarah Carter , Tony Todd . Final Destination 3, 2006 with Mary Elizabeth Winstead, Ryan Merriman , Gina Holden, Jesse Moss . Final Destination 4, 2009 with Nick Zano, Justin Weldon, Bobby Campo , Krista Allen . Final Destination 5, 2011 with Nicholas D'Agosto , Emma Bell , Miles Fisher , PJ Byrne . And preparing Final Destination 6, 2021 by the same producers.",Final Destination
7,BA_Harrison,Nothing is certain but death and sequels.,8,11 December 2009,"Final Destination sees a group of students narrowly avoid being blown to smithereens in an airplane disaster after one of their number, Alex (Devon Sawa), witnesses the catastrophe in a vision minutes before it actually happens. Miffed at being cheated, Death decides to have another pop at each of the survivors, claiming them in the order they would have died in the midair explosion.This simple yet ingenious concept allows director James Wong to deliver a series of intricately designed and wonderfully imaginative death set-pieces that make this film one of the most genuinely entertaining and original horrors of the decade; not since The Omen films has violent death been so imaginatively planned and so much fun to watch unfold.As each victim reaches the top of Death's hit list, seemingly insignificant incidents cause a snowball effect that ultimately results in a horrific demise: a leaky toilet pipe winds up causing a guy to choke to death in his bathtub; a tiny crack in a mug kick-starts a chain of events that climaxes in a huge explosion; and a train hurtling past a piece of debris makes another poor schmuck lose his head (although not completely—just from the lower jaw upwards!).In an exciting finalé, Alex attempts to end the terror by trying to cheat death once again, only to realise that he has got the order all wrong, and it is pretty social outcast Clear (the lovely Ali Larter from Heroes) who is next up for the chop...With spectacularly gory deaths, a very likable and talented young cast, a dark sense of humour, a cool cameo from Tony 'Candyman' Todd, and a totally unique killer, Final Destination goes to prove that not all big budget, major-studio, teen-orientated horror is totally worthless garbage.",Final Destination
8,Quinoa1984,"""I'll See You Soon."" One of the best films of the new year",7,30 July 2000,"James Wong's Final Destination is a weird yet immensly entertaining horror film that has plenty of scares and a cool twist- the killer isn't some guy in a mask or a guy in a dress.  It's death, literally, coming for you.  The plot (spoilers I think) involves a kid who is going on a trip to Paris and on a TWA flight (I think this is a odd coincidence to TWA flight 800 plane that crashed in the summer of 1996).  But, the kid has a revelation before the flight begins that the plane is going to crash.  He gets off, and so do a few other kids in the comotion.  Two minutes later after the plane takes off, the plane crashes (talk about a messed up revelation).  But it gets better after that with the death.  Very clever, sometimes even funny, and always frightening, I think (unless nothing else comes along this year) this might be the best horror film of the year and definately one of the best teen slasher movies to come around in a while.  Best part- the mortician Tony Todd telling the kids that death is one mother****er you shouldn't mess with.  Reccomended.  A+",Final Destination
9,BandSAboutMovies,Better than expected,5,3 September 2020,"Originally written as an episode of The X-Files, Jeffrey Reddick ended up turning his script into a movie that became five films, two comic books, and nine novels. Not bad for a guy who sent in his first script to New Line at age fourteen, which led to a phone and mail friendship with studio head Robert Shaye.It was directed by James Wong, who also made The One and the 2006 version of Black Christmas. He would say, ""One thing we were all in agreement on from the start is that we didn't want to do a slasher movie. We didn't want a guy in a dark cloak or some kind of monster chasing after these kids. That's been done again and again.""On May 13, 2000, Alex Browning (Devon Sawa) and his classmates are supposed to take a senior trip to France. Before the plane takes off, he has a vision of the plane crashing and panics until Carter Horton (Kerr Smith) fights him. This gets both of them kicked off the place, as well as Tod Waggner (Chad E. Donella), Terry Chaney (Amanda Detmer), Billy Hitchcock (Seann Willam Scott), Clear Rivers (Ali Larter) and teacher Valerie Lewton (Kristen Cloke, named for famous horror producer Val Lewton). The plane crashes and everyone dies, but Death won't give up.It pays them back in exaggerated set pieces - stay tuned on those, they get even crazier - as Death must take them off the board. They learn exactly what they're in store for from William Bludworth (Tony Todd), who is pretty much the personification of life being snuffed out.In case you wonder, ""Hey, where have I seen this before?"" The answer is 1983's Sole Survivor and The Twilight Zone episode ""Twenty-Two.""Alternate titles in other countries included Destination in South Korea, The Death God Comes in China, Last Station in Turkey and it was almost called Flight 180.",Final Destination
