,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,French body horror,7,22 February 2018,"Justine has been raised as a vegetarian all her life. She enters veterinary college following her older sister Alexia. Her vegetarism and animal rights view is looked down upon. The freshmen class is hazed and forced to eat meat. Justine is surprised to find Alexia has turned into a meat eater. Justine starts to change after the taste of meat and after a waxing accident, her eating habit changes radically.This is a Belgian horror. It has some satire aspect to collegiate freedom for young people. It has plenty of gore with a couple of stomach churning scenes. Filmmaker Julia Ducournau delivers a female centric horror in an unique way. This is fresh with a couple of memorable scenes.",Raw
1,Horst_In_Translation,"Good, but could have been better as well",6,20 July 2018,"""Grave"" is a French horror drama movie from 2016 and actually, without showing up at the really big events, a truly meaningful player during the awards season back then. This made it a huge success and breakthrough film for writer and director Julia Ducournau as well as lead actress Garance Marillier. The vegetarian aspect that is mentioned so prominently in the plot description can really be neglected. Even the interesting scene early on when we see it is basically pressed upon the protagonist by her mother is not as significant as it sounds, well at least not until the very end when we find out something intriguing about this perspective. The film runs for almost 100 minutes and basically depictes a young woman being sucked deeper and deeper into the abyss of carnal desires and with that I only mean sex to a lesser extent, but it's really all about the meat and she cannot get enough of it, even in pretty violent and disturbing manners. The best example is of course when she eats her sister's finger after a freak accident instead of trying to keep it cold, so it can be ""reinstalled"" by doctors immediately. The sister is a good example here for the example of a seemingly wild character, also extreme to some extent, but the longer the film goes, the more we find out she is nothing compared to Justine, our ""hero"" here, a seemingly shy and reserved girl who turns out the exact opposite. Marillier felt perfect for the character and I can see why many found the film and story so appealing with what she invests in the role. I am not sure if it was a great performance, but it is hopefully something that can keep her in the industry for a few years more, hopefully even decades. And there's no denying her physical appeal, for example in the shower scene or the bloody sex scene with the allegedly gay room member. Another great moment from her is also a great moment for Ducournau and I am speaking of course about the scene under the blanket in bed where she tries to keep her desires back, but not a chance as they have overtaken her long ago. Aside from her, those parts about her family, her fellow students, her friends etc. are all fairly decent, but those moments where the film really stands out are those that she has alone I would say like the scene I just mentioned. It's tough to put a finger on what I mean, but I must say for greatness and including it in my favorite list of the year, something is missing still, but it may very well make my list of top5 horror films from 2016 and also always nice to see something of quality coming from France with this genre these days compared to how bad things are looking here in Germany. Go check out ""Grave"". It's easy to appreciate this one as a quality film, a guilty pleasure, a film with a most desirable protagonist or something that is just very different compared to everything else in film these days, also everything else in horror film. Especially recommended on the big screen. Thumbs up.",Raw
2,claudio_carvalho,Erotic and Gross,6,27 May 2017,"The vegetarian Justine (Garance Marillier) has never tasted meat since she is allergic and protected by her mother. When the rookie Justine joins the veterinary school, she is hazed and forced by the older students including her sister Alexia (Ella Rumpf) to eat meat. Soon she feels attracted to eat not only meat but also human flesh and learns a family secret.The overrated ""Raw"" is an erotic and gross European horror film with an original story of cannibalism. The plot is weird, shocking and confused and most of Justine and Alexia's attitudes are not explained including their evil relationship with each other. Why Justine lets her gay roommate deflowers her is also strange. However, the story is well- resolved in the end with the explanation of Justine's father but does not justify the hype. My vote is six.Title (Brazil): ""Grave"" (""Grim"")",Raw
3,nogodnomasters,You tasted like curry.,8,4 July 2017,"Justine (Garance Marillier ) is being sent off to veterinary school where her older sister Alexia (Ella Rumpf) attends. They are both legacies. It seems French Vet schools have a hazing period for all students. During this time they are forced to party and eat raw meat which didn't sit well with Justine who is a life long vegetarian. Justine discovers she is allergic to meat. She gets a nasty rash and later Jeffrey Dahmer syndrome which makes dating tough.The film develops very slow. It is a dark comedy with a horror background. The make-up was spectacular from rashes to bite marks. I watched the film in French with English subtitles. It is not for everyone, but is for those who might like to watch a foreign indie from a new director.Guide: F-word, sex, nudity.",Raw
4,kosmasp,(eating) habits,7,16 November 2017,"The movie is also called Raw, which is also very apt. Actually more apt than Grave I reckon, which is a bit weird. But I guess someone thought this was fitting for some reason. But this movie is about a student, who after being hazed at Campus and other things that apparently are initiation rituals, develops some issues. Who can blame her? But the movie strays from that direction.If you've read the summary, which I'm guess is revealing, you know where this is heading. And it does try to shock as much as possible. While it could have been even more explicit in its depiction of certain things, it still will make some people sick. Just the thought of it. But people who've seen a couple of horror movies, may not feel too uncomfortable. Though I wouldn't use the word tame either. The reveal at the end is not really a shocker, but it's a story that told interestingly enough.",Raw
5,jboothmillard,Raw,6,25 October 2018,"I first heard about this French-Belgian film in the programme Secrets of Cinema with film critic Mark Kermode, it looked weird, then I read more about it, and it sounded weird, so I was very much intrigued to give it a go. Basically Justine (Garance Marillier) is a lifelong vegetarian, in her first semester at veterinary school, the same one her older sister Alexia (Ella Rumpf) is attending and where their parents met. On her first night, she meets her roommate Adrien (Rabah Nait Oufella) and is forced to partake in strange welcoming rituals, she feels uncomfortable, but Alexia reassures her. The next day, the new class is splattered with blood and are forced to eat raw rabbit's kidneys, as a vegetarian, Justine refuses. Alexia encourages her, saying she will like it, Justine still refuses, eventually Justine is convinced and does reluctantly eat one, she walks out with Adrien and gags. Later that night, Justine discovers a strong, itchy rash all over her body, a doctor diagnoses her with food poisoning and gives her a cream for the rash. The next day, Justine begins having cravings for meat, she is ashamed of herself, she and Adrien take a late-night trip to a gas station, so no one will see them eating meat, they have burgers. Unsatisfied, she eats raw chicken in the morning, and later throws up a long bundle of hair. That night, Justine finds Alexia is using the same cream the doctor gave her. Alexia gives Justin a bikini wax, when she tries to cut the wax off with sharp scissors, Justine kicks her away, causing Alexia to accidentally cut off her own finger. Alexia faints in shock horror, Justine picks up her finger and tastes it, and ends up liking the taste and eating it, Alexia wakes and is shocked catching Justine eating her severed finger. The next morning, Alexia takes Justine to a deserted road, she causes a passing car to crash into a tree. Alexia starts eating one of the two passengers as Justine tries to stop her. Justine's craving for human flesh grows and she starts lusting for Adrien. That night, at a party, blue paint is thrown at Justine as part of another ritual, she is forced to make out with a guy covered in yellow paint, until they turn green. As Justine and the boy does as dared, she mistakenly bites his bottom lip, leaving the other party guests shocked. After the party, Justine takes a shower, during which one of her teeth fall out which she picks up and eats. Justine confides in Adrien and they end up having sex, during which Justine tries to bite Adrien, she stops herself by biting into her own arm, she relaxes seeing the blood run, Adrien is shocked but tries to ignore what she has done, caressing her. Later, during a party, Justine gets extremely intoxicated and Alexia takes her to the morgue. The next morning, many people are staring at Justine and avoiding her, she has no memory of the night before, but Adrien shows her CCTV of her crawling like an animal, trying to take bites out of the arm of a corpse, with Alexia accompanying her. Furious at Alexia, Justine finds her sister and pushes her to the floor, the two fight, during which Alexia bites Justine's face and they bite each other's arms, other students eventually pull them apart, they calm down and walk back together to the dorms. That night, Justine wakes up in bed with Adrien, who appears to still be asleep, but removing the blankets she finds it is covered in blood, he is dead, with his right leg eaten. She finds a stab wound in his back and finds a bloody and mostly catatonic Alexia slumped in the kitchen, she murdered Adrien. Furious Justine picks up the weapon used to kill Adrien, she plans to kill her with it, but she changes her mind and drops it, simply taking her to the shower to clean up. Alexia is taken to prison for the murder of Adrien, and Justine is sent back home. Despite everything, the sisters seem to be on good terms. At home, Justine's father (Laurent Lucas) tells her that what happened is neither her fault nor Alexia's, he explains that he could not understand why their mother (Joana Preiss) didn't want to be with him until the first time they kissed, he then lifts his shirt, revealing many scars and chunks of his chest, he says Justine will find a solution. This is certainly in the kind of vibe of dark coming-of-age stories, like Carrie and The Craft, a young woman who will never eat meat develops a horrific hunger for it, and develops an aggressive sexual blossoming and has grisly cannibalistic outbursts, it is probably most memorable for the over-the-top and hard-to-watch bloody flesh-eating sequences, but those who can stomach it will also appreciate its stylish plot, twists and wittiness, an exploitative and bizarre but worthwhile horror drama. Good!",Raw
6,Tweekums,Raw,9,9 February 2020,"Justine is an intelligent young woman who is about to start training to become a vet; she is attending the school both her parents went to and where her elder sister, Alexia, is already studying. The first years are expected to go through a gruelling week of initiations; this includes being woken and forced to get up in the middle of the night, dressing according to their seniors' orders and in one case eating raw rabbit kidneys... this is difficult for Justine as she is a lifelong vegetarian; like the rest of her family. At least so she thought; Alexia persuades her to eat the kidneys. Not long afterwards Justine develops a rash and starts craving meat... including human flesh! She also becomes sexually aware.This Franco-Belgian film from writer/director Julia Ducournau manages to be disturbing without relying on a large body count or an excess of gore. There is a threatening atmosphere from early on as the first year students are hazed by their seniors. After Justine consumes the kidneys it gradually becomes apparent that something is wrong. This leads up to a genuinely shocking scene involving the severing of a finger. While there isn't too much gore there is some and much of it is all the more disturbing because it comes as a surprise, like the finger incident, or because it feels strangely believable within the context of the film. Garance Marillier really impresses as Justine making her character gradually change from a timid girl to a predator merely in the way she looks at her fellow students; Ella Rumpf also impresses as Alexia. The story takes a few surprising turns and looks great thanks to some artistic camerawork. Overall I'd certainly recommend this to fans of horror films looking for something different.These comments are based on watching the film in French with English subtitles.",Raw
7,Quinoa1984,Tasty! Gross! Mesmerizing! Ugly! Beautiful! So many things at once but what a director and star!,8,2 October 2021,"How about that? In France, joining Skull and Bones means something quite different (and perhaps more literal, oui).Raw is a viscerally exciting, savage and in your face to a level that is upsetting and shocking, and I love just looking at the thing and how it unfolds with a smorgasbord of surreal sights that are fully places in how much one's and others flesh can be the most unnerving sight (un but very) imaginable. Guaranteed Milliner it should be said right up front is key to it feeling so on edge and physically charged. There are also some... wild logical leaps one has to take with at least some if not the primary characters - ie how the whole ""Jump and Crash a Car to Eat Brains"" thing works, and why that one guy is so fine with getting laid after Justine did *that* to the other guy - and there isn't much in the shall one say development for these two past Justine becoming completely consumed by the need to... consume, and occasionally trash around in mania. Maybe the casual murder and insatiable need to sink teeth and taste *anything* is enough.But, aside from the pace being tight and finding increasingly disturbing ways of freaking out an audience, even (especially) the ones who think they've seen it all (that one dolly in where the guy gets his eyeball licked, merde!), this is all the same thrillingly alive debut as far as how Ducournau's camera gets so intensely close and intimate with these faces and pieces of meat, which those being human beings most of all but sometimes a cow's ass and a horse or two as well, and frankly it's exciting to see a filmmaker so in tune with depicting youth so out of control... and what going OUT of that means. It's a vampire movie that understands intertwining sexual need and the need for filling a stomach.Or as my wife (an only child) said before this finished: ""This is what I always pictured siblings would be like.",Raw
8,grantss,Heaps of potential but ultimately average,5,25 October 2017,"Justine is a first-year veterinary student. Her elder sister is studying the same course at the university. Justine was raised a strict vegetarian but, as part of the hazing rituals, is forced to eat meat. Initially this has adverse effects but she soon develops a craving for meat...particularly human flesh. Heaps of potential but ultimately average. Quite intriguing, Justine's journey and transformation. She starts off as an innocent, shy vegetarian and ends a wild human-flesh-devouring thing. Some good sub- plots too.Unfortunately, despite all this promise, the movie doesn't really end anywhere profound or interesting. Quite anticlimactic in the end, which was a pity.",Raw
9,george.schmidt,"Echoes of Cronenberg, Romero & De Palma",8,30 March 2017,"RAW (2017) **1/2 Garance Marillier, Ella Rumpf, Rabah Nait Oufella, Laurent Lucas, Joana Preiss. Croneberg body horror and Romero identification crises merge in this French thriller about a young veterinarian school pupil (Marillier) who suddenly finds uninhibited cravings for fresh meat after a humiliating hazing week involving blood and forced fed of raw meat. To her shock she also learns she is not the only one who shares this transformation with her older sister (Rumpf) on campus resulting in many graphic moments of unbridled hunger. Filmmaker Julia Ducournau - who wrote and directed - echoes shades of Brian DePalma's CARRIE with an outsider ill-at-ease in her environs while attempting to harness her newly found discovery of what may define her.",Raw
10,evanston_dad,She's a Man Eater,6,11 January 2018,"This provocative stomach churner of a horror movie too often walks an uneasy line between truly horrifying and excessively silly. I will give it points for treating the coming of age and sexual awakening of a young woman in a way I've never seen that particular genre treated before. In ""Raw,"" a young girl coming out of her shell means she develops a taste for raw meat of any kind, and she'll stop at pretty much nothing to get it.To be fair, it seems to run in the family, as both her sister and apparently mother (in a last minute reveal) have the same tendencies. Gives new meaning to the term ""man eaters."" The film tries over time to shock us, and it gets progressively less effective as it ups its own ante. By the time it gives us yet another scene of bacchanalia at a vet school(!), where some random woman is licking the eyeball of some random guy while our protagonist is hunched in the background like a demented savage, practically gnawing on a bone and picking gristle from her teeth, I was chuckling, probably not the reaction I was supposed to have. Grade: B",Raw
11,trashgang,I was left with a hunger,7,20 June 2017,"So it went, the movie that people ran out of the screenings. people given vomit bags at the entry, the stakes were high for this Belgium France co-op. So for me it was a go to see what it was all about because I do remember A Serbian Film (2010) which had the same commotion and it was indeed a hell of a movie. With Raw I was left with a hunger.It was told that it was going to be in your face and in some points it did but after 20 minutes I was already in panic. Where's the horror, where's the gore? And after 24 minutes the first horror comes in and from then the toilet scene did remind me of all those Asian horrors with the long-haired girls and stuff coming out of their mouth. But hey, I am a bit negative I guess. It's not all that bad, the effects are stunning but to say that it is all that gory as being told. On that part, the horror, the cannibalism and the gore it's a letdown. People could get offended by some parts but overall it's a bit too low on the red stuff. Is it still worth seeing. Oh yes, because it really is above mediocre but for gorehounds this isn't going to be their stuff. It's a bit like Eat (2014). It delivers for some. To be honest, i like but the overrated fuss about it teared this a few point downward on the rating.Gore 1/5 Nudity 1/5 Effects 3/5 Story 2,5/5 Comedy 0/5",Raw
12,deloudelouvain,Not bad for a cannibal movie,6,28 February 2018,"It's rare to see a French or Belgian horror movie, or at least a good one. Martyrs was and is still one of the better ones. Raw isn't as good as Martyrs but it is worth a watch. There are a few good parts of gore, like there should be in a good cannibal movie, but not that it becomes unwatchable, unless you have a very weak stomach. The story isn't bad even though a bit more explanation at the end could have been better for the movie. The acting was also not bad. The sisters Justine and Alexia, played by Garance Marillier and Ella Rumpf, gave a good performance playing their respective cannibal characters. It's not a big Hollywood budget, but for the budget they had they made a watchable movie, if you like this genre that is.",Raw
13,namashi_1,Traumatizing & Mesmerizing!,9,24 August 2017,"'Raw' (French: Grave) is a fearless, disturbing & ultimately unforgettable film, that has the courage to be itself. As my summary states, its Traumatizing & Mesmerizing! Writer-Director Julia Ducournau delivers a tale of violence & cannibalism with the power of a sledgehammer. And lead performer Garance Marillier delivers an outstanding performance!'Raw' Synopsis: When a young vegetarian undergoes a carnivorous hazing ritual at vet school, an unbidden taste for meat begins to grow in her.'Raw' is about exploring the inner self & how exposure, to any form or any meat that it maybe, can change your life altogether. The protagonist here, Justine, played by Garance Marillier, a pure vegetarian, is forced to have meat by bullies in her very beginning in the vet school, develops a taste for meat & flesh, which is akin of a dangerous vampire. Her transformation from an innocent vegetarian, to a cannibal obsessed with meat & human-flesh is shocking to the core. 'Raw' narrates her disturbing & graphic journey, with relentlessness. There were times when I looked away from the screen, due to its gruesome content. The faint-hearted, STAY AWAY!'Raw' is a massive winner because Julia Ducournau is a storyteller of solid merit. Her Writing questions violence & cannibalism with tremendous power & graphicness. While its easy to be put off by the protagonist's violent behavior towards human-flesh, Julia's Superiorly Written Screenplay questions the act of violence in all forms, including our daily food habits, which results in animal killing. Its a twisted tale, with a thought-provoking undertone. Julia's Direction is engrossing. She has handled this disturbing story, with command. Here's a storyteller with some capability! A special mention for the nicely Cinematography by Ruben Impens.Performance-Wise: Garance Marillier as Justine, is spell-binding. Right from her timid body-language in the beginning to her transformation into a cannibal, is simply incredible. The actress plays this difficult role with unbelievable conviction. Its an outstanding performance, that arrests your attention completely. Ella Rumpf as Alexia, Justine's sister, is another performer to watch. She's excellent!On the whole, 'Raw' is among the big winners of recent times. Its brave, graphic & undeniably original. Don't Miss It! But I strongly suggest you watch it with an empty stomach. Don't tell me later I didn't warn you.",Raw
14,Hellmant,"Disturbing, but also incredibly fascinating!",9,14 April 2017,"'RAW': Four and a Half Stars (Out of Five)A French-Belgian horror-drama about a vegetarian college student, that learns she has an uncontrollable hunger for raw meat. It was written and directed by Julia Ducournau (an amazingly talented new filmmaker), and it stars Garance Marillier, Ella Rumpf and Rabah Nait Oufella. The film has received nearly unanimous rave reviews from critics, and it also won the FIPRESCI Prize at the 2016 Cannes Film Festival. I found it to be very involving, and quite interesting. Justine (Marillier) has been a vegetarian, and animal lover, all of her life. She grew up in a vegetarian family, and now she's attending vet school; which her older sister Alexia (Rumpf) also attends. During a college hazing, Justine is forced to eat rabbit kidneys (by Alexia). She then develops a horrible rash, and a strong urge to eat raw meat (which she had never felt before). Her desire for meat later becomes much stronger, when she also develops an uncontrollable thirst for human flesh as well.The movie is very disturbing, but also incredibly fascinating. It's a film that was really uncomfortable for me to watch, but I also couldn't really look away. The characters are all really interesting in it, and I could really relate to the vegetarian/animal lover aspect to it too (although that's hardly what it's about). It's also great to see a strong female lead horror/drama movie as well, from a very talented new female filmmaker too! I can't wait to see her next film.Watch our movie review show 'MOVIE TALK' at: https://youtu.be/b6j-_hcq7Wo",Raw
15,thesar-2,Man. I'm Rawenous.,7,4 November 2017,"Wow. I had no idea veterinarian school could be sowild.I am uncertain if this movie is anti-vegetarians, anti-gay or just anti-human, but I am certain it's a good thing I eat meat. Don't suppress, progress!A family of vegetarians sends daughter #2 of 2 off to the same vet college as daughter #1 and immediately, it's Animal House for reals. During the horrible hazing rituals that turn party-mode, sisters meat up and things begin to change.The movie has layers and a cannibal-of-age story for Daughter #2. As in French Horror fashion, it's thoroughly gruesome at moments but chooses, this time, to focus more on Daughter #2 coming to terms for her new hungerfor lives.Maybe it's a culture thing – again, full-blown French cinema here, but I had to watch the ending several times to get the meaning and when that didn't work, I took to YouTube that nicely explained the whole ordeal for me. Normally, I don't do that as I like to write my reviews/thoughts on my own, but this movie did not give me, personally, anyways, enough to go on to fully embrace the film.It's recommended, but for die-hard movie/horror fans. It's deeper than portrayed and isn't for those on a full stomach.***Final thoughts: JUST missed this for October's Horror Movie Marathon month where I watch a horror movie every day of October. I wanted badly to see this, but couldn't find it (streaming for free, anyways.) Lo and behold, suddenly it's available free in November. Go figure.",Raw
16,FeastMode,my notes,1,24 July 2019,"I HATED this movie. it is awful. all of the ""scariness"" from this ""horror movie"" comes from the unsettling. it's gross for the sake of being gross. it's not scary at all. it's really weird and annoying and terrible. the only good thing is the main theme song they play a few times, and i'm pretty sure it's the biggest reason i thought the trailer was intriguing. based on the movie, i believe the director has the following fetishes... (1 viewing)
SPOILERS
...gay fetish, necrophilia, incest, sex with animals, cannibalism, urinating on yourself. not to mention all the dead animals, autopsies and disemboweling cows... smh. all to unsettle the audience. u suck",Raw
17,Pjtaylor-96-138044,"Not just a 'cannibal movie', this is a coming-of-age drama that explores feelings of alienation and repressed taboo desires (cranked up to eleven).",8,16 May 2018,"To sell 'Raw (2017)' as simply a 'cannibal movie' is to do it and its creators a major disservice, as is to avoid watching due to its apparent 'extreme' nature. This is an assured coming-of-age drama that explores relatable feelings of alienation and, maybe not so relatable, repressed taboo desires (cranked up to eleven). Its fleeting moments of realist gore are potent and cringe-inducing, as they are supposed to be, but don't let that stop you from enjoying this fantastic flick. It's effecting on many levels, an indie film with artistic direction and a masterfully realistic edge, and is a remarkable achievement throughout. 8/10",Raw
18,ThomasDrufke,Crave,7,15 November 2017,"Raw was a film that intrigued me from the first time I heard the synopsis on an episode of Collider Movie Talk, but it's far from a movie that would typically be of interest to me. Horror films in general aren't my cup of tea, but films like 'Raw' that deal with horrifying subject matter but don't actually have the aspects of a mainstream horror film, end up freaking me out more. Raw does just that. A film about a vegetarian who begins to crave human flesh is just about the most unsettling thing you can base a movie on. Slow building, relentless in showing blood and gore, and frighteningly real performances, Raw gives life to the psychological horror in more bites than one. It's also interesting to watch a film that deals with a family with a mysterious history while presenting a cool tale of nature vs nurture. In all, this film is as unsettling as it is fascinating. Not a film I would ever watch again, but an impressive feat nonetheless.7.5/10",Raw
19,Edvis-1997,It's pretty good but not my type,5,22 March 2018,I won't write an essay. It was boooooring for me because the fact of cannibalism doesn't scares me that's why I can't give it more than 5/10.,Raw
20,gbill-74877,A wild ride,7,11 April 2020,"Don't plan on eating a snack while watching this movie. Do plan on cringing and possibly shrieking in disgust at some of the things you're about to see. What starts as nasty hazing at a veterinarian school for a young French woman soon turns into something far more disturbing. Everyone seems menacing and it's one shock moment after another, though to the film's credit, it keeps you guessing as to where it's going. Part of what keeps it entertaining is that it never lets you up for air, but at the same time, all the extra stuff in there - the severe bullying, gross scenes involving animals, nudity, and wild partying - seems to take away from the main story line, and for me at least, a little less would have been more.",Raw
21,UniqueParticle,It was the first time I saw a subtitled film in theaters!,9,9 March 2019,"I should've reviewed this years ago. Either way, it was a bizarre, disturbing experience about a young girl who's a vegetarian and basically gets forced to try wretched things she never would then afterwards she gets the urge to do abnormal things and things start happening around the school she attends. Very morbid, artsy stuff go on in this strange movie. I was enthralled by it and highly recommend it to anyone who likes a mind disturbance!",Raw
