,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"Aside from a few minor quibbles, an amazingly original film that's worth your time.",9,11 November 2012,"My daughter went to see ""Moonrise Kingdom"" some time back and she said she felt out of sync with the hype for the film. While she liked it, she didn't think it was as brilliant or wonderful and reviews would indicate. Too often this is the case with very good films. The reviews are SO glowing that you feel let down when you finally see it (""The Artist"" was such a film for me). My experience was a bit difference. Now that I heard how she thought the film was overrated, I expected less from the film--and perhaps this helped me like it more. Now this is not to say I adored the film--it had a few minor problems. Sometimes the incredibly overly restrained acting annoyed me--as I know this was very deliberate but it also occasionally frustrated me--especially with Bill Murray whose one style of acting in recent films has been to pretend he's a zombie. Otherwise, though, this is a must-see picture. Even with its overly mannered style (the singing, the flatness of affect, etc.), the story is so wildly original that it is still very captivating. I wanted to see more when it ended--and that's a good sign.",Moonrise Kingdom
1,SnoopyStyle,"Started strong but fades a little, still great",7,27 August 2013,"It's the 60s on a New England island. Sam Shakusky is attending Camp Ivanhoe. He falls for Suzy Bishop who lives on the island with her parents. The two awkward outsider teens run away setting off chaos among the other characters.This is Wes Anderson's movie all the way through. There is no mistaking his style. He is now as recognizable as any film style ever made. Everything is set up for a good flowing story. They have a dangerous storm bearing down on them. People are out looking for them. But then they're caught midway thru the movie.It detours a bit after that. The pace slows and the story rambles on. It's still very compelling, but it could have been much simpler and better. The kids are great. We have Bruce Willis, Edward Norton, Bill Murray, Frances McDormand. There are big time stars and they are all solid in their roles. Overall a very good job.",Moonrise Kingdom
2,Hitchcoc,Whimsical and Sharp!,9,17 July 2012,"I will be really interested to see next year's Academy Awards, especially the one for cinematography. This is a course in that subject. The camera plays with everyone and is the trued hero in this film. Once I realized that this was not a conventional movie, but one with quirky characters and deep psychology overtones, I settled back and was mesmerized. This is the story of a couple misfits, caught in a claustrophobic world where they don't belong. They come form a dysfunctional ethos but maintain dreams they don't understand. They manage to persevere despite the odds against them. This is a lovely film with some of our best actors: Frances McDormand, Bruce Willis, Edward Norton, Bill Murray, all caught up in their own debilitating existences and trying to move from one day to the next. This is one of those gems that come along once in a blue moon. It is full of charm, wit, kindness, pain, and a whole hose of characters you will have a hard time forgetting.",Moonrise Kingdom
3,Horst_In_Translation,"Darker than expected, but still kinda light coming-of-age film",6,8 October 2020,"""Moonrise Kingdom"" is an American English-language film from 2012, so not too long anymore until this one has its 10th anniversary and who knows, maybe it happened already depending on when you read this review of mine. The director is Wes Anderson and he is also one of two writers in charge of the screenplay here and the other would be Roman Coppola and this combo should really surprise nobody who knows about Anderson's connection with Schwartzman and the Coppola clan (Sofia mostly). The duo's screenplay was nominated for an Oscar as well as many other prestigious awards and even if I was not completely won over by the story and idea, it still oozes creativity and it is an inspired nod I'd say. At minimally over 1.5 hours (already with credits), this is not a long film at all, but that is perfectly fine. No need to make it 15 minutes longer for the sake of it. It is a success the way it is. The cast is spectacular. You can see Wes Anderson is a magnet for big names, even if I personally prefer the other Anderson in terms of filmmaking (PTA). I will probably mention a few names later on, but for now I only want to say that I find it a bit disappointing that the two child actors are not those listed first in the cast list, at least not here on imdb because they are really the center of the story and have an impact on all the other characters' actions. All the grown-ups' actions. Boo to that. The two would have deserved it. So I will mention them here. Jared Gilman is probably slightly more in the lead here than his female partner Kara Hayward, but the latter is the one who definitely enjoyed the more successful career from the duo. However, none of them come close to Lucas Hedges, who plays the one that is closest to being the main antagonist (probably even closer than Swinton's character) if there even is a main antagonist or anything in here. Hedges has been nominated for an Oscar already, racked up many other awards too and was also pretty close to a second Oscar nomination not too long ago and even if his name is not one many immediately recognize, he is widely considered one of the biggest prospects from his age group right now. This was not his very first performance in a film, but still one of his earliest efforts. By the way, I see Gilman was born the same day like myself, only 14 years later. Sorry, little snippet of random information. Another thing about this movie I want to emphasize is the music: Ben Britten is used on several occasions, especially beginning and end, as a vital part of the story and we hear his name as well. Also you get a lot of Leonard Bernstein, some Mozart and Schubert and this shows that classical music is crucial in here from beginning to end. One thing more surprising is how frequently country music legend Hank Williams is included here and even I as somebody who likes him quite a bit did not really recognize. Shame on me that I actually identified his inclusion on one occasion only. I was baffled during the (pretty creative) credits how many songs of his got used here. By the way, back to the cast, the aforementioned Hayward also acted in ""Manchester by the Sea"", the film that got the also aforementioned Hedges his big breakthrough. Circle closes. But now back to this movie: Before I dig deeper into the story, I would like to say that it constantly oozes creativity, also because of Anderson's typical approach to filmmaking, how he has his very unique style to shoot scenes from up front where you could think that the characters are actually looking right at us, but at least facing towards the camera. This also combines nicely with the fact that there is a narrator in here, namely Bob Balaban, and he is not only doing audible narration, but visibly addressing us while looking like one of the dwarves from a Snow White film.As for the story, you can definitely say that, even with sweet scenes like the kiss and a lot more, this film is at its core much more serious than you would think. We find out about the dangerous storm right away. In addition, Anderson plays with us looking at the dog for example. Dogs often get killed in movies, but not in a kids-themed film like this one here right? Guess again. Admittedly, the dog was not really featured prominently before that in a way where we would really have made a connection and mourned it. And when the boy briefly elaborates on the canine's death, he is also pretty unemotional. He was not his best friend. How would he know if it was a good dog, it was not his dog. But it is true that the dog did not deserve to die. I will keep it shorter in terms of other pretty dramatic twists in here. We have a woman beating her husband violently and her man is not able to leave her. Domestic violence can work both directions, thanks for letting us now and directing attention to that. Same woman also cheats on her husband, apparently really likes to humiliate him, but still stays with him in the end. That character is played by McDormand, who could very well win her third Oscar soon. We'll see about that. Definitely a big name though, but here she does not have too much to work with. Same applies to every other cast member. This is an ensemble piece and nobody stands out. Bruce Willis plays the guy who she has an affair with. Still always a bit unusual to me to not see him in a film without spectacular action sequences and it seems Anderson was feeling the same way, so he gave Willis the opportunity to poke a bit fun at his own usually typecast career. One example would be when he is there standing up in a hilariously exaggerated manner against Swinton's character. The other example would be when at the very end, lightning strikes (again) and he hangs there up in the air and saves the two kids with this special manouevre. Interesting word by the way, also with how different the spelling is there between British English and American English. But let's not drift away there. As for Willis' character, there is this statement about him being a dumb and sad character I think and McDormand's character says something like he is not dumb. Pretty telling. And a bit sad too, not just him, but the entire scene. The fact that he adopts the boy in the end is not unexpected. It was kinda between him and Norton's character. You'd know one of them would do it. Or maybe it was just me remembering a bit because this was not the first time I saw this film, just the first time on the big screen. Glad I took it. Also this film is one that never really goes for realism. And that is not meant in a negative way. Just take the moment when lightning strikes for the first time and only hits the boy despite all the other kids standing so close nearby. And of course with said boy getting up immediately as if nothing happened. Or, on a completely different note, how the kids (without the antagonist leader) all of a sudden turn into accomplices to the duo that they initially despised. What feels more authentic is how they wonder how far the boy was able to go, to which base I mean. And don't complain about boner humor when the grown-ups are cheating on each other here. Wes Anderson's strength is usually situational comedy and not really comedy through dialogues and I think he made it work very well all in all. There was not really a moment when I was in doubt to give the outcome here a positive recommendation. However, I also must say there weren't too many situations where I would give the film more than 3 stars out of 5, even if it felt so creative. Maybe because I did not like the male protagonist as much as I should have. Still a nice idea to show us the flashback sequence with how the two met with her in the raven costume. One actor I did not mention at all is Bill Murray, which is a bit of a surprise as I adore the actor. But yeah, his character here is really pathetic and easy to feel sorry for, but like I said it is not a film that has great performances by individual actors and his turn here is even less special than most of the others'. Must still be said that now in 2020 he is featured heavily in Sofia Coppola's new movie, a Lost in Translation reunion and I am pretty eager to check that one out soon, even if I do not like the lead actress too much, especially compared to ScarJo. Okay, I am drifting again a bit away from ""Moonrise Kingdom"", so I will end the review soon. Gotta say I like the sound of the title, but I think they could have made more with it story-wise. Given it more significance. Still, this is a film that many German (television) filmmakers can learn a lot from with their embarrassing repetitive ""kid running away"" pseudo drama inclusions as this film has this at the center of the story and it all works quite well. It's still pretty dramatic, even if it may not feel this way, but Norton's character says on one occasion that it was a bad day and that he prays the kid will not drown or anything. Or how one other kid may have permanent liver(?) damage. Or how an orphan is given up by his foster parents out of nowhere. Or how the lead actually is an orphan in the first place. Luckily it never feels for the sake of it. This film does not want to give you pseudo-dramatic sob stories. It wants to entertain. And it does so pretty well most of the time. Many moments where I smiled (like Norton's character at the empty table with everybody gone now) and quite a few where I laughed even. Thanks for making this film, Wes and everybody else! Recommended.",Moonrise Kingdom
4,Prismark10,Scout's honour,7,12 February 2014,"My young son watched the start of the movie and immediately exclaimed that it reminded him of Fantastic Mr Fox. So right from the off, it is a Wes Anderson film with its quirky photography and performances.You also get the Anderson regulars such as Billy Murray, with newcomers such as Bruce Willis and Ed Norton.Norton as the offbeat scoutmaster fits in well here and we see a kind of performance from him that's been missing for a few years.The real stars are the youngsters. Its a tale of two pre-pubescent, difficult children who fall in love and run off with the adults searching for them. One of them is an orphan, rejected by his foster family and social services may farm him out to a home or even worse.I suppose young kids kissing or exploring their sexuality might be off putting for some but it does have real tenderness and emotion.It is a shame that the pace wavers and loses focus here and there. Maybe the film needed to be tighter but is no less rewarding.",Moonrise Kingdom
5,nogodnomasters,I'M KEEPING THE NICKLES,10,25 April 2018,"The Indy style movie has become so popular, major studios have copied it. This film has a well written script, effective sound track, excellent acting, background distractions, and of course quirky memorable characters. The film might may be best classified as a light drama, leaning toward comedy.In this 1965 tale two misfit 12 year kids conspire to run off together. Sam (Jared Gilman) is a teased orphan scout. Suzy (Kara Hayward) is the daughter of two lawyers. They live on a New England island. A search party for the two missing youths is lead by ""sad dumb policeman"" Captain Sharp (Bruce Willis). Captain Sharp is having an affair with the mother of Suzy (Frances McDormand). Bill Murray plays the rather straight husband.There is a scene where the two youths get close to each that made me uncomfortable for a moment. Fortunately the scene didn't last long and the film returned to its quirky self, with bits of dark comedy. While it is PG-13, I wouldn't want my 13 year old to watch it. It might give them ideas.This is Kara Haywood's first full length film. I see a great career for her.Parental Guide: No f-bombs, sex, or nudity. Kara Haywood in bra/undies. Some groping.",Moonrise Kingdom
6,kosmasp,Growing up Wes Anderson style,8,27 September 2012,"Wes Anderson movies seem to play in a parallel universe, where everything seems to be slightly off. But in a good way that is. While it might seem he is interpreting his childhood years (in most of his movies), whatever it is he does, he does so in a very unique style. From the sets to the story to the dialog.Our main characters here are kids. And the romance between them is pure, which is quite a task. I can imagine that still some people might find a few scenes awkward, but that would be their interpretation and nothing Anderson was aiming for. It's almost fairy tale like, with some crazy characters thrown into it. The kids making more sense than the grown-ups most of the time. Beautiful movie, that even cynics will find difficult to dismiss.",Moonrise Kingdom
7,classicsoncall,"""Our daughter has been abducted by one of these beige lunatics.""",7,6 January 2013,"Another reviewer on this board (hipstercritic) has this to say about the film - 'Moonrise Kingdom is that place of beauty and passion that we all have been in at least once in our lives – the one place on earth where we believe that anything is possible. It has since been lost, but it persists in our memories in moments of nostalgia'.I realize that for the times we live in, kids grow up a lot quicker and are exposed to far more 'adult' situations than I would have had as a kid growing up in the Fifties. When I was a twelve year old Boy Scout, guys still pretty much hung out with other guys and girls kept company with other girls. I was fairly enjoying the film until the point when the scouts ganged up on Sam (Jared Gilman ) and Suzy (Kara Hayward) and poor old Snoopy took it in the neck. At that point, I thought if Travolta were in the picture, maybe he could bring the dog back to life later on in the story, but that was not to be. It was down hill from there.If kids are growing up too soon today, here's one reason why - film makers like Wes Anderson keep lowering the bar on behaviors that in my youth were relegated to adults. Personally, I don't think Sam and Suzy were having sex in the tent, but the suggestion that they were and making it look 'cute and innocent' is one of the reasons why we have this culture that seems to grow more morally rotten as time goes by. Will the next picture depict eleven year olds having sex? Ten, nine, eight? How far do we want to push that envelope? How about a picture that shows how wonderful the NAMBLA folks are? I get it about the alienation of youth and how many teens and pre-teens find it difficult to fit in. The adults in this picture are all portrayed as goof-balls and idiots, while the young lovers are more mature and wise beyond their years. So the mature Suzy uses a pair of scissors to stab a Khaki scout in the kidney. Imagine when she grows up and gets her hands on an AK-47. I know this is all starting to sound ridiculous to some readers, but seriously, when do we stop sugar coating deviant behavior and call it out for what it is. In another twenty years or so, Sam and Suzy will suddenly find themselves in the same circumstances that they find untenable in their parents, guardians and scout leaders. They'll wind up being the characters they warned themselves about.It doesn't make me happy to be cynical about stuff like this, especially movies that are meant to entertain. But it's not very entertaining when the lead characters make it to the end of the story and wind up about to commit suicide until one of the idiot adults intervenes. If you found this film to be wonderfully attuned to that inner child of yours, so be it. But there's another way of looking at it.",Moonrise Kingdom
8,gavin6942,A Return to Genius From Wes Anderson?,8,28 January 2013,"A pair of young lovers (Kara Hayward and Jared Gilman) flee their New England town, which causes a local search party to fan out and find them.Many directors have a certain stamp they leave on their films that make it clear who was responsible. I daresay that Wes Anderson more than any other director might be the master of the stamp. If his name appeared nowhere on this film, the colors, characters and quirky plot would just give it away. He makes the indie style mainstream.That being said, this is probably Anderson's best film in years. I cannot say I ever disliked any of his work, but ""Darjeeling Limited"" (for example) did not meet the expectations it should have. Here, we have the full Anderson experience: Bill Murray, Frances McDormand, a refreshing Ed Norton, and even Harvey Keitel (who seems to have faded away over the last decade). Bruce Willis was the weakest link, but luckily he was not crucial.A good deal of work went into the production: the creation of the maps, paintings, books and more. I assumed the books were real, and I assumed wrong. I thought it possible that the map was real, but it was not. So this is a credit to the art design crew -- they made the fictional realistic, which is no easy task.The film is nominated for Best Screenplay, and I think that is valid. On a surface level, it is a story of two outcasts and the innocence of young love. That alone makes a good story when told by the right people (as it is here). But then you add the second level, where the children are contrasted with the adults whose relationships have crumbled. We are not weighted down by their negativity, but are still fully aware of it. Perhaps the adults and children are a mirror to each other? The third level is one I am not completely sure how it fits or what it means, but I believe there must be some symbolism to the flood motif. The island is shown three days before a flood, and a play showing Noah's Flood is prominent. More so, Suzy Bishop plays the raven, which was the first bird Noah released to see if the flood had ended. Does it mean something that she was a raven and not the sparrow? I am not sure, but I think so.Some critics have listed this among the best films of 2012. I am not as confident. While certainly top 20, probably not top 10. But still well worth a view.",Moonrise Kingdom
9,lee_eisenberg,"I've liked every Wes Anderson movie that I've seen, and that includes ""Moonrise Kingdom""",10,4 November 2013,"Wes Anderson first came to my attention when I saw ""Rushmore"" and I got the feeling that this guy had some good ideas for movies. Over the next fifteen years, he proved this to be true: ""The Royal Tenenbaums"", ""The Life Aquatic with Steve Zissou"", ""The Darjeeling Limited"", and now ""Moonrise Kingdom"". This story of an orphaned boy scout and outcast girl who run away together on an island off the coast in New England in 1965 has all the characteristics of an Anderson movie: dolly shots, direct shots of people, and long narration. One of the most impressive things is the soundtrack: a mixture of orchestral music with Hank Williams songs! But more than anything, this movie is about the offbeat world of the introverted main characters. Neither fits in with the surrounding world, but both have something to offer each other. It is one really fine movie, and I am very eager to see Anderson's upcoming ""Grand Budapest Hotel"".",Moonrise Kingdom
