,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,From the jaws of death itself,8,10 June 2016,"The Australian cinema turned out a real gem of a fantasy film with Gods Of Egypt. Other than references in a lot of Mummy films Gods Of Egypt is the first I know to incorporate the ancient Egyptian religion and mythology in the plot itself.We're going way back here even before the time Charlton Heston liberated the Hebrew children to a time when Egypt was ruled by their deities who walked among them and took human form. They also could take the shape of some ferocious creatures if need be.Set and Osiris divided up Egypt back in the day, both sons of the sun God Ra. But Set who only had the desert while Osiris had the good real estate of the Nile and it's cities got tired of this arrangement and slew brother Osiris. He also fought and gouged the eyes out of Osiris's son Horus leaving him a blind and pitiable figure and a living reminder of what it means to cross Set who is played by Gerard Butler with Bryan Brown playing Osiris.While the Deities are in their turf war mortal Brenton Thwaites gets caught up in it and his girlfriend Courtney Eaton is killed. He wants to get back at Set and would like to team up with Horus if Horus dare permit himself an alliance with a mere human. But Thwaites has some moves and proves to be an unusual and resourceful ally.If you recognize it the elements from Alexander Korda's Thief of Bagdad loom large and clear here. The chemistry and scenes between Nicholas Coaster-Waldau as Horus and Thwaites is very good and the parallel of the two films is unmistakable. Korda only wished he had the computer graphic technology available when he did his spectacle masterpiece.Korda's film was shot in Arizona both for the vast scenery and for the fact that Great Britain was at war. The great vast interior of Australia has and will be a choice location shooting spot for a lot of films as travel is now easier to that still remote part of the world.I liked Brenton Thwaites character very much. In a cynical age where romance is not usually portrayed his was one of the best romantic characters I've seen on the big screen in years.In fact the very romance of the film made it a winner with me. See this one by all means.",Gods of Egypt
1,Leofwine_draca,Overblown CGI spectacle masquerading as a proper movie,4,19 March 2017,"Gods of Egypt is another example of overblown CGI spectacle masquerading as a proper movie. I appreciate the intent and have enjoyed many of the previous films in the career of director Alex Proyas, even his last one, KNOWING, which divided audiences somewhat. However, Gods of Egypt is a step too far, and contains very little actual content amid all of the endless CGI.It starts off well enough, that's for sure, with some good shocking scenes and impressive transformations at the outset. The CGI is pretty good, but there's so much of it that the viewer is quickly overwhelmed and in the end bored by it all. I call it the George Lucas effect after his interminable STAR WARS prequels. Characters turn into CGI, some characters ARE CGI, the action is CGI augmented, and the landscapes are CGI. Me, I prefer the good old-fashioned elements of film-making that seem to be in short supply in Hollywood these days.On the plus side, this film boasts a solid leading turn from Nikolaj Coaster-Waldau, bringing plenty of his GAME OF THRONES charisma to the part. He gets to wisecrack a lot and he looks great, which is enough for me. Gerard Butler is all bombast as the villain of the piece who feels like an evil version of his King Leonidas. Some familiar faces round out the cast, like Bryan Brown and Geoffrey Rush, but the unwise choice was to make the main actor a bland former HOME AND AWAY star and, yes, he's really wooden, a big hole right in the centre foreground of the movie. Elsewhere, some of the spectacle is quite impressive, and I appreciate little touches like having the gods much larger than their mortal counterparts (a CGI effect first utilised in Jackson's LORD OF THE RINGS to depict the hobbits). A shame, then, that the majority of this movie is little more than instantly forgettable.",Gods of Egypt
2,SnoopyStyle,CGI extravaganza,5,4 June 2016,"Horus (Nikolaj Coaster-Waldau) is set to rule Egypt from his father Osiris. Set (Gerard Butler) steals the throne killing his brother Osiris. Set defeats Horus, takes his eyes, and his bride Hathor. Set kills anyone who opposes him and enslaves humanity. Bek (Brenton Thwaites) is a mortal thief. He steals one of Horus' eyes but his love Zaya is killed. He makes a deal with Horus to return Zaya to the living after they defeat Set. With Hathor, Goddess of Love, and Thoth (Chadwick Boseman), God of Knowledge, they set off to answer the riddle of the sphinx.This is overloaded with CGI flash and grandeur. It's fun visually for awhile but by the end, it becomes more of the same. The climax becomes sound and fury that signifies nothing more than waiting for the end. The story is simple good versus evil. Gerard plays evil for all it's worth. Horus is selfish at the beginning. Quite frankly, Bek is also selfish. Bek and Zaya are not more than puppy love. There is no development. They are simply in love. The good guys aren't that compelling. The whitewashing controversy doesn't help either. This is not the worst but it's not worthwhile to defend either.",Gods of Egypt
3,Horst_In_Translation,Sadly watching this is not a godly experience,4,10 January 2017,"""Gods of Egypt"" is a co-production between the United States, Australia, China and Hong Kong that resulted in this English-language movie. It runs for slightly over two hours and was written by Sazama and Sharpless, a duo also in charge of ""Dracula Untold"" and ""The Last Witch Hunter"". The director is (fittingly Egypt-born) Alex Proyas who has been making movies for over 35 years. So it is probably a bit disappointing how weak this one turned out. But if you read about actor George Butler (co-)starring in a film about ancient Gods, you basically know what to expect, even if he plays the main antagonist here. ""300"" was already a pretty mediocre (at best) film and so is this one we have here. The two good guy protagonists are played by Brenton Thwaites and Nikolaj Coster-Waldau.The title already states what you can expect here. It's a film in which Egyptian Gods clash about who is the real King of Cairo. It is very generic in terms of who is good and who is bad and it is all very predictable. The worst, however, may be the love story involving Courtney Eaton (""Mad Max"") as it all feels so negligible and there is not really a single point where you hope for the couple to stay together, apart from knowing they will be united in the end anyway. This also has to do with Thwaites' pretty bad performance. Of course, Butler and NCW are not exactly revelations either, but they somehow do what needs to be done and use their experience occasionally in order to elevate the truly weak material. But Thwaites does the exact opposite.Now looking at the technical aspects here, this film actually scored some awards recognition with regard to these and it describes pretty much perfectly what this film is about in terms of quality. As much as it lacks in the story department, it is pretty solid visually, but of course not great either. A final notion to actor Geoffrey Rush, Oscar winner and a personal favorite of mine: He is Australian and this may have a lot to do with him appearing in here, but he has almost nothing to work with to show us his talent and is just as forgettable as the rest despite playing a somewhat important character. Overall, absolutely nothing is really memorable about these two hours and at times it felt just like a collection of special effects. Very disappointing and I hope they do not decide at some point to produce a sequel for this relatively weak movie as the first film was already so bad at times that you cannot really justify its existence. Watch something else instead.",Gods of Egypt
4,claudio_carvalho,Underrated Adventure,8,19 June 2016,"In the ancient Egypt, the god Ra (Geoffrey Rush) has split Egypt in two: the fertile part with the Nile would be ruled by his son Osiris (Bryan Brown) and the desert by his son Set (Gerard Butler). During the coronation of Horus (Nikolaj Coaster-Waldau) by his father Osiris, Set betrays his brother and kills him. Then he withdraws the eyes of Horus that are his source of power and exiles him in the desert. The mortal thief Bek (Brenton Thwaites) and his beloved wife Zaya (Courtney Eaton) that worships Horus become slaves of Set. Zaya, who is working for Set's architect Urshu (Rufus Sewell), convinces Bek to steal the eyes of Horus from a well-protected pyramid designed by Urshu to give them back to Horus, the only one capable to defeat Set. Bek succeeds but retrieves only one of the eyes; however Urshu discovers the theft and Bek and Zaya need to flee. Urshu kills Zaya with an arrow and when Bek reaches Horus' shelter, he proposes to help the god to retrieve his other eye. In return, he demands that Horus bring his beloved Zaya back from the world of the dead. They team up and soon Horus' lover Hathor (Elodie Yung), the goddess of love, leaves Set and joins them in their quest to defeat the evil Set.""Gods of Egypt"" is an underrated adventure. The story is highly entertaining but the great cast is overshadowed by the special effects. The plot is funny and is a delightful joke regarding the mythology. It recalls the naive and silly adventures that older viewers used to see in the matinees, and therefore highly recommended. My vote is eight.Title (Brazil): ""Deuses do Egito"" (""Gods of the Egypt"")Note: On 26 December 2020, I saw this film again.",Gods of Egypt
5,nogodnomasters,Time to go fishing,7,31 January 2018,"This tale is inspired by the mythology of Egypt concerning the battle of Set (Gerard Butler) and Horus (Nikolaj Coster-Waldau). Set murders King Osiris (Bryan Brown) and removes the blue eyes of Horus in battle as he takes over the throne and banishes Horus. Set imprisons the humans. Bek (Brenton Thwaites) a mortal and a thief loves Zaya (Courtney Eaton). He manages to steal an eye of Horus from Set and Zaya is killed as they flee Egypt. Bek makes a deal with Horus to get his girl back from the afterlife, but the clock is ticking. Yes, there is a love story in all of this.This tale was cleaned up a bit. There is no mention that the wives are also sisters and Horus' wife-sister was also his mother at one time. This was a common theme in ancient mythology. Horus was said to have blue eyes. They knew this and made his eye jewels blue, but not his actual eyes, apparently blue contacts would have broke the budget after spending a gazillion on special effects and great graphics. Loved the snakes. Nikolaj Coster-Waldau as Horus was very stiff.I know a lot of it was by design, but the character was boring. Gerald Butler fared a little better as Set, but the film needed help. Brenton Thwaites and many of the actors seemed held back as the film centered on special effects and not the characters. Rufus Sewell, Chadwick Boseman, and the scantily clad women I liked.Was that a polyethylene mattress that Bek landed on? Couldn't they have made it a bed of feathers?Great graphics. Mediocre acting. I never felt the excitement. Guide: No swearing. Implied sex. Camera angle prevents nudity in one scene.",Gods of Egypt
6,kosmasp,If Egypt had Popcorn movies ...,6,22 January 2017,"Well they would have to have theatres to play them in too of course. But I derive and this actually has many flaws. It's way too easy to take this apart on many things. Gerald Butler is overplaying it, the CGI, the story and much more. But why get mad, when you can have fun. And there is a lot of that to be had.Just dive into this movie and watch it free of all, if you can. Because this is how this wants to be watched. And if you can do that, then you are in for a very fun and entertaining ride. Most of it doesn't make sense and it's more or less one sequence paired with another, but tries to encapsulate the Harryhausen feeling. And in some regards I'd say it did. Before you cry sacrilege (especially because it was real tough work that was put into those stop motion films back in the day), I'm talking about the general vibe. If you can appreciate that, roll with it",Gods of Egypt
7,ma-cortes,Attractive and colorful adventure dealing with powerful Egyptian Gods and fleeble human beings,6,28 December 2020,"An entertaining mess that mixes Egyptian Gods and human beings in which the supreme God Ra : Geoffrey Rush has divided Egypt in two parts , the wealthy , prosperous region of River Nile governed by his son Osiris : Bryan Brown and the barren desert run by his another son Set, the relentless God of Darkness : Gerard Butler . But Set wants to take over Egypt's throne plunging the quiet kingdom into destruction , chaos and conflict . As during a spectacular coronation, Set kills his brother Osoris , then Horus : Nikolaj Costner Waldau , son of Osiris and Isis , escapes. Horus who blinded by his uncle is hidden and useless to carry out a merciless vengeance . Then Horus -The Falcon God- is unexpectedly helped by a young human named Bek : Brenton Thwaites who makes a deal with him to save his sweetheart Zaya : Courtney Eaton , who was taken captive, as she encounters in the infraworld to be judged by the death Gods . All of Heaven is at War . All of Creation is at stake . The Journey of a Lifetime begins . The most powerful force on Universe is about to be unleashed . The Battle for Eternity Begins .
A noisy and bombastic adventure with plenty of 3D computer generator special effects , mayhem , and total destruction . It is a cheesy fun in the Saturday Matinee tradition with abundant and overwhelming battles , noisy action and breathtaking fights . A loudy and crowdy epic movie about Egyptian Gods marred by its exccessive FX and lots of scenes with no much sense . Here shows up ordinary contrivances with giant Gods , impressive palaces that are destroyed by violent fights , witchery , bizarre beasts and enormous monsters . Main and support cast are pretty well . Along with newcomers actors as Brenton Thwaites , Courtney Eaton , Elodie Young , the recently deceased Chadwick Boseman , there appears veteran players as Gerard Butler , Geoffrey Rush , Bryan Brown , all of them are frankly well .It displays a brilliant and sunny cinematography with full of color by Peter Menzies Jr. As well as a moving and rousing musical score by Marco Beltrani . The motion picture was professionally directed by Alex Proyas , though hindered by its overlong runtime and too much visual effects . Alex Proyas is a good filmmaker who has directed successful films such as : The Raven, Dark City, Garage Days , I Robot , Knowing , among others . Rating : 6/10 . Worthwhile seeing .",Gods of Egypt
8,paul_haakonsen,When the gods walked among mankind...,7,15 August 2016,"Already from the trailer alone, you know that this is going to be a special effects movie. And with that in mind, you might already be setting yourself up for a movie that doesn't really require much thinking from you as an audience.Well, that is partially true actually. The movie is a spectacular display of visual effects, both in CGI and props. And these dazzling effects do carry the movie a great long way, I will say that much. And the story, while it is simplistic, actually did turn out to be entertaining. Sure, it wasn't a brain challenger, not by a long shot, but you know what you are getting into with ""Gods of Egypt"".While we are on the CGI and special effects, then I must admit that it was the selling point for me, because I was blown away how they had managed to bring ancient Egypt and their ancient Pantheon to life with today's CGI and special effects.As for the cast, well, they could have opted for someone a bit more thespian, considering the talents of both Nikolaj Coaster-Waldau and Gerard Butler. Don't get me wrong, I am not saying that they did it poorly. Actually far from it, but they are more of a physical kind of acting in terms of action, more than they are set in ways of deeper character portraying through acting.There is a lot of action throughout the entire movie, and you are constantly being bombarded with visual effects, to the point where it brims on being over-used. But it worked for me.If you enjoy a good fantasy movie with roots in actual ancient history, then ""Gods of Egypt"" is definitely worth your time and money. I do think, however, that ""Gods of Egypt"" is the type of movie that you can watch every now and again with some years in between each watching.I am rating ""Gods of Egypt"" a well-deserved seven out of ten stars. This was good, wholesome entertainment wrapped up in a visually impressive package.",Gods of Egypt
9,Quinoa1984,a waste of talent and time and extravagant dollars,3,25 June 2016,"Gods of Egypt is meant to sell itself primarily on the visual effects spectacle - not unlike, going back some generations, to those dopey but entertaining special effects extravaganzas with work by Ray Harryhausen and featuring a stock of memorable creations amid a sea of lame-to-competent acting and direction. But now it's 2016 and with this movie, not even the CGI on 1990's XENA TV series (if you've ever seen that and know what I mean) was this cartoonishly awful. If it had been a SyFy channel movie I might accept it. As a 100+ million dollar extravaganza, it's almost a nightmare - too long (at 127 minutes it feels like 187), and it's got story turns and characters that... wait, what characters? This is the kind of movie that gives a major talent like Geoffrey Rush little to do but spout platitudes and be set on fire shooting at things.Some of this is so stupid I found myself laughing - a lot - but not in the places I'd think Proyas half expected people to do so. And no one, not even poor Gerard Butler, can get enough energy to possibly ham or camp it up, but the serious delivery doesn't allow for many rewards for the viewer looking for good OR bad movie fun. Most motivations are weak and things involving how this world works can sometimes turn on a dime and not make sense anymore (it'd take too long to go into some of the things that are not nitpicks but glaring, holy-s***-how-did-anyone-let-this-pass flaws), and despite a consistency to the look of the world and the characters, perhaps the director's only strong suit in coralling so many elements together, it's all for a story and heroes/villains/Gods/side Gods/hot-Goddesses that is dead on arrival.What have you lizard people done with Alex Proyas?",Gods of Egypt
