,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,John Landis's best film along with The Blues Brothers,10,30 December 2010,"I like John Landis and his films, and An American Werewolf in London is up there with the best of them. For me, there is so much to love about this film. There is John Landis's perfect direction, he manages to revisit the horror genre and parody it at the same which is very difficult. There is the wonderful cinematography and beautiful scenery. There is Elmer Bernstein's superbly atmospheric score. There is the funny, scary and above all brilliantly written script. There is the great special effects and some of the scariest and most effective transformation sequences I have seen in any horror movie. There is the adeptly constructed story, with never a dull moment. And there is the acting, David Naughton carries the film well, Griffin Dunne is very good and Jenny Agutter is simply perfect. All in all, brilliant film and one of the best of the genre. 10/10 Bethany Cox",An American Werewolf in London
1,Leofwine_draca,A classic of the comedy/horror genre,10,29 November 2013,"I remember An American Werewolf in London and The Howling being the big rival werewolf films of the early '80s. Both were big, scary movies with cutting-edge special effects and reputations as equally decent films, but I think London has the edge. It just feels that the narrative is cleaner and more focused, and the combination of comedy and horror works really well.The movie is also notable for its depiction of 1981-era England through the eyes of a couple of American students (and Yank director John Landis too, of course). It's tightly written, exploring the werewolf theme from a psychological perspective, which I liked, while also providing possibly the best rampage of all time come the ending. It definitely deserves its reputation as one of the big horror films of the 1980s.Rick Baker's special effects are the real star here and they deservedly won the Oscar; that transformation scene is still stunning, and unequalled even with the advent of CGI (Baker's own work in the disappointing Wolfman remake didn't come close). The blood flows freely and the deaths are vicious and unpleasant, as you'd hope for given the subject matter.The film's settings are also splendid, really bringing an age-old rural myth into the then-present day. The Piccadilly climax is brilliant stuff but the build up is equally watchable, particularly the excellent sub-plot involving John Woodvine's doctor investigating the case; Woodvine feels like a worthy successor to Cushing in this one. That's not to belittle David Naughton's fresh turn as the lead or the incredibly lovely Jenny Agutter as the object of his affection, of course.An American Werewolf in London is just one of those films where everything comes together and gels together perfectly. I particularly like the nightmarish dream sequences which allow the director and writers free reign; the bit with the demon Nazis with machine guns is a tremendously fun moment, for instance.",An American Werewolf in London
2,SnoopyStyle,Well made good looking simple horror,8,21 June 2014,David Kessler (David Naughton) and Jack Goodman (Griffin Dunne) are young men backpacking through the English moor region. They stop at a small pub in East Proctor where the locals are hiding a dark secret. They are attacked by a werewolf and Jack is killed. The locals rescue David after being mauled by the werewolf. The locals perpetuate a lie that a madman attacked the two guys. Nurse Alex Price (Jenny Agutter) treats David and they fall for each other.It's a very simple old style horror from writer/director John Landis. The makeup looks good. The dead Jack looks are especially nasty and bloody. Griffin Dunne has a fun time as the walking dead. The transformation is done really well. It's very simple like the chase in the subway where nothing is shown other than growling. It's the age before CGI. It has a bit of humor like the cheesy porno flick. There isn't much in terms of story. Basically he gets bitten and he turns. It doesn't have to get much fancier than that.,An American Werewolf in London
3,mark.waltz,"The Moors, London, comedy and of course a wolf man!",10,6 October 2021,"Delightfully entertaining, this amazing mix of dark comedy and horror is a perfect mix. The story starts with two Americans, David Naughton and Griffin Dunne, traveling around the Moors when they are attacked by a werewolf after being warned about the darkness while in a very superstitious Pub. Dunne is killed and Naughton injured, and after being taken in by friendly nurse Jenny Agutter, he begins to have transitions that really affect his bones and his facial structure, mainly with the addition of a lot of unwanted hair.Thanks to director John Landis, this film is incredibly funny as well as scary, the type of film that would make you toss your popcorn container in the air when something happened out of the blue. Dunne keeps appearing to him in various forms, trying to convince him to kill himself, but Naughton is intent to persevere, that is until a very serious transformation occurs which is one of the most frightening visions ever in the movies. The special effects and makeup design are outstanding, and well there are a few gross-out moment, this is the probably the most family-friendly modern werewolf movie ever made even if Agutter and Naughton do have a sexy love scene.Coming out at the same time as two other very good werewolf movies (""The Howling"" and ""Wolfen""), this ranks as the best because it is just so lighthearted and innocent and its own way even with the use of gory special effects and lots of bloody bodies. Veteran character actress Lila Kaye (a Marie Dressler look -alike) is quite amusing as the bar mistress on the Moors, and her customers are delightful eccentric as well. This is such a fun filled to watch that you will definitely try to keep a copy on hand to revisit every now again around Halloween time. Next to the 1940 classic Lon Chaney Jr. Film, this is the best of the werewolf movies.",An American Werewolf in London
4,kosmasp,Full Moon,9,13 October 2009,"A great horror movie that can be funny too? Here it is and it works! John Landis is absolutely against the term ""horror-comedy"" being labeled on this movie. Whatever you want to call it though, it is a great combination, of scary and funny moments he dishes out here. Not to mention one of the greatest transformation scenes, like ever! But to reduce the movie to that particular scene wouldn't be doing it justice at all! While Mr. Landis does everything that he shouldn't be doing (if you would follow a painting by the numbers kind of approach, to get your movie right), everything he does fits perfectly. You have people/characters in here, who are not really serving the story or have any particularly purpose to the story. In other words, the movie would have worked without them. But as in his other movies, he has this strange people in, who actually elevate the movie and make it different. It's great to hear people, who wouldn't even have a line in other movies, getting not only screen time, but also some weird/strange funny lines. This all works fantastic with the horror, that slowly builds up ... a classic, that is a must-see for anyone! And it hasn't dated!",An American Werewolf in London
5,gavin6942,Definitive 1980s Werewolf Film,8,21 October 2011,"Two American college students on a walking tour of Britain are attacked by a werewolf that none of the locals will admit exists. John Landis made a name for himself directing comedies like ""The Blues Brothers"" and ""Animal House"". Horror fans (rightly) try to claim him as their own, but he is a comedy guy just as much. And it shows. Although this is an incredibly scary film, it clearly has a sense of humor. That is a big reason it works so well.Who wants to see David Naughton run around naked? If you do, this is the film for you because he finds himself naked repeatedly (and in you squint, you can almost see his special appendage if you pay attention). But, if this is the only reason you watch the film, you are missing out on many other great things.The debate, going back more than thirty years now, is whether ""American Werewolf"" or ""The Howling"" is the better film. Some might add ""Wolfen"", but they would be wrong. Considering ""Howling"" has seven sequels and ""American Werewolf"" has only one, you might think ""Howling"". But you would be wrong. Joe Dante is a beloved director, and the talents of Rob Bottin may even surpass those of Rick Baker... but ""American Werewolf"" is the superior film, if for no other reason than its tone. It has a balance of humor and comedy that keeps it fun and the sort of film you can return to.Worth noting are the transformation effects; these are fairly impressive, especially considering the time the film was made. Everyone knows this was the first film to receive an Academy Award for Best Makeup. As of 2014, Baker has earned seven of these. How often has a horror film changed the course of the Academy? Not often, and perhaps never before or since. This is, in many ways, Baker's film.The film has received almost universal acclaim. Roger Ebert was an exception, noting the movie ""seems curiously unfinished, as if director John Landis spent all his energy on spectacular set pieces and then didn't want to bother with things like transitions, character development, or an ending."" As rarely as Ebert gets it wrong, he got it wrong here. Although he may have a point with character development, the lack of depth never seems to take away from the picture -- we are not to care about these people, just to gaze voyeuristically at their foibles.",An American Werewolf in London
6,lee_eisenberg,when I saw this on TV...,7,10 August 2005,"With ""werewolf"" in the title, we know that a man turns into one. In this case, American college students David Kessler (David Naughton) and Jack Goodman (Griffin Dunne) are attacked on the English moors by a strange creature which kills Jack and injures David. While in the hospital, David falls for nurse Alex Price (Jenny Agutter) and gets a visit from Jack's decaying ghost, who warns him of what will happen come the full moon. Anyway, David goes home with Alex, they have sex (interestingly, this wasn't cut on TV), and you know what happens the next night (don't worry: Alex wasn't home).The main thing was that ""An American Werewolf in London"" had the neatest scene in movie history of a man turning into a lycanthrope. Maybe the movie didn't have any kind of message or anything, but really folks, we don't want that in werewolf movies! Other cool aspects include the bar - it didn't have a very inviting name. And Jenny Agutter was pretty hot.Oh well. If ever you're in England, you'll just have to remember to steer clear of the moors. And the next time that there's a full moon, you know what that means.",An American Werewolf in London
7,jboothmillard,An American Werewolf in London,8,6 September 2005,"One late night two Americans (one being David Naughton) have come to England and are lost somewhere in the country. They find a pub and ask for help and they do not warn them about the known creature outside. It's not long before David and his friend are attacked by a werewolf. David's friend dies but he only got a scratch. Anyway, later in the film David seems fine, but his friend as a ghost keeps warning about turning into a werewolf himself, David obviously assumes he's dreaming. David's transformation scene is very scary and good effects, but its also amusing. Look out for Bottom's Rik Mayall and The Muppets' Frank Oz (not just on TV in the film). The film won Best Makeup at the Oscars. It was number 16 on The 100 Greatest Scary Moments. Very good!",An American Werewolf in London
8,ccthemovieman-1,Still Funny & Frightening After All These Years,9,9 November 2005,"Here's a film that never fails to entertain, year after year. It's almost a quarter of a century old but hasn't become dated and the special effects, which were astounding in its day, are still good. Director John Landis is so good at making entertaining movies. This is one of his best.The appeal to this film is the combination of horror, suspense, action and humor. The latter actually is the key ingredient because this can become a downright scary movie. The levity here and there is welcome relief. There is just the right amount of contrast between horror and comedy.For parents wanting to know, there also is a fair amount of rough language and there two sex scenes, one as part of the story and one ""on screen"" in a porn- movie theater where the two male leads meet late in the story.Jenny Agutter is the love interest in here, a very pretty woman whom Americans audiences aren't that familiar with. It isn't just her: neither of the two leading (American) male actors in this popular movie ever became stars, either.An entertaining but silly sequel came out almost two decades later, ""An American Werewolf in Paris."" I own both movies but much prefer this one.",An American Werewolf in London
9,rmax304823,Is That A Grin Or A Snarl?,6,25 February 2015,"I'll make this short and sweet, like the old lady's dance.The beginning is highly atmospheric. One night, two American college kids stop in a pub with the portentous name, ""The Slaughtered Lamb."" This is in Yorkshire and the pub is surrounded by flat, foggy moors. The pub itself is warm and inviting but the patrons are not, especially when one of the kids, David, asks about the shrine on the wall, the shrine with the pentagon on it.They are booted out into the night by the surly patrons, with a warning to stay on the road and avoid the moors, as Sir Henry Baskerville was once told. Well, Sir Henry survived. And that's the difference.The remainder of the film, as much of it as I saw, takes place in London, which, you'll remember, is a big city and not at all as frightening as those filmy and ominous moors. However, when David wakes up in hospital there, recovering from his bites, he's attended by the kind of nurse that hospitalized men dream about and that do not exist in real life.I'll tell you, Jenny Agutter, uniformed or undraped, lightens up the picture and the city.Outstanding special effects. If you enjoy the sight of ripped and sagging flesh, with bath tubs of blood, you'll be delighted. It's also supposed to be a comedy because it's approach to the material is light hearted. Yet, the truth is, all that blood, all that brutality and violence, aren't very funny, no matter how well they're nested in a plot full of wisecracks.And the central figure, David Naughton, isn't much of an actor. He gets the comic sense of the situation across but his features and demeanor don't know the meaning of anguish. Jenny Agutter can't really act either but I don't care. She's not the sleek, naked teen ager of ""Walkabout,"" but she has an offbeat beauty and the precise diction that you could listen to forever.",An American Werewolf in London
