,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Nauseating and unnecessary,1,9 June 2005,"The original movie, The Fly, was a lovely little horror film. Was it great? No, but it was effective and fun to watch. Did it need to be remade? Possibly, but only if the integrity of the original story remained and it was given better special effects. BUT, NOT LIKE THIS!! Gone is the silly fun of the original. In its place is a viscerally disturbing (nauseating actually) mess with a rather mean spirit. It's simply unfun and unappealing.You don't believe me? Well, look at the sick makeup job on Jeff Goldbloom. Accident victims are easier to look at for extended periods. And, the ultimate gross-out of having him vomit up white slime on people in order to digest them!!! What were they thinking? If they want to gross us out so much, why not go on a tour of the morgue and film that!? It would be as gross and as pointless.",The Fly
1,TheLittleSongbird,Scientific fears,10,27 March 2019,"Have a lot of admiration and appreciation for David Cronenberg. His films are technically very well made and while his films are very disturbing a good deal of his films also have either a dark or subtle wit, poignant emotion or even both. He is for me one of the most interesting and unlike any other out there directors, despite being known for body horror and originating it his films are much more than that.Like what was said for 'Dead Ringers', one of my favourites of his, all this couldn't be more apparent in 'The Fly' and actually even more so. Despite really liking the 1958 version of 'The Fly', count me in, having seen this film since watching that, as somebody who considers this remake superior by quite some way and by far one of the remakes ever made. This is a rarity when it comes to remakes, with a lot of which deservedly held in low regard and considered as pointless. Yet 'The Fly' feels much more than a remake, one would not know it was one really. It is also a fabulous film on its own merits, a landmark of its genre and one of Cronenberg's best, still is his most acclaimed critically, for sure from personal opinion. Some may not be able to get past the gore, of which there is aplenty and it does churn the stomach, but it was not a problem for me now and do feel one is missing out if not able to get past.'The Fly' still looks great. Cronenberg's films are seldom less than well made, he always is a very technically accomplished director and 'The Fly' is one of his best looking. Very accomplished and showing a mastery of visuals and effects, with some truly atmospheric, remarkably elegant and clever photography (if not as complex as that for 'Dead Ringers' for example). The special/make-up effects are not just pretty darn impressive, they made me go wow, a technical achievement back then and they hold up extemely well now. Why else would 'The Fly' hold the distinction of being the only Cronenberg to win an Oscar, which was for the makeup (richly deserved, though certainly would have had no problem with 'Legend' winning as the makeup was also amazing in that film)?Cronenberg regular Howard Shore, the director's ""composer of choice"" even, provides one of his best scores, which is like its own character and like a character of its own in the film. It is very haunting without being obvious, but what is especially memorable about the score is how it makes something beautiful out of the visual intensity going on, without ever being at odds, and how it goes for the emotional core of the story as well. The orchestration is also some of his biggest and most complex, brought to vivid life by the London Philharmonic, a prime example of this is the opening which has always left a big emotional impact on me.Some of Cronenberg's best directing can be seen in 'The Fly'. The atmosphere is unnerving in unmistakable Cronenberg style with nail-biting tension to boot. There is a lot of gore and it churns the stomach, but to me the film wasn't too over-reliant on it and didn't use it gratuitously. Even more impressively, as well as being a visual master, he achieves a balance of horror mixed with tense thrills, humour and emotion. The script has delicious dark wit, provokes thought and truly heartfelt and never cloying emotion, not many films achieve this balance so well and Cronenberg was one of the masters at this. The storytelling is some of the most disturbing of any Cronenberg film and of any film, but 'The Fly' is also the film of his that connected with me emotionally the most. The tragedy of the story is truly poignant stuff, and it is genuine, not forced or manipulative.Not many films of this genre have had me really caring for the characters, and again in a way that was genuine. 'The Fly' did this and is an example to all film, the characters here have depth and well-defined and distinct personalities and character traits and not once did they bore or irritate me. The acting is terrific, as good as Geena Davis is, and she is extremely good, Jeff Goldblum is pretty extraordinary in a very unsettling and sensitive portrayal that disturbed and moved me. Goldblum is always worth watching but he in my mind has never been better than here, one of the best performances in a Cronenberg film.Altogether, fabulous and one of Cronenberg's best as well as a genre landmark. 10/10",The Fly
2,Leofwine_draca,Cronenberg's masterpiece,10,17 July 2016,"One of the genre's most famous taglines (""Be afraid...be very afraid"") adorns David Cronenberg's masterpiece of psychological and physical horror, in turns surprisingly gory and surprisingly intelligent, yet sorely underrated by audiences at the time. Cronenberg had already made a name for himself by the time this was released, for his above average horror films like VIDEODROME, all of course as controversial as CRASH was ten years later.This isn't just another run-of-the-mill gut churner, however; it's much, much more. In parts a tragic love story and with a vicious streak of black humour, THE FLY actually turned out to be a remake which was better than the original film, which was no mean feat when 1957's THE FLY was a classic sci-fi horror flick boasting star names like Vincent Price. Thankfully, everything about Cronenberg's film works, from the fine acting to the gruesome special effects, but these are just icing on the cake. The real genius lies in the decision to have Brundle slowly disintegrate into a fly, instead of a straight conversion in the matter transporter. The idea that the fusion takes place as a mysterious, horrible, cancer-like illness is much more sickening, chilling and believable than the straight forward man with rubber fly head shown thirty years earlier.Not many actors could have convincingly pulled off such a complex role, but Jeff Goldblum succeeds admirably in what I feel to be his finest role ever. Goldblum plays his typically weird but likable character, yet convinces us with his stunning realisation that he is becoming something other than man - at first hyperactive and excited, then horrified, and finally struggling to keep his sanity and his mind as the fly's influence becomes ever stronger. Geena Davis also excels as the tough, resourceful female lead, inexorably caught up in the horrific chain of events. Her fleshed-out portrayal is what the countless slashers of the '80s really needed. John Getz lends good support as a seedy yet kind magazine publisher, whom Davis turns to in her time of need.Add to this formula a good score, lots of clever hi-tech (well, for the mid '80s) computer gimmickry and some clever scenes showing Goldblum's transformation (the gymnastics and the horrible fingernail-pulling bit in the bathroom), this film would have been a success any way you looked at it. But Cronenberg decided to add in some really horrific gore and special effects, which alienated a lot of audiences. The worst bits are when Goldblum has to regurgitate his food to digest, cue lots of vomiting in THE EXORCIST tradition. There are some bloody moments, like the infamous arm-wrestling, too. However, aside from all this, there is one true reason why I knew this film had succeeded. Yes, I did indeed shed a tear or two at the end of the film, which is truly moving, and heart wrenching. A poorly conceived sequel was churned out a couple of years later by the man who did the special effects in this, Chris Walas. Not surprisingly, it didn't reach this kind of level.",The Fly
3,SnoopyStyle,great grotesque transformation,9,5 April 2015,Oddball scientist Seth Brundle (Jeff Goldblum) meets Veronica Quaife (Geena Davis) at a party. He tells her that he's working on something that will change the world. It's teleportation and it works. However it's only for inanimate objects. He is surprised to find out that she's a reporter and wants to keep it a secret. Her Particle magazine boss and possessive former boyfriend Stathis Borans (John Getz) doesn't believe her. Seth offers her exclusive access as long as she hold off for awhile. Seth gains insight while with Veronica and fixes the problem. Then he tries to teleport himself but a fly contaminates the telepod.David Cronenberg has created something special from a campy 50s B-movie. The creations are creepy and Cronenberg uses it to its most disturbing effect. Then there is Jeff Goldblum. His jitteriness is the perfect mannerism to being a fly. His disintegration is one of the greatest horror transformations of all times. Geena Davis is more than just a beauty. She shows enough bravery in her character that she is perfectly believable in her later scenes. It is a great horror movie.,The Fly
4,kosmasp,Get into it,8,24 May 2020,"Not just into the machine that is of course, but delve into the story. There is not much introduction, we get thrown into it right from the start. Not that much explanation at first, but Goldblums character and Geena Davis character meet and everything kind of happens quite fast from that point on. You could call the characters gullible giving away not just data but almost everything and having these machines in an appartment. There are a lot of things you could I guess critisize.But that would undermine your fun and entertainment you could have with this. Though fun and entertainment only works if you are not too squeamish. Because the effects (have aged very well) are quite gross to say the least. Cronenberg knows his stuff when it comes to crazy bodyforming or whatever you want to call it. Also Goldblum is as mesmerizing as can be and elevates an otherwise maybe only mediocred output to a different level",The Fly
5,classicsoncall,"""Drink deep and think not of the plasma spring""!",8,9 July 2010,"When I was a kid, one of the first horror flicks I ever saw was Vincent Price's ""The Fly"" with that creepy 'Pleeeeese, help me' ending that I couldn't shake out of my young head for a long time. This film takes the same basic premise and raises it a considerable notch with some fine moments by Jeff Goldblum in the title role. What I still like about the older sci-fi and horror flicks is the way they use pseudo-scientific explanations for whatever the subject terror might be. This one sounded pretty convincing with that business about the fusion of Brundle and the fly at the molecular-genetic level.One of the brilliant things about Goldblum's performance is the way he mimics fly behavior starting with the endless cup of sugar. The early touches with the wiry hair effect and the preliminary disfigurement are nicely juxtaposed with Brundle's disproportionate new strength and acrobatic ability. I recall when I saw this the first time that I wondered when we would see Brundle walking around on the ceiling and sure enough, they eventually got around to creating a nicely convincing scene of it.The thing I didn't find particularly believable though was Ronnie's (Geena Davis) willingness to stick it out to the very end with fly-man. The clincher for me was when she hugged him right after his ear fell off. I mean, you REALLY had to take it on faith that she was trying to remain true to her feelings for the man she started to fall in love with. But gee, you can only take that idea so far.Thinking about that pregnancy side story, it seemed pretty obvious that the ending left it open for an eventual sequel that never panned out. On the other hand, I'd hate to put Geena Davis through that again, especially since she would have had to deal with another monster.But you know, I could go along with all the creepy fly stuff and the grotesque makeup job. However the one thing I really couldn't figure out in all this - who would ever name their kid Stathis Borans?",The Fly
6,gavin6942,A Little Slice of Heaven for Dessert,9,13 February 2007,"Scientist Seth Brundle (Jeff Goldblum) has figured out how to transport objects from one place to another... by teleportation. But when he tries to transport himself, a horrible accident occurs: a fly gets stuck in the pod with him. What will the outcome be and can Seth reverse it before it is too late? Let me say I love David Cronenberg and I love Jeff Goldblum. I also love the original ""Fly"" with Vincent Price (although the similarities are only with the most basic plot). And let me also say, I had the greatest day of my life before I came home and put this movie on for viewing. So, all in all, I was feeling in a pretty fine mood. (And sober.) Cronenberg delivers with his three notable themes: insects (duh), ""the flesh"" (Goldblum delivers a nice rant about the flesh) and horrifying special effects. Like ""The Brood"" or ""Rabid"" or even ""A History of Violence"", we see some interesting deformities. A baboon who meets an awful fate stands out in my mind. We also have the music of Howard Shore, always attached to Cronenberg's hip.The special effects are noteworthy (also for the interesting ""fly walking"" and the ""vomit drop""), but let's not discount the acting. Almost through the entire film, we are treated to Geena Davis and Jeff Goldblum and basically no one else. I am still not sure why Davis married Goldblum, but their chemistry in this is excellent. They work well as a romantic couple. Davis is the steady anchor to Goldblum's flux of a character (heck, he's literally going through a Kafkaesque metamorphosis).If you like a ranting Goldblum, this is your film. He won't watch you poop, but he will ramble in ways Ian Malcolm (""Jurassic Park"") never could. In one scene in a diner, you really have to pay attention because he's like the Micro Machines guy, but explaining exoskeletal biology and not so much miniaturized automobiles. This was my favorite scene.If you're a fan of Goldblum or Cronenberg, you're going to love this. But if you're not, this might be the film that converts you. Whereas ""A History of Violence"" is very mainstream and ""Videodrome"" is just weird, this has a happy balance: weird, but not so strange that you have to be a film student or a wackjob to really appreciate it. (I'm not a film student and I liked ""Videodrome"", so think of me what you will.) Yes, ""The Fly"", the film that will either win you over to Cronenberg or further deepen your love. That's my promise.",The Fly
7,lee_eisenberg,one of the only remakes that wasn't a travesty of the original,10,28 September 2005,"Whether you prefer the original version or the remake, you have to admit that David Cronenberg did a good job with ""The Fly"". For starters, he didn't just copy every scene; he changed the story a little bit. Obviously, the story has scientist Seth Brundle (Jeff Goldblum) transporting himself and accidentally mixing with a fly, thereby turning into something half-fly, half-human. Only reporter Veronica Quaife (Geena Davis) has even a remote understanding of what's happening.The main change from the original was what happened after he transported himself; in the original, the scientist got a fly head and a fly claw, but here...well, you may have heard the term ""Brundlefly"". All in all, as the tagline reminds us, we should sometimes ""be afraid, be very afraid,"" of flies.",The Fly
8,jboothmillard,The Fly,9,14 July 2005,"The original 1950's gave us a good concept, but this remake from cult director David Cronenberg (Scanners, Videodrome) is much more superior, giving us much more fear about the world of science. Basically brilliant and eccentric scientist Seth Brundle (Jeff Goldblum) invites journalist (though he doesn't know that at first) Veronica Quaife (Geena Davis) to see his scientific discovery. He has created ""Telepods"", capable of ""teleportation"", the disintegration of an object from one pod and reintegrating it to the second pod. She is desperate to write a story about this, he objects at first, but allows her to build on the story while he tries to perfect the machine to transport living things. It takes a while to get there, Seth and Veronica get closer in the process, but the solution is found and a baboon is ""teleported"" successfully. When Seth gets jealous of Veronica, suspecting her of being with her boss and ex-boyfriend Stathis Borans (John Getz), alone he decides to go ahead and transport himself (filming it for Veronica) from pod to pod, not realising a common house fly is inside with him. The ""teleportation"" is successful, but as a few days go by, Veronica knows that Seth is changing, with his newfound abilities, and peculiar hairs on his back, which she takes to be analysed, they are found to be insect! Seth shouts for her to leave, but it becomes more obvious to him something worse, with his fingernails falling off, he investigates his ""teleportation"", that is when he discovers the fly with him in the pod, and that his DNA and that of the insect have been spliced. A few weeks later, Seth finally calls Veronica to come and see him, he has become a hideous mutated creature, ""Brundlefly"" he calls himself, that can climb on walls on ceiling, vomit to break down its food, and it is only going to continue until he becomes something else. While Seth's body falls apart he collects his body parts, or ""relics"" as he calls them, and he tries to find a solution to become human again, Veronica meanwhile finds out that she is pregnant, she knows it was after the ""teleportation"" and she wants an abortion. Seth of course finds this out and kidnaps Veronica, not only to save the baby, but to use her in the way he has found to be human again, splicing himself with her. It is just before doing this that Seth finally falls apart completely, his skin sheds to reveal the large fly creature beneath. In the end Stathis destroys the pod Veronica is in, the creature is teleported, the result of the fusion being that he has been spliced with the pod itself, Veronica aims the gun to kill the creature, but cannot bring herself to kill her lover, but the creature encourages her and after hesitation she does shoot and kill it. Cronenberg cameos as the Gynecologist in the nightmare about Veronica giving birth to a giant maggot. Goldblum and Davis give very good performances, and the story is very well made, but I think most people remember this film for the gory and visceral material. You are not far from seeing Goldblum fall apart and become more repulsive (personality included), with great music from Howard Shore (The Lord of the Rings Trilogy), brilliant direction from Cronenberg, and superb award winning special effects make-up, this is a must see horror film. It won the Oscar for Best Makeup, and it was nominated the BAFTAs for Best Make Up Artist and Best Special Effects. Very, very good!",The Fly
9,Woodyanders,One of those rare horror films that's both touching and terrifying in equal measure,9,19 September 2016,"Awkward, yet brilliant and obsessive scientist Seth Brundle (superbly played by Jeff Goldblum) creates a teleportation machine that can transport objects from one pod to another. Things go terribly awry after Seth accidentally merges himself with a housefly. Moreover, his scared, but concerned journalist girlfriend Veronica Quaife (a fine and affecting performance by Geena Davis) decides to stay by Seth's side no matter what happens.David Cronenberg brings a commendable amount of depth, gravity, and maturity to the gripping story, with the doomed romance between the two main characters giving this picture a poignancy and resonance that makes it substantially more than just another creature feature or mindless splatterfest (although it has to be noted that this movie most definitely doesn't shy away from depicting the extreme mental and physical transformation of Brundle into a hideous mutant in an often shocking and unflinching explicit manner). Better still, the central premise serves as a potent metaphor for everything from cancer to drug addiction to how the ravages of time and age take a harsh toll on us all as we get older. Cronenberg and Charles Edward Pogue's take-no-prisoners uncompromising script deserves praise for having the strength of its bleak convictions -- there's no hokey happy ending to be found here -- and further adds inspired touches of black humor to stop this film from becoming too intolerable in its grimness. In addition, it's a nice touch to have Veronica's obnoxious and unlikable boss and ex-boyfriend Stathis Borans (a deliciously odious portrayal by John Getz) come through as a sort of hero at the shattering climax. Joy Boushel contributes a memorably sexy turn as slutty barroom pickup Tawny while Cronenberg has a neat cameo as a gynecologist in a startling nightmare sequence. The Oscar-winning special f/x by Chris Walas are quite convincing and revolting. Kudos are also in order for Mark Irwin's polished cinematography and Howard Shore's outstanding operatic score. Essential viewing for Cronenberg fans and 80's horror aficionados alike.",The Fly
