,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Something new in an overloaded genre,9,30 August 2014,"Yeah, since they hit the mainstream zombie movies have died an (un)death many times over, and I can't help but hark back to the old days where only horror fans knew of the genius of George Romero and Lucio Fulci. Nowadays zombie movies are ten-a-penny and zombies are in the public consciousness alongside vampires and werewolves.But WORLD WAR Z offers something new: the first, straight, big-budget zombie blockbuster. Sure, PLANET TERROR skirted with the premise but with a sci-fi twist, while this is straightforward zombie stuff. It's based on the terrible Max Brooks book of the same title, but don't let that put you off; unlike the book, it actually has a structured narrative, and characters.And I loved it. I'm not normally a fan of CGI unless it's done right, but it's done right here. Scenes of the zombies attacking en masse are brilliantly conceived, and the set-piece that takes place in Israel in the middle of the movie is simply phenomenal. It's a film that also manages to be vicious and frightening without being gory, which is a fine achievement. If you thought the infected in 28 DAYS LATER moved fast then you haven't seen anything yet! Sure, the characters are thinly-sketched, but that matters little as WORLD WAR Z follows an action-thriller template. Brad Pitt's lead is both the luckiest and unluckiest guy on the planet at the same time, and the film never deviates from getting up close and personal with its undead menace. The worst thing about it is Marc Forster's fuddled direction, something that also spoiled QUANTUM OF SOLACE, but it's not a big enough to detraction to stop this from being anything other than a solid film.",World War Z
1,SnoopyStyle,good action thriller,8,7 August 2013,"The world descends into the zombie apocalypse. There is some sort of virus and bitten people are turned into violent creatures. Former UN investigator Gerry Lane (Brad Pitt) is caught up with his wife Karin (Mireille Enos) and family. They manage to escape and Gerry is put to work on finding the origins of the outbreak. This Brad Pitt showcase has many good points. My only main complaint is the PG13 rating which imposes the cartoon zombie action rather than a gore bloody fare.The action starts right away within 10min. There's no need to misunderstand what this movie is. It's simply a popcorn movie. Although unlike other post-apocalyptic movie, there isn't the standard eerie empty city scenes. The zombie mystery is investigated in a Bond movie fashion. Brad Pitt travels all around the world following leads. It's actually easy to follow and really compelling. It has a good tension filled horror aspect. It's not all big action. You also get good scary parts with dark hallways and stalking dangers.",World War Z
2,Prismark10,Rampage of the undead,6,3 November 2013,"A zombie film that entered production hell, very much like a zombie. The film had to be revived with re shoots and a different ending.The result is a modest success even though the film is not without flaws.Pitt with his long ironed hair which must surely be contender for best supporting actor Oscar (the hair that is, not Pitt) plays a former UN troubleshooter who left to raise his kids in New York city.Suddenly an outbreak occurs where people bite each other and soon become zombified with blood-lust.In order to protect his family Pitt with a virologist goes to Korea to locate the outbreak of the source and a possible answer. Well the virologist takes a nasty fall and Pitt ends up in Israel and later Wales where he might have discovered a chink in this worldwide pandemic.World War Z is an adaptation of a popular book but liberties were taken with the adaptation, especially the ending as the original cut of the film was deemed to be too grim.The film has great scenes of panic with zombies on the loose, zombies attacking as a team as in Israel but some of the lines and scenes make you wince with its cheesiness and lapses in logic.This does not mean its terrifically entertaining. The film starts off the blocks with a bang, there are some visceral scenes depending which cut of the film you have seen and it does rack up the tension.It is rather refreshing to see a film being so successful when it had such public post production issues.",World War Z
3,claudio_carvalho,Refreshing Zombie Movie,8,14 September 2013,"In Philadelphia, the former UN Investigator Gerry Lane (Brad Pitt), his wife Karin (Mireille Enos) and their two daughters, Rachel and Constance, are trapped in the traffic jam. Out of the blue, they witness several car crashes caused by the attack of hordes of zombies. Gerry runs with his family and he steals and drives a RV, heading to Newark, New Jersey. Gerry calls his old friend, UN Secretary General Thierry Umutoni (Fana Mokoena), who promises to send a helicopter on the next morning to rescue Gerry and his family. Gerry stops at a supermarket to get supplies and medicine for his asthmatic daughter and the RV is stolen. They flee to an apartment building and a Latin family helps them, lodging the family in their apartment.On the next morning, Gerry invites the family to go with them to the roof, but they prefer to stay in their apartment. However they are attacked by zombies and the boy Tommy joins Gerry and his family in their runaway. The helicopter brings them to an aircraft carrier anchored offshore New York City and Gerry is assigned to travel to South Korea with the virologist Dr. Andrew Fassbach (Elyes Gabel)to seek out the patient zero to develop a vaccine. When the team arrives at the base, they are attacked by zombies and Fassbach panics and has a fatal accident. Gerry has a conversation with an insane ex-CIA agent (David Morse) that is imprisoned and he goes to Jerusalem to talk to the Director of Mossad Jurgen Warmbrunn (Ludi Boeken) to learn why he built a wall and transformed the city in a safe zone. When Jerusalem is attacked by a horde of zombies, Gerry observes that the zombies do not attack terminally ill persons. Now he travels with his escort Segen (Daniella Kertesz) to a research facility in Wales to disclose his findings to the scientists. ""World War Z"" is a refreshing zombie movie, with a tense story full of action. I know that the movie is not faithful to the novel, but the plot is a combination of zombies and virus movies and entertains. The characters are likable and the special effects are top-notch. Matthew ""Jack Shepherd"" Fox is wasted with a minor role but in accordance with a research in internet, his character would have an important role in ""World War Z"", having an affair with Gerry's wife and taking care of his family during his journey seeking a cure to the epidemic. The dark ending, with Karin trading her body to survive, was changed by Paramount to a commercial (and probably better) conclusion. My vote is eight.Title (Brazil): ""Guerra Mundial Z"" (""World War Z"")",World War Z
4,nogodnomasters,MOTHER NATURE IS A SERIAL KILLER,8,26 June 2019,"The world ignores the signs of global disaster and the next thing you know there is a world wide zombie (closer to rabies) pandemic. The incubation period is 12 seconds, yet somehow the infection was able to be transmitted by airplane to the entire world. I am still scratching my head on that one.Brad Pitt,who is now a family man, must save the world to save his family. There is some background noise that would indicate the zombie outbreak might be caused by how man destroys the environment and ignores the signs (global warming, wink, wink, nudge, nudge.) The world is thrust into anarchy, while the military exists.Brad must look for the original virus somewhere in the world to find a cure. We discover N.Korea is unaffected because they pulled everyone's teeth. Israel is unaffected because they have a great wall around their country, but apparently cold isolated places like Greenland are infected. The only reason I point out these inconsistencies is because the film writers went to great length to make the film realistic. Oh yes, if you have a lot of people on a ship, they share beds and sleep in shifts.I enjoyed the film more as a pandemic film than a foot dragging, flesh eating, living dead, rotting zombie film, because that is what it was. I would say if you don't like Brad Pitt, don't see this film. There is very little screen time that doesn't show his face. Should make for a good video game and a decent sequel.Parental Guide: No f-bombs, sex, or nudity.",World War Z
5,kosmasp,Book (it),8,30 August 2013,"I haven't read the book, so I can't say how it compares to that (book obviously must have more fleshed out characters and such). I can only say that I was surprised that I liked the movie. And from what I heard it was the most successful movie Brad Pitt has done so far (Box Office wise that is).So while it was only PG-13 in the cinemas (there will be an extended cut available on Disc soon), it still had a few punches to deliver. Mostly emotional but also action wise. While the director wouldn't have been associated with Horror prior to this, he did a really good job conveying the terror and the tension that builds up in a situation that is depicted in the movie. It is pretty straight forward and therefor somewhat predictable I guess. But I thought they would be aiming at another ending.And if you have heard about the history of the movie you know that they actually re-shot 30 minutes. The last 30 minutes of the movie. Maybe it is apparent to some, maybe not. Shouldn't be a distraction or something that will disable your ability to enjoy the movie though",World War Z
6,gavin6942,More Action Than Horror,7,15 February 2015,"United Nations employee Gerry Lane (Brad Pitt) traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.Classifying this as a ""zombie"" movie is much the same as calling ""21 Days Later"" a zombie movie. The categorization is not wrong, but kit changes what we typically think of when we mean zombies. These are not lumbering oafs. These are lightning-fast creatures that seem to have some sort of collective intelligence, like a colony of bees. Their abilities (most notably climbing walls) are foreign to what zombies are.Also, this should be seen as an action film first, horror film second, which seems to be the case any time Hollywood has millions of dollars to burn on a zombie film. See, for example, ""I Am Legend"". If you are looking to see Brad Pitt survive car accidents and plane crashes while traveling around the world (South Korea, Israel, Wales) this is a fine film. But if you want some scares or a film that embodies ""survival horror"", you will not get what you want.Probably the most clever thing about this was the referral of zombies as ""rakshasa"", a Hindu demon that feeds on human flesh. Maybe this has already been covered in Bollywood, but it seems that the concept is rather new here. The zombies (or infected) in this film are not actually rakshasa, but it does raise the question: where are Hindu demons in the horror film? If we can have Onibaba and other Asian creatures, why not something from a country with over one billion people? But this is a bit of a sidetrack...Anyway, good film if you want big budget action and Brad Pitt fighting computer-generated undead while sporting the greasiest hair since Kid Rock. Bad film if you want slow, lumbering Romero zombies. But to each his own, I guess.",World War Z
7,lee_eisenberg,it must be fun to play zombies,6,7 October 2013,"Brad Pitt gets billing as the main star of ""World War Z"", but the real stars are the zombies. It's a very intense movie, focusing on the world's response after a virus starts turning millions into the living dead. North Korea figures out an inventive, if gruesome, method of how to prevent the virus from spreading within its borders. But the zombies are definitely the stars. They turn out to be really clever creatures, as seen by what they do in Israel. Watching just about any zombie movie, I always get the feeling that the people playing the zombies must have the most fun.I will say that this is no George Romero movie. It's designed more for widespread popularity, while Romero's movies are specifically for horror fans (and thus are gorier). But it's not a bad movie. OK, not great.",World War Z
8,jboothmillard,World War Z,6,7 July 2013,"I heard about this film many months before its release, because I heard about the leading actor being involved in a new zombie movie, and the title was certainly well chosen, from director Marc Forster (Monster's Ball, Finding Neverland, Stranger Than Fiction, Quantum of Solace). Basically former United Nations employee Gerry Lane (Brad Pitt) is stuck with his family in a heavy traffic jam in Philadelphia, and on the radio they overhear a rabies outbreak spreading worldwide, and then all of the sudden explosions go off and people start biting and attacking other people, these are zombies. People bitten become a zombie after 12 seconds, and after escaping the disaster, and spending the night in the safety of an apartment, they are picked up by a helicopter sent by Deputy Secretary-General of the United Nations, Thierry Umutoni (Fana Mokoena), also Gerry's former UN colleague. They are taken off the coast of New York City to a U.S. Navy vessel, and the analysts and military personnel discuss the outbreak, Dr. Andrew Fassbach (Elyes Gabel) says it is a virus they must find the origin of to find a cure to those infected as zombies. Gerry, being expert as a former UN investigator, is sent to investigate, he is given the dilemma that if he does not agree his family will be taken off the vessel, and the team travel military base Camp Humphreys in South Korea where the word ""zombie"" was first heard. After getting out of another attack he is informed by survivors that the zombies are attracted by noise, and that the best way to kill them is to shoot or hit them by the head and incinerate the body, and imprisoned for treason former CIA operative Gunter Haffner (David Morse) tells him to go to Jerusalem, Israel. Once there they meet Mossad leader Jurgen Warmbrunn (Ludi Boeken) who explains about troops some time ago fighting against undead soldiers, and following this the country quarantined itself, but they still allow all nationalities of uninfected civilians to enter, and due to the noise from inside the zombies manage to climb the high wall to get in and attack. During the attack Gerry noticed certain civilians being ignored by the infected, and he escapes with escort soldier Segen (Daniella Kertesz), who is saved from infection having her bitten hand amputated, but on the plane a zombie stowaway attacks, forcing a grenade to be exploded, causing suction for the infected, while the passengers are safely belted, but the craft crashes. Gerry and Segen seem to be the only survivors, and they reach their diverted destination, a W.H.O. (World Health Organization) research facility in Cardiff, Wales, and to the scientists Gerry explains his theory that the zombies will not bite people already seriously injured or specifically terminally ill, as the host would not have a virus spread and reproduce, he says it is not a cure, but is could work as camouflage. He volunteers to try and get to the wing containing a range of terminal but curable pathogens to inject himself and try this theory, but the wing is surrounded by infected zombies, so he and two others make their way as quietly as possible without obvious detection to the wing. Gerry makes it to the storage vault while the other run and get out before the door is bolted, he injects himself with a sample and waits a few minutes for it to spread in his body, and he opens the door to a zombie who simply looks at him and walks past, and he successfully walks through the facility without any zombies trying to bite him. In the end Gerry returns to his wife Karin (Mireille Enos) and two children in the safe zone in Freeport, Nova Scotia, a vaccine is created to be supplied worldwide for people to inject themselves and become camouflaged from the infected, soldiers are able to kill and incinerate the masses of zombies, and humanity continues. Also starring James Badge Dale as Captain Speke and Lost's Matthew Fox as Parajumper. Pitt is I agree a bit too calm most of the time, but he is a reasonably good choice as the man trying to help stop worldwide chaos, I also agree that there is not enough bloodshed in this film, most zombie movies you would blood and guts all over the place, and there are no big scares, but the story has good ideas about pandemic solution, and the conclusion to the problem is clever, it is exciting enough to enjoy with its special effects as well, all in all a likable action horror drama. Good!",World War Z
9,Tweekums,Brad Pitt races to find a way of saving humanity from zombie hordes,8,22 June 2016,"When an infection sweeps the world turning ever increasing numbers into mindless zombies, former UN investigator Gerry Lane's first priority is to get his wife and daughters to safety. When his former boss calls he realises that the only way to guarantee their immediate safety is to return to his old job as is promised that his family will be kept safe on a ship far from danger. After a struggle against the zombies they get to a helicopter and fly to the ship. Once there Gerry learns that the disease came to the United States from a base in South Korea. He flies there with a disease expert hoping to find the first case. Once there things don't go well; the doctor is killed and it becomes apparent that there is no way of finding the first case. He does however hear that Israel has managed to stay disease free as they built a massive wall shortly before the zombie pandemic swept the world. Gerry gets back in the plane and continues to Jerusalem only to find its defences are breached shortly after he arrives. He does however notice that the zombies ignore a handful of people; this leads him to come up with a plan to save humanity; it won't be easy though and if he isn't careful his cure could be just as fatal.People expecting a full on horror movie may be disappointed as it lacks the gore most zombie movies feature; it does however manage to keep tension high from the opening scenes to the films conclusion. The fast moving hordes of zombies are pretty scary as they flood through the streets like a pyroclastic flow. The story is a bit episodic as Gerry moves from Philadelphia to New Jersey to the ship to South Korea to Israel and finally to Wales but that isn't a problem; each location presents different problems for him to overcome. There are some moments that are a little bit too unlikely, even in the context of a zombie apocalypse, most notably when Gerry and a young soldier he saved in Israel are the sole survivors of a plane crash! The cast does a solid enough job; Brad Pitt in particular in the role of Gerry Lane. The film's end is merely the 'beginning of the end' and a sequel is inevitably in production. Overall I'd recommend this to anybody wanting an intense but not particularly gory time.",World War Z
