,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"Not really a comedy...and, surprisingly, a bit grim.",4,20 July 2020,"IMDB lists this film as a comedy romance. Well, I can see the romance part but a comedy? No. In fact, the film, despite starring Andy Samberg, is certainly NOT a comedy nor is it funny....and I really don't think it was intended to be.The film is a reworking of the basic concept in ""Groundhog Day""...a guy (Samberg) keeps repeating the same day again and again and again. The big differences are that others CAN get stuck in this same time loop as him and it's just not funny nor sweet like ""Groundhog Day"". In fact, although most reviews are very, very favorable and it has an overall score of 7.5, I didn't enjoy it very much. Part of it was that I never liked the characters and part of it was that the film, at times, was dark and bleak...and unnecessarily crude. Overall, a film many like...but I felt underwhelmed.",Palm Springs
1,Prismark10,Palm Springs,7,14 April 2021,Palm Springs is a fun time loop comedy. Mainly because it assumes that the audience is familiar with the Groundhog Day concept so it hits the ground running.Nyles (Andy Samberg ) has been reliving the same day for ages. He goes to the wedding each day of a friend of his live in girlfriend Misty (Meredith Hagner) who is also cheating on him.At the wedding Nyles hooks up with the bride's sister Sarah (Cristin Milioti) who has got sloshed at the wedding.Later Nyles is attacked by a stranger with a crossbow and runs for safety.He then relives the day again. Only this time Sarah is in the time loop with him. She followed him into a cave that contained some kind of a time vortex.Sarah has to get used to her new life like Nyles. However she plans to escape from the time loop. She also gets Nyles to confront the stranger who keeps attacking him.This is an enjoyable romantic comedy. The two leads have a good chemistry. It is a good reworking of Groundhog Day as well as Russian Doll as the characters reveal a little more about themselves on each new day.,Palm Springs
2,nogodnomasters,"You can't break up with me, I am breaking up with you.",7,17 February 2021,"Nyles (Andy Samberg ) is stuck in a time loop on a friend's wedding day. He keeps going because he likes the food. He meets Sarah (Cristin Milioti ) who parties too much. He picks her up and they go out into the desert for some fun and when things go bad, she ends up in wedding ""Ground's Day"" with Nyles. Nyles likes the fact of living forever while Sarah wants out.The film was cute in spite of the time loop thing being over done. I thought the roles were designed with Jesse Eisenberg and Aubrey Plaza in mind and they didn't have the budget.Guide: F-word. Sex. No nudity.",Palm Springs
3,kosmasp,Paradise for a day,9,25 September 2020,"Or is it? Sometimes you can't tell. Also while this is reminiscent of a Bill Murray classic, it does not contain the moral lesson. At least it is not meant to be taken that way. Doesn't mean there is not good things happening and characters developing. It just not as attached to the story or rather resolution as the Murray movie was.Having said that, this also is more in the R-rated territory. So while it has some nice moments, it also isn't afraid of pulling punches. This is really funny and the two leads give it their all. Even JK Simmons who's barely in it, is as grounded (no pun intended) as he always is. But it is about the chemistry of the two lead actors and it really translates more than well. Brooklyn 99 fans and/or Lonely Island fans don't need me to tell them this anyway. Yes he also did SNL, which seems ages away ... comedy is his thing, no doubt about it.",Palm Springs
4,Tweekums,Groundhog Wedding,8,12 April 2021,"Nyles is attending a wedding in Palm Springs with his girlfriend; his behaviour seems somewhat unusual, he turns up dressed for the beach rather than in formal wear, but later on, he rescues the bride's sister, Sarah, as her toast is a bit of a disaster. Through the evening they get closer and head into the desert together. Just as they are about to get intimate a strange man attacks Nyles with a bow and arrow. Injured, he heads into a mysterious cave, warning Sarah not to follow. She does and they both wake up and it is once again the morning of the wedding. For Nyles this day has been repeating for almost as long as he can remember but for Sarah it is the first time of many. As the wedding day repeats Sarah tries to make sense of it, figure out how to get out and gradually grows closer to Nyles. Of course there will be problems for them both.The idea of a day repeating is hardly new, 'Groundhog Day' did it in '93 and 'Happy Death Day' gave it a horror twist more recently... that doesn't mean this is unoriginal though. Having one character already caught in the time loop when the story starts adds something new as it means Sarah has a guide, of sorts, when she too is caught up. The story is fairly obviously a rom-com but it escapes many of that genres clichés, often by mixing in the fun clichés of the smaller time loop genre... most notably varied deaths suffered by those in the loop. There are lots of laughs to be had throughout the film. The cast is solid; most obviously Andy Samberg and Cristin Milioti as Nyles and Sarah. While only in a relatively small roll, as the man hunting Nyles, J. K. Simmons steals every scene he is in. There is quite a lot of swearing, which might put some viewers off but if it doesn't bother you this film is well worth watching if you want a good laugh and some romance.",Palm Springs
5,paul_haakonsen,When stuck in a time-loop...,6,31 March 2021,"Well, if you enjoy time-loop movies, in the likes of ""Groundhog Day"", ""Boss Level"" or ""Edge of Tomorrow"", then you should also enjoy the 2020 movie ""Palm Springs"" from writers Andy Siara and Max Barbakow.Sure, the main concept of ""Palm Springs"" is something that has been done and seen numerous times already in other movies where the characters in the movie are bound to relive the same day over and over again. But it should be said that ""Palm Springs"" with director Max Barbakow at the helm actually manages to bring something truly enjoyable and entertaining to the table.The storyline, whilst being fairly straight forward in terms of the same day repeating itself, was actually offering more than just your average repetitive comedy. And was definitely with the performances from Andy Samberg (playing Nyles) and Cristin Milioti (playing Sarah) that helped bring the movie's story to life on the screen in a very interesting and enjoyable manner.Writers Andy Siara and Max Barbakow actually manages to keep the storyline interesting and constantly evolving, despite of it being one of those repeating-the-same-day-over-and-over movies. So that was quite the accomplishment.Aside from Andy Samberg and Cristin Milioti then ""Palm Springs"" also have the likes of J. K. Simmons and Peter Gallagher on the cast list in some good supportive roles.I found ""Palm Springs"" to be a nicely made and told movie, and it was one that definitely was a wholehearted and a feel-good movie. It is a movie that I certainly will recommend you take the time to sit down and watch.My rating of the 2020 movie ""Palm Springs"" lands on a six out of ten stars.",Palm Springs
6,BandSAboutMovies,Shockingly enjoyable,8,19 February 2021,"All of the time loop films of the last year or two - Happy Death Day 2U, Boss Level, The Map of Tiny Perfect Things, Koko-di Koko-da, Game Over, The Obituary of Tunde Johnson, Russian Doll, See You Yesterday - all follow that Groundhog Day-style approach of the same day happening over and over again. Of course, we can also point to 1990s 12:01 PM, which part of the Showtime 30-Minute Movie entries.The idea is pretty rich and particularly so this year, where it really does feel like every day is exactly the same as we're trapped in our homes. Of course, like all movie trends, this one has seemingly been done to death, but can Palm Springs - a movie that escapes my radar when it played Sundance in 2020 and then went to Hulu in July - do it better?This movie succeeds because of the likability of its two leads, Andy Samberg and Cristin Milioti, who have discovered a cave that allows them to repeat the same day endlessly. I kind of loved how this film didn't seem like it was about that at all until JK Simmons murders Samberg to end the day. The trailer spoils this, I spoiled this and now, we must all realize what we've done.Actually, the spoiler is just fine. The real beauty of this movie is how the characters actually grow instead of just experiencing day after day. It also benefits from a rich cast, which includes a great cameo from physicist Clifford V. Johnson, Dale Dickey, Jena Friedman, June Squibb (who was also great in another wedding movie, Table 19), Peter Gallagher, Camila Mendes, Tyler Hoechlin (who played the kid in Road to Perdition) and Meredith Hagner.This is a film that matter of factly gets across very open sexuality - what would you do if you could sleep with the same people over and over?* - and explores what a time loop centered around a wedding really would be like. I really loved how Simmons' character comes in and out of the story, along with the very real emotional damage these characters suffer as their bodies are often destroyed multiple times.Director Max Barbakow hasn't done many full-length films and neither has writer Andy Siara. I'm truly excited to see what they do next, as this movie could have been completely saccharine and instead became something wonderful. It's surprising at nearly every turn and quite emotional.Now, back to living the same day I've been living since last March.*According to IMDB, Samberg's character was trapped in the loop for somewhere between forty and forty million years.",Palm Springs
7,evanston_dad,Quirky and Charming,8,21 July 2020,"For a film that rips its premise off the ultimate time loop movie, ""Groundhog Day,"" ""Palm Springs"" is surprisingly unpredictable and exceedingly charming. It's got an anarchic anything goes vibe and a pair of vibrant actors, Andy Samberg and Cristin Milioti, who also happen to have a ton of chemistry together. It's a movie for our very troubled times and seems tailor made for a quarantined audience, where day bleeds into day and the repetition of the weekly grind is sending many of us to the loony bin. The sweet message at the center of this otherwise naughty film is that it's not the what we do that keeps us happy but rather the who we do it with. It's all about appreciating the little things that make life worth living moment to moment rather than focusing all of our energies on the big things that we chase at the risk of letting peace and contentment pass us right on by.This message is most effectively encapsulated in the character played by J.K. Simmons, who spends the first half of the movie trying to kill Andy Samberg and then has a great scene toward the end that makes the most mundane situation imaginable seem like a little piece of heaven. How I can relate to that right now.....Grade: A-",Palm Springs
8,deloudelouvain,"A modern Groundhog Day, even funnier to me.",8,6 September 2020,"You could compare Palm Springs with Groundhog Day (1993), this version is just a modern take of that classic movie but it's certainly as funny if not funnier. I liked both of the movies but I prefer Andy Samberg to Bill Murray. Bill Murray was more of a grumpy unsastified character whilst Andy Samberg has a more laidback-not-giving-a-toss character. It's not completely the same story though. Palm Springs has a lot of good humorous scenes, and Andy Sambergs usual funny face and expressions are contributing to that. Since Brooklyn Nine-Nine I'm a fan of Andy Samberg, he has everything to become the new star comedian. And even if his previous movie Popstar: Never Stop Never Stopping didn't leave me with a great impression this one is certainly a step forward. Palm Springs is for the fans of silly comedies, with a touch of romance, but it's not the typical romcom as for that the plot is also interesting to watch. There are elements that make it intriguing, things you have to think about. A comedy that I will for sure watch again in the future.",Palm Springs
9,siderite,Infinite time loop romance,8,27 February 2021,"This is Groundhog Day ver 2.0, with updated references, upgraded sexy actors and kind of the same plot. To me this kind of story always makes me insanely angry: how dare they underuse an infinite time loop? Do they realize they could learn everything there is on the Internet?! But enough about me.The acting was good, the characters compelling, but the story is not bringing a lot to the table. I mean, yeah, Cristin is someone one could look at for an eternity and not have a problem with it, but there was nothing captivating in the film other than the chemistry between the two leads. Also, considering the ending, I would say she would have soon gotten bored with the guy. And also beside the two characters, nothing else was fleshed out in any way. All of the other people at the wedding were cardboard.",Palm Springs
10,blanbrn,"Fun funny go back or stay in time film that connects with themes of courage, and escape!",8,18 July 2020,"""Palm Springs"" is one film as you watch you will enjoy it's hard not to like as it blends connection and romance with some fun laughs. It involves Nyles(Andy Samberg) a lonely down on his luck guy who after attending a wedding meets and becomes attracted to the brides sister Sarah(the wonderful Cristin Milioti) and all of a sudden it's like magic as both of their lives have changed forever. It's like the same day each day they live over.Maybe your thinking ""Back to the Future"" still each day the characters have new adventures and grow each time though thru each repeat they learn to take chances and the courage is unmatched to explore people and places. Love and laughs is filled along the way. Really call it a journey adventure or an escape from the norm ""Palm Springs"" is a thumbs up winner that travels quick and pleases. As much love, sex appeal, and learning is felt by watching the film.",Palm Springs
11,cherold,funny and surprisingly romantic take on the endless day genre,8,26 July 2020,"This very funny movie involves two people eternally reliving someone's wedding day.From the trailer I expected a level of wackiness commensurate with that of co-star Andy Samberg's Brooklyn-99 series, but while this is often very silly and very thoughtful, it's also existential, thoughtful, and increasingly romantic. Cristin Milioti is great as the one who can't adjust to her strange reality, and she and Samberg have great chemistry as they flirt and fight under extraordinary circumstances.This is just really fun and you should definitely watch it.",Palm Springs
12,FeastMode,funny and interesting,6,25 February 2021,"Funny movie with an interesting story. andy samberg is awesome. cristin milioti gives a beastly performance. good love story. (1 viewing, 2/24/2021)",Palm Springs
13,Pjtaylor-96-138044,Fun in the sun.,7,25 April 2021,"I suppose that the basic premise of 'Palm Springs (2020)' is technically somewhat of a spoiler, especially since it was hidden prior to the film's release. However, it's almost impossible to discuss the feature without discussing its concept. Therefore, if you don't want this element of the movie spoiled, stop reading this right now (and, if you fancy a well-paced and satisfying alternative rom-com, go watch the thing; it's good). So, it turns out that the film is a part of the time-loop genre pioneered by 'Groundhog Day (1993)'. Like that cinematic classic, the thing focuses on a man who finds himself living the same day over and over again with seemingly no way of escaping his new reality. The difference here comes in the form of the ability to bring others into the loop, something which allows our lead to experience his lonely, repetitive existence in an entirely new way: sharing it with someone else. This forms the core of the narrative, which is basically a romantic comedy about two people who have to confront their deepest fears in order to actually connect. The picture moves at an absolute clip, barely slowing down for a second. Because it's very aware that most members of the audience will be familiar with at least one other film in its increasingly popular sub-genre, it sort of skips over much of the initial set-up that's usually required for such high-concept fare. Having said that, this context isn't so much missing as it is incredibly efficient. The film feels finely tuned in almost every aspect, as concentrated as it can possibly be. Of course, this leads to an engaging and energetic experience. There's never a dull moment, so you're never even close to being bored. Its comedy is generally successful, even if there are only a handful of laugh-out-loud moments, and its characters are surprisingly well-rounded. Plus, it also touches on some rather deep themes and deals with them in an interesting, if ultimately predictable, way. It's just really enjoyable. One of its plot-lines is a little underdeveloped in some ways, but it comes together satisfyingly nevertheless. In the end, this is a well-cast and generally charming rom-com. It sets itself apart from its peers in a couple of intriguing ways and, generally speaking, it's just really competent. Even though it's typically unsurprising (at least in its wider arcs), it's an entertaining, pacy and actually somewhat uplifting experience. 7/10.",Palm Springs
14,dromasca,smart entertainment,8,15 December 2020,"'Palm Springs' directed by Max Barbakow (incredibly at his first feature film) is for me the good surprise of the end of this strange cinematic year 2020. It is also a film that proves once again, if necessary, to skeptics and cynics that there are entertainment films and romantic comedies that do not insult the intelligence of viewers, and that 'feel good' movies can contain a dose of fantastic (and even references to quantum mechanics). The premiere of 'Palm Springs' took place at the Sundance Film Festival, after which the movie was supposed to be screened in theaters, but then the world froze and same as many other productions Barbakow's film had to find a streaming platform as its main broadcast channel. I'm so sorry for their missed opportunity, because this funny movie would have had good chances to be the big surprise and maybe even one of the blockbusters of the summer of 2020. Unfortunately, COVID-19 had other plans.The film begins with the awakening of Nyles (Andy Samberg), on a sunny morning in a resort in the middle of the desert, where he accompanies his (not very committed) girlfriend to the wedding where she is the bridesmaid. Nyles, a rather non-conformist guy, almost ruins the party with an impromptu speech influenced by intense drinking at the bar, and later in the nighr he he meets Sarah (Cristin Milioti), the bride's sister and the family's 'black sheep'. The two seem to have a 'click' that will take them to the desert at night where the beginning of a sexual encounter is interrupted by an event ... and here I stop telling more about the story so as to avoid falling into the sin of spoiling.What happens next is a combination of crazy and romantic, fantasy and clever comedy. Many comments on the film mention that the inspiration comes from 'Groundhog Day', a film I have not seen. What I can say is that I did not find any logical flaw in the script written by Andy Siara, who manages to give credibility to the pretext and substance of the characters, makes us viewers care about them, and even adds a touch of science with which the heroes will come out from a complicated situation. I didn't know the two lead actors or I don't remember them from other movies, but they both manage to win our empathy. J.K. Simmons, an actor we know from countless television series, is distributed here in a very different and original role. 'Palm Springs' is one of the best entertainments of the year, a kind and smart movie that I warmly recommend. It's fun.",Palm Springs
15,ThomasDrufke,One of the Best Rom-Com's of the Last 5 Years,9,27 July 2020,"As I've said in previous reviews and for many years, the modern day rom-com is nearly dead. There are outliers a few times a year typically but the formula was incredibly overdone back in the 1990's-2000's, that I think we began to grow numb of what a great rom-com can actually be. Palm Springs is a GREAT rom-com and it's also one of the best films of 2020, if not the best. Not to mention how perfect it is for the summer season and current quarantine most of the world is stuck in. What better than a rom-com about two characters stuck in a time-loop of never ending death at the end of their day? Even more impressively, Andy Samberg & Cristin Milioti have wonderful chemistry, enough to melt even the most cynical of movie-going audience's hearts. Palm Springs is nothing short of excellent.9.5/10",Palm Springs
