,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Disappointment in space,5,16 December 2019,"Sci-Fi is not my favourite genre in film, or overall in general life actually, by all means, but that is not to say that it does nothing for me. Actually appreciate it a lot, and a few of my favourite films, and milestones in films, are sci-fi. When Brad Pitt is good and has good material he is great and 'Ad Astra' did look really interesting from the trailer which made it look like a visually stunning and thought provoking film.'Ad Astra' left me very mixed. Do not think it is as bad as has been said here, not to the extent of vehement hatred anyhow and in my mind there are far worse films out there. Also do not think that 'Ad Astra' is as good as the critical acclaim, or at least largely positive critical reception, it hs garnered. Am talking about my experience of how the film was received just in case anybody is wondering, loved/liked by critics thus far but very mixed on both extremes of love and hate when it comes to the audience reaction.Beginning with the good things with 'Ad Astra', it boasts both dazzling photography and visual effects, as well as striking set design. One of the best-looking films of the year. The music is great music on its own and didn't ever feel any reservations about how it was placed, ""Heaven Can Wait"" is made quite powerful use of.Pitt gives a commanding and dignified lead performance, one of his better ones in recent years in a type of role he's perfect for. All the acting is good even, with the other standout being Tommy Lee Jones.However, the story never completely grabbed me, what aimed to be thrilling or thrill-packed were anything but to me, and never found myself connecting with it emotionally. Most of the time, especially in the final act that too much of it was ridiculous and didn't make sense was a turn off. The script had some intelligent thoughtful moments but also too many perplexing and awkward in flow ones.The pace was often dull to the point of monotony, apparent from the start and never really gained momentum, but the film suffered too from having too many ideas and doing little with most. Others have mentioned the non-existent science so will leave it to them. The ending was a head-scratcher when it came to sense.Concluding, watchable and somewhat intriguing but wanted to like it so much more. 5/10",Ad Astra
1,Leofwine_draca,Watch it for the cinematography,6,18 October 2020,"A different kind of science fiction film, this one, one that moves at a glacial pace while telling the slow-moving story of an astronaut hunting for his estranged father, another astronaut who's missing and possibly become deranged. It's a beautifully shot movie that feels like it offers a more realistic depiction of space travel than most, and I enjoyed it much more than the overrated GRAVITY due to the assured performances. Brad Pitt is an actor who's really grown on me over the years and he's fine here, with solid support from old-timers Tommy Lee Jones and Donald Sutherland in small roles. There's little in the way of meat to the story and 2001: A SPACE ODYSSEY this isn't, but it's worth seeing for the cinematography alone.",Ad Astra
2,SnoopyStyle,two problems,5,11 December 2019,"Roy McBride (Brad Pitt) is working on a space antenna when it is hit by a power surge. He jumps to safety from space. The power surge is worldwide and he is told that it originated from near Neptune where his father H. Clifford McBride (Tommy Lee Jones) had disappeared some 16 years earlier. He is tasked to make contact with his father. He travels to the moon and survives lunar pirates. He travels to Mars and survives space apes.I really like the start. It's like Gravity but more. I like the space elevator although I don't think it would be built like that. Nevertheless, the construction is pure old sci-fi. Then the movie tries to be 2001 and runs into two problems. They can be generalized into a heart problem and a head problem. The heart problem is Brad Pitt. He's playing an emotional closed-off character. It leaves the lead unable to do any acting drama. He's doing Joe Black again and that movie really bored me. The head problem is the logic of the space hopping. It makes no sense to hop to the moon and then hop to Mars and then hop and hop and hop. Even if they are in a straight line, it would be simpler to not have those stop-overs. I can tell that The Expanse has more scientific know-how and that's a TV show. While I do love the lunar pirates, it's also the moment when I realized that the movie is not written by any space travel expert. This world doesn't make sense. The movie presents the cinematic world as realistic but it is fundamentally flawed. This inherent conflict cannot be resolved. In the end, the ambition is profound. The effort is massive. The two problems cannot be overcome.",Ad Astra
3,Hitchcoc,Endless!,4,5 October 2020,"I really thought this was a weak film. First of all, I'm not sure of the science or the futurism. Is this really the way things could be? There are so few controls. The people in authority are weak and scared. Brad Pitt's character, Roy, is about as dull as one can make him. Yes, he has been given a difficult job, but then it is pulled out of the program. The way he gets on board the final rocket is beyond possible. Even in the future. We would hope that people with the kind of money it takes to do a film like this could have channeled it into a real script. I could list 25 questions about the absurdity right off the top of my head.",Ad Astra
4,Horst_In_Translation,And explore space with my father again.,6,14 October 2019,"""Ad Astra"" is a new American 2019 movie and the seventh big screen filmmaking effort by director James Gray, who is also a co-writer here. This time he did not work with his regular lead Joqauin Phoenix who prefers to clown around a but this year (but not à la I'm Still Here), but cast Brad Pitt to play Roy McBride a successful astronaut with just the calmest heart beat out there as we are reminded of repeatedly in these two hours. With the exception of one occasion when making contact to his father is on the table again. The movie runs slightly over two hours and it is really a showcase for Pitt, who is in every scene of the film. Now the prime years of sci-fi films with big shots also awards-wise recently like Gravity, Interstellar and The Martian may be over for now, but Ad Astra is more than just mediocre aftermath I'd say. Maybe the most impressive aspect here is the technical (visual) side. Now when they are in these vehicles on the moon, it is just downright beautiful. A bit of a pity this was destroyed slightly through the action coming with these outlaws chasing the main character. And showing us once again what an alpha stud he is, always in control and charge of the situation when needed. There are so many moments like this that it almost felt a bit cringeworthy how much Roy was depicted as a hero here. It already starts at the beginning when he is still able to switch off the electricity before falling down and holding on way longer than his co-worker. Then there is the situation with the other pilot who has no clue what to do or a nervous breakdown. The aforementioned pirate scenario, where they are also trying to make a connection to today's world. How he ends up in charge of the ship to Neptune. How he kills the lab animal and manages to bring back the other astronaut to the ship. And there are at least five more situations that I could include here. But I won't. You get the message. Even for somebody like myself who likes Pitt, it was a bit exaggerated honestly. Of course, his character despite basically being space Bond is also still the most humble guy.After the first action sequence, the film gets slightly strange as we still have to adapt to the situation how they are talking about a simple journey to the moon with other civilian travellers, then on to Mars and to send a message to Neptune from there all as if it was nothing. Oh well, these even end up flying to Neptune eventually, so the talk was just sort of nothing you could say. It says right when the film starts something like ""in the not so distant future"", but looking at the technology and possibilities they got here, I am sure it will be the very distant future as we are far far away from that. I mean we have not even been to Mars and as far as I can say there are no real plans at this point for it to happen in the next 10 years, maybe 25. And in this film they have labs there. But as progressive as they are, the one thing that still exists is gender and work-related discrimination as we find out when Oscar nominee Ruth Negga enters the picture. I guess this is the reason why she does what she does and a bit of a justification for her illegal behavior that helps the main character though. I still felt it was a bit too easy how he got on that spacecraft. I mean there must be some security applications to keep something like this from happening. And Negga is gone as quickly as she enters the picture. Same for Liv Tyler (from Armageddon), whose role as the love interest to Roy is pretty empty and superficial and while they use her as one of his motivations to get back to Earth, they do nothing with this character at all. It is never about anybody except Pitt. This also becomes clear in these scenes with Donald Sutherland early on and with Tommy Lee Jones at the very end. Jones is still a scene stealer, not just when the film almost ends, but also during his several flashback and photo inclusions earlier. I still wondered a bit with how long ago he travelled to Neptune and he sure does look almost 60 or so in some of these recordings, so he must be really old the day when Pitt arrives at his location, but yeah well the film plays in the future, so I guess life expectancy has gone up quite a bit too. The suspense of wondering if he finally finds his dad was the key aspect for me the longer the film went. And also the question to what extent he really went insane up there. The way he explains what happened sounds a bit rational, actually his entire behavior up there was not as much of a lunatic and what loneliness could have done to him as you'd expect. His mind seems mostly clear. So it is a simple father-son story too behind all these great sets and special effects. The most touching moment is maybe when Pitt's character bursts into tears after Negga shows him the video. But also while it is a father-son story, it is also about Roy being very different compared to Clifford. The latter states explicitly that he never felt love for anything else than his work, not for Pitt's character, not for any other human. Roy is not like that. He feels love. And solitude. He cannot wait to get back to Earth after his quest and be among other humans again.Now I mentioned the extraterrestrial aspect already. While this is a component too throughout the movie with what they are going to find on the ship that sends the call for help, who puts the future of danger at risk or just automatically that in space you can always run into an extraterrestrial danger the way his father was looking for all along, this is not a science-fiction movie from that perspective, call it fantasy, horror or whatever. There the film stays realistic and does not enter Alien territory or so. This is also why it is still a character study all along, which it must be really because Pitt is in every scene from beginning to end and that is a lot because it is not a short film by any means. And he is always the dominant aspect. Also letting his father go, killing him to grant his wish shows that he is again the one in charge in contrast to what happened decades earlier when TLJ's character killed these other astronauts. I think one thing I did not like too much was the ending. They could have gone out in a better way the moment when Pitt for example says he is not sure he will make it back to Earth and that there is always the possibility that the explosion kills him and not just fuels/propels his vehicle. I mean he would have finished the mission this way and it would have been a worthy way to end the movie. But they went full heroic and included his rushed return to Earth too eventually ending the film instead with a slightly pretentious quote. I didn't like this way really too much. But yeah, it wasn't too unexpected that they went full heroic this way. And there were flaws before that too. I think compared to all the big blockbusters I meantioned early in my review, this one is perhaps best to be compared to Gravity as the male-centered equivalent to that. Still, it is clearly inferior, not necessarily in terms of Pitt compared to Bullock, but maybe in terms of Gray compared to Cuarón. So this will probably not get the gigantic amount of awards recognition and rightfully not. Still 2 (or so) nominations in the Oscars' technical categories seem pretty possible and I also don't think Pitt would be undeserving for another Best Actor nomination, not because he looks relatively young for coming close to 60, but he is the movie and I don't really think anybody could have given a (much) better portrayal here. But he is not gonna get a lot of recognition mostly for the reason that he has another film in the race, namely the one where he gives a supporting(?) performance in Tarantino's newest hit that could very well have him even win his first acting Oscar. But we talked about that one on another occasion already, so back to this one here. It's a good watch and I give it a thumbs-up overall. Not a film that will turn you into a sci-fi fan immediately, but if you like the genre, then you will probably enjoy it for the most part. Some creative ideas here and technically really on the highest level. Actually, this is rather a film that could turn you into a Pitt fan. Now that would be all then. Off you go.",Ad Astra
5,claudio_carvalho,Boring and Tiresome,4,15 December 2019,"""Ad Astra"" is a boring drama in a sci-fi environment. The plot is a great disappointment for fans of the sci-fi genre and too long. The excellent cast is wasted in this tiresome film. The beginning lures the viewer. My vote is four.Title (Brazil): ""Ad Astra: Rumo às Estrelas"" (""Ad Astra: Towards the Stars"")",Ad Astra
6,nogodnomasters,The Surge,4,26 October 2019,"Roy McBride (Roy McBride) is an astronaut in the ""near future"" one that has a large infrastructure on the Moon and Mars. His father (Tommy Lee Jones ) was lost on a deep space mission. There are some cosmic rays coming from space which may or may not be coming from the lost space probe. There are described as initially as cosmic rays, i.s. gamma radiation and then described as ""anti-matter."" They are not the same and ""anti-matter"" is doubtful. Roy has a mission, which is to go into deep space to save or destroy his father who may or may not be alive and stop the purge which may or may not be coming from the LIMA space station/probe. Roy spends half the film talking to himself, getting in touch with his feelings.If you thought ""2001..."" or ""Moon"" was boring just wait until you get a gander at this one. Nice effects. I thought the comfort room was too much like the comfy death room in ""Soylent Green."" I was waiting for the punch line which never happened.Guide: No swearing, sex, or nudity.",Ad Astra
7,kosmasp,Slow and steady,8,4 December 2019,"There are certain things that are unwritten laws in filmmaking. Like how a character is set up and what the set up can mean later when all changes. Be it him and/or his surroundings. In this case you get the very mellow and really calm character portrayed by Brad Pitt.There are many slow moving places of the movie that some viewers might have to fight through. But it is well worth it. The story works quite nice and the pace is just right but again might be too slow for some viewers. There are a lot of longer shots and a lot of passages where it seems like nothing is happening. But there is solace in those moments - something you can cherish if you are into it. Not everything has to be flashy and fast paced. If you're down (or rather high) with that, this is for you",Ad Astra
8,lee_eisenberg,space's heart of darkness,7,27 December 2019,"James Gray's ""Ad Astra"" may look like a simple science fiction movie, but it's more of a philosophical one in the sense of Stanley Kubrick's ""2001: A Space Odyssey"". It basically addresses the question of what it means to be human, with Brad Pitt's astronaut questioning his life choices as he ventures to Neptune to find his father (Tommy Lee Jones).It's not a great movie. Liv Tyler's character gets reduced to a cliche (the wife waiting for her husband) while much of the movie tries too hard to get its point across, creating a leaden feeling. But overall I thought that they did a good job, raising questions about our existence that might not have ready answers.I've read about comparisons to ""Interstellar"". I haven't seen that one, but heard that it was a lame imitation of other movies, with the most hackneyed ending ever.",Ad Astra
9,jboothmillard,Ad Astra,5,29 September 2019,"The title is a Latin phrase meaning ""to the stars"", I saw the trailer about three or four times before the release, it looked like an interesting space movie. Basically, in the near future, the Solar System is struck by mysterious power surges, threatening all human life. Major Roy McBride (Brad Pitt, also producing), son of famed astronaut H. Clifford McBride (Tommy Lee Jones), is almost killed in an incident caused by a surge. He is informed by U.S. Space Command (SpaceCom) that the surges have been traced to the ""Lima Project"" - created to search the limits of the Solar System for intelligent life, under Clifford's leadership. Clifford disappeared sixteen years ago, and was last located close to Neptune, there is a possibility he may still be alive. Roy accepts a mission to travel to Mars to try and establish communication with him, joined by his father's old associate Colonel Thomas Pruitt (Donald Sutherland). After taking a commercial flight to the Moon, Roy and Pruitt are escorted by US military personnel to the SpaceCom base, located on the dark side of the moon. Travelling in lunar rovers, they are ambushed by scavenging pirates, the entire escort are killed, and Pruitt ends up in intensive care. Roy transfers to the ship Cepheus, bound for Mars. The ship receives a distress signal from a Norwegian biomedical research space station, despite Roy's protests, they stip to investigate. The ship appears to be abandoned and broken apart, but an escaped baboon test subject has killed the crew, and attacks, until Roy locks him in another module and kills it using depressurisation. Roy attempts to save the captain who was found, using a tape on a broken helmet and carrying him back to the ship, but he is already dead, a service is held before his body is ejected into space. Another surge hits as the Cepheus lands on Mars, requiring manual piloting to complete the landing. Roy is led to the underground SpaceCom base and meets facility director Helen Lantos (Ruth Negga). His task is to record voice messages to send to the Lima Project in the hope that Clifford will respond. During one recording, Roy goes off-script with an emotional appeal to his father and is abruptly taken off the mission on the grounds of his personal feelings posing a risk to himself and the success of the mission. It is presumed that a response is received, and Roy demands to hear it. Lantos visits Roy, kept in a ""comfort room"", she reveals she was born on Mars and is the daughter of crew members from the Lima Project. She shows Roy classified footage revealing that Clifford's crew had tried to revolt and return to Earth, causing him to turn off their life-support systems, and that her parents were among the crew killed. She tells Roy that the Lima Project station is to be destroyed with a nuclear weapon. It Is decided that Roy should confront Clifford himself, and Helen sneaks him underground to the launch site. Roy climbs aboard as the rocket takes off and is discovered by the crew, they are all killed in the ensuing struggle. During the long journey to Neptune, a solitary Roy reflects on his relationships with his father and estranged wife, Eve (Liv Tyler). The isolation and stress of the mission take a mental toll, but after several weeks he arrives at the Lima Project. While approaching the station, the shuttle is damaged in a collision with objects in Neptune's rings, preventing it from docking with the station. Roy enters the station drifting in space, and finds the station abandoned, with crew all dead. He plants the nuclear payload before encountering Clifford, the only survivor, who explains that the surges are coming from the ship's malfunctioning antimatter power source, which was damaged in the mutiny. Clifford has continued to work on the project, refusing to lose faith in the possibility of finding intelligent life. After convincing Clifford to return to Earth, Roy finishes arming the payload and they prepare to return to the Cepheus. Clifford suddenly uses his spacesuit thrusters to launch the two of them off into space. With Clifford pleading for Roy to untether the two of them, Roy reluctantly does so, sending his father floating away. Roy manages to propel himself back to the Cepheus improvises a shield against Neptune's ring debris. Without enough fuel to return to Earth, he relies on the shockwave from the station's explosion to gain the required speed. The data retrieved from the base suggests that humans are the only intelligent life in the universe, inspiring Roy to reconnect with those closest to him, and he returns to Earth with newfound optimism. He expresses this in a psychological evaluation and reconnects with his wife. Also starring John Ortiz as Lieutenant General Rivas, Loren Dean as Donald Stanford, Greg Bryk as Chip Garnes, Kimberly Elise as Lorraine Deavers, Alyson Reed as Janice Collins, LisaGay Hamilton as Adjutant General Vogel and American Pie's Natasha Lyonne as Tanya Pincus. Pitt as the calm astronaut who has control over his heart rate is interesting, Lee Jones does fine with his moments on screen, and Sutherland and Tyler could have had slightly more to do. It is a very simple story; NASA find the man scientifically proven to be right to help prevent Earth's destruction, but eventually his emotions start to come out in the search for his father, it does have some good sequences and the splendid special effects help it visually, the problem is it is rather pretentious and maybe attempting to be philosophical, it is also rather slow, it's an average but reasonable science-fiction drama. It was nominated for Oscar for Best Sound Mixing. Worth watching!",Ad Astra
