,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,How can this film currently have a 6.8 rating when it's one of the best pictures of the year?!,9,3 November 2019,"Sometimes I am shocked when I see a great film...only to see it has an incredibly low overall score on IMDB. This is definitely the case with ""Knives Out""....a great film by writer/director Rian Johnson that I strongly recommend you see. In fact, I wouldn't be surprised if this one receives some Oscar nominations...it's that good.""Knives Out"" is like an Agatha Christie novel set in modern day America and with American characters. But it's not just a homage to Christie-style films but a genuinely good and unique film in its own right. Kudos to many of the actors...particularly Daniel Craig. I thought Craig was miscast as a Southern American detective....but he carried it off wonderfully.Overall, I have no complaints...nothing I disliked or would do differently. In fact, it was so good I nearly gave it a 10....and I completely enjoyed the movie.",Knives Out
1,TheLittleSongbird,Well worth tucking into,8,10 February 2021,"It was very hard to say no to watching 'Knives Out' and it was one of my most anticipated films since it came out. It was due to being busy and personal problems that stopped me from seeing it sooner. A lot drew me in to watching it. Absolutely love murder mysteries and seeing a lot of comparisons to one of my favourite authors Agatha Christie and the starry cast were reasons enough for me to see it, as well as the great reviews.Found myself really enjoying, if not quite loving, 'Knives Out'. Can understand why it may not be for all, if one doesn't like seeing and hearing the truth much earlier on than they would expect, and it is easy to see the ridiculing for Daniel Craig's Southern accent (which is admittedly atrocious). Can totally understand its appeal and why it was so positively received though, because to me it was a well made, well acted and cleverly written film that shows that director Rian Johnson does have a great film in him. While not perfect or one of the best films ever made (though was not expecting 'The Godfather' or 'Casablanca' etc), it is a long way from being a 1/10 film, putting it down there with most of the films riffed on MST3K, films from SyFy and the Asylum, 'Home Alone 4', 'NeverEnding Story 3', 'Titanic: The Animated Movie' and the Baby Geniuses films is insulting. As far as 2019 goes, it is towards being one of the better films of that year if not one of the very best.'Knives Out' had potential to be even better than it was. If it didn't overdo or repeat too much the vomiting running gag and slowed the final solution down (a suitably complicated one that is explained a little too fast for my liking) it would have been a better film.Wouldn't have said no to the truth (well some of it was) being revealed later than it was, though even when it was placed when it was it was still in the final solution not at all what things initially seemed. The film is a little overlong as well.However, so much works here. 'Knives Out' looks great, full of atmospheric colour, beautiful locations (the interiors of the house are especially atmospheric), stylishly photographed and slickly edited. Nathan Johnson's score has menace and energy, without feeling overused or over-scored. Johnson directs expertly with a clear love for the genre being sent up.It is a cleverly scripted film too, shining especially in the smart and affectionate 70s murder mystery throwbacks and deliciously salty one liners and insults from Ransom. The story never felt dull to me and even when things seemed obvious too early some ingenious unexpected twists are brought in. Can totally see how Johnson was so influenced by Christie's writing, evidenced from as early on as the terrific opening sequence and with Christopher Plummer's patriarch character (a type of character seen frequently in Christie's books). A fine example of how to bring freshness to a very familiar genre often visited, while the final solution is incredibly clever though demands full attention.Moreover, the ensemble cast, one of the best from that year, clearly have a ball. There is some delicious deadpan but also some inspired but not overdone scenery-chewing. Accent aside, Craig does a great job breaking away from his Bond image and revels being comedic in a laconic way. Plummer (RIP) is perfectly cast and while his screen time is not large he makes the absolute most of it. Ana De Armas has one of the most difficult roles and shows no signs of being taxed. Jamie Lee Curtis, Toni Collette, Don Johnson and Michael Shannon all give it everything they've got. My favourite performance came from Evans, also breaking away from typecasting, he was never this witty or salty.Overall, very, very good. 8/10",Knives Out
2,Leofwine_draca,"Fun, albeit no classic",6,1 August 2020,"KNIVES OUT is another comedy blockbuster based on the classic 'old dark house' style murder mystery plot that was once popular in the 1930s. The last time we had a wave of such movies was in the '80s, when the likes of CLUE was doing the rounds. This is a fairly amiable and enjoyable example of the genre, graced with a large ensemble cast each striving to out-perform one another, a fast pace and never a slow moment. Inevitably the plot itself feels quite artificial at times and stretches credulity on more than one occasion, but at least there are enough likeable or amusing characters and enough genuine surprises to keep you involved in what's going on. As for Daniel Craig, I have a suspicion that this is an easy kind of performance in a role that could be played by any actor, but he's funny enough in the part.",Knives Out
3,SnoopyStyle,intrigued,7,26 May 2020,"Wealthy murder mystery novelist Harlan Thrombey (Christopher Plummer) is dead from a presumed suicide. The investigating police is joined by dapper private detective Benoit Blanc (Daniel Craig) who was hired by an unknown person. It's a family of annoying backbiting leeches and Harlan's kindly nurse Marta Cabrera (Ana de Armas) who cannot lie without vomiting.Quite frankly, the movie is a fifty-fifty proposition for the first half. The family is so annoying and Daniel Craig is trying so hard to act. I really need him to stop his accent work. His character would be perfectly great with a British accent. It's all far too peculiar as Rian Johnson is doing his Brick work. The movie reveals the death early on and it seemed obviously from the very beginning that it boils down to the tox screen. She's on the hook as soon as that reveals her mistake. Non of it can cover that up. It becomes a lot of running around in circles.Then something happens that hooks me into the movie. I started rooting for her to escape Blanc's questioning. The vomiting starts as a silly gimmick at first but ends up helping build a good amount of tension. The last incident is obvious even before it starts but it's still fun. The tox screen is the flashing warning sign throughout the early parts even if it's never mentioned. I kept waiting. When it finally shows up as a major plot point, it seems problematic since there are bound to be copies. Chris Evans adds a great energy in the second half. Despite the nagging questions, it becomes a fun rollercoaster ride. It's a lot of ups and downs but it's never in doubt that it will roll safely to an exit. One thing that bugs me more than most. I don't know what Fran assumes about Ransom's scheme. She sees him tampering with the drugs but she steals the bag. What's the point of that? She steals a copy of the report but the original is bound to come out. What's the point of that? She blackmails him and meets him alone in an empty laundromat. What's the point of that? I don't think Fran's actions make any sense and is nothing more than a series of necessary moves for plot advancement which can all be excuse with Blanc saying that she doesn't even know what's happening. I have come to see Rian Johnson as a filmmaker with interesting style but sometimes his convoluted stories do not favor deeper examinations. Overall, I really got into this movie despite whatever nagging reservations I had about the plot.",Knives Out
4,Hitchcoc,Lots of Nice Little Twists,8,29 March 2020,"No, it wasn't perfect. No it was not Academy Award material. But it was a delightful story with lots of classic whodunnit elements. I thought we got to know each character well and, like in an Agatha Christie novel, fulfilled their roles. I thought Craig did a nice job and kept things moving along. Plummer was good in his limited screen time. Once again, I'm so fed up with people who decide that IMDB presents an opportunity to destroy a valid system by giving a movie such as this a rating of One. Do you really think this film ranks down there with Alligator Women on Venus. That's what the One ratings are for. It's usually because a film gets a little hype and those with no imagination or who are unhappy with their lives feel the need to throw everything off. Use lower ratings, but try to show some objectivity.",Knives Out
5,boblipton,A Fine B Movie,8,1 December 2019,"The mystery writer Christopher Plummer has died. Although the police have just about wrapped up their investigation, his nurse, Ana de Armas is nervous; she knows that she had given him the wrong doses of medicine, the antidote was missing from her bag, and he had slashed his throat after arranging with her an elaborate charade so she would would not be suspected. The family and police were satisfied, yet here is the great detective Daniel Craig, holding it open. He has been hired to investigate, although he does not know by whom. The plot thickens when the will is read, and the heir to Plummer's vast fortune is Miss de Armas.Once upon a time, the movie theaters ran full programs of selected short subjects, a feature film, and quite often a second feature. The second features were generally lower-budgeted movies, meant to be rented out to the theaters at a flat rate, and often genre films.... like mystery films. Some of these second features were series, and quite popular; it was no unknown for people to go to a show specifically for the second feature, a Sherlock Holmes mystery, or a Charlie Chan mystery, featuring stars who perhaps did not shine brightly enough for the major studios' A pictures, but would bring in the customers.Eventually, the program shortened: no more selected short subjects, no more second feature. Nowadays, a movie show usually consists of a feature film and previews of coming attractions. Yet, long as it is, and with such a varied and interesting cast as it has -- Chris Evans, Jamie Lee Curtis, Michael Shannon, Don Johnson, and half a dozen others -- this movie strikes me as a B picture, with an ornate plot, some small and gratifying witticisms.... in short, a superior example of the form.If you are wise enough to see this movie, you will be sorely confused, as mystery is piled atop mystery, and how to untangle them all. I know I was. At the end, all will be revealed, and the journey from start to finish will have turned out to be worthwhile.",Knives Out
6,Horst_In_Translation,Great fun watch with an interesting crime story,8,13 January 2020,"""Knives Out"" is an American mostly English-language movie from 2019 that made it now in 2020 also here to Germany. The writer and director is Rian Johnson and I am a bit unsure about him honestly. His very first film ""Brick"" I was not big on at all, maybe because also the lead role seemed miscast, but some of his other career works I enjoy a lot and that includes of course also his television work on the marvellous Breaking Bad. But now he is safe on the big screen. Seems a very versatile guy anyway, not too long ago he directed a pretty nice music video for LCD Soundsystem. Anyway, for this film here that runs for slightly over 2 hours, so not a short watch at all, he received his very first Oscar nomination this morning and a huge success for him and after seeing the film now, it is not undeserving at all. The movie also achieved nice accolades at all kinds of other award shows, such as Golden Globe nominations for Daniel Craig and Ana de Armas. For Craig it was the first believe it or not and even if I like him there's no way I can say that Ana de Armas is not the film's brightest spot and I would have liked her to get an Oscar nomination as well. Oh well, maybe at some point in the future. As for the other cast members, you will find many big names here. They are all supporting and I guess it comes down to how much you like them when deciding who's your favorite because they all do not have the biggest impact on the story, but are nice to watch. I personally enjoyed Shannon the most, which is not a surprise because that is true for almost every film he is in. Really versatile actor. Don Johnson I found most forgettable perhaps, but this was also expected as I don't have much connection with him in other films and the revelation about his character being unfaithful also added very little for me, even if the way how his wife found out was kinda funny. Christopher Plummer can of course also always be relied on and it's so nice to see that even close to the age of 90, he is still dellivering quality portrayals that are pretty much flawless. Luckily, even if his character is killed right at the beginning of the film, the man gets a lot of screen time as we get closer to finding out what actually happened.So it is a crime story and Johnson took an interesting path here. He gave us the detailed solution who did it and what exactly happened already before half of the film is over. But this is also only half the truth as we find out at the end. I do not really want to go too much into detail about the ending and how everything unfolds because you should experience that yourself. I just felt somehow that they all did it maybe (they all planned it), but then it was just one bad guy, but he was really very bad as we see when he grabs that knife and unlucky for him, it was just an artificial knife this time, which really (also with the slow motion scene leading to it) was absolutely hilarious and I and almost everybody else in the theatre was laughing so hard. Brilliant reference at that point back to the film's beginning when we have Chris Plummer's character (I think it was him) say something about how knives are sometimes real and sometimes just imitations. Luckily, that one was an imitation because it would have been heartbreaking if the guy really could have killed de Armas' character. She is also pretty stunning no denying. But so is Katherine Langford.Anyway, let's not get carried away on looks now, or at least not human looks. That knife throne already made for a nice smile on my lips with how Craig sits in it and all the knives are pointing at him. Really nice and smart and creative inclusion of the murder/suicide weapon. As for the Armas, her character is really depicted in such an innocent manner in the sense of how she is really the ultimately good human being. That made her truly memorable with how things played out at the end. Still in-between, I cannot deny that I thought maybe actually she was not that nice and in fact an evil mastermind, like when she immediately said that it was Hemsworth's character who wanted her to drive and put the blame on him. But it was nothing. Still, clearly Johnson was toying with the idea that we in the audience could think she murdered the old man on purpose knowing she was the one who'd get it all. Very talented actress, she delivered her part too and also nailed her funnier moments, which admittedly also had a lot to do with the script like when she tells Shannon's character that it is perfect because she has the money to get great lawyers or of course in another epic moment when the film closes exactly the way it started, with a cup that has some pretty memorable words on it that will again have you in stitches.I mean it is not a perfect mvoie, but there really isn't too much wrong. Maybe I struggled with believing that Craig's character actually knew it all so quickly because of the blood spot and also the exact revelation came totally out of nowhere at the end and he must be a true mastermind that he figured it all out so effortlessly apparently. But as a huge Bond fan, I cannot really say anything negative at all about his character. Or about the actor. He made some great career choices in terms of which films he played in in recent years and knowing the upcoming is his last appearance as 007, I am not only genuinely curious about this one, but also about all other projects he will work on in the future. I think there may be some great things in store. Perhaps he can even collaborate with Johnson again and give us a sequel/prequel here that is about how he solved the tennis player case that is mentioned on one occasion in this movie by another character. By the way, the Black policeman was really forgettable here, the other White officer though brought in some nice comedy with how much he was in awe of the creative people around him, especially at the end when he shushes his colleague down. Have to mention the Cluedo quote as well.Okay, let me think what else can I say about this film. It is a pretty long one yes, but it was so interesting and entertaining that it really flew by. There is great attention to detail here on so many occasions. One excellent example is how the female protagonist was really good enough in her profession that she took the right medicine because she saw the difference in color, which really made me appreciate de Armas' character even more. Okay the story with the other woman blackmailing the killer I could have done without probably, but even these more mediocre scenes and moments only fade because everything else constructed around them is so awesome. They are still okay by general standards and even these include moments of true creativity, such as the reference about ""you"" not being ""Hugh"" and how only staff calls him that. So no matter which perspective you take, it is difficult to find any real reasons why this film should get a thumbs-down. The good in here is just so much more frequent and permanent than the weak, which is pretty much not existent anyway.Oh yeah, I really shall not forget about the super old lady there: She does not even need to say a word to make for comedic gold, be it early on when we find out nobody knows how old she really is (from Collette) or later on when she sits there right in front of the window and sees de Armas' character (also pay attention how nobody can remember which country she is from originally and how they wanted her to be at the funeral, but more people were against it) or when she sits with Craig's character later on. Okay maybe she would have been more interesting if she actually did not know what was going on around her instead of telling Craig's character and the explanation about what she said in detail and that it explained how Hemsworth's character returned before that already also did not really convince me, but I am glad she was included nonetheless. This was maybe my favorite comedy film from 2019, despite the serious undertone and crime(s) happening, because I kinda struggle with seeing Tarantino's new film as a comedy, even if that one was as good as this one here, or maybe even slightly inferior. Okay, that is all then. Of course I give ""Knives Out"" a (very) positive recommendation and it is for sure among the most astounding cinematic achievements from the last 52 weeks. Highly recommended and please please make another movie about Benoit Blanc.",Knives Out
7,Prismark10,Knives Out,6,28 December 2019,"Knives Out is a star studded whodunit where all the suspects are gathered in the mansion.It is a knowing variation of the board game Cluedo which itself was turned into a movie in the mid 1980s. The victim is best selling crime novelist Harlan Thrombey (Christopher Plummer.)A private detective Benoit Blanc (Daniel Craig) has been hired to find out if the writer's death really was murder or as the police suspect, a suicide. A recently changed will might lead to a motive.This comedy mystery is reliant on Harlan's personal nurse Marta (Ana de Armas) a woman who physically throws up if she tells a lie.Following the conventions of many Agatha Christie mysteries, Knives Out turns a lot of the essential ingredients of the genre in his head by adding several layers to the story.However it is not original as there have been several movies that have twisted the crime mystery genre. It also feel slightly laboured and in the end it is superficial as Craig's accent which at times becomes grating.Chris Evans playboy character is underwritten and he struggles amongst other cast members such as Don Johnson, Michael Shannon and Jamie Leigh Curtis.",Knives Out
8,claudio_carvalho,Entertaining,7,20 March 2020,"When the millionaire writer Harlan Thrombey (Christopher Plummer) is found dead at home, the police investigate his apparent suicide together with the famous private investigator Benoit Blanc (Daniel Craig), who was mysteriously hired by someone interested in finding if Harlan was killed. They interview the dysfunctional family members and the servants that lived or worked with Harlan in his mansion but when his testament is opened, the investigation presents twists and surprises.""Knives Out"" is an entertaining but overrated film in the style of Agatha Christie. Benoit Blanc is a kind of Sherlock Holmes and the cast is excellent. The screenplay begins without any character development and the viewer learns the characters along the investigation. Consequently the beginning is a little boring. But it is worthwhile watching this film without expecting the hype around. My vote is seven.Title (Brazil): ""Entre Facas e Segredos"" (""Between Knives and Secrets"")",Knives Out
9,nogodnomasters,I just want to get some Scope.,10,2 December 2019,"Harlan Thrombury (Christopher Plummer ) has built an empire writing mystery novels. He is found dead in the morning of an apparent suicide by his nurse Marta (Ana de Armas) seemingly innocent and naive. Benoit Blanc (Daniel Craig) a private investigator of mystery writer quality has been hired anonymously to investigate the incident as someone suspects foul play. During the interview process, we discover the events of the night in flashbacks. Everyone lied and had a motive. About 30 minutes into the film we discover who killed Harlan.The film has twists and clues as does any good mystery. Everyone was a quirky character. Harlan lived ""on a Clue Board"" and has written his family out of his will as they will not get a ""single red dime."" They need to grow on their own. If you love an entertaining old-style mystery you can't go wrong here.Guide: F-word. No sex or nudity.",Knives Out
