,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Prismark10,Hubie Halloween,6,21 October 2020,"Adam Sandler continues with his Netflix comedies which always gave me the impression of sloppy seconds.In Hubie Halloween. Hubie Dubois (Adam Sandler) is the town's doofus with the goofy voice but a sweet nature.Halloween is coming to Salem, Massachusetts. There is an escaped patient from a mental institution and some of Hubie's long time tormentors have gone missing.Hubie is suspicious of his weird new neighbour Walter (Steve Buscemi.) He drools over his dream woman Violet and reports every suspicious activity to police officer Steve Downey (Kevin James) who used to be married to Violet.There is an all star cast but some like Ben Stiller only appear for a short scene. Hubie Halloween is better than Sandler's other Netflix comedies.The voice is annoying and my wife had enough of it rather quickly.As I said before, Sandler knows his audience, he is very popular with various ethnic groups and religions. He delivers what they want regarding the comedy and this film has more diverse casting.",Hubie Halloween
1,mark.waltz,"More smiles than laughs, but at least I smiled.",5,6 October 2021,"You can't expect anything but silliness from an Adam Sandler comedy, and this artsy looking Halloween comedy does give me some laughs through bad taste and some of the most ridiculous aspects of society that really need to be laughed at more often. Sandler is Hubert Dubois, a deli clerk in Salem Massachusetts who is Salem's unofficial Halloween safety monitor. He's also not very well liked, and there are many reasons for that other than his distinct voice which I have actually heard on people in life. He has a tendency to be a bit too blunt, telling people things in public that they don't want others to hear, and that results in Sandler pelted by the local teens with food and other disgusting objects. He's also a very dim bulb, getting into situations that others would avoid, mainly because he has absolutely no common sense whatsoever.So while there's not really a strong story, you do get encounters with one of the odd neighbors including Steve Buscemi who thinks he's a werewolf, Rob Schneider as an escaped mental patient, Ray Liotta as the rudest man in town and Ben Stiller as the vicious mental institution orderly. Veteran character actress June Squibb is also memorable as Sandler's mother who made love her son but I can't help but express his weaknesses in public.The film is overloaded with Halloween style props, much of it garish and a humorous slam at holiday obsessed communities that tend to overdress their town with decorations. I also love the polite little knock at news channels who focus on looks over quality, hiring dim but buxom females over experienced journalists. At least Sandler's strange voice pattern never changes, and as annoying as it may be at times, it's in line with all of the other voices I've heard him utilize. The main problem for me is that this film has far too many characters, so it becomes difficult remembering who is who especially since they don't appear consistently, only intermittently. Other than that, I had a good time watching this, chuckling more and more as the film went on.",Hubie Halloween
2,nogodnomasters,Nice Matters,4,12 October 2020,"Adam Sandler stars as the title character as he attempts to impersonate Bill Murray in ""Caddy Shack."" Not as good and not as funny. Hubie gets Steve Buscemi as a new neighbor which is scary in itself. Hubie is the picked on village idiot who tries to do good in the town of Salem at Halloween. It has word play ""boner"" jokes as the funniest aspect of the movie, to give you a clue. The cast includes a bunch of known names and Sandler uses his family in a way that would make Judd Apatow green with envy. Now that would have been funny having him in the film turning green watching Adam using his kids. It was wasted potential.Guide: No swearing, sex, or nudity.",Hubie Halloween
3,nogodnomasters,Nice Matters,4,13 October 2020,"Adam Sandler stars as the title character as he attempts to impersonate Bill Murray in ""Caddy Shack."" Not as good and not as funny. Hubie gets Steve Buscemi as a new neighbor which is scary in itself. Hubie is the picked on village idiot who tries to do good in the town of Salem at Halloween. It has word play ""b*ner"" jokes as the funniest aspect of the movie, to give you a clue. The cast includes a bunch of known names and Sandler uses his family in a way that would make Judd Apatow green with envy. Now that would have been funny having him in the film turning green watching Adam using his kids. It was wasted potential.Guide: No swearing, sex, or nudity. Just stupid jokes.",Hubie Halloween
4,kosmasp,Defying the odds,4,26 October 2020,"There are many odd things, when it comes to Adam Sandler and his movies. He has a fan base that will love and cherish the silly outputs no matter what. This being one of them. And that is ok and fair. But reading from another reviewer that he is happy, that a Halloween (themed) movie is not scary is just strange to say the least. It's like having a comedy that isn't funny .. oh wait I get it now! Of course it is - makes sense now.All kidding aside (or wherever it is hidden), this is about personal taste. If you like Sandler pretending to be mentally challenged (as I reckon the political correct way to say is now - he himself wouldn't call it that, but make a crude and ""fun"" remark), but also witty enough when he has to be ... you will be entertained by this. Lowest common denominator can be enough. I wish I could just sit back and enjoy this, as others do, but I just can't. It's way too ridiculous and it's way too convenient.So no matter what I write, your mind is made up. I just hope for you that you can enjoy it",Hubie Halloween
5,Sleepin_Dragon,"If you have reasonable expectations, you may just like it.",6,9 October 2020,"Hubie Dubois is mocked by all around him, a man with a good heart, and an overbearing Mother.I like the spirit of this movie, it's good, old fashioned slapstick humour. If you come here expecting sharp witty humour, you're in the wring place, this is Adam Sandler, you know full well what you're getting.You will laugh at some of the gags and jokes, the funeral scene was very funny.What's less funny is the voice, it didn't work for me, at times I couldn't understand a word he was saying, some of his expressions were agonising to watch.It looks so nice, Americans know how to celebrate Halloween in style, the visuals are cracking.Some of the reviews I've read criticise the humour, once again I wouldn say, it's Adam Sandler, you know only too well what the humour is.A nice family watch, 6/10.",Hubie Halloween
6,jboothmillard,Hubie Halloween,2,4 March 2021,"I initially saw the images of this film when it was released on Netflix, I had a feeling it was going to rubbish, so it was no surprise when I received a message from the Razzies, for which I am an official member for voting, that it was suggested to be nominated awards, directed by Steven Brill (Little Nicky, Mr. Deeds, Without a Paddle). Basically, Hubie Dubois (Razzie nominated Adam Sandler) is a delicatessen employee in Salem, Massachusetts who is ridiculed by almost the entire city. He is the butt of many practical jokes, often has things thrown at him whilst he rides his bicycle, and his antics often annoy police Sergeant Steve Downey (Kevin James) and Father Dave (The Shield's Michael Chiklis). The only person who is kind towards him is Violet Valentine (Julie Bowen), who he may be attracted to, and vice versa. During the Halloween holiday, Hubie spends his time monitoring the city as the official Halloween Helper. The day before Halloween, Hubie meets his strange new neighbour Walter Lambert (Steve Buscemi). News spreads around town about Richie Hartman, a convict who has escaped from a local mental institution. On Halloween, Hubie investigates Walter's home after reports of strange noises. Hubie reports to the police, and Sergeant Downey ""recruits"" him as an ""AUU"" (auxiliary undercover unit). Hubie believes this assignment is genuine, but Steve hopes it will stop Hubie from bothering him. Hubie goes to a local Halloween party to monitor the activities. Hubie is tricked into going into a corn maze following reports about a lost child. Hubie's teenage co-worker Mike Mundi (Karan Brar) follows in the hope of scaring Hubie. Hubie finds Mike and sees him getting pulled into the maze and then disappearing. Hubie moves on to monitoring at a drive-in cinema. Hubie's old classmates Lester (Tim Meadows) and Mary Hennessey (Maya Rudolph) scare Hubie after false reports of suspicious activity in one of the cars at the drive-in, but Hubie ends up having eggs thrown at him. He flees into the woods and finds Walter who he thinks he is turning into a werewolf and chases Hubie to a haunted house in a fun fair. Mr. And Mrs. Hennessey are kidnapped, and Sergeant Downey is alerted. At the haunted house, Hubie sees a husky, thinking it is Walter in werewolf form. Pete Landolfa (Ray Liotta) goes in to scare Hubie but is kidnapped in front of him. Sergeant Downey arrives and suggests to Mayor Benson (Batman Forever's George Wallace, also playing the Mayor) that Halloween is cancelled. Hubie thinks Walter is responsible, but Sergeant Blake (Keanan & Kel's Kenan Thompson) is holding Walter at the police station with Richie Hartman (Rob Schneider) after they have turned themselves in. Walter's real name is Nick Hudson, and is from the same mental institution as Richie, which they refer to as the werewolf treatment centre. Downey, Benson, and Dave agree that Hubie is the kidnapper, turning up whenever there is a disappearance, they think he wants revenge on his bullies. He runs away and goes to a radio station. DJ Aurora (Shaquille ""Shaq"" O'Neal, and the voice of Vivian Nixon) tells him that he is not the most frequent caller. Someone has planted a burner phone, and a call came from Hubie's house, and he races there, hoping his mother (June Squibb) is alright. It is revealed that Hubie's mother kidnapped Pete, Mike, and the Hennesseys as revenge for tormenting Hubie and plans to burn them alive. He rescues them as the police, Nick, and Richie arrive. Hubie's mother then scolds Pete, Mike, and the Hennesseys for all the things they did to Hubie, before she suddenly disappears. One year later, Hubie and Violet are married, Hubie is the new Mayor of Salem, and his new foster kids are going trick or treating dressed like people he knows. Having earned respect from the locals, Hubie goes into town on his bicycle with Downey escorting him and prepares for the Halloween festivities. Also starring Ben Stiller as Orderly Hal, Jackie Sandler (Adam's wife) as reporter Tracy Phillips, Noah Schnapp as Tommy, Sadie Sandler (Adam's daughter) as Danielle, Sunny Sandler (Adam's daughter) as Cooky, Paris Berelc as Megan, and China Anne McClain as Miss Chantal Taylor. Sandler putting on another goofy voice is highly annoying, and talents like James, Liotta, Buscemi and Rudolph are wasted playing equally odd or unlikeable characters. It tries its best to spoof scary movie conventions in some moments, and attempts some kind of mystery in the story, but it is complete devoid of any good jokes of any kind, visual, physical or worded, it is up there among the worst of Sandler's films, a pointless, boring and unfunny comedy horror. It was nominated the Razzies for Worst Screen Combo for Adam Sandler & his grating simpleton voice, and Worst Remake, Rip-Off or Sequel (rip-off of Ernest Scared Stupid). Pretty poor!",Hubie Halloween
7,paul_haakonsen,"Good movie, once you get past Sandler's annoying voice...",6,10 October 2020,"Well, while I am not really much of a fan of Adam Sandler, as it tends to be pretty much the same stuff he does over and over, then I still found myself sitting down to watch the 2020 movie ""Hubie Halloween"" as it was readily available on Netflix. Granted, I didn't really have much of any expectations for the movie, nor did I know how was in it aside from Adam Sandler.And now that I have finished watching ""Hubie Halloween"", I must say that I was actually adequately entertained, and it turned out to be a wholesome movie. For me, it wasn't because of Adam Sandler or his annoying voice that he was doing in the movie, but it was a combination of the storyline and the rather amazing cast list that were here.Story-wise then ""Hubie Halloween"" was pretty straight forward. It was a storyline that had a little bit of everything in it, so it is very likely that you'll find something enjoyable in the movie, despite of your age and preference.Aside from the lead of Adam Sandler, then ""Hubie Halloween"" had the likes of great performers such as Kevin James, Steve Buscemi, Rob Schneider, Ray Liotta, Maya Rudolph, Ben Stiller, Michael Chiklis and others on the cast list. I would be lying if I said that I was wasn't impressed with the ensemble that made an appearance in ""Hubie Halloween"".While ""Hubie Halloween"" is not going to be a regular Halloween classic, it is definitely a movie worth sitting down to watch - once at least. I am rating it a six out of ten stars.",Hubie Halloween
8,Calicodreamin,Meh,5,23 October 2020,"A fun concept with a few good laughs, but really not that great. An all star cast but most of the jokes fell flat and the storyline was a bit slow.",Hubie Halloween
9,Aaron1375,A harmless silly distraction.,7,12 October 2020,"I see by its score here that many people did not care for this film, and my question to them is why did you bother watching it? Adam Sandler has been around for a while now and has made numerous movies, so by now you should really know whether or not you are going to enjoy a movie by him or not. I am not his biggest fan, but then, I usually find my comedy from stuff like MST3K and Rifftrax rather than a movie. I watched this one, only because my wife started watching it and it caught my attention when I saw Ben Stiller at the beginning with that horrible mustache! So I watched and while it was silly and goofy and immature, it also provided a nice distraction from a very bad work week for me.The story starts out with a person escaping a mental institution and then switches to Hubie, a person who is a super nice guy who likes looking out for others, but who gets picked on constantly by the town bullies even at his advanced age. Well, a guy trying to play a prank on Hubie in a corn maze gets taken by something and soon so do others. Hubie suspects it is his new neighbor who may be a werewolf, the town officer thinks it is the escaped mental patient from the beginning and soon they will find out the truth!The cast is rather good as it was fun to see a lot of the old Saturday Night Live alum in roles as well as Sandler perennials Steve Buschemi and Kevin James. One person who I kept expecting to show up was David Spade, but he was curiously absent from this one, unless I just missed him some how.So, it is not a super great comedy at all, but I enjoyed it for what it was. I thought the story was harmless enough and I liked the ending as the mother had a really funny line about her destination. It plays out like one of the those films in the 90's featuring a popular Saturday Night Live character in a full movie and like those, it does get a bit too long in the tooth; however, Sandler's Hubie has a bit more depth than girl who folds her arms and the two clubbing brothers. Though, that is not really saying much now is it? In the end, pretty much your typical Sandler character movie, by that I mean he does a voice and tries to be someone totally different rather than when he plays just a regular guy like in Grown Ups or Big Daddy.",Hubie Halloween
10,trashgang,no brainer for the whole family,6,8 October 2020,"Guess one month ago I watched my first Adam Sandler flick and to be honest I liked it and I had to laugh here and there. With all the haters out there suddenly on netflix a new Sandler flick was out and yes, I watched it and enjoyed it again.This one, is just stupid, has an annoying voice, doesn't make sense and by doing so it all worked out fine and yep, I laughed again here and there and on the end credits with all the bloopers I laughed again.Not that it is a good comedy, but it's one out for the Halloween season and one to watch with younger kids, they will love it.Smart to add some names from long ago to this flick and for the young ones smart to add Noah Schnapp to it so all Stranger Things geeks will watch it and of course Julie Bowen from Modern family.I had fun with it.
Gore 0/5
Nudity 0/5
Effects 0/5
Story 2/5
Comedy 1,5/5",Hubie Halloween
11,deloudelouvain,Watchable because of the cast.,6,1 November 2020,"Adam Sandler, I can't say I'm a big fan of him, but I watched the movie anyway. This character fits him perfectly though. With his nerdy face he only has to change his voice a bit to become the perfect town retard. He did a fairly good job with his character. The story on the other hand is a bit childish, in other words it isn't a story that will be remembered as great cinema. The cast contains a lot of good actors what makes Hubie Halloween worth a watch, just don't expect too much of it or you will be disappointed.",Hubie Halloween
12,Edvis-1997,3,3,26 October 2020,I don't know what I just watched. Like it's totally mess.,Hubie Halloween
13,cruise01,Adam Sandler being himself along with the rest of the cast.,3,13 October 2020,1.5 out of 5 stars.Hubie Halloween is a comedy film about Hubie (Adam Sandler) who tries to supervise everyone in town for being safe during Halloween. Until strange occurrences happen.Pretty boring story. The humor being slapstick and dumb which lacked the laughs but annoying. Especially hearing Adam Sandler giving the scared scream like every other scene. By the time the credits roll your left more annoyed than entertained. The fun part of the movie is seeing the cameos by other celebrities from the Happ Madison production company. If you enjoy Adam Sandlers other cheesy comedy films. You may enjoy this. Otherwise it did not provide anything new. The humor is cheesy and dumb. The plot is boring. And the movie is forgettable.,Hubie Halloween
14,Floated2,Run of the mill Sandler comedy,4,8 October 2020,"Similar to Adam Sandler's other Netflix film, Hubie Halloween is a holiday centred comedy with a low end plot, many supporting characters and several weaker jokes. This film is simply harmless fun and in terms of Sandler's films, people should know his humor and relatively know what to expect.The lead character of Hubie was rather annoying (mainly due to the voice Sandler uses) as we are supposed to have sympathy for the character. The film spends a lot of time with characters mocking Hubie, and Hubie being in odd situations. The gags with his ""thermos"" was somewhat funny as it was continuous throughout.The ending isn't completely predictable, though it isn't exactly rewarding. Ultimately this film isn't great but it's a decent family viewing.",Hubie Halloween
