,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"An improvement over Part 1, but goes out on a whimper rather than on a bang",4,16 November 2012,"As said in my review of Breaking Dawn: Part 1, I am neither a fan or detractor of the Twilight Saga, though in terms of the books I only lasted the first chapter of the first book. Of the movies, for me the best was Eclipse, and the worst New Moon. In terms of Twilight Saga: Breaking Dawn Part 2 I'd say that it is a marginal improvement over Breaking Dawn: Part 1 and ranking the whole saga I'd put it bang in the middle, but for a finale to a film series I found it very underwhelming.Does it have good points? Yes actually. I did think the scenery was really lovely, very evergreen-looking, and the photography did have some nice shots(some of the zooming though does get too much). I also thought that Breaking Dawn: Part 2 did have the best music score, courtesy of Carter Burwell, of the saga, and that Renesmee was just adorable. There are a few performances that were quite good. Michael Sheen does ham things up but he is gleefully fun to watch, Billy Burke is once again amusing and Ashley Greene is good as Alice. Dakota Fanning is also not too bad, I think an improvement over the previous instalments, but I have seen her give better performances in better movies.That said, I am still not convinced by the acting of the three leads. I will say though that Kristen Stewart does give her best performance of the series, she does finally crack a smile after looking bored previously, she doesn't mope around as much and she does show some genuine concern regarding Bella's situation. However, and it doesn't help that Bella(in my eyes) is such a dull and unlikeable character, I still didn't find her entirely convincing, her eyes show no signs of life, her face lacks expression and she has a lot of flat line delivery. Robert Pattinson does have some sweet chemistry with her, but he does look constipated a lot and his facial expressions have a tendency to be on the hammy side. They are not that bad though compared to Taylor Lautner, who is unbearably wooden here as Jacob and the constant taking off of his shirt got old quickly.On top of that, Bill Condon's direction seems rather uninspired. I am familiar with Condon and do find him a promising director/writer who observes things well, Gods and Monsters is one of my favourites, Kinsey is very interesting and Dreamgirls is decent. But there is little of what these things as good as they were on display here, so as like the previous instalment there is the sense that Condon was not in his comfort zone. A lot of things don't help though, as the dialogue continues to be clunky and almost like watching an overly-melodramatic soap opera- especially in the first half where everything is lacking in any kind of intent- and the story is plodding- though the beginning also manages to feel very rushed- in its exposition with scenes dragging on too long and very little that is exciting or surprising. The ending has no real gusto or emotional punch(though actually it still manages to be the highlight of the entire film), the fight scenes are clumsily choreographed, the opening credits go on for far too long and you just don't care for any of the characters.In regard to the special effects and make-up, they are pretty terrible here. The computer generated wolves manage to be both cheesy and stupid in design and manner and the red glaring contact lenses look dodgy and are more at home in a cartoon. While Renesmee as a baby looks so creepily fake that it is laughable, the be-headings are the equivalent of ripping the head of your favourite toy in a rage and the white greasepaint passing for make-up all looks blotchy and artificial. The closing moments are clichéd and reek of cheese as well, and the vampires are as far away from authentic as you could come. Overall, not the best or worst of the series, but for a saga finale it was underwhelming, where it had potential to go out on a bang it was more of a whimper.4/10 Bethany Cox",The Twilight Saga - Breaking Dawn - Part 2
1,bkoganbing,Volturis spoiling for a fight,6,14 December 2012,The Twilight Saga came to an end with Breaking Dawn Part II as Robert Pattinson and Kristine Stewart try to settle down as best they can with the ever present threat of the Volturi clan looming over them. They've even made some kind of arrangement with Taylor Lautner and the Indian clan of werewolves to serve as protectors of their daughter.Two things about the daughter that are relevant. One the Volturis think she's a threat as the offspring of a mortal which Stewart was then and a vampire. Second thing this crowd is perpetually spoiling for a fight and the Cullen vampire clan better get some allies even if just to serve as guarantors of their good intentions that they mean no harm to anyone.Fans of the books and the previous films will not be disappointed with the film and the ending. If you want an idea of the ending if you've seen the Kirk Douglas/Johnny Cash film A Ginfight you will have some idea of how this will end albeit with a supernatural slant.,The Twilight Saga - Breaking Dawn - Part 2
2,Leofwine_draca,Much ludicrousness and a cheat ending to boot,2,4 April 2015,"The one good thing about BREAKING DAWN PART 2 is that after watching it I can finally say that I've seen all of the TWILIGHT movies and I never need to watch them again. Because this is poor stuff indeed, an ultra-cheesy and completely embarrassing film that I'm surprised that Bill Condon had the guts to direct. How can a man go from directing something like the acclaimed GODS AND MONSTERS to this nonsense?BREAKING DAWN PART 2, being the final part of the TWILIGHT story, has a lot of work to do but most of it is wasted in a nonsensical story in which the bad Italian vampires are brought out for one final confrontation. The reason for this confrontation turns out to be entirely spurious, and scenes of Edward and Bella travelling the world and recruiting random vampires to their side are entirely unbelievable; why would anybody want to join forces with these no-hopers anyway?There are plenty of bad things here, not least the wooden performances from a great deal of cast members, although at least Kristen Stewart isn't quite as hopeless as in previous instalments. Once again Taylor Lautner gets a gratuitous shirtless scene although the werewolf pack are entirely extraneous to the story. Scenes involving a CGI baby and vampires running through the woods at speed are completely ludicrous, and the less said about Michael Sheen's appalling villain the better.Still, these things pale in comparison to the film's biggest deceit. The final movie demands a final, massed battle along the lines of HARRY POTTER AND THE DEATHLY HALLOWS PART 2 (a clear inspiration here), and we get one: a riotous, head-tearing bout of mayhem in a snowy clearing. Hell, it's the only time in the entire franchise where I actually found myself enjoying what was up on screen, and then, guess what? It was all a dream! That old cheat brought unwelcomely to the fore once again. Bah humbug indeed, and thanks to that TWILIGHT can go to hell forever.",The Twilight Saga - Breaking Dawn - Part 2
3,SnoopyStyle,don't like the final twist,5,7 September 2015,Bella (Kristen Stewart) is now a vampire. Jacob (Taylor Lautner) has been imprinted on baby Renesmee. Jacob reveals part of the secret world to Bella's father Charlie. Renesmee's accelerated growth turns her into a girl. She is spotted by cousin Irina who reports to the Volturi the suspected illegal turning of a child. Alice foresees the attack by the Volturi. The family recruits supporters or witnesses to plead their case to the Volturi.It's an improvement over Part 1. The last installment is a long exposition of everybody's powers leading to one big final battle. The movie becomes X-Men with a vast cast of new characters with new powers. I really like the final battle where so many of the characters bite it. Then there's a twist and it turns a pretty good movie into a somewhat disappointing one.,The Twilight Saga - Breaking Dawn - Part 2
4,claudio_carvalho,The End of the Saga - Leave in Peace,5,10 March 2013,"Bella (Kristen Stewart) trains her new abilities with Edward Cullen (Robert Pattinson) and they are happy to see their daughter Renesmme growing very fast. Jacob Black (Taylor Lautner) has an imprint with the child, irritating Bella. When the vampire Irina (Maggie Grace) sees Renesmme with Bella and Jacob, she believes that the child is immortal and she visits Aro Volturi (Michael Sheen) and tells what she saw. Volturi believes that the girls is a threat to the vampires and decide to travel to Forks to kill Renesmme and her parents.Alice Cullen (Ashley Greene) has a premonition with the Volturi coming to Forks and Edward and Bella visit other clans to convince them to protect Renesmme from the Volturi together with Jacob's pack. The battlefield is ready for a bloody fight. ""The Twilight Saga: Breaking Dawn - Part 2"" is finally the end of the Twilight Saga. This conclusion could have been reasonable if Part 1 together with Part 2 were just one movie. Unfortunately, the greedy producers split the novel in two movies looking to the box office and the result is two boring movies. My vote is five.Title (Brazil): ""A Saga Crepúsculo: Amanhecer - Parte 2"" (""The Twilight Saga: Breaking Dawn - Part 2"")",The Twilight Saga - Breaking Dawn - Part 2
5,nogodnomasters,I have to report a crime,8,20 March 2018,"The ultimate chick flick series has come to an end. The moody Bella, smells good to both vampires and werewolves. She gets to live forever with the man she loves, hunt puma in a slit dress, and have a special child that she only has to raise for seven years. The child is both Edward's and Jacob's (My cat has litters that way.) and maybe the producer's kid too. Bella has her ultimate chick moment when she arm wrestles a guy and wins, then uses her special power and becomes a real head turner.The highlight for me was when the Cullens sat Kristen Stewart down and gave her acting lessons. Yes I was howling at that point, yelling ""facial expressions!"" at the screen. What we found out is that Italian vampires are the bad guys. Eastern European vampires still have bad accents and Irish vampires eat British tourist. I didn't recognize Dakota Fanning (Jane) in this until after the credit roll. I need to get out more.Similar to the Harry Potter series, people who don't read the books sense there are plot points missing or glossed over. I know I did. I had to have my niece once again rescue me with the details. Let me say again, this is a chick flick with a fight scene thrown in at the end for the guys. Not as emotional or ""gushy"" as first and fourth films. Better than the second film, but then what wasn't.Parental Guide: No f-bombs or nudity. One vampire sex scene.",The Twilight Saga - Breaking Dawn - Part 2
6,kosmasp,The End,4,28 June 2013,"No I didn't check the spoiler, because I wrote the end in the summary line. I think most people are aware, that this is (finally) the last movie in the Twilight universe. What started out as a nice little teenage (girl) fantasy/wet dream, became one of the most annoying series out there. For different reasons people started to hate it. Some for its popularity with young (and older) girls. But some because it was just a bad soap, with some glitter (not only over Mr. Kristen Stewart, if they actually finally stay together, forever).This final fest, was actually more than just decent, not only because it had the prospect of ending it all. But that right there is just it and that is why I put the spoiler tag up, the end is as bad as anything Dallas did. You know the old, it was all a dream thing, works for TV (mostly), but it just shouldn't be used in movies.Apart from that bad move, you get the usual, sulking Kristen (we know she can do better than that), a vampire that is more irritating than making people yearn for him (and Robert can act too, just don't judge him on the merits of this movie alone). And a wolf that can't let go. Literally too, with a very creepy turn concerning Bellas child (we don't know yet, if he can act though).All in all, if you have watched/endured the others, what is one final piece? Almost two hours of your life, but you want to see how it ends (twice). So here we go ... Goodbye",The Twilight Saga - Breaking Dawn - Part 2
7,jboothmillard,The Twilight Saga: Breaking Dawn - Part 2,3,31 March 2013,"I knew this film, the last in The Twilight Saga and continuing from where Part 1 left off, was a big winner at the Razzies, but the critics gave it a reasonable review, so I was certainly interested to see what opinion I would have for it, having gone through all the four other films, from Razzie winning director Bill Condon (Gods and Monsters, Dreamgirls). Basically Bella Swan (Razzie winning Kristen Stewart) is embracing her life having turned from human to a vampire with new husband and vampire Edward Cullen (Razzie nominated Robert Pattinson), she is exploring the possibilities of her newfound abilities, such as high speed and increased vision, and together they are enjoying life with new vampire-human hybrid baby Renesmee. Half-human half-werewolf Jacob Black (Razzie winning Taylor Lautner) wants to protect the new baby, and Bella's father Charlie (Billy Burke) wants updates as he was told Bella was sick, so Jacob explains that she had to be ""changed"" for her life to be saved, and he turns into a werewolf to help him realise what has happened but not have it told, as any humans who find out about vampires will be killed by the Volturi. Several months pass and Renesmee (Mackenzie Foy) is growing at a rapid rate, and she is spotted by bitter Irina (Maggie Grace) on the outskirts of the woods sees the child from a distance and believes she may be an immortal being, so naturally the Volturi, led by Aro (Michael Sheen) will come after them. The Cullens prove to themselves that the rapid growth of the child will not go too much further and that she is not immortal, and summoning witnesses like the Denali family encounter one of Bella's other newfound abilities, to create a powerful mental shield to protect others from attacks in the mind. Some of these witnesses are attacked and unable to protect the Cullens, so they must fight the Volturi themselves and this cannot be avoided, and some of the unaffected witnesses do agree to stand in battle against them, it is all based on powerful abilities that want to be claimed. Aro arrives on what becomes the battle field, and he is allowed to touch Renesmee and be proved that she is not immortal, Irina accepts her mistake but is immediately killed, her sisters are restrained from taking action, but the leader still insists the child could pose future risk, and Alice Cullen (Razzie nominated Ashley Greene) and Jasper Hale (Jackson Rathbone) believe there may be other children like her. Alice shows Aro a vision of the future where he refuses to let the family and the child go free and the big battle ensues, where there are many casualties on both sides of the fight, most being the Volturi, with major characters Dr. Carlisle Cullen (Peter Facinelli), Jasper, Seth (Booboo Stewart), Alec (Cameron Bright), Caius (Jamie Campbell Bower), Marcus (Christopher Heyerdahl), Demetri (Charlie Bewley) and Felix (Daniel Cudmore) dying. The vision ends and Aro is warned that these events will become reality if he continues to pursue Renesmee, and two witnesses, a fully-grown vampire-human hybrid and his aunt undetected for one hundred and fifty years, arrive to prove that she will not be a threat, so the leader orders his guards to retreat, only getting one more glance at Alice and Bella. The Cullens return home and Alice sees a future vision of Edward and Bella together with Jacob and fully matured Renesmee, Edward reads her mind and knows that his daughter will be happy with Jacob protecting her, in the end Bella allows Edward to read her thoughts, followed by the couple sharing a kiss. Also starring Dakota Fanning as Jane, Elizabeth Reaser as Esme Cullen, Kellan Lutz as Emmett Cullen and Nikki Reed as Rosalie Hale. The cast is only slightly the alright standard to the other films, and some of the story works okay, but the problem is the length of the film, the execution and speed going up and down in pace, the special effects are less impressive, and to be honest I found this a boring end to the series, a disappointing and near terrible romantic horror fantasy. It won the Razzies for Worst Picture, Worst Prequel, Remake, Rip-Off or Sequel, Worst Screen Couple for Lautner and Foy and Worst Screen Ensemble for the Entire Cast, and it was nominated for Worst Screen Couple for Pattinson and Stewart and Worst Screenplay. Adequate!",The Twilight Saga - Breaking Dawn - Part 2
8,preppy-3,A Twilight film I actually LIKE:),8,23 November 2012,"This picks right off where Part 1 took off. Bella (Kristen Stewart) gave birth to a baby right before she was changed (into a vampire) by husband Edward (Robert Pattinson). Everything is fine but then the Volturi hear about the baby being half vampire/half human and fear that it is an abomination that must be destroyed. They travel to the USA to deal with it while the Cullens get vampires from all over on their side to help them.OK--this could have been easily done in one film. Like part 1 this film moves VERY slowly and, has subplots that lead to nowhere and has quite a few needless song montages. Also Kristen Stewart and Taylor Lautner give horrible performances, Michael Sheen overacts to an embarrassing degree and the dialogue is terrible and this doesn't make a lot of sense. Still I liked it a LOT! The cinematography is beautiful (especially on a wide screen), except for Lautner and Stewart the acting is great and there's a fantastic final battle that easily makes up for all the problems the film has. It's long, violent and brutal--my audience (composed of mostly teenage girls) LOVED it. So not a great movie but the beautiful cinematography and final battle made it worth seeing.",The Twilight Saga - Breaking Dawn - Part 2
9,CinemaSerf,"Better last thirty minutes, but three films would have been enough....",6,8 November 2020,"The problem with this and part one, is that had they been combined into one, much more tightly scripted and paced film with much less of the meandering preamble, ballads and cheesy flashbacks, this could actually have made for quite a fitting finale to Stephenie Meyer's original story. As it is, it takes way too long to build enough of a head of steam across 4 hours of cinema, and by the end - which I admit is quite action-packed, I'd really lost interest. The screenplay lacks focus for almost 90 minutes of this and despite the menace brought by (a hammy) Michael Sheen and Dakota Fanning, it still couldn't shake off the schmaltz and at the end I was still not sure who was going to hold whose hand... A partial redemption, this - but I found it just too little, too late to do justice to the book.",The Twilight Saga - Breaking Dawn - Part 2
