,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Some disappointing things, many good things and one magnificent asset- liked it very much",8,20 December 2013,"Having really enjoyed An Unexpected Journey, though it was a long way from perfect, last year, a family cinema outing for this was guaranteed. And it was worth the wait, Dad and I liked it a little less than my brother, sister and godparents(die-hard LOTR and Hobbit fans by the way) but all of us found a lot to enjoy, more so than An Unexpected Journey. Desolation of Smaug also shares imperfections, Azog is still a very one-dimensional villain and doesn't add a lot to the story(Bolg is no better either actually); the love triangle felt forced and shoe-horned in for the sake of it, including a bit that is like an inferior copy of Arwen and Arogorn; Beorn is criminally underused and any signs of development with him is rushed; the Mirkwood scene is far too short though the atmosphere was good; Gandalf deserved more to do with only his encounter with Sauron and perhaps the beginning really standing out for him; and the ending is very abrupt with a pointless, too long and really overly-silly battle between Smaug and the dwarfs(Smaug's final line was incredibly chilling though!).Moving on from the debits, the film does look amazing. I liked that we saw more locations and that the film has a softer, darker yet more storybook-like feel to it than An Unexpected Journey. The attention to detail in the costumes, make-up and sets(Laketown is fantastic) is remarkable, the photography is beautifully transitioned and atmospheric and most of the special effects are great, especially with Smaug, Sauron and the spiders and excepting the flowing gold and maybe Azog. The music in equal turn is ethereal and haunting, not the most memorable stuff that Howard Shore has written but it fits perfectly within the film. The script has a better balance between the comedic and dramatic, in fact the humour is subtle while taking much more of a serious approach than to An Unexpected Journey without being too morose. It's thought-provoking too, and Smaug's lines especially in his taunting of Bilbo and when Bilbo implores him from not attacking Laketown are just chilling.The story gets much more to the point than in An Unexpected Journey and the pacing is swifter with generally more dramatic tension(if not always consistent). There are some great set pieces too, Bilbo's encounter with Smaug is the highlight of the film, tense and brilliantly written, though the spider scene is appropriately sticky and matches it in tension, Gandalf's encounter with Sauron was brief but visually stunning and the barrel-on-the-river scene while on the over-exaggerated side is a lot of fun, inventive and thrilling. The acting is good, Martin Freeman is still appealing in a curmudgeon sense, Ian McKellen is still perfect as Gandalf(even doing things that you do not expect someone of his age to still do, but he should have had more to do), Richard Armitage is a brooding presence and succeeds in showing Thorin's worse qualities and Ken Stott stands out among the dwarfs, he is fun and wise here. Orlando Bloom has some charisma, Lee Pace plays the morally ambiguous character of Thranduil just right(he does come across as a douche but from a moral perspective he is an interesting character) and the astonishingly beautiful Evangeline Lilly brings some real heart as the most likable character of the film.Stephen Fry chews the scenery amusingly, Sylvester McCoy does respectably with Radagast wisely being given a backseat and Bard is well played. The best asset of the film though is Smaug. Right from his design, the best-looking dragon design since that for Dragonslayer. To how cunning, manipulative and physically mighty he is. And to Benedict Cumberbatch's(one of the most talented actors to date) booming, sly, sinister and really quite phenomenal voice-work in definitely the most evil role he has done to date. The film absolutely nails the scene between Bilbo and Smaug, and Smaug and Cumberbatch have much to thank for that, as well as the writing being the best it is. While the film is not faithful at all really to Tolkein's The Hobbit apart from some details- it's often more Lord of the Rings-feeling(though not as good) than The Hobbit- the first half of the scene between Bilbo and Smaug does show clear evidence of fidelity, with the dialogue almost straight out of the book.Overall, judging it as a stand-alone- which in all honesty it deserves to be, one of those things that I'm getting sick of repeating but it's necessary because of how much of a problem it seems to be(not quite as bad as people having no regard for other people's opinions and making out they're the only ones that are right, there's a lot going on here too)- The Hobbit: Desolation of Smaug was a flawed but very entertaining film and superior to its predecessor from personal opinion. 7.5/10 Bethany Cox",The Hobbit - The Desolation of Smaug
1,Leofwine_draca,What on earth was Peter Jackson playing at?,4,9 April 2016,"I thought the first Hobbit film, AN UNEXPECTED JOURNEY, was just about passable, although spoilt by the inclusion of random CGI action scenes and a general lowbrow comedy feel. Unbelievably, this sequel, THE DESOLATION OF SMAUG, is even worse. Peter Jackson's once undeniable talents as a director seem to be rapidly departing him, as he's churned out a random CGI kid's adventure film which has virtually no resemblance to the middle section of the Tolkien novel.The problem with this overlong and incredibly dull movie is the amount of extraneous material. Whoever thought it was good idea to bring back Legolas (complete with CGI eyes this time around) was an idiot. His ridiculous fight scenes are an embarrassment. I could just about cope with Arwen's presence in THE LORD OF THE RINGS trilogy, but Evangeline Lilly's presence here is unforgivable.The CGI is constant and unending. Most of the backdrops are done with CGI, and even the orcs are now CGI too. They look poor, very poor. We even get CGI moths and butterflies and CGI bumblebees. Jackson has no idea that less is more when it comes to computer effects and instead keeps plonking them in constantly, resulting in a film which looks fake from beginning to end. Performances across the board are poor - the actors are merely required to interact with CGI scenery after all, and a sense of weariness and exasperation has set in - and the long-winded bit where Bilbo finally makes it to Smaug's lair is sleep-inducing, it's so dragged out. However, the stupid barrels-down-the-rapids sequence has to be the nadir of the whole thing...",The Hobbit - The Desolation of Smaug
2,SnoopyStyle,A good improvement over the first,8,2 November 2014,"Bilbo Baggins (Martin Freeman) and the dwarfs led by Thorin Oakenshield are on a quest to recover the Arkenstone from the dragon Smaug (Benedict Cumberbatch) and unite the dwarf armies. The group travels through Mirkwood where they encounter the wood elves. Tauriel (Evangeline Lilly) and Legolas (Orlando Bloom) are elves who end up following the group. Meanwhile, Gandalf (Ian McKellen) goes off to investigate the true enemy behind the looming threat.This is a good improvement over the first part. It is essentially one long road trip. There is no need for an introduction. There are several compelling action sequences. I especially like the barrel rides. Also there are a couple of good character sequences. Oakenshield and Tauriel have some good interactions and build up some good chemistry. Then Bilbo has some great funny moments with Smaug. It's a great ride and what I hoped the first movie would have been.",The Hobbit - The Desolation of Smaug
3,Hitchcoc,A Mile a Minute,8,7 January 2014,"After reading some of the previous reviews, I wonder what it takes to engage the modern viewer. It seems we have become so jaded that we see the necessity of giving a one star review to something as phenomenal as this film is. It is filled with action, sets of remarkable creativity, amazing characters, in a complex plot that made me long for the conclusion. I know it doesn't follow the book religiously. Get over that. Even a fifteen hour miniseries based on a novel fails miserably. Of course, every English teacher on the planet knows that we are working in two entirely different mediums. Books and movies are different! What Peter Jackson has done is taken the primary plot and allowed his script writers to take what is given and supplement it with their own creativity. The first film, though imperfect, does set the stage for this superior second effort. What we get is nonstop action, moving the characters toward the object of their quest. Tolkien's rules are followed if not the letter of the plot. The first film was criticized for being too talky. Now this one is being criticized for not being talky enough. For me, the scene where the gang must escape an elven prison and face the orcs is one of the most delightful fifteen minutes I've ever spent in a movie theater. I don't expect an action film based on a book with voluminous characters to have character development like ""Driving Miss Daisy."" See the film for what it is and count yourselves lucky to have the luxury of being able to see the amazing accomplishments of the Peter Jackson's of the world.",The Hobbit - The Desolation of Smaug
4,Horst_In_Translation,Not getting better unfortunately,6,5 January 2014,"""The Hobbit: The Desolation of Smaug"" is the second of three films depicting Tolkien's ""The Hobbit"". It's directed like the Lord of the Rings films and the first hobbit movie by Peter Jackson again and also features many of the actors from the previous movies. I have to say I enjoyed the first Hobbit film quite a bit, so I was certainly eager to see this one. Unfortunately, it left me slightly disappointed. It's not much worse than the first and has certainly a handful interesting sequences, but as a whole somehow I wasn't really wowed. The usual criticism about these films is that the book is simply too small to justify three very long movies and while I have been so far of the opinion that it's actually possible to make three good films, this movie has gotten me closer to really understanding the previously mentioned criticism. Also I wouldn't have minded if Jackson had included simply additional characters or story lines to fill the time or just kept the films below the 100-minute-mark.The first 100 minutes of ""The Hobbit: The Desolation of Smaug"" really really dragged a lot and none of the characters were interesting enough to keep me particularly interested. Had it gone on like that, my rating would have been considerably lower, but thankfully the film really gained steam the moment Smaug wasn't only talked about, but actually entered the picture from the very moment Bilbo stepped into the treasure chamber. This was also a Sherlock reunion for Benedict Cumberbatch and Martin Freeman and easily the highlight of the film. The visual effects were fantastic, the treasure chamber with all the gold and coins and jewels was the perfect setting for this very one-sided face-off and I enjoyed every minute of it. I just wish the other parts of the film could have been equally good. However, the love story, the sickness parts or even the motivational moments such as the dwarfs trying to get their home back didn't seem convincing to me at all, sometimes even cringeworthy sadly. Not even Gandalf could really win me over with his scenes although they were certainly among the better ones from the film just because the character is so memorable. The goblin creatures were scary, but I felt they could have been even more intimidating. One really big problem I had with this film was the change of Bilbo. While Freeman did a solid job in portraying him, I just couldn't believe the transformation he took so quickly, even if a lot of it came from the ring, how he rescues everybody from the elves thanks to his wit and speed or how he kills dozens of giant spiders. He felt almost like the James Bond of Middle-earth at some point, not a credible character development looking at how anxious he was just shortly before all his heroic deeds. The aforementioned spider scene is definitely nothing for people with arachnophobia or maybe especially for these if shock therapy may be the right thing. Even I was quite intimidated during that part and the part with the giant spider is also one from the Lord of the Rings films I remember the most.Anyway, I think they could have easily cut 45 minutes from the second film of the Hobbit trilogy and it would not have hurt the overall picture at all, probably even helped it without some of the less interesting parts. The scenes with Smaug really saved the film from being a complete disaster. Besides that I also liked Stephen Fry in his small part, but I totally love the man and think he's a complete genius, so this may just be personal perception. Here and there, the movie had interesting references back (or forward, I shall say) to Jackson's Lord of the Rings trilogy, but it's not enough to grant a really high rating. I truly hope, the final chapter around Christmas 2014 will be better again.",The Hobbit - The Desolation of Smaug
5,claudio_carvalho,Another Great Adventure,8,23 March 2014,"The thirteen dwarfs commanded by Thorin (Richard Armitage), the burglar Bilbo Baggins (Martin Freeman) and the wizard Gandalf (Ian McKellen) travel to Lonely Mountain to steal the Arkenstone from the dragon Smaug to join the dwarfs. Along their dangerous journey, they need to fight against giant spiders and Orcs and they are captured but flee from the Elves. But Smaug is not easily deceived and flies to Lake-town to destroy the town and the dwellers.""The Hobbit: The Desolation of Smaug"" is another great adventure of Thorin, the dwarfs, Bilbo Baggins and Gandalf. It is good to see Evangeline Lilly, the unforgettable Kate from ""Lost"", performing an important role again. My vote is eight.Title (Brazil): ""O Hobbit: A Desolação de Smaug"" (""The Hobbit: The Desolation of Smaug"")",The Hobbit - The Desolation of Smaug
6,mark.waltz,Into these woods I wouldn't like to go.,8,5 September 2017,"But you've got to go through the woods to get to the mountain to slay the dragon, and what a venture it is. I wouldn't want to face the giant, blood thirsty spiders who will argue with each other after bundling you up before they go for your blood. I wouldn't want to face the various creatures who also dread the dragon but refuse to help the dwarfs (lead by the handsome and fearless Thorin) and the ring wearing invisible Hobbit Bilbo Baggins. Anxious to tell wizard Gandolf about the ring, Bilbo simply says he's found his courage. He'll find a lot more than that before this adventure is over. Even worse than these human looking creatures with dark souls filled with prejudices, there's also the demonic looking creatures who serve the dragon, a heroic female (Cate Blanchette) and a cursed creature whose form keeps changing against his will. It was established in the first film the judgmental prejudices between dwarfs and hobbits, bonded together because of a common cause, a metaphor if ever I saw one for a reason that humans must band together to fight the evil human dragons who threaten to destroy peace and freedom today.There literally is a sequence where Bilbo and the dwarfs go over some dangerous falls in barrels, nifty action battle sequences, and of course, middle earth enemy #1, the dragon Smaug. I've had mixed feelings about these often loud fantasy franchises, whether too set in the world of the dark arts or so over the top with computer generated special effects. So I keep these in perspective and am overjoyed when like this, they are actually highly above average. It's difficult to realize where live action filming begins and computer generated effects begin, but as long as there's characters you genuinely root for, then I am in favor of them. Most of the rest, not so much.",The Hobbit - The Desolation of Smaug
7,nogodnomasters,WHAT HAS PETER JACKSON DONE?,9,28 August 2018,"The second installment is in the books as the dwarfs try to regain their home. In this episode we are introduced to a passionate elf named Tauriel (Evangeline Lilly) one of the bright spots of the film. I thought the spiders were more realistic. Tauriel reiterates a basic theme ""Are we not part of this world?"" When good people stand by, evil wins.It was interesting to see Legolas (Orlando Bloom) in this film as it establishes his relationship with the dwarfs to create better story continuity. At the same time the continuity is lost as we never have that scene in LOTR when Legolas says to Gimli, ""Hey, I met your father."" Radagast (Sylvester McCoy) once again appears in the Hobbit, a wizard cut out of LOTR for ""brevity."" If only we could go back and film it all over.The film ends at an awkward point. Most people I have talked to claimed this was better than the first installment with more action. I will admit I enjoyed the first feature better, and of all the 5 films released to date, I would rate this as the weakest. Still, if you are going to see the third film, you pretty much need to see this one in spite on any shortcomings. Yes, the weakest of the five, I still loved and rated 9 stars.",The Hobbit - The Desolation of Smaug
8,kosmasp,The bigger/higher they are ...,7,18 June 2014,"And I'm not only talking about Smaug here, although this being part 2 you can imagine there is a lot more to come (obviously). No I'm talking about Peter Jackson and the Tolkien universe in general. It's obvious that some people will get fatigue after a long series. Especially one that gets stretched even more than necessary. The movie itself is technical on a level that is really great. The acting is solid and the story holds its own.Still I won't tell anyone how to feel about this. Especially considering the fact that we get a teenage formula integrated into this. The very well known two male fighting over one girl thing that worked for Twilight, Hunger Games and other movies that came out recently. It's obviously to reel in a bigger female audience or at least to keep them interested, while the male audience is there from the get go (Fantasy, action, adventure, who could say no to that, with Special effects to enhance it all).So while it feels stretched and Jackson does take liberties (giving us new characters like the one played by Lilly or inserting ones that weren't there in the original book), you can still have a lot of fun watching it. You just have to find a ground to enjoy this for what it is ... a bridge to part 3 ...",The Hobbit - The Desolation of Smaug
9,classicsoncall,"""No matter what may come, stay on the path.""",9,29 November 2014,"""The Lord of silver fountains, King of carven stone, the King beneath the mountain, shall come into his own"".With those words of Durin's prophecy, the rag-tag bunch of dwarfs led by Thorin Oakenshield (Richard Armitage) continue their journey through the elf-land of Mirkwood, the village of Lake Town and on to Ereborn, home of Smaug the Dragon, guardian of dwarf treasure of legend. I have to wonder what Tolkien might have thought about his characters and locations put to the big screen to earn him a new generation of fans and followers of the Hobbit and The Lord of the Rings.To be sure, there's some poetic license taken with this installment of the original Hobbit story, so if you're a Tolkien purist the movie will probably give you fits. Personally, it's been a considerably long time since I've read the books and my memory is hazy on specific points. However I find that overall, the films provide a rich tapestry of characters and geography set in a fictional universe that's the rival of any work in literature or entertainment.",The Hobbit - The Desolation of Smaug
