,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,nice little film,7,24 November 2020,"Diane Sherman (Sarah Paulson) is an overly protective mother to homeschooled wheelchair-bound teenager Chloe (Kiera Allen). Chloe grows suspicious of the pill her mother gives her.This is a nice little simple psychological horror. The script has a few minor flaws but I can deal with that. The pharmacist is way too stupid. It could have been fixed if she calls social services. That could have led to a tense scene when a social worker comes knocking at the door. Another scene is breaking the window. It's very unlikely to work and she could have just hit it with something like a hammer. When Chloe conveniently discovers everything, it would be more intense if she tries to placate her mother. Newcomer Kiera Allen is actually a pretty good actress and I would like her to try changing gears in her characterization. All in all, this is nice but it could be even better. It needs a bit more mystery. It could be smarter but it's still pretty good.",Run
1,nogodnomasters,I'm not going to hurt you,7,29 November 2020,"Chloe (Kiera Allen) was born with a number of disorders and is lucky to be alive. She is in a wheel chair and is awaiting her college acceptance letter. She is home schooled by her mother. And then PLOT SPOILER Chloe discovers her mother is giving her medication to keep her legs numb. So much for mother-daughter love and trust. Things escalate.Interesting story for just two main characters for much of the feature, of which half is building the characters. Nice twists. I think it has been done before, but it was well done here.Guide: No swearing, sex, or nudity.",Run
2,kosmasp,Mommy knows best,8,18 February 2021,"That is something that is mostly true, right? We do accept the wisdom and the experience when it comes to what our moms know and do believe they only have the best interest in their mind. Although obviously that is our best interest - or rather should be.A thriller of this kind can be quite ... flawed and can really drag itself. Not just pacing wise, but character wise, where you may lose patience with what is being done and accepted by some. But having Sarah Paulson in the middle of this, this is quite the stroke of genius casting. I first became aware of her in the show American Gothic (which was unfortunately cut way too early and I have to revisit asap) and have been a fan of her work ever since. Same goes for this one, even if some may disagree overall. Just suspend your disbelief and take this for what it is",Run
3,Sleepin_Dragon,Bad medicine.,8,9 April 2021,"Sara Paulson and Kiera Allen combine beautifully to play mother and daughter in this twisted thriller. A young, disabled girl is convinced that her mother is hiding a dark secret, surely there's a reason why she's shut away from the outside world.After a slow start, it opens up very nicely, it's twisted, and will definitive you vibes if Misery.It is slow to start, but as it develops, it really does gather momentum, and ends with a dramatic climax. You will need to suspend your disbelief, as most of the events are thoroughly non believable, however it is the land of make believe, take it for what it is.I love Sara Paulson, and this is another example of what a fine actress and is. She knows only too well how to play the psycho role incredibly well.Very good, 8/10.",Run
4,lee_eisenberg,you don't even know that you don't know,7,23 December 2020,"There have been quite a few thrillers about people who aren't what they seem, but Aneesh Chaganty's ""Run"" is still enjoyable. Originally planned for a theatrical release, it got postponed due to a certain pandemic, so it aired on Hulu. Sarah Paulson plays a mom who just might have a few skeletons in her closet. There were some clever tricks played throughout the movie, even if they wouldn't have gone exactly as depicted.Not a great movie, but watchable.",Run
5,Tweekums,Does Chloe's mother have her best interests at heart?,8,27 September 2021,"Diane Sherman appears to be a loving mother. She home schools Chloe, her disabled daughter, and is proud of her as she waits to hear from colleges she has applied to. She feeds Chloe only wholesome organic food and makes sure she takes the medicines for her various conditions every day. Then one day Chloe sees that her medication appears to be prescribed to her mother; Diane has an explanation but a seed of doubt has been planted. Chloe determines to find out more about her pills... what she discovered turns her world upside down as she must consider the possibility that her mother is the one making her ill.I found this while looking for a ninety minute horror film on Netflix; I don't think I'd classify it as horror even though it provides the scares it doesn't have most elements one associates with the genre. That said I enjoyed it more than I expected. The setting, and fact that Chloe can't walk, give a really good claustrophobic feel. The fear factor beats that on many horror films as rather than relying on a monster or maniac the potential danger comes from the person our protagonist should trust most... indeed until her accidental discovery she did trust her. Kiera Allen is really great as Chloe and Sarah Paulson impresses as Diane. There are some details that aren't exactly plausible but these can be put down to dramatic license; finding more realistic explanations for certain things would have slowed the film down. Overall I'd certainly recommend this to anybody wanting a good taut thriller but who doesn't demand lots of shooting, explosions and chases.",Run
6,paul_haakonsen,A rather intense and entertaining thriller...,6,7 January 2021,"I hadn't heard about the 2020 ""Run"" from writers Aneesh Chaganty and Sev Ohanian prior to getting to sit down to watch it. I looked it up on IMDb just before watching it, hoping to get an idea what I was in for; so I read the synopsis for the movie, but not any reviews.Normally I am not one to watch an abundance of thrillers, because the genre tends to be pretty much a dime a dozen, but still with the chance given to sit down to watch this particular movie, I did so.And I will say that director Aneesh Chaganty definitely delivered an entertaining movie. The storyline presented in the movie was one that had me thoroughly entertained, and I enjoyed how the writers kept me in the dark, letting me guess as to what was really going on. And director Aneesh Chaganty managed to reveal more and more of the actual happenings in small bits and pieces, which definitely left me wanting for more, and it was such a good sensation when it dawns upon you what is actually happening.""Run"" is a movie that is driven by some great acting performances by the two leads; that being Sarah Paulson (playing Diane, the mom) and Kiera Allen (playing Chloe, the disabled daughter). And since there weren't all that many people in the movie, the pressure of delivering was bigger for the leads, but they mustered this with excellence.The build up of the storyline is good and keeps you wanting more, and I like how the director just gradually feeds you bits and pieces of the storyline, as it makes for a very intense movie.I was definitely entertained by ""Run"" and it is a movie that was well-worth taking the time to sit down and watch. The ending of the movie, though, was just rubbish - pardon my bluntness here. But that ending was just ridiculous; and no, I am not revealing it, as you have to experience it yourself.My rating of ""Run"" lands on a well-deserved six out of ten stars.",Run
7,deloudelouvain,"Suspenseful, glad I didn't pay attention to the complaining negative reviews.",8,26 November 2020,"Once again I come to the conclusion I can't trust the negative reviews on here as after watching Run I just think the opposite of those reviews. I wanted to watch an engaging mysterious thriller story and that's exactly what I got, so no I won't complain about Run. There is a constant high suspense what keeps you very focussed on the movie. Sarah Paulson and Kiera Allen both did a great job playing their characters. Run is one of those movies I wished they made more of, one with a good entertaining story, a nice pace so you never get bored, a good soundtrack and more than capable actors. Perfect movie for a nice cinema evening!",Run
8,FeastMode,"slow start, intense finish",6,1 August 2021,"It takes a while to get going. But when it does, you can't look away. I had a good time with this movie. (1 viewing, 7/31/2021)",Run
9,Pjtaylor-96-138044,Motherly misery.,7,5 April 2021,"'Run (2020)' is centred on a wheelchair-bound teenager who, on the cusp of going to college, begins to suspect that her mother is hiding a sinister secret. For much of its runtime, it plays out as a sort of low-key (or, perhaps, 'realistic') mystery focused primarily on its lead character's increasingly cunning means of uncovering the truth. After a certain point, though, it dips into much more generic territory and takes the form of a much more formulaic thriller. After this point, the motivation of a certain character slips from 'almost understandable' to 'downright insane' and it loses almost all sense of nuance and, even, realism. Basically, there's a definitive villain who - despite having suffered trauma and clearly being in need of psychological help - doesn't feel like they can ever be redeemed. Naturally, this is a lot less interesting than what the film initially sets up. However, the picture manages to move past its mistakes because it's constantly exploring new angles of its generic events. A large part of that is thanks to the fact that it focuses on a disabled character (portrayed by a real wheelchair user), a perspective not often seen in cinema of any kind. She's smart, capable and resourceful; it's incredibly satisfying to see her overcome the increasingly difficult obstacles in her path. The flick is suspenseful and tense when it needs to be, taking cues from films such as 'Misery (1990)' to keep its audience right where it wants them to be. It's really entertaining, actually. It just trips over itself every now and again. It's ultimately rather generic in a lot of ways, which is a tad frustrating since it's so distinct and progressive in others. Still, it's a strong entry in its genre. It might not reinvent the wheel, but at least it shows it from another angle. 7/10.",Run
