,NO,Movie_title,Year,Genre,Rating,Votes,Directors,Stars,Scenario,Gross,Certificate
0,551,National Lampoon's Animal House,(1978),['Comedy'],7.5,116998,['John Landis '],"['John Belushi, Karen Allen, Tom Hulce, Stephen Furst']","['At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.']",$0.20M,R
1,552,They Live,(1988),"['Action, Sci-Fi, Thriller']",7.3,121679,['John Carpenter '],"[""Roddy Piper, Keith David, Meg Foster, George 'Buck' Flower""]",['They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.'],$13.01M,R
2,553,Children of the Corn,(1984),"['Horror, Thriller']",5.6,50546,['Fritz Kiersch '],"['Peter Horton, Linda Hamilton, R.G. Armstrong, John Franklin']",['A young couple is trapped in a remote town where a dangerous religious cult of children believes that everyone over age 18 must be killed.'],$14.57M,R
3,554,The Twilight Saga - Breaking Dawn - Part 2,(2012),"['Adventure, Drama, Fantasy']",5.5,240474,['Bill Condon '],"['Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli']","['After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.']",$292.30M,PG-13
4,555,The Maze Runner,(2014),"['Action, Mystery, Sci-Fi']",6.8,440486,['Wes Ball '],"[""Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster""]","['Thomas is deposited in a community of boys after his memory is erased, soon learning they\'re all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.']",$102.43M,PG-13
5,556,A Knight's Tale,(2001),"['Action, Adventure, Romance']",6.9,179721,['Brian Helgeland '],"['Heath Ledger, Mark Addy, Rufus Sewell, Shannyn Sossamon']","['After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.']",$56.57M,PG-13
6,557,Sixteen Candles,(1984),"['Comedy, Romance']",7.0,110784,['John Hughes '],"['Molly Ringwald, Anthony Michael Hall, Justin Henry, Michael Schoeffling']","['A girl\'s ""sweet"" sixteenth birthday becomes anything but special, as she suffers from every embarrassment possible.']",$23.69M,PG
7,558,Stand by Me,(1986),"['Adventure, Drama']",8.1,382255,['Rob Reiner '],"[""Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell""]","['After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.']",$52.29M,R
8,559,The Shape of Water,(2017),"['Adventure, Drama, Fantasy']",7.3,396145,['Guillermo del Toro '],"['Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones']","['At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.']",$63.86M,R
9,560,Official Secrets,(2019),"['Biography, Crime, Drama']",7.3,42484,['Gavin Hood '],"['Keira Knightley, Matt Smith, Matthew Goode, Rhys Ifans']",['The true story of a British whistleblower who leaked information to the press about an illegal NSA spy operation designed to push the UN Security Council into sanctioning the 2003 invasion of Iraq.'],$0.40M,R
