,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Warm and pleasant with exceptional performances,9,13 February 2011,"What's Eating Gilbert Grape does require patience, that I do agree with. But as a film it is very involving, gentle and engaging and it also did touch me. The film is well made with striking cinematography and locations, the story and script are all well crafted and Lance Hallstrom's interesting direction makes the film warm and pleasant as it is.The performances are exceptional. The supporting performances that consist of the likes of Juliette Lewis and Crispin Glover are very winning, but I was even more impressed with the leads. As great as Johnny Depp is, it is Leonardo DiCaprio who really captivates.So all in all, a very good film and anchored especially by the acting. 9/10 Bethany Cox",What's Eating Gilbert Grape
1,bkoganbing,Grape Family Values,8,1 February 2010,"Johnny Depp whose penchant for quirky and unusual characters is a hallmark of his career plays a fairly normal kid in the title role of What's Eating Gilbert Grape. What's eating him is that he's stuck in the role of family breadwinner, guardian to his younger siblings, and in a most nowhere job. The future isn't looking up.It all kind of devolved on him naturally when years ago his father just up and left the family one day without warning, or at least without warning to a child. His mother Darlene Cates grew morbidly obese, ballooning up to 500 pounds, his sisters are having the usual adolescent problems. But his mentally retarded brother Leonardo DiCaprio who is the real problem. He needs constant watching every minute, something Cates just can't do, she can't even get up to the second story of the Grape family home. It all falls on Depp.Not that there aren't certain compensations for him, Mary Steenburgen asks for him to make special deliveries to her house when husband Kevin Tighe is at the office. But life is generally drab in Iowa for him until Juliette Lewis's trailer breaks down in the Grape neighborhood. When Depp gets involved with her she points him in the direction of a much wider world, something we all need to realize at some point in our lives.What's Eating Gilbert Grape is distinguished mostly for the Academy Award nomination it received for Leonardo DiCaprio for playing the mentally retarded Arnie Grape. DiCaprio is unbelievably convincing as a retarded kid, to think almost a decade later he'd be playing Howard Hughes on the big screen. But part of his performance is no doubt due to Johnny Depp as well. Most of DiCaprio's scenes are with Depp and they bring the best out in each other. Very much like Rain Man with Tom Cruise and Dustin Hoffman.Both DiCaprio and Depp have gone on to give the movie-going public a wide variety of roles to see them in. But they are something special in What's Eating Gilbert Grape.",What's Eating Gilbert Grape
2,SnoopyStyle,Beautiful acting,8,28 December 2013,"Gilbert Grape (Johnny Depp) has to care for his mentally handicap brother Arnie (Leonardo DiCaprio) and his morbidly obese mother (Darlene Cates) in the hard scrabble tiny town of Endora. His dad's dead. He works at the town's dying grocery store, and is having an affair with one of its customers Mrs Carver (Mary Steenburgen). Every year, the town is invaded by a fleet of trailers. One of those trailer people is Becky (Juliette Lewis).This is a dysfunctional family where everybody is tiptoeing around the mother's obesity and the tragedy of its past. These are well defined and sharply acted roles. The unspoken things are tearing this family down bit by bit. Johnny Depp is doing some beautiful acting as a guy tied down by responsibilities. Leo is believable as disabled. And Juliette Lewis is lovely. This is a gorgeous movie, both as a story and in terms of acting. Darlene Cates will break your heart.",What's Eating Gilbert Grape
3,classicsoncall,"""We've always had a reasonable deal on pickles.""",8,28 November 2014,"Until today, my impression of the movie's title was that it was asking a question. It never occurred to me that the story was in fact trying to answer one. For Gilbert Grape (Johnny Depp), life is an imponderable existence, trapped as he is in a fatherless family with a mentally challenged younger brother (Leonardo DiCaprio), an obese mother (Darlene Cates) whose dimensions threaten the very foundation of their home, and a pair of sisters (Laura Harrington, Mary Kate Schellhardt) who find it difficult to maintain some semblance of normality in a community that considers the family a spectator attraction. But if you think about it, they might not have been the oddest characters living in Endora. The town also features a harmless joke mortician (Crispin Glover), a sad and lonely woman trapped in a loveless marriage (Mary Steenburgen), and a family friend (John C. Reilly) who insists that the soon to arrive Burger Barn is nothing short of cutting edge in the fast food industry. Into this mix arrives a free spirit angel (Juliette Lewis) who tries to help Gilbert realize his self proclaimed goal of being a good person. The film has it's absurd moments along with the bittersweet, and it was for that reason I found the marching band's choice of song to greet the Burger Barn as truly ironic - 'This Magic Moment'. By the time the picture is over, one realizes that even if our hero Gilbert has 'got nowhere to go', he's always been exactly where he needed to be.",What's Eating Gilbert Grape
4,gavin6942,"Decent Film, But Not One of Depp's Better Roles",7,30 May 2011,"Gilbert Grape (Johnny Depp) has to care for his brother Arnie (Leonardo DiCaprio) and his obese mother (Darlene Cates), which gets in the way when love (Juliette Lewis) walks into his life.What really sells this film, for me, is the cast. Besides those mentioned above, we also have John C. Reilly and Crispin Glover, both of whom are amazing (and Reilly was not well-known yet, I believe). The plot itself is nothing really special, and if there is some deep message, I guess I missed it.Unfortunately, I would rank this as one of Depp's lower roles. He is not quirky, or handsome, or charming or funny. He is just a guy with terrible hair and a messed up family. I might be misjudging him because it is so unlike any other role he has done, but it did nothing for me. Depp himself felt he played the character of Gilbert in a ""boring"" way, and I agree.",What's Eating Gilbert Grape
5,lee_eisenberg,"""grape"" of justified wrath",10,27 April 2006,"Leonardo DiCaprio first caught our attention as mentally retarded Arnie Grape, cared for by his brother Gilbert (Johnny Depp) in Endora*, Iowa. The movie shows how Gilbert is really in charge of the family, as their mother Bonnie (Darlene Cates) is dangerously overweight, and pretty much everything in their destitute world looks pretty grim. Among other things, there's a mega-store destroying the local place. A bleak movie, but with hope.Lasse Hallstrom brings to ""What's Eating Gilbert Grape"" the same great direction that he brought to ""My Life as a Dog"", ""The Cider House Rules"" and ""Chocolat"". It's a look at the whole failed state of things in the world. A truly great movie. Also starring Juliette Lewis and John C. Reilly.*While we were watching the movie, I thought that they were saying ""Andorra"", the country in the Pyrenees! Still, the town had the name of the ""Bewitched"" mother.",What's Eating Gilbert Grape
6,jboothmillard,What's Eating Gilbert Grape,7,1 May 2007,"From director Lasse Hallström (The Cider House Rules), this is an inspired film with a fantastic cast of actors. Basically Gilbert Grape (Johnny Depp) lives in Endora, where not much happens, with his quite unusual family. He has an obese 36 stone mother Bonnie (500 pound weighing Darlene Cates), two sisters, Amy (Laura Harrington) and Ellen (Mary Kate Schellhardt), and a very close and inescapable bond with his mentally handicapped autistic brother, Arnie (Oscar nominated, and then unknown Leonardo DiCaprio). Gilbert's life is almost stolen from him by having to look after his family, particularly Arnie, but stranded free spirit Becky (Juliette Lewis) who gives him more feelings. Also starring Escape to Witch Mountain's (the crap one) Kevin Tighe as Ken Carver, The River Wild's John C. Reilly as Tucker Van Dyke and Crispin Glover as Bobby McBurney. The only giggle I laughed at was the car driving with half almost on the ground (because of the mother), there are many serious issues as well, e.g. coping with mental handicapped people, extreme obesity and losses. The most memorable moments, good and bad, are the mother being stared at (and photographed!) when leaving the police station, Gilbert striking Arnie, and the mother's tragic death after Arnie's 18th birthday (the doctor's predicted he'd die at 10) and being cremated in the house instead of having more starers see her lifted by a crane. As the only Oscar nominated was for DiCaprio's extraordinary and believable performance, he could have won it (he lost it to Tommy Lee Jones in The Fugitive). Leonardo DiCaprio was number 94, and Johnny Depp number 22 on The 100 Greatest Movie Stars, he was also number 9 on The 100 Greatest Sex Symbols, and he was number 2 on The World's Greatest Actor. Very good!",What's Eating Gilbert Grape
7,ccthemovieman-1,This Movie Was A Scream!,6,12 June 2007,"This was well-acted, interesting and a bizarre story but, man, one viewing was enough. That was because of Leonardo DiCaprio's title character, ""Arnie Grape,"" is hard to take in more than one dosage.The young DiCaprio, in the beginning of what has become a solid acting career, plays this mentally-challenged kid who yells all the time. Who wants to hear someone ranting and raving all the time? Not me. That ""act"" wears thin, believe me. It's shocking to see a 400-pound woman (Darlene Cates) acting in this movie, but here she is, playing the boy's mother ""Bonnie,"" and she does a fine job of acting as all do in here. That includes the weird Johnny Depp doing something really strange for him - playing a normal person, the title character of ""Gilbert Grape.""As with many stories dealing with dysfunctional families, the movie is not always a lot of fun to watch, but it's one you remember. Kudos to all concerned for a memorable film, even if I didn't care to watch it a second time....although I just might now that it's been a long time since the first viewing, and it's out on DVD.This is just one of many, many extremely interesting movies that came out in 1993, a year, I think, that was the best ever in films.",What's Eating Gilbert Grape
8,Tweekums,A delightful drama set in a some where little happens,8,22 November 2012,"Endora, a small town in rural Iowa, is home to Gilbert Grape and his family. After his father committed suicide some time earlier his mother fell into a state of depression and became morbidly obese; now she doesn't even leave the house and his younger brother Arnie is mentally disabled. It is up to Gilbert and his to sisters to look after there mother and Arnie. Gilbert acts as friend and protector to his brother; it isn't easy though as he is almost eighteen but has the mind of a young child... when a child in the body of an eighteen year old decides to be naughty it can be difficult for those around him. Arnie loves climbing; he spends much of his time up various trees, he also loves climbing the town's water tower; he finds it exciting but it is obviously very dangerous. Not much happens in Endora; in fact so little happens that watching the procession of holiday makers' trailers each year is one of the things Arnie looks forward to; this year one of them will have quite of an effect on them; Becky and her mother are travelling through when their car breaks down; it will take a week or so to get the part they need and in that time Becky will have quite an effect on Gilbert.If you are looking for action and excitement or a constant stream of laughs then this isn't the film for you; however if you want a gentle story with characters who seem real, with moments of comedy, romance and tragedy then this might be just the film you are looking for. The film has a melancholy feel; Endora feels like a town that time passed by; less and less people go to the grocery store Gilbert works at because a new out of town shopping centre has been built and Gilbert's friend Tucker sees the arrival of a new Burger Barn way of getting a job with good prospects! It isn't all downbeat though; Arnie's childlike enthusiasm for life is heart-warming even if his condition makes things difficult for his family and the arrival of Becky, a beautiful girl who will only be there a week or so clearly lightens Gilbert's mood. The cast does a fine job; Johnny Depp puts in a nicely restrained performance as Gilbert; Leonardo DiCaprio is great as Arnie; one of the best performances I've seen him give and Juliette Lewis was just right as Becky; there was something almost ethereal about her which was ideal for a character who was just passing though. Also of note is Darlene Cates who put in a fine performance as the mother despite not acting before this film. Over the course of the film expect to laugh and cry but ultimately be left with a smile on your face.",What's Eating Gilbert Grape
9,moonspinner55,A sweet story without much drive...,6,3 October 2005,"Slightly askew fairy tale from director Lasse Halstrom, who thankfully has abandoned his penchant for overwrought irony and comic nastiness, has a big heart but one that isn't always well-placed. Dedicated to his mentally backward brother and reclusive, overweight mother, grocery worker Gilbert Grape (a nicely understated Johnny Depp) rethinks his life after meeting an attractive young woman passing through town. The film has finely-balanced little moments that spring up at you, however Mary Steenburgen's role as a cheating wife isn't really necessary (it's just there to give us some input into Gilbert's situation), but Juliette Lewis, John C. Reilly and Crispin Glover are very charming as Gilbert's friends. Leonardo DiCaprio...you gotta hand it to him, he pulls off a tricky role with amazing aplomb. Hallstrom's film doesn't always strike the chords it wants to, and occasionally it seems to intentionally wobble while juggling its emotional priorities. Some scenes that should cut deep don't (as with Gilbert shopping at the competition and getting caught by his boss, or with Gilbert letting neighborhood kids get a peek at his mother). Still, a pleasant, thought-provoking outing, one that is nonchalant about its emotions (and its brains). It isn't a heady mix of dramatic ideas, but it does leave you with something--thoughts that may return to you a day or so after seeing it. **1/2 from ****",What's Eating Gilbert Grape
