,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Not great, but it was quite fun in a way",6,15 July 2011,"I really liked the first movie, the second while lacking is in my opinion better than its reputation and I disliked the fourth one. The third instalment to the series is neither a great or a bad movie, just somewhere in between as well as being quite a fun movie. The script does have its funny moments but it isn't as fast-paced, witty or as laugh-a-minute as the first two, the story is thin and on the predictable side and the film isn't as efficiently directed and is uneven in pace being rushed one minute and a little too slow the next. The cast though give it their all, Anna Farris gives her best performance of the series, and Charlie Sheen and Leslie Nielson are a lot of fun. There are some genuinely funny spoofs my favourites being The Ring and 8 Mile ones too, the production values are much more than cheap cheap to video fodder and the soundtrack is great. All in all, not great but I liked it. 6/10 Bethany Cox",Scary Movie 3
1,Leofwine_draca,A different director and a big improvement,5,11 December 2016,"SCARY MOVIE 3 is a run-of-the-mill, fast-paced comedy spoof that will be familiar in style to any fans of director David Zucker's work. However, it's a shame that a lot of the gags here are extremely puerile and in bad taste, with silly slapstick being the order of the day. However, compared to the first two films in this series, this movie is a classic, with inventive humour and a wild imagination that makes it worth a watch. The film combines a number of films with little or no logic involved, so one minute it's spoofing 8 MILE, the next, SIGNS. There are numerous gags, in-jokes and references for film fans, with THE MATRIX RELOADED and THE RING also being prime candidates for the spoofery process. It also provides some surprisingly near-the-knuckle references, especially with the appearance of Michael Jackson, which has got to be one of the weirdest moments I've ever witnessed in cinema.The cast list is an amalgamation of actors and actresses, none of them new to comedy, but all the same providing a wide range of experience. The dreadful Anna Faris is back, unfortunately, and so is Regina Hall, although at least she gets bumped off this time. Elsewhere, we have Charlie Sheen as the dependable straight man, and the immensely likable Anthony Anderson as the token black guy (thankfully the Wayans brothers are long gone). There are plenty of amusing cameos from the likes of Simon Cowell (don't give up the day job), Pamela Anderson, and others. One of the brightest spots is the return of Leslie Nielsen to the genre, as funny as ever, particularly in the exhibition scene where he believes the people around him are alien. Plus, the jokes are so frequent that the viewer is likely to find at least SOME of them funny.The only thing which mars this film is the cheap finale, which proves to be a real letdown considering the build up. Watching the DVD extras, it becomes apparent why; all the money was spent on a better, SFX-filled alternate ending, which sadly was never used. Including as it does a fight between the Hulk and the aliens and a MATRIX spoof where Faris fights off millions of evil girls, it proves to be much better and essential viewing for anyone who enjoys what they see elsewhere. I can't say I'm looking forward to Part 4, but with Zucker at the helm again, I'll certainly be more inclined to watch it than I was the first or second.",Scary Movie 3
2,SnoopyStyle,a few random funny moments,5,27 October 2014,"There is a fun spoof of 'The Ring' to start this off. Farmer Tom Logan (Charlie Sheen) and his brother George (Simon Rex) discover a crop circle, saying ""Attack Here!"" Cindy Campbell (Anna Faris) is now a TV anchorwoman who wants to do hard hitting news. Her psychic nephew Cody (Drew Mikuska) has her best friend Brenda Meeks (Regina Hall) as his teacher. George's niece Sue has the same class. Cindy falls for George who is trying to win a rap battle.Old school David Zucker takes over from the Wayans. It's a lot of movie spoofs. There are some random funny moments. I still like Anna Faris as Cindy. I'm not so sure about Sheen. This was before his meltdown and I still had some trepidation about his comedy back then. The problem is that more jokes don't work rather than work. The few random funny jokes keep this from being a complete failure.",Scary Movie 3
3,claudio_carvalho,Shut Down Your Brain and Start Laughing,7,14 September 2004,"Parody movies are always of the type 'love or hate' it. I am not intellectual, I love cinema as culture, but also as entertainment, so I like them. Further, when I see this type of movie, I know exactly what I am going to see: scatological jokes, funny and surrealistic situations and definitely a movie that will never be indicated for an Oscar. I found this 'Scary Movie 3' very funny. It satirizes mainly 'The Ring', followed by 'Signs', and part of '8 Miles' and one of these last two 'The Matrix' sequences. The last scene is a joke with 'Final Destination'. This is the type of movie that you must shut down your brain and start laughing. There are two scenes that I liked very much: when the moron George (Simon Rex) is in a club for Afro-Americans, wins the rap competition and covers his head with the hood of his coat. The other one, when Cindy Campbell (Anna Faris) uses her laptop and many screens pops-up. In many sites, even in IMDb, there are some pops-up screens that irritate me. What I do not understand is some comments of persons that should never watch this type of movie. What do they expect to see when they go to the movie theaters or buy / rent a DVD of 'Scary Movie 3', directed by David Zucker and with Leslie Nielsen in the cast? An art movie, with hidden messages, an epic, a classic or a film with politically correct jokes? Honestly, if I did not like this genre, I would never spend my time watching it. My vote is seven.Title (Brazil): 'Todo Mundo em Pânico 3' ('Everybody in Panic 3')",Scary Movie 3
4,kosmasp,Part 3 with Zucker,3,13 October 2013,"It's by Mr. Zucker, one of the ZAZ (Zucker, Abrahams, Zucker) Connection, but don't expect it to be near some of the classics the original trio conceived. The movie has some nice moments, but most jokes do not work. On the other hand, if you're a fan of Anna Faris (regular Scary Movie alumni until Part 4), you might want to add a few extra points or at least one that is.Of course even here it makes sense to know the movies that are spoofed in here. Ring being one of them, Pamela Anderson ""home video"" another. While not a great skit, this almost seems like the joke of the century though compared to Charlie Sheen and Lindsay Lohan trying to poke fun at themselves! You might expect Pam Anderson to be better than Lohan as an actress, but you could expect Charlie to be better than that. Maybe he was running low on fuel ... Anyway, better than other spoof movies, but not really great",Scary Movie 3
5,Sleepin_Dragon,The hilarious third instalment never stops being funny.,9,5 February 2018,"Scary Movie three is arguably the last high rating parody movie made, what followed generally seemed to lack the sharp writing and down right laughs. The source material was perfect for parody, the best material arguably coming from The Ring and Signs. As always the film is relentless in its ability to offend every demographic without offering any genuine malice. Pamela Anderson starts off proceedings, I am a huge fan of hers, and her ability to poke fun at herself, a fun performance too. The best elements for me are The Ring parodies, each absolutely hilarious, Cindy's visit to Aunt ShaNeequa never fails to have me in tears laughing, the first time I saw that I could barely breathe.Fine performances, Anna Faris, Charlie Sheen, Leslie Nielsen and Simon Rex all equally hilarious, great timing. A shame Regina Hall seemed to have a smaller role.Hilarious.",Scary Movie 3
6,lee_eisenberg,"a ""signs"" of ""rings"" to come",10,25 April 2006,"My 10/10 rating assumes that you decided that you like ""Scary Movie 3"" before you saw it. And it doesn't disappoint. Spoofing ""Signs"", ""The Ring"" and ""8 Mile"" (among other things), it's another gag-a-minute comedy from the director of ""Airplane!"". But how could it not be, starring Leslie Nielsen? I think that my favorite scene was either the part with Simon Cowell, or the news room scene (I'd like to try that someday).In conclusion, just remember that ""SM3"" is a joke. Anna Faris reprises her role as Cindy Campbell (so she has these movies to her resume, as well as ""Brokeback Mountain""). The rest of the cast includes Charlie Sheen as the farmer discovering crop circles, and various people have small roles. Remember, all completely silly.",Scary Movie 3
7,jboothmillard,Scary Movie 3,4,21 June 2005,"I did used to like the Scary Movie films in a rather immature way, now only the first film is the one I can say good things about, because as they go on the sequels get worse and worse, and the spin off films from the same makers, e.g. Epic Movie, Meet the Spartans, Disaster Movie and Vampires Suck are abysmal, this was the third film in the near pointless continuing horror films, television and popularised celebrity news spoof series. This film predominantly parodies the science-fiction and psychological horror films, specifically Signs and The Ring (remake of the Japanese film), as well as spoofing or referencing The Lord of the Rings: The Fellowship of the Ring, The Sixth Sense, Minority Report, 8 Mile, American Idol, The Matrix, The Others, Living with Michael Jackson, Bruce Almighty, The Faculty, The Matrix Reloaded, Jeopardy!, Air Force One, The Texas Chainsaw Massacre, Airplane!, The Crying Game and Gothika. Basically the film opens with Katy (Jenny McCarthy) and Becka (Pamela Anderson) watching television and then talking about a cursed video tape, it apparently kills people seven days after watching it, and they experience paranormal events before both dying. It then moves to the farm of Tom Logan (Charlie Sheen) where large crop circles have been formed in the field and from above it is a large arrow with the words ""ATTACK HERE"", and Cindy Campbell (Anna Faris) who has become a news reporter is looking to cover more of the story, but her boss wants more of her stories about sex and violence, and she also has to look after her paranormally endowed nephew Cody (Drew Mikuska). Tom's clumsy son George (Simon Rex) has a dream to be a star rapper, and with friends Mahalik (Anthony Anderson) and CJ (Kevin Hart) he enters a rap battle, with Cindy, as they are smitten with each other, and Cindy's reunited friend Brenda Meeks (Regina Hall) watching, he has good talent, but he trips himself up again with a racist blunder. That night Cindy spends the evening with Brenda who wants company, and after telling her that she watched a cursed video tape a week ago and plays some pranks on her, she goes to the lounge for popcorn, and the television turns on with evil dead girl Tabitha (Marny Eng) climbing out and eventually killing her, and George tells his niece Sue (Jianna Ballard) in a very inappropriate way that her teacher is dead. Tom meets Sayaman (Ajay Naidu) who reminds him of the night he accidentally killed his wife Annie (Denise Richards, then Sheen's real wife), and after the chaotic wake of Brenda, where her body is blown up, Cindy finds the video tape that is cursed, and like the other victims she is called by the evil voice to say she will die in seven days, and to help the situation CJ suggests she visits Aunt Shaneequa aka The Oracle (Queen Latifah) and her husband Orpheus (Eddie Griffin) for answers. Having caught Cody watching the video she investigates lighthouses like on the video, and on the news she tries to warn viewers about the danger of the video tape, and following this the Logans come to the conclusion they are definitely being invaded by aliens, and it may have a connection to the video, and President of the United States, President Baxter Harris (Leslie Nielsen) knows that Cindy Campbell may know what to do. Visiting The Architect (George Carlin) he explains he is the father of dead girl Tabitha and the evil video imprinted her curse and it got out because of a mistake, and she then goes to the Logan farm where she finds Cody is hiding with the family to hide from the aliens coming to Earth. The aliens turn out to be good and are cursed themselves by the video, so they came to stop the evil, and Tabitha is defeated being pushed back down the well she drowned in by President Harris wishing the couple luck, and in the end Cindy and George are married, and Cody is hit by a car. Also starring Jeremy Piven as Ross Giggins, Darrell Hammond as Father Muldoon, Simon Cowell, Fat Joe, Master P, Macy Gray, Redman, Method Man, Raekwon, RZA and U-God. The film is only a little reminiscent of the classic spoof films, like Airplane! or The Naked Gun, and not just because director David Zucker is involved, the character stupidity is on a lighter level, the ridiculousness is amusing, the gross and disgusting material is thankfully not very high, Cindy is clumsy and accident prone in a less annoying way, as the only other returning character Brenda is alright as well, Sheen is a good choice having been in Hot Shots!, and Nielsen is of course likable as the heightened George W. Bush like President. You may recognise the films being parodied, but the jokes can be repetitive and predictable, the story is a bit more worked out, it is certainly more worthwhile than the previous film, the same sadly can't be said for one or two of the other sequels in the series, a disappointing but fair horror comedy spoof film. Okay!",Scary Movie 3
8,ma-cortes,Spoof movie with a myriad of unimaginative gags,5,19 May 2006,"This third chapter deals about Cindy(Anna Faris)who must to protect a kid and relates with his brother,a white rapper(Simon Rex)and the father(Charlie Sheen).Besides investigate strange crop circles and eerie videotapes and shunning an Alian invaders with the intervention of the stupidest President(Leslie Nielsen).Cindy is back ,this time to save America from a plot Alien invasion for world domination.She thwart the plans and saves the kid from a ghostly creature.From the start to the ending the humor and the laughters are innumerable. Lots of gags and sketch,some of them funny but movie lacks the freshness of the first and second installment. This is a hilarious parody,surrealist,extreme spoof and gross out though less than its predecessors but also is intelligent and bold. As always the cinematographic references are numerous and provide silly laughs from start to finish,the amusement is guess what films result to be ,thus : ¨Sings¨and ¨The ring¨ specially but also ¨8 miles¨¨The others¨with a ironic gag of Michael Jackson,and with a President(a deadpan Nielsen) similar to ¨Air Force One¨. The picture contains loads of fun here and there and a passel of cameo appearances as Pamela Anderson,Jenny McCarthy,Queen Latifah,Eddie Griffin and rappers,JA Rule,Master P,Method man. The movie is directed by David Zucker,he along with his brother Jerry Zucker and Jim Abrahams are famous American satirists(ZAZ),they are directors and writers with successful work and long time collaborators,making their own comedy troupe(The Kentucky Fried). The motion picture will like to lunatic humor and absurd comedy enthusiastic.",Scary Movie 3
9,BA_Harrison,Sucky Movie 3,2,7 July 2011,"The third film in a trilogy is often considered to be the worst, so considering how lousy the first two Scary Movies were, I wasn't getting my hopes up too high for Scary Movie 3. Sure enough, part three proved to be a thoroughly woeful effort, completely devoid of laughs despite being directed by one of the 'big names' in the spoof genre, David Zucker.Although Zucker might have seemed an obvious choice to inject some real belly laughs into the Scary Movie franchise, without the help of co-director Jim Abrahams, with whom he created box office hits Airplane and The Naked Gun, the poor guy is clearly way out of his depth. The first two films barely managed a handful of decent giggles between them, but this one is a 100% mirth-free zone; I sat stony-faced the whole way through as Zucker and his cast of washed-up has-beens (including Charlie Sheen, Pamela Anderson, and Leslie Nielsen) went through the spoof-movie motions, delivering every tired trick in their predictable repertoire of slapstick and 'crazy' visual gags.And as if the total absence of genuine humour wasn't bad enough, the series' appealing brunette star Anna Faris had become a blonde! (raises arms to the sky and screams 'Noooooooo!!!!).I give Scary Movie 3 a rating of 2/10 (in all honesty, it should really be a 1/10, but I want to leave myself room to give an even lower rating to part 4 should it be worse).",Scary Movie 3
