,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Lin-Manuel Miranda and Gloria Estefan,7,11 August 2021,"Vivo is a kinkajou monkey. He works the tourists in the Havana streets with music legend Andrés Hernández. After Andrés' death, Vivo goes on a mission to deliver his last song to his old musical partner Marta Sandoval in her last performance in Miami. He sneaks into the luggage of little girl Gabi on her way back to Key West.This is a Lin-Manuel Miranda animated musical with a healthy dash of Gloria Estefan. The animation comes from Sony and shown on Netflix. It's Ice Age level animation. I actually got into the simplicity of the quest which has a compelling heart. There is a catchy song although the earworm is rather repetitively annoying. The songs are all very Lin-Manuel Miranda if you know what I mean. It's good but he's also over-saturated by now. All in all, this is good but it doesn't hit that hard.",Vivo
1,paulclaassen,Way too many issues (for me)...,3,30 October 2021,"I think its becoming increasingly challenging coming up with interesting ideas and characters for animated movies. I was looking forward to a new animated movie, but - unfortunately - I was not overly impressed with 'Vivo'.Credit where credit is due: the animation is stunning! It is beautiful and colorful. The original musical numbers were also good. There were also some very funny moments, and there's a great call to adventure.So, why didn't I like the movie then? It didn't feel original. It felt like a 'Coco' wannabe, and the songs sounded all too familiar to the style of 'The Greatest Showman', as if they were hoping to create a 'Greatest Showman' type soundtrack. Regarding the titular character, Vivo, I wasn't always sure whether it was meant to be a cat or a monkey. Turns out it is a kinkajou, but it doesn't even remotely look like one. I also wasn't sure whether this creature was actually able to talk, or just make sounds, and they added the dialogue for us to understand it better. Or could this creature talk?So, the film is about an elderly man, Andres, who looks after a kinkajou called Vivo. Together they perform every day in the local plaza - until Andres receives a letter from Marta Sandoval - the love of his life, although he never told her that. Marta is now an accomplished singer, and wants Andres to perform at her final show. Uhm, this is where they start pushing the boundaries of believability. Why would she want him to perform? According to the story they haven't seen (or spoken) to each other in 60 years. So, why after six decades would she suddenly want him to perform with her? And when she doesn't hear from him, she's so upset at her final show that she doesn't even want to go on stage. Wha-a-a-a-at??? She hasn't seen the man in sixty years, now she's upset about him not coming to her show???Sadly, Andres died a day before leaving for the show. (Off course, he didn't even tell Marta he received her letter, and was interested in going. This film is set in modern day, so there are phones, and Internet, so what the hell?? If it was set hundred years ago, it would have made more sense). Vivo, in the meantime, made friends with Gabi - to score a free ride to Miami, where Marta is to perform her final show, and Vivo needs to take a song to her which Andres wrote (for her...). Oh, whatever, I'm done with all these conveniences and coincidences. Let's just say there are too many reasons why I didn't like this film.Also, some scenes were cartoonish and silly and definitely more for a young audience.Would I watch it again? No.",Vivo
2,briancham1994,Jumbled,6,2 October 2021,"This film is definitely not the sum of its parts. The emotional core of the story can't really be identified among its messy composition - is it the bond between Vivo and Andrés? The tension between Gabi and her ""friends"", or between her and her mother? The prior relationship between the singer and Andrés? The swamp animals? The new relationship between Vivo and Gabi? The plot bounced between these so much that none of them fulfilled their full potential, even if the individual moments were enjoyable to watch and punctuated with lively musical sequences (brash, but lively). Gabi is quite loud and seems like an annoying comedic relief sidekick elevated to the status of main character, which makes it much harder to watch. This ultimately felt like a series of talented skits barely stitched together. By the end, I was wondering ""what was that really about?""",Vivo
3,rannynm,"A Vivid Animated Film Full Of Life, Color, Music And Emotion",10,21 September 2021,"As its name suggests, Vivo is a vivid animated film full of life, color, music and emotion. Directed by Kirk DeMicco and Brandon Jeffords,Vivo is the first-ever musical for Sony with a Latino theme, and the story is certainly very relevant and aims to be significant for the Latino community. Vivo features all-new songs written and performed by Lin-Manuel Miranda which are powerful, emotive and contribute nicely to the storytelling.Vivo is about the way we connect with others through music. In a very old-fashioned Cuba, a kinkajou named Vivo is voiced by Lin-Manuel Miranda. A kinkajou is a mammal that looks like a monkey but is a rainforest ""honey bear."" Vivo and his owner Andrés enjoy making music and performing together. When Andrés receives an invitation from his friend, famous singer Marta Sandoval (Gloria Estefan), to attend her farewell show in Miami, Vivo is in charge to deliver the message to reconnect their friendship.Vivo connects with our inner and pure childhood emotions and the characters in this story are lovable and relatable. For example, with the help of a young girl, Gabi, our protagonist Vivo is able to make the journey to Miami. Gabi, an aspiring musician, is a girl with talent and ambition, but rebellious and spontaneous. Gabi is a very special character representing the effervescent tween years where not everything fits in the molds of society. The animation in Vivo is gorgeous: the characters are colorful and vibrant. The attention to detail in the architecture and landscapes of Cuba is breathtaking. The presence of nature is also key to the story. As Vivo and Gaby navigate their way to Miami, they travel through the Everglades and encounter the wildlife at its fullest.Vivo demonstrates a nice balance between traditions and everyday life and new adventures and discovering life out of our boundaries. Another great success is how the film resonates with a multigenerational audience, connecting youngsters and older members of the family effectively making it a perfect experience that unites the whole family. Vivo shows us the power of music in making connections between us and how music helps us to achieve goals.I give Vivo 5 out of 5 stars and recommended it for all 8 to 18, plus adults. Vivo opens in theaters and Netflix on August 6, 2021.Reviewed by Zoe C., KIDS FIRST!",Vivo
4,Sir_AmirSyarif,"A lively, Cuban-infused animated musical with plenty of laughs",7,8 August 2021,"Kirk DeMicco's 'Vivo' is a lively, exuberant, Cuban-infused animated musical with with plenty of laughs. Lin-Manuel Miranda provides charming, catchy songs ('My Own Drum' is a banger!) that seamlessly merge with the animation in an impeccably synchronized song and dance. Ynairaly Simo's voice work is energetic.",Vivo
5,Movi3DO,Fun and enjoyable,7,7 August 2021,"What difference can one song make?A new animated musicals from Netflix. Vivo, a music-loving kinkajou, embarked on a journey to deliver his friend's last song.Most of the songs in the movie were entertaining to listen to. They gave enjoyable vibes and energy to the scenes. Also, the animation was superb and worked well with the music. One of the songs, even though it had fun animation, was pretty annoying because the singer was screaming for most of it.The story was nothing new for a musical movie. The trip that Vivo and the kids went through, although funny at times, was silly and kinda pointless. I would have liked it more if the journey had a bigger impact on either Vivo or the kids. However, the core of the story was Vivo, in horror of his friend, delivering a song to a famous singer. This part at the end was good and impactful.The characters were straightforward as well. Most of the characters didn't grow that much through their journey. They did try to have emotions, but besides the main story, I didn't get much from the other characters.Overall, despite the typical story, great animation and story still made the movie entertaining and fun, especially for kids and family. 7/10.",Vivo
6,legobuilderpro,Musical journey,6,6 August 2021,"I liked the animation and Vivo played by Lin Manuel Miranda, it was pretty to look at and some funny scenes I liked.The original songs that Lin Manuel Miranda made for the movie sounded nice and either fits the character or the situation they are in.Also there are some effective emotional scenes, I had fun and enjoyed this animated journey.",Vivo
7,djurrepower,eh ok,5,14 August 2021,"Sure some competent ideas, but overall the movie felt patchy. Most of the songs didn't flow well with the story, and some plotlines felt shoehorned in. So all in all a overall fine movie, but could have been more streamlined.",Vivo
8,SoumikBanerjee25,Music Is the Definitve Highlight Here!,6,12 August 2021,"""If anyone asks, you are my emotional support animal""Following back-to-back triumphs in the Animation space; Sony is back at it yet again! This time with 'Vivo'. If I were to sum it up; this is a heartwarming musical that reflects upon the Cuban People as well as their rich Culture and is imbued with sumptuous melodies and prismatic imageries.It may not attain the same peak of perfection as Spider-Verse or The Mitchells vs The Machines did, but I will say this; with its multifarious stylizing and lighthearted approach, it does leave a good impression overall.All credit goes to its rather scintillating Score, which courteously combined a myriad of Genres and their distinguishable characteristics. Coupled with an array of stunning visuals and dozens of wonderful songs; there can be no doubt that this was a sight for sore eyes or for that matter, the ears too.The only drawbacks that can be found are buried deep in its Writing and the bulk of them correlates with character portrayals (Or I should say the lack of them). Storywise, I feel it was never meant to go the extra mile. Like Never! Therefore the plot comes off as pretty generic and similar remarks apply to all the characters, except for Vivo.He contributes a lot in regards to the emotional moments and their general effectiveness. I was a little surprised to see myself teared up many a time (Which I didn't really expect).Time to find me a Kinkajou, I guess! :-D.",Vivo
9,elicopperman,The Kinkajou that Saved the Love of Music and Friendship,7,7 August 2021,"Ever since its announcement in the mid 2010s, a little passion project from Lin Manuel Miranda and Quiara Alegría Hudes came into the limelight at Sony Pictures Animation, simply known as Vivo. Despite getting the shaft from worldwide theaters to be generally released on Netflix, like the other SPA films of this year, the film has been getting all kinds of love and attention from critics and audiences as of late. As of now, this marks the studio's first ever full length musical feature, with all of the songs created by Miranda himself, who also lent his voice to the titular character. So, now that it's out and about, how does it stand on its own?The movie follows a one-of-kind kinkajou named Vivo, whose Cuban music playing owner Andres receives a letter from his old partner, the famous Marta Sandoval, telling him to attend a farewell concert. Due to tragedy striking poor Andres, it's up to Vivo to deliver a love letter to Marta, in the form of a song. Along the way to get to Marta, he meets the rebellious youngster Gabi, and the two bounce to the beat of their own drum to fulfill Andres' wishes. Now off the bat, this isn't the most stunning premise for a movie, as a lot of familiar beats are included to move the plot forward. You got the main character's arc of trying to fulfill his original owner's destiny, the crazy annoying side character, the obstacles expected when trying to deliver an important message, the macguffin, etc. In addition, one could imagine that since this is Vivo's story, that Gabi didn't necessarily need to be there, especially when there are a lot of strange things Vivo encounters outside his original home. Plus, it does take a while to get used to Gabi's overly obnoxious demeanor, no matter how rebellious it may be.However, where the film lacks a strongly enticing premise, it more than makes up for in its execution. Given how many hurdles Vivo has to jump through in order to deliver his important love song to Marta Sandoval, the stakes really do come up at the expense of knowing whether or not Vivo can deliver the gift of not. As the film's biggest message is about loving someone that meant so much to you in the past, one can already root for Vivo just to reunite the love of his owner's life. Admittedly, that mission does end up losing some momentum around the second act once Vivo has to go through the harsher realities Florida has to offer nature-wise, but there are some cute friends and terrifying enemies that Vivo and Gabi meet along the way, so it ends up being in lieu of character development. In fact, while this is mainly Vivo's story through thick and thin, a lot of significant changes end up compromising Gabi and Andres' own family during the course of the film due to the connection between the musical kinkajou and his charming owner. How sweet when a monkey can bring a whole family back together again.In terms of art direction, the movie is nothing short of gorgeous, especially in contrast from Cuba to Florida. The luscious landscapes of retroistic Havana may look down to Earth, but once we're in Florida, the film pulls no shortcuts in allowing the diverse amount of locations to speak for themselves in terms of lighting, scale, sets, exterior decor, and other fascinating material far beyond what the naked can spot. In addition, the more peaceful looking towns in Miami are nothing compared to the grandiose ultra vibrant city that the place is most well known for, as well as the dangerous everglades. Character wise, the cast look appropriately structured and caricatured enough to stand out amongst each other, and the motion allows for some solid performances, aided by a brilliant cast of Miranda, Ynairaly Simo, Zoe Saldana, Juan de Marcos Gonzalez and more. The true experimental highlights of the visuals are reserved for the wonderful musical numbers though, and that's where the animation crew really got to shine in bringing lush latino artwork inside the world of moving images.Speaking of the musical numbers, a lot of them vary in tune, but they all carry the plot and motivations forward beautifully. The opening song, One of a Kind, immediately establishes the tight connection Vivo has with Andres as his original owner, with some authentically upbeat Cuban tunage. Other songs establish a character's inner desires, like the harmoniously colorful Mambo Cabana for Andres' love of Marta, the modernesque upbeat My Own Drum that sets up Gabi's rebellious dominance, and even the suavely romantic Love's Gonna Pick you Up, reserved for two quirky spoonbills in love. Other songs merely move the plot forward to be in lieu of bigger scenes like the intensively catchy Keep the Beat and the dangerously tense Tough Crowd. And then there's the love song made for Marta, which not only serves as a solemn reminder of the old friend Marta once knew, but also encapsulates the movie's themes as a beacon of hope to those who are still loved by those from their past. Needless to say, Miranda truly outdid himself as the song auteur he is, for a family audience this time around.It's amazing the wonders someone as beloved and gifted as Miranda and his creative partner can bring to the world when given the right opportunity to shine. So while it may not offer too many surprises along its way, Vivo is quite the engaging adventure that livens up with some charming characters, appetizing visuals and some of the finest songs in Miranda's discography. If you are yet to see this film or are a pure Miranda enthusiast, then by all means give it a go on Netflix. At this point, with all of the lovely content Sony, Miranda and more are bringing to the world, only time will tell what's left up their sleeves.",Vivo
