,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Grim and grimy remake ticks all the right boxes,7,9 November 2016,"The cards were stacked against it from the start – remaking an acknowledged classic of the horror genre is definitely not a good idea, and what with this and DAWN OF THE DEAD remake, horror fans were heard to sigh and shake their heads around the globe. Yet, perhaps surprisingly, The Texas Chainsaw Massacre is one of the better remakes out there. In fact it's pretty darned good in places, concentrating on stark, graphic in-your-face horror throughout and building up a huge atmosphere full of disgust, loathing, and imminent death. The best thing about the film is how it conjures up the feeling that, out in the sticks, life is cheap - and tourists or trespassers have no hope whatsoever of coming out the other side. The plot has been changed enough from the original to seem fresh and invigorating, and begins in a splendidly horrible fashion with an in-your-face (and mouth) suicide and lots of grisly, effective shocks.Leatherface is a deformed murderer this time around, but the sights within his lair will have any genre fan shivering with delight – this is a film where the gore (and there is extreme violence throughout) feels feels dirty and dank, a bit like HELLRAISER. The end of the film is one long chase between Leatherface and his final victim, but with a lightning pace and plenty of action it never outstays its welcome and manages to rise above the mire of boringly predictable slasher fare.The teenage cast aim for the realistic approach and succeed, whilst Jessica Biel acquits herself well as the sexy damsel in distress. Andrew Bryniarski makes for a huge, hulking and frightening killer, but the best performance comes from an aged R. Lee Ermey as the totally ruthless, corrupt and depraved sheriff. A great and chilling performance from this actor in the twilight of his career. To put it simply, the good points outweigh the bad in this effective shocker, making it a horror flick to be reckoned with which succeeds in re-establishing the grim atmosphere of low budget '70s shockers. Best bit? Watch out for the shocking bottle-to-the-face smashing.",The Texas Chainsaw Massacre
1,SnoopyStyle,slick gory remake,7,26 May 2015,"It's 1973 Texas. Erin (Jessica Biel), her boyfriend Kemper (Eric Balfour), friends Morgan (Jonathan Tucker) and Andy (Mike Vogel) are returning from Mexico along with Pepper (Erica Leerhsen) on their way to a Lynyrd Skynyrd concert. They pick up a distress girl (Lauren German) walking on the side of the road. She shoots herself. The group goes looking for help from the sheriff. Instead, they find strange inbred locals, duplicitous Sheriff Hoyt (R. Lee Ermey) and Leatherface.This is a flashy gory remake of the 1974 horror classic. The critical panning that it took was justified for people who never liked the nihilism of this horror sub-genre anyways. Is it too much blood? For some, there can never be enough. There's no doubt that this is a good slick production. Jessica Biel is not usually a good actress. In this, she doesn't need to be. She just has to have that hot beautiful body. The young people get killed in grotesque fashion. There is that creepy rundown house. I don't mind people hating it on principles. To me, the movie does what it's intended to do.",The Texas Chainsaw Massacre
2,claudio_carvalho,"Although Unnecessary, a Good Remake",7,24 September 2005,"On August 18th, 1973, in Texas, the youths Erin (Jessica Biel), her boy-friend Kemper (Eric Balfour), their friends Andy (Mike Vogel) and Morgan (Jonathan Tucker) and the hitchhiker Pepper (Erica Leerhsen) are returning from a vacation in Mexico to a concert of the Lynnard Skynnard. Kemper is driving his van, when they see a disturbed young woman dangerously wandering on the road. They decide to help her, and the woman commits suicide inside the vehicle. They decide to look for a telephone to call the Sheriff, and they end in the house of Thomas Hewitt (Andrew Bryniarski), where their lives are threatened by the sick Leatherface and his deranged family.I was quite reluctant to see this remake. The original ""The Texas Chainsaw Massacre"" is a classic, and as I have already written in other reviews, I do not see any reason to release remakes of movies, mainly classics. However, and although unnecessary, this remake is very good. The cast, leaded by the delicious Jessica Biel, have good and convincing performances. The cinematography is great, being very nasty in the property of Leatherface. In the end, I liked this version and I even dare to recommend it. I believe the fans, like me, of the original ""The Texas Chainsaw Massacre"" will not be disappointed. My vote is seven.Title (Brazil): ""O Massacre da Serra Elétrica"" (""The Chainsaw Massacre"")",The Texas Chainsaw Massacre
3,classicsoncall,"""I'll tell you this much, the next hitchhiker is s... outta luck, I swear to God.""",6,24 April 2005,"OK, so you thought this was a horror flick. Here for your consideration are the top ten reasons why ""Texas Chainsaw Massacre"" is a highly underrated educational film: 1. Don't pick up hitchhikers for any reason, especially if they're going to kill themselves in your back seat.2. When you come across a strange house and you see body parts hanging from the ceiling, it's time to go.3. When you're ready to shoot a schizoid redneck sheriff, be sure the gun is loaded.4. Don't accept tea from strangers.5. When the man with the big chainsaw comes after you, JUST RUN AWAY!6. If you're covered in blood and screaming hysterically, chances are you won't succeed as a hitchhiker.7. Bathtubs can hold a lot of blood.8. A plain old meat cleaver makes a perfectly good weapon and an acceptable choice for self defense.9. It's OK to cheer for the maniac who runs over the local redneck sheriff.10. If you have any fingernails left by the end of this film, find a good manicurist.",The Texas Chainsaw Massacre
4,jboothmillard,The Texas Chainsaw Massacre,4,28 September 2006,"The original is a great horror classic, even when you can't see much violence (which makes you question why it is considered one of the most violent films ever made), and this is the remake. They have the same format of five teenagers: Jessica Biel as Erin, Jonathan Tucker as Morgan, Erica Leerhsen as Pepper, Mike Vogel as Andy and Eric Balfour as Kemper, and they are confined to a location near the road. On the way, a girl who escaped something shot herself in the mouth after she realised they were going in direction of what she had already faced. Anyway, later we discover the old house with Thomas Hewitt (Leatherface) (Andrew Bryniarski) and his terrifying family living there, all involved in sick and twisted torture of victims, taking their body pieces. Also starring Full Metal Jacket's R. Lee Ermey as Sheriff Hoyt. There is still the slamming of a victim with a large hammer, a victim put on a hook and the infamous chainsaw weapon, but in this film, you actually see some blood, including great moments of Leatherface cutting his leg, and Erin chopping one of his arms off! Look out for the severed head of idiot film critic Harry Jay Knowles from Ain't It Cool News. It was nominated the Razzie for Worst Remake or Sequel. Okay!",The Texas Chainsaw Massacre
5,ma-cortes,A new remake from classic Hooper film with high budget and lots of violence and gore,7,6 November 2007,"An idyllic journey in southern Texas driving a van by a group of young people(Jessica Biel,Eric Balfour,Jonathan Tucker,Mike Vogel,Erica Leerhsen) becomes a nightmare when they pick up a young girl. A disgrace is committed and they are looking for the sheriff(R. Lee Ermey). Later, they wind up in the nightmare clutches of a homicidal family who kill and eat passing travellers; finally are pursued by maniac Leatherface wielding a chainsaw.This film contains images of graphic violence and may not be suitable for all audiences. Viewer discretion is advised. The movie packs grisly horror, tension, mayhem, horrible gore and lots of blood and guts. The creepy screenplay by Tobe Hooper-also author of original script- and lavish production by the great Joel Silver along with Hooper. The motion picture is well directed by Marcus Nispel.The film is based on real events about the secluded farmhouse of Plainfield (Wisconsin)handyman Ed Gein,( Leatherface character) who admitted today he disembowelled and butchered the body of old widow, authorities found the decapitated boy hanging in Gein's woodshed, gutted out and strung up by the heels. Investigators have also discovered the head and face of 54 years old woman. Portions of the bodies of ten or more people had also been found among the body parts, human skulls, furniture made of human skill, box full of noses, skin from a human head, a belt made of female nipples, one small skull believed to be that of a six-year-old child. Authorities suspected cannibalism. The Ed Gein grisly killings made horrendously startling to people. The Geins lived a fairly good distance away from Plainfield little town. When we look at Gein's life , we just have this sense of incredible isolation from any human contact, except with his crazy mother. He grew up in a household with an alcoholic and abusive father and a mother who was very domineering. She was a fanatic and did not let Ed or his brother to have much to do with the outside world, because there were sinners out there.The mother denied them any meaningful relationship with the outside world and particularly with women . So Gein grew up with this very powerful ambivalence towards his mother and he developed this resentment and hatred . Gein was looked at as the nerdy kid that his contemporaries would poke fun at, which also tended to confirm for him a lot of his mother's paranoia. Gein's house really was a symbolic representation of what was going on his head. He kept many dentures and human bodies around.Firsly, he started robbing graves. Gein said that he had begun to do this a few years after his mother's death. He almost seemed to take a glee in creating novel artifacts out dead bodies, and various human handiwork .He would make bells made out of nipples and used human shinbones to prop up a coffee table, plus took the tops of skulls and inverted them and used them four soup bowls and upholstered a chair in human skin. Like the film, he cut the faces of corpses and used them as masks and flayed the top of the torso of one of his victims and also created some leggings. After he began to sew together these parts of skin from various corpses, events correctly reflected on this creepy movie.",The Texas Chainsaw Massacre
6,BA_Harrison,A fairly successful 're-imagining' of the Tobe Hooper classic.,7,17 November 2006,"A group of teens (on their way to a Skynyrd concert) pick up a young woman they find staggering down the highway in a state of distress. When the girl decides to empty her brains all over the back of their van with a pistol, the gang stop to call the police.Told to meet the Sheriff at a disused mill, they drive to the deserted location and wait. However, he doesn't show, so two of the teens trek to a nearby farmhouse to make another call. It is here that they come face-to-face with the legendary Leatherface, a deformed lunatic armed with a huge chainsaw, and the slaughter of the teens begins.A slick, big budget reworking of Tobe Hooper's 70s classic, Marcus Nispel's The Texas Chainsaw Massacre succeeds as a scary, popcorn horror aimed squarely at the MTV generation. However, with its bigger budget and better production values, one can't help feeling that something has also been lost. The original TCM was gritty and realistic and I had no problem in believing that what I was watching could really happen. The remake, with its professional sheen and good looking cast dispenses with the sense of reality and suffers somewhat for it.However, it is the occasional lack of logic that is really this film's stumbling block: there were several instances where I questioned the decisions made by the protagonists and moments which had me scratching my head in confusion.Can a lumbering giant encumbered by a massive power tool really outrun a healthy youth at the peak of his physical fitness?Would you attract the attention of said lumbering giant in the hope of killing him with a cleaver before he can kill you?If you've had your leg sawn off and have then been hung onto a meat-hook, would you have the strength and presence of mind to try and lift yourself off?Would a member of a cannibalistic family risk his own life to save the teens? Surely other people are just 'food' to him!These points, and others which I have not mentioned, detract slightly from what is otherwise a very entertaining film. The acting is fine (R. Lee Ermey, in particular, gives a superb performance), the gore is impressive, and the sight of Jessica Biel running around in a wet vest certainly added to my enjoyment, but I think, with a bit more care taken with the script development, this could have been even better.",The Texas Chainsaw Massacre
7,Quinoa1984,How does this movie get away with thirty million in it's first weekend?,1,23 October 2003,"The original Texas Chainsaw Massacre film released in 1974, co-written by Tobe Hooper with Kim Henkel and directed by Hooper, was one of the first horror films to grab me completely with its atmosphere as a horror film. Sure Hitchcock did that too, but he did that in the mystery/suspense way, while Hooper brought actual fright to me by what he DIDN'T show in the movie.  When I look at it today I realize that so much effort was put into what was around these people- the dementia in the house, the zombie-like grandfather, the whole aura projected by the family- that the potency will remain long after this remake has been put to rest in video stores.
What made me cringe (and not in a good way, I mean in a contemptible way) at this ugly remake of that film is that the director Marcus Nispel and screenwriter Scott Kosar (and don't say it's 'based on or inspired by a true story'- Henkel and Hooper originated the formula of five teenagers on the road who stop and snoop around and come upon Leatherface, and while Leatherface is based on Gein, the basic story was created by them) forget what made the original so compelling and stick to the new principle with horror moviemakers that the more gore the better.  I'm not one to say that all remakes are bad, indeed some of them every once in a while become improvements (Star Wars and Reservoir Dogs are always prime examples for my money).  But the skill and power of Hooper's film is replaced completely by an un-redeemably lurid style and a line of plot segments so mechanic and generic for the genre that could only catch those with an IQ under 80 off guard.The changes made in the story: well, the remake does a ""same day, different sh*t"" approach with five teens in a van (four of them are couples and one of the girls is brother to the fifth, though this time there isn't much comic relief on the part of the brother like in the character of Franklin) returning from Mexico with marijuana who pick up a hitchhiker who commits suicide.  They try to contact the sheriff, stop in a spot, and two go off to a house to try the telephone.  Then the film goes on autopilot, with one of three things happening, 1) Leatherface going after one or more of the teens, 2) a glimpse for a minute or two at the other family members, or 3) Jessica Biel running around in a tight tank top.Perhaps I may sound cynical, but why just once when I watch one of these horror films can't someone like Leatherface and his pack of cordial family members (one of which played by R. Lee Ermy, who brings no credibility and is really starting to use up his Full Metal Jacket credit) shock the audience in a different way - how about a Texas chainsaw film-noir, where no teens are left as survivors and the rest of the film focuses on the family? It would've been easy for any director to mangle a remake of the original (especially after three remakes, which also raises the question of why they didn't just do part five), and the cast and crew did it to the extent of a complete failure in my view.  Whatever they may have been thinking of doing as an homage they did with the grace of the worst hacks in the business.
Bottom line, this update for the 'now' of the classic gets vile and grossly disturbing very, very quick.  And while I can't stop those who want to see it and enjoy that aspect of the modern horror film (in this case pounding away like a jackhammer), I can try my best to persuade those who are still thinking of seeing it after hearing it grossed 30 million in it's first weekend - reducing Kill Bill, my favorite film of the year and one that used violence and gore to it's stylistic advantage instead of it's cichy device, to second place - to stay home or, better yet, rent the original.  Grade: F",The Texas Chainsaw Massacre
8,Coventry,The Hollywood Chainsaw Massacre,3,9 August 2004,"I haven't got that much of an opinion to share about this remake of the legendary Tobe Hooper film. It's rather well-made, fairly gruesome and reasonably tense. The young and inexperienced actors do a pretty convincing job while older veterans like R. Lee Ermey clearly amused themselves in their roles of deranged hillbillies. Director Marcus Nispel (ex-director of music videos, of course) makes the most of out the dark, colorless and depressing settings. The complete lack of civilization is the film's strongest aspect. Which brings me to all the negativity. More particularly: WHY?! Whywhy was it made?! It's better not to wonder about this question too much. I'm one of them weird people who thinks the original TCM was one of the most important American movies ever and the most essential film to watch if you're a horror fan. And, if there ever was one film that didn't require a remake, it's this one! Still as scary as ever and the raw atmosphere of the original can never be equalled. The Texas Chainsaw Remake is nothing but an attractive money-makerwhich is pretty much okay by me. This type of remakes, sequels and rip-offs is merely intended for young and over-enthusiast horror buffs. I think it's positive because they can find out about the original this way. Although, they better don't claim that this boisterous remake beats the Tobe Hooper original That's like openly declaring you don't know crap about horror and you deserve deathby chainsaw!!",The Texas Chainsaw Massacre
9,michaelRokeefe,When you hear the chainsaw hummin'...get your ass to runnin'!,6,23 October 2004,"You can't tell this story too many times can you? Almost on the same level of excitement as the 1974 Tobe Hooper original...Texas CHAINSAW MASSACRE will get your heart to pumping. Erin(Jessica Biel)and four friends are on the backside of a road trip to Mexico and are smuggling a sizable load of ""pot"" through 1973 Texas when their van almost hits a comatose girl walking down the middle of the road. No sooner than the mystery girl gets in the back of the van...she blows her brains out the back window. The teen travelers decide the right thing to do is report this messy suicide and get the hell out of Texas. No such luck. In short they meet a backward inbred family that gravitates around a huge hunk o' horror...Leatherface(Andrew Bryniarski)that lets his chainsaw do the talking...and slicing. Then there is Sheriff Hoyt(R. Lee Ermey)who seems to keep on being Sheriff long after there was no need for one. The repulsive Sheriff cops a feel of the dead girl's breast and also checks out the condition of her nether region. Nonstop tension, gore and maiming somehow blends with the coughing of the smoking killing machine chainsaw. Jonathan Tucker, Erica Leerhsen, Mike Vogel and Eric Balfour are a source of fresh meat for Leatherface and family. Biel is absolutely HOT. The girl has a top notch scream and knows how to fill out a tank top. Ermey is an absolute hoot. For the weak of heart this is a must to avoid. For horror freaks...this is a strong must see.",The Texas Chainsaw Massacre
