,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"Despite the crudeness and stupidity, it's an amazingly insightful film",9,14 August 2007,"I loved this film and it's obvious I am in the minority. This film was marketed in only six cities and it bombed--going almost straight to DVD after its eventual release. I assume much of the reason it failed is that although the film appears stupid and crude (after all, it was created by the same guy who made BEVIS AND BUTTHEAD), but the central message was actually pretty deep and the audience didn't fully appreciate its depth.I think much of the reason I loved it so much is that the basic premise is one I have talked to my friends about for years--how on this planet, the dumbest and worst elements of the gene pool are out-breeding the smart folks. Taking this premise to an extreme, and you've got a future like you see in IDIOCRACY--where in the 26th century, idiots run rampant and there is no longer any sign of intelligent life on Earth! This certainly is not a politically correct reality, but Mike Judge (never one to court political correctness) has the audacity to point out just how stupid we are destined to be. And, in a very, very low-brow way, seeing this future stupid world is funny. I loved the 8-time Oscar winning film the audience was watching in the film, the merchandising of EVERYTHING and the incredibly shallow and awful future this film explores--sort of like a Brave New World for idiocy.Now despite all the funny scenes (and there are many), there is a strong warning to all--this is a super-crude film and one you probably shouldn't show to your kids, your parents, or anyone you whose self-respect you desire. No, it is chock full of potty humor and foul language but I really do think it is necessary in order to fully illustrate how dumb society is now and how dumb it will be if idiots are allowed to reproduce at will. As long as you have relatively thick skin and can understand that the film is meant as satire, then it's a good bet for anyone....except stupid people.PS--Please watch the film all the way to the very end--past the credits. You won't be sorry.PPS--The DVD extras are pretty poor--with a few unfunny deleted scenes and that's all.PPPS--Some time after I wrote this review, I read through some of the other reviews for this film and was shocked to see how many people didn't understand the joke! Check this out for yourself.",Idiocracy
1,SnoopyStyle,Idea funnier than execution,6,24 August 2015,"Without thinning the herd, society gets dumber with each generation as idiots procreate more than smart people. Joe Bauers (Luke Wilson) is happy to be slacking off. He is the most average recruit without any family connections. The Army picks him and hooker Rita (Maya Rudolph) for the Human Hibernation Experiment. The base is closed after a scandal and the project is forgotten. Instead of frozen for one year, they are reawaken after 500 years. Humanity has gotten really stupid and Joe is now the smartest person on earth.This is a funny idea looking for a funny movie. Luke Wilson doesn't do much more than a straight man in a crazy world. The world is single note. Some of it is fun. There aren't that many big laughs but it is just fun enough.",Idiocracy
2,claudio_carvalho,"One Day, We Will Reach There",8,30 December 2013,"In 2005, the Private Joe Bauers (Luke Wilson) is an ordinary man with an average IQ. He is invited by Officer Collins (Mike McCafferty) to participate of a classified program named Human Hibernation Project to hibernate in pods for one year with the whore Rita (Maya Rudolph). However Collins is arrested for participating in a prostitution ring and Joe and Rita are forgotten in the pods. Five hundred years later, Joe wakes up and finds that the society is absolutely dumb. But he is arrested since he does not have any money or identification. In the prison, he is submitted to an IQ test and soon he learns that he is the most intelligent guy in the United States. President Camacho (Terry Alan Crews) invites him to join his government and help him to resolve the problem with the crop. In return, he would give pardon for his faults. Joe requests the support of Rita and the lawyer Frito (Dax Shepard) that will show him a Time Machine. Joe tries to solve the crop problem and then return to his time.""Idiocracy"" is one of the funniest and most intelligent comedies that I have recently. The storyline is perfect and I am afraid that one day, we will reach this dystopia with the actions of demagogue and populist governments. This movie should be mandatory in classes. My vote is eight.Title (Brazil): ""Idiocracia"" (""Idiocracy"")",Idiocracy
3,kosmasp,Are we there yet?,7,29 January 2019,"Was this a missed warning sign? The current climate in America is kind of portayed here. Though some would argue, that it doesn't depict all of America, not even just the one side who seems to have a glutton for punishment and seems to like to vote against their own interests. So while there is some relevance to current events, this go far out.Still if you feel uneasy watching this, it doesn't mean something is wrong with you. Quite the opposite is the case, everything is right with you. Quite ridiculous at times, it is there for entertainment purposes ... no really! They weren't trying to do a documentary! All kidding aside, this can be viewed as fun - no matter what your political background is.",Idiocracy
4,classicsoncall,"""Evolution doesn't necessarily reward intelligence...""",6,12 November 2011,"When I was in fifth grade a little over fifty years ago, I read a Weekly Reader article that stated that most great civilizations don't last much more than two hundred years. Obviously that article made quite an impression on me because I still remember it. From the vantage point of the late 1950's this would have seemed impossible for the United States, but as we cruise well past the two hundred year mark, it almost seems inevitable now doesn't it?Believe it or not, I looked this film up because Rush Limbaugh recommended it the other day on his EIB Network radio show. I can't believe he actually watched it, but then again, benefit of the doubt and all that. It could be he was inspired by the way the picture satirizes the way the government operates today, what with a House of Representin that's about as effective as Congress these days.Well left to my own devices, this isn't the type of picture I would generally pick up, given the premise and the cast. A single viewing was enough to convince me that I've hit my quota of dumb pictures for the year, and even once is too much with this one. Indeed, human evolution may be at a turning point, and this picture only reinforces that it's direction is down hill on a slippery slope.",Idiocracy
5,gavin6942,A Not-Too-Unusual Expectation of Humanity's Future,6,27 February 2008,"An average military man -- average in every way -- and a local prostitute are frozen, to be awakened in one year. But they are forgotten and left to sit for 500 years until their chambers are broken open in The Great Garbage Avalanche of 2505. Now the average man finds himself to be the smartest man on earth (due to stupid people having more children than smart people) and must solve their problems while also trying to find a time machine to return him to his own time.The first half of this film is hilarious and a great social critique -- it parodies our love of such stupid things as ""America's Funniest Home Videos"" and our growing reliance on corporate sponsorship and catering -- Starbucks, Carl's Jr and a Gatorade knockoff are prominent throughout the film. And the introduction, explaining dysgenics, is dead-on accurate and hilarious... the poor and less educated do tend to have more children than the wealthy and well-educated. I have my doubts that intelligence itself is hereditary, but to some extent it could be true.Luke Wilson has always been the stronger Wilson brother in the acting department and he really is the strong point of this film. Maya Rudolph isn't particularly funny, talented or even good looking. She wasn't a great casting choice to offset Wilson, leaving him to carry this project alone. But he does it. Dax Shepard does precious little besides act stupid; Justin Long is funny but has far too small a role.My biggest concern with the film, besides the waning humor (more time ought to have gone into the second half of the script) is the complete disregard for explaining how things work. For as stupid as the population is, they still have advanced technology and well-run businesses. Who maintains this? Who does the repairs? Sure, I'm not supposed to think about this, but as a film targeting an intelligent audience to belittle the less intelligent, I have no choice but to think about the film critically.I don't know what more to say on this one. Is it Mike Judge's best work? Probably not. I think some of the jokes are funnier than ""Office Space"", but ""Office Space"" overall is the much stronger film. So, I can't really praise it all that much. The first fifteen minutes is funny, the next fifteen is alright and it generally goes downhill from there after the gimmick of a stupid America wears off (the rest of the world isn't explained). Well worth watching, very quotable, but still remains somewhat disappointing.",Idiocracy
6,lee_eisenberg,dumbed-down world is exactly what we've become,8,25 August 2008,"More than just a silly comedy, Mike Judge's ""Idiocracy"" is also a look at the possible fate of a society that suppresses intellectualism and does everything possible to the most brainless sectors. The plot has not-too-intelligent Joe Bauers (Luke Wilson) getting frozen in an experiment and waking up 500 years later in a society where stupidity reigns supreme, meaning that he's now the most intelligent person alive! While this may qualify as a stupid movie, it's only because it shows what happens when a society lets itself get brainwashed and commercialized to the point that a ""high quality"" movie is a two-hour shot of somebody's butt (I dare you to laugh at that!). Even in our society today, some people treat knowledge as ""elitism""; the opposite is of course a TV show about repeated injuries to a man's crotch. But whether or not that's supposed to dominate the movie, you gotta love the president's State of the Union address, the Rehabilitation, or any discussion of Brawndo.I certainly recommend the movie. And seriously, what would YOU think of a society in which all speech is a mixture of hillbilly nonsense, valley girl talk, and inner city slang?",Idiocracy
7,Woodyanders,"Hilarious and very prophetic ""what if?"" comedy",8,7 February 2017,"Ordinary schmoe army private Joe Bauers (a solid and affable performance by Luke Wilson) gets selected for a government hibernation experiment. Joe wakes up in the year 2505 only to discover that the world has become overrun by total morons who have been dumbed down by trash television and mindless rampant commercialism.Director Mike Judge, who co-wrote the wickedly witty and prescient script with Etan Cohen, keeps the entertaining story moving at a brisk pace, maintains a sharp and savagely mocking tone throughout, and makes the most out of the inspired and scarily plausible premise that might just be around the corner thanks to the crass stupidity and gross ineptitude of the Trump administration with its ties to big business and flagrant disregard for both education and the environment alike (for example, the dust bowl drought and crop failure that's plaguing the future was caused by an all-powerful corporation replacing water with a soft drink called Brawndo). This film not only astutely nails the increasing lack of civility and propriety in the United States, but also serves as a timely and provocative grave warning on how lowest common denominator-aiming TV programming, the degradation of both language and education alike, and major companies that put more importance on making money over taking care of ourselves and the planet we all live on might possibly lead to a dismal future in which idiocy reigns supreme. Moreover, this film is acted with zest by an enthusiastic cast, with especially commendable contributions from Maya Rudolph as sassy hooker Rita, Dax Shepard as dim-witted lawyer Frito, and Terry Crews as mighty macho wrestler and porn star chief executive President Camucho. Theodore Shapiro's spirited score hits the stirring spot. A total hoot -- and more than a little unnerving, too.",Idiocracy
8,rmax304823,Tragicomedy.,7,7 April 2015,"Luke Wilson is frozen and hybernated and then somehow forgotten about for 500 years. When he emerges, he finds an overpopulated country full of numskulls. Everything is filthy and falling apart. The world is owned by a corporation named Brawndo that makes high-energy drinks. The citizens are low-grade morons. The solemn narrator tells us that the English language has deteriorated into a blend of redneck, valley girl, and urban street talk. But nobody really knows how to speak well anyway. Example: ""It looks like we are experimenting some technological differences."" Authorities put him through an IQ test and he has to answer questions like this: ""If you have one bucket that holds two gallons, and another bucket that holds five gallons, how many buckets do you have?"" He's pronounced a genius.But his lack of identification takes him through several institutions. He's put in prison and develops a tricky way of escaping -- he tells the COs he's been released and they let him go. In the hospital, the doctor is dressed in Hippy garb and smokes. When he's captured again, the President of the United States makes him Secretary of the Interior because of his brains. The president is a huge, muscular black man in corn rows and Uncle Sam suit who struts back and forth on the stage bellowing each announcement and ending it with a dying quiver, as in a church sermon.I may have made this sound sillier than it is. Well, it IS silly, and there are times when he seems to slow down to a trot, but there are moments that are almost hysterically funny. If you listen carefully to the remarks in the background, there are additional Easter eggs.Luke Wilson is Owen Wilson's brother. Their voices are almost identical. They both sound a little boyish and innocent. The others in the movie tell Luke that he talks like a fag. If Luke hadn't been available, Owen would have done as well. They both fit the role like an enzyme and its substrate. Equally good is Dax Shepard's imbecile taxi driver and sidekick. He wears an expression that bespeaks ""escapee."" Some of the humor more finely tuned, as when Wilson is explaining to Shepard ""the grandfather paradox"" of time travel. (Can you travel back in time, kill your own grandfather, and still exist?) Wilson, desperately anxious to be clear, really gets into the hurried lecture; the paradoxes spin wildly out of control. And Shepard merely stands still, staring blankly, and saying ""Uhh -- uhh -- mmm."" It's as amusing as Monty Python's ""Twit of the Year."" There may or not be some sort of warning beneath the laughs. Did you know that only 41% of Americans can identify a picture of Joe Biden, the Vice President of the United States? And that one out of five Americans can't identify the country we achieved independence from? Fewer than half of us know that electrons are smaller than atoms. It's easily Googled. That last survey was done by the Smithsonian Institute. The focus of our shared data base seems to have shifted towards the ephemeral. We're no longer such a curious people. Why should we be? We are too prosperous to be curious.",Idiocracy
9,Quinoa1984,the smartest/stupidest movie you didn't get to see in theaters (most likely),7,17 May 2007,"Strange that, despite Mike Judge's previous successes with Office Space and King of the Hill, that the film was made at 20th Century Fox. Judge, with his co-writer Cohen, are lampooning the very things that end up keeping Fox in bread and butter so often. Not to put a very one-sided face on what Fox represents as worthwhile entertainment or just worth for the public (Fox News is another matter), but Judge might have taken a guess that taking aim at big corporate interests in their conglomeration methods (albeit Judge doesn't back down from naming Starbucks, Gatorade and Fuddruckers), the boom in births from those with the lowest common denominators for brains, and just society in general might tick off some of the studio execs. Nevertheless, it is still something of an outrage to see what was done to Idiocracy upon original release; limited, oddly enough, to theaters in the Midwest and southwest areas, with nothing on the east coast and northeast especially, it was buried and left for the DVD scrap piles. It might be that they, like test-audiences, didn't quite get what it was that Judge was trying to convey with his in-your-face satire.Idiocracy has the premise as follows: an average Joe, named Joe (Luke Wilson), and a prostitute (Maya Rudolph) who's pimp is named Upgrayedd, are chosen by the army to be frozen as part of an experiment, which goes wrong, and the two of them awaken hundreds and hundreds of years later, when human civilization has turned into unadulterated, libido-crazy morons. Morons as in they're only about 1 IQ point, more or less really, apart from Judge's previous creations Beavis and Butt-head. Joe is seen as the smartest man alive, and so is put in charge of seeing why there aren't any crops growing- Gatorade instead of water, which is thought of as strictly toilet-bowl fodder- and uses that as his side-line while looking for a time machine. All through this, Judge throws one big visual gag after another and, more often than not, they end up sticking in ways that end up combining many of Judge's strengths from B&B and Office Space. It's intelligent stuff that pretends to be aimed at the same lowest common denominator, and ironically one ends up laughing like the same idiot watching repeatedly on TV a guy get kicked in the nuts every which way to Sunday.There's more gags to come, more than one could think would be possible, and as a result there is a case nearly of overload. Luckily many of the targets- Fox News, the executive office of America (if an office could be called that), the various products all laid out as having tie-ins with getting people off, which is all that the public really has on their minds in their paths to immediate gratification- are hit usually just right. When it starts to come down to actual character Judge is a little more sloppy; the whole rapport between Wilson and Rudolph never totally clicks, with Joe/Not Sure (his name as given during a machine's obvious idiotic taking of Joe's ID picture) not really getting that Rita is a prostitute but works as a painter's assistant back in past times. When it comes to that, unlike Office Space, Judge doesn't have much in way of character chemistry. Which is fine; he and his crew have more to tackle in ways of elaborate visuals and would-be matte paintings (look at that garbage problem!), that character has to be limited in this case.The points aren't necessarily subtle, but then again, when all is said and done, the filmmaker gets his points across. What is it about living in a country that becomes homogenized to the point of no recognition when education is nil, the birth rates aren't made more equal (how many Jethros and Mattie-Maes can there be in this world, lets face it), and corporations contribute all the more to the ""dumbing down"" of culture- in quotes as that it's sort of an equal partnership in getting dumbed down. This is more than likely what the studio didn't really grasp, was that the joke wasn't necessarily just on them, but on many other facets of society. It's an ambitiously good comedy, if falling short of a great one, that asks some keen questions amid the rampant sex and flatulence and monster truck and stereotype-assaulting jokes. One can only hope, maybe many many years from now, it'll catch on.",Idiocracy
