,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,A really good film but NOT a comedy in any way,8,17 September 2021,"IMDB lists ""The King of Staten Island"" as a comedy/drama. I think this is a mistake as there really is no comedy in the fil...even though it stars Pete Davidson and Bill Burr as well as being directed by Judd Apetow.The film is a slice of life drama about a man who is a loser and going nowhere with his life. Scott (Davidson) is in his mid-20s but lives at home....spending most of his time smoking pot and hanging out with other losers. After a while, you seem to realize that at least some of his problem is depression, as his firefighter father died in the line of duty when Scott was 7. The film is about his journey from an unlikable loser to a semi-respectable guy with, perhaps, a future.As long as you DON'T expect comedy, you'll probably like the film. For much of the story, Scott is a real unlikable jerk....but I encourage you to give the film a try...it grows on you. Well written and unique.By the way, this story was obviously a work of love and a tribute to firefighters. It seems that Davidson's real life father was killed working as a fireman during 9/11 and Steve Buscemi (who is famous for being an ex-firefighter who returned to work during 9/11) makes a nice appearance in the film. A truly unique film...and it would make a nice double-feature with Adam Sandler's ""Reign Over Me""...another story about a guy who can't get his life back on track following the loss of family.",The King of Staten Island
1,SnoopyStyle,infuriating Scott,6,14 February 2021,"Scott Carlin (Pete Davidson) is depressed and self-destructive. He's 24 and still living at home with his widowed mother Margie (Marisa Tomei). His younger sister Claire (Maude Apatow) is leaving for college and worried about him. Everybody is worried about him. He spends his days smoking pot and doing bad tattoos on his loser friends. His ridiculous dream is starting a tattoo restaurant. He sleeps with Kelsey (Bel Powley) but keeps her at arm's length. He is haunted by his firefighter father's death who was killed in a hotel fire when he was seven. His mother starts dating another firefighter, Ray Bishop (Bill Burr).Judd Apatow is the director. I like this less than most of his other movies. After some careful consideration, I think it's Scott that I don't like. Judd's protagonists are often self-destructive but in this one, Scott is also mean to those who love him most. He is basically an emotional bully to Kelsey. I do like his relationship to Claire since she actually fights back. That's a fun bickering sibling relationship. His relationship with his mother is not so fun. At the end of the day, his anger gets sometimes directed at the wrong person and I don't like him for it. It makes it harder to root for the guy. I do understand Judd's method of character growth for Scott. It has to be handled with much more care. Also, this movie is too long. Normally, I don't fret over that for Judd's movie but this one feels it. Maybe if this is a much darker movie... Judd's standard comedic tone doesn't fit Pete Davidson's performance.",The King of Staten Island
2,nogodnomasters,He has nepotism,4,27 June 2020,"Scott (Pete Davidson) has ADD and has severe self-esteem issues, worse than Amy Schumer on crack. His dad died as a firefighter which he blames for all of his woes. After 17 years when his mom (Marisa Tomei) finally meets someone, Scott has issues with it. Scott aspires to open a combination tattoo parlor and restaurant. Judd Apatow felt he needed to write another role for his daughter as she is having a hard time finding work.This is a dramedy that created an unrealistic situation with Scott going to the fire station. Scott did a lot of drinking for someone claiming to have Crohn's disease. Did Bel Powley get implants? The film tried to do too much and didn't do it well.Guide: F-word. Sex. No nudity",The King of Staten Island
3,BandSAboutMovies,I liked this way more than expected,6,31 July 2020,"You know, I liked this movie more than I ever would have thought. I've disliked nearly everything Pete Davidson has done on Saturday Night Live, seeing him as, at best, a one-note stand-up jammed into a show where the best he can do is look sleepy and break in nearly every sketch.Yet this movie, a semi-autobiography as Davidson's father was also a firefighter who died on 9/11, was moving and well-done.It's not without its problems. Like every Judd Apatow movie, there's no reason for it to be two hours and sixteen minutes. The guy has no idea how to end a movie on time.Marisa Tomei again shows why she really did deserve that Oscar and wow, Bill Burr was a revelation. The guy is so natural and perfect here, as is Bel Powley as Davidson's love interest.Pamela Adlon, who plays Burr's ex-wife, is actually the voice of Bobby Hill on King of the Hill, which is a shock. And Steve Buscemi, who was a firefighter while beginning his acting career, is great as usual.I was expecting a self-indulgent mess and got a thoughtful film. I promise not to judge Davidson so harshly in the future.",The King of Staten Island
4,grantss,A bit flat as a drama but fairly good as a comedy,6,27 March 2021,"24-year-old Scott lives with his mom. He doesn't have a job and spends most of his time hanging out with his stoner-slacker friends. Then, for the first time since his dad died 17 years ago, his mom starts seeing someone. Scott's fragile world suddenly got more complicated.Directed and co-written by Judd Apatow, The King of Staten Island is a mix of comedy and human drama. The comedy is pretty good, with some great stoner humour and some funny dialogue.The drama side, however, is a bit flat, not really going anywhere profound or particularly interesting. This is not helped by being unable to engage with Scott, the heavily-tattooed stoner-slacker lead character. The drama does have its moments though, so its not a complete waste of time.Overall, the film would have worked better if 100% a comedy but, as it is, it's okay.",The King of Staten Island
5,george.schmidt,Davidson shines in his first big onscreen comedy lead with Apatow's trademark of hilarity with heart.,9,19 September 2020,"THE KING OF STATEN ISLAND (2020) *** 1/2 Pete Davidson, Marisa Tomei, Bill Burr, Bel Powley, Ricky Velez, Lou Wilson, Moises Arias, Maude Apatow, Kevin Corrigan, Steve Buscemi. Director Judd Apatow delivers the goods with his patented way of mixing humor and heart with Davidson (who collaborated on the script with him and Dave Sirus) as a slacker facing the moment of truth to become something in his life whatever that entails including aspirations of being a tattoo artist while his mother (Tomei) begins a new relationship long after the loss of his firefighter father, whose memory hangs like a cloud over them both. Davidson shines in his first big role onscreen outside of SNL and has potential to be an even bigger comedy star in the making.",The King of Staten Island
6,deloudelouvain,A bit too long for that story.,7,8 October 2020,"If I could I would give The King Of Staten Island a 6.5 rating on here. If it wasn't that long maybe I would give it a seven. The story does not have interesting elements enough to entertain us that long. It wasn't bad though, just not great. It's a dramady (drama/comedy), with more drama than comedy (which is subtle but not bad). As for the acting that was good, a well chosen cast that all delivered. I don't regret watching it, but I won't watch it again to be honest.",The King of Staten Island
7,jdesando,A worthy comedy of the dependable Judd Apatow.,6,2 December 2020,"The King of Staten Island has Judd Apatow written all over it-witty, warm, affectionate, and wildly eccentric. Scott (Pete Davidson: full bore confessional humor straight from SNL) is a 24-year old arrested-development slacker with a smart mouth, charming smile, and dreams of opening a tattoo restaurant called ""Ruby Tattuesday's.""He lives with his youthful mom, Margie (Marisa Tomei, a go-to Oscar-winning actress for this kind of role). For her he's a blessing and a curse.Although nothing that happens to Scott is ordinary, Apatow makes it Seinfeld believable-nothing into something. While Scott rebels against just about everything, he displays a big heart (see him walk the kids to school) and rapidly fires off some humorous lines.Smoking weed in his basement with stoner buddies (Ricky Velez and Moises Arias are especially funny) is typical low-brow Apatow humor. They may be lines not as memorable as in Knocked Up but still warmly funny. Because Davidson co-wrote the script, it has a real-life energy and melancholic tone influenced by the death of his fireman dad.The plot energizes with the arrival of his mom's new boyfriend, Ray (Bill Burr), who is as mouthy and loving as Scott and reminiscent of Scott's deceased dad. That Davidson's real-life FDNY dad gave his life in a 9/11 rescue only adds to the authentic feel for an almost self-parody. The arc of Scott and Ray's relationship can be seen long before the denouement, resisting formula through the talents of the actors to make the characters fresh and likeable.Because many of those around Scott are, like him, out of alignment with where other white guys are fast heading, Apatow captures a sweet longing for the characters to belong even if their humor is better when they are outlaws. In a pandemic when the audience's developments are arrested, it's nice to view The King of Staten Island as everyone's story as well, only with more laughs.On Prime",The King of Staten Island
8,Edvis-1997,8,8,15 August 2020,"I would say it's very interesting movie to watch. Not too complicated to catch main idea and fallow plot. Still the ending wasn't strong part of this film. I'm still missing ending, it wasn't very clear.",The King of Staten Island
9,Cineanalyst,Drawn from Life,8,12 January 2021,"The final shot here of Pete Davidson, nominally as the character Scott Carlin, looking in the direction where the World Trade Center towers once stood is perfect. Even though the 9/11 terrorist attacks are never mentioned, ""The King of Staten Island"" is a semi-autobiography of Davidson, whose fireman father died from the attacks. Although Carlin isn't a comedian like Davidson, I appreciate the irreverent humor here, including its use in deflecting and dealing with grief, which at the least is a change of pace from the usual melodramatics employed in movies about losing a loved one. Even the meandering pacing and extended length that some have panned seems somewhat appropriate in this case given the protagonist's lack of direction in life.I love that Davidson's stand-up comedy, leading him to be a SNL cast member, is replaced here by another, artistic outlet in drawing and tattoo art. It's a Judd Apatow flick, too, so it, of course, also gets dangerously close to rom-com territory in its resolution, but it's really the art, or craft, that pulls Carlin through. He literally resolves his familial conflict with ink on a man's back while honoring his late father and the present firefighters (including one as played by former fireman and volunteer at Ground Zero, Steve Buscemi) in a fire station and, then, with his mother working in the emergency room of a hospital. Of Apatow's oeuvre, only ""Funny People"" (2009) likewise worked as both dark comedy and tender drama. Ultimately, this is Davidson's picture, though, and it's impressively revealing and affective.",The King of Staten Island
