,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Surprisingly awful,4,30 October 2021,"Apparently a Sky Original movie based on an Andy McNab novel, this turns out to be a simplistic DIE HARD on a train copy with a real lack of money that becomes quickly apparent thanks to poor FX, cheesy CGI backgrounds throughout, and a particular dearth of talent when it comes to shooting the many action sequences. It's a far cry from UNDER SIEGE 2, a long-term favourite of mine; instead, we get a posh boy hero battling against Ruby Rose (unbelievable as a tough character once more) while the likes of Andy Serkis, Tom Hooper and others are criminally wasted in their roles. Squint and it might be just about passable in places, but it really should be a lot better than that. And some of the dialogue is truly hideous.",SAS - Red Notice
1,SnoopyStyle,mindless,4,16 March 2021,"William Lewis (Tom Wilkinson) and his two children, Grace (Ruby Rose) and Oliver (Owain Yeoman), are a cold-blooded family who run a private security company. They massacre locals in Georgia for a gas pipeline. When the killings go viral, the British government orders the family to be arrested in a Red Notice. SAS operator Tom Buckingham (Sam Heughan) leads the team. Unbeknownst to him, the British government had actually hired the Lewis family to secure the gas for Britain. After the operation, Tom is taking his girlfriend Dr. Sophie Hart (Hannah John-Kamen) on the train to Paris. The train is hijacked by the Lewis children and stopped in the middle of the Channel Tunnel.This has some action but it's the Brits trying to copy Hollywood's mindless action flicks. It's mindless fun in sections but the main problem is that it goes on too long. First, it's a mistake to kill off Tom Wilkinson who is the best villain in the movie. Second, it's a silly premise cooked up by a silly writer. It's next to impossible to escape from the Channel Tunnel. It's a poorly considered plan that makes little sense. Third, one would think it's hard to hide in the tunnel. There are only so many places. He's either on top of the train or underneath the train. Finally, this movie should end quite soon after the big explosions. It keeps going and going for far too long. Just wrap it up. Apparently, this movie is based on a book. Maybe the book is trying to be Tom Clancy. In reality, it's aiming for Steven Seagal in Under Siege 2 and failing.",SAS - Red Notice
2,Prismark10,SAS: Red Notice,3,10 April 2021,"SAS: Red Notice is a movie adapted from an Andy McNab book.William Lewis (Tom Wilkinson) and his two children, Grace (Ruby Rose) and Oliver (Owain Yeoman) were hired by the UK government to terrorize locals in Georgia.Just so the British government can buy the land for a gas pipeline. However the massacre was captured on a mobile phone.Military fixer Clements (Andy Serkis) has been sent to terminate the Lewis family but the children escape.Now Grace wants revenge on the British government and plans to attack a train going through the channel tunnel.It just so happens that SAS operative Tom Buckingham (Sam Heughan) who was involved in the raid on the Lewis household happens to be on the same train. He is taking his girlfriend to Paris.Effectively this is a low rent Die Hard on a Train. The action scenes are shoddy. The film is overlong and messy.The movie is a bit too silly and threatens to never end.Heughan is bland as the action hero. Ruby Rose makes an impression as the baddie who seems to just needlessly kill people. Understandable why the British government wanted to get rid of the troublesome family.",SAS - Red Notice
3,nogodnomasters,Drop Her,5,19 March 2021,Black Swan is a paramilitary security force contracted by the British to guard a pipeline in Georgia. Their exploits cause them to be want by the World Court for crimes against humanity. Eventually they find their way to train going from England to France. Grace Lewis (Ruby Rose) leads the group. SAS soldier Tom Buckingham (Sam Heughan ) is on the train with his doctor girlfriend (Hannah John-Kamen ) who does not approve of his action.There are a lot of fight scenes of guys dressed in black shooting at guys dressed in black. It was overkill.Guide: F-word. No sex or nudity.,SAS - Red Notice
4,paul_haakonsen,Good old fashioned action thriller...,6,4 August 2021,"For an action thriller, then I will say that writer
Laurence Malkin actually managed to churn out something that felt like a good old fashioned action thriller. But of course, as the movie is based on an Andy McNab novel.The storyline told in ""SAS: Red Notice"", as directed by
Magnus Martens, actually was interesting and captivating from the very beginning and up to the end. So this movie was essentially without any dull moments for me.The acting in the movie was adequate for a movie such as this. And while I can't claim to be overly familiar with actor Sam Heughan, then he did carry ""SAS: Red Notice"" quite well.There is a good amount of action in the movie, nicely crammed into the storyline and it actually made for a good combination of action and storytelling. Sure, the storyline was predictable, but hey, aren't most action thrillers following the same formula anyway? And I will say that the action sequences in the movie had a very dynamic feel to it.I was genuinely entertained by ""SAS: Red Notice"", and it is a movie that actually is well-worth taking the time to sit down and watch. My rating of ""SAS: Red Notice"" lands on a six out of ten stars.",SAS - Red Notice
5,searchanddestroy-1,Under Siege 2 under the Channel,7,6 September 2021,"Or the reverse DOORMAN, another billionth DIE HARD rip-off, where the good character was a female. Here, the evil leader is a female, but also a character for whom we can find some kind of empathy, as were the villains of the novel from which DIE HARD was inspired from, terrorists who had good ""human and reasonable reasons"" to commit what they did. This is the only movie among the DIE HARD rip-offs where the bad guys are lead by a girl. That deserves to be noticed. That remains a lousy directing piece of work though. No, only the evil gal is worth the watch. And the behavior of the good guy's broad, at the beginning reluctant to the fact that her man kills people, and then suddenly asks - orders - him to kill, kill, especially the villain gal, fo whom the audience may feem some empathy.... Interesting indeed. Very interesting. Forget the rest.",SAS - Red Notice
6,zardoz-13,Psychopaths To The Rescue,8,4 May 2021,"Imagine being a hostage aboard a hijacked train waylaid beneath the English Channel in an undersea railway tunnel while terrorists and the authorities haggle about your fate. This spectacular situation spawns suspense galore in director Magnus Martens' ""SAS: Red Notice,"" a contemporary, white-knuckled thriller laden with intrigue, murder, and mayhem. Making matters worse, our red-blooded hero is riding on that train with his girlfriend when it is halted. He resigns himself to setting aside his marriage proposal plans until he can sort out the villains. As Tom Buckingham, Sam Heughan-known best as Jamie Fraser in the ""Outlander"" cable-TV series and Mila Kunis' co-star in ""The Spy Who Dumped Me""(2018)--delivers a performance which qualifies him to play the next James Bond. The tall, square-jawed, gimlet-eyed Scotsman is the spitting image of Roger Moore. FYI, Moore was the second official cinematic 007. Although loosely based on former Special Air Service veteran Andy McNab's bestseller, the outcome resembles ""Die Hard"" on a train. Heughan's quick-witted hero meets his match in a bitter terrorist as psychotic has he is. Grace Lewis (Ruby Rose of ""Vanquish"") threatens to give the Prime Minister more than he bargained for since he ordered her father's demise. William Lewis (Tom Wilkinson of ""The Patriot"") had been doing the dirty work for the British since they cannot afford the scandals. William weaned Grace on weapons, and she grew up with an itchy trigger finger. Between Heughan's gallantry and Rose's villainy stands Andy Serkis. As the military advisor to the Prime Minister and Lewis, George Clements (Andy Serkis of ""Black Panther"") takes your mind off everybody else with his spontaneous scene-stealing shenanigans.""SAS: Red Notice"" takes place in the Republic of Georgia. The Black Sea laps the Republic's western shores; Russia sprawls to the north, Armenia and Turkey to the south, and Azerbaijan to the east. William Lewis runs his own private paramilitary outfit called the Black Swans. They go where the British cannot fly the Union Jack. A high-profile British company is constructing a gas pipeline through Georgia, and the Black Swans are troubleshooters who resolve stoppages. As the movie opens, George Clements authorizes him to bribe the stubborn villagers who refuse to make way for the pipeline. William's son Oliver (Owain Yeoman of ""American Sniper"") hasn't lived up to his promise. Instead, Oliver struts around too much with a cigarette dangling from the corner of his mouth trying to look tough. William plans to turn command of the Black Swan over to his sadistic daughter Grace who is singularly without a trace of that emotion. As they approach the disputed section of pipeline, William lectures Grace about psychopaths.""Less than one percent of the population is psychopathic. Psychopaths often inherit the trait and are incapable of love. They manage their relationships with clinical precision, succeeding in all walks of life. Psychopaths that can learn to love are even more rare."" Basically, William has described Tom Buckingham to a tee without realizing it. Further, Tom will achieve everything which William attributes to psychopaths. As it turns out, this combat-tested, stealth-oriented, SAS counterterrorist has been dating his polar opposite. Dr Sophie Hart (Hannah John-Kamen of ""Tomb Raider"") questions her own sanity because she knows their relationship will never evolve. She doesn't like what Tom does and she never fails to admonish about this lifestyle. Nevertheless, Tom resolves to slip a ring on the fourth finger of Sophie's left hand.Meantime, Grace leads a squad of heavily armed men and women under a conspicuous white flag. No sooner has she entered the village than she spots snipers. A firefight ensues. Grace feels a bullet nibble at her neck, while some of her troops become casualties. William races to his daughter's side. He looks at her in the eye. She explains the villagers didn't want money. ""They wanted a fight,"" William nods grimly, then prompts her to action. ""Make a decision."" While machine guns chatter around them, Grace looks into her dad's eyes. She recites The Black Swan's credo, ""Kill the men and the boys and leave the women to spread the fear."" The Black Swans wipe out the male population. They drive the women and children from the village, and then reduce it to ashes with their flamethrowers. Neither Grace nor her father had counted on a lone villager equipped with a cell phone who records a video of their atrocity. Naturally, the video goes viral, with William, Grace, and Oliver caught on camera red-handed slaughtering villagers without mercy.Tom has bought airline tickets to Paris for Sophie and himself. He cruises on his motorcycle to St. Thomas' Hospital in London where he surprises her during her Pediatric ward rounds. Sophie looks forward to the prospect of a Parisian holiday, but she doesn't appreciate Tom's interference with her work schedule. Without her permission, he went behind her back and persuaded another physician to take over Sophie's patients so they could revel in a romantic tryst in the City of Light. Unfortunately, the Special Air Service summon Tom for an impromptu raid on the Lewis residence at Hampstead Heath in northern London. During this foray, Grace eludes the SAS, but George Clements guns down William in cold blood without giving him a chance to defend himself. This spurs Grace to hijack the train in the English Channel Tunnel.An exciting, suspenseful, rapid-fire shoot'em up, ""SAS: Red Notice"" has no end of complications thwarting both the heroes and villains. When they miss their Paris flight, Tom obtains tickets on the train. He sneaks off the train and harasses Grace until the SAS arrive to negotiate. Meantime, Sophie tends to the injured and wounded. Grace suspects Sophie and Tom are collaborating, but she cannot prove it. Inevitably, treacherous saboteurs create more trouble, but singling them out isn't easy. Altogether, this explosive, high-octane, R-rated melodrama lets one of the villains escape capture, something that only a sequel could mop up. ""SAS: Red Notice"" should gratify action movie enthusiasts.",SAS - Red Notice
7,siderite,Die Hard meets Dexter in a somewhat silly film,7,27 August 2021,"The film's premise is interesting and the cast, all British veterans of Hollywood, is pretty good. Also, I think it's the perfect role for Ruby Rose, where she just plays a murderous psychopath. OK, I am a bit mean with the girl, but she does seem to only have one expression... A bit bummed that it's yet another production where they are making fun of Tom Hopper. Won't the guy get a role where they don't make an ass of him? The movie had pretty high production value as well.Anyway, that's about the good. The bad, quite a lot, too. Some action scenes are good, but most of them are pathetic. The ""twist"" at the end is pointless and the ending overall is really really bad. If we have learned anything from the past is that a movie will only be as successful as its ending and that is why people who really hate this film do.What hurts for me is that this had a lot of potential. It is a terrorist attack in the Eurotunnel in which a highly trained SAS operative is travelling with his soon to be wife. The terrorist is psychopathic and so is our hero. Gasp! Yet the entire thing had a too long a setup and a convoluted ending that detract from the quality of the initial idea. Too bad.Bottom line: I thought that the acting was competent, the premise good, but the script focusing on all the wrong things.",SAS - Red Notice
8,Tweetienator,Mass-Product,3,7 October 2021,"Fast produced action flick of TV-level (streaming services). Nothing remarkable, some explosions and gunfights, sometimes okay, sometimes bad action. The pro: you can put all but one of your brain-cells on sleeping mode. Ruby Rose once gives again a bad ass character, but once again she's (in my opinion) a miscast for that kind of role - they should take some serious female MMA fighters for such role, maybe they can't act but they will manage to give some convincing fighting performances. Anyway, good enough for pop-corn munching time and if you want to feel stupid ;)",SAS - Red Notice
9,alindsay-al,A Poor Action Film,3,20 March 2021,"This film made it's way to Sky Cinema last Friday and last night I sat down and watched SAS: Red Notice and here is my review for it. The premise of the film sees a small force of trained mercenaries hijack a train where one man has to stop them.Main Character
Sam Heughan plays one of the main characters here and I thought he was okay. He was good in the action scenes and provided a physical presence to the role which aided in the film, also I like some of the things they do with the character in terms of the mental state of the character. But it just isn't handled well enough and Heughan is quite dull in his performance and the film doesn't do a good job of making you like him or care about him. Ruby Rose plays the main villain and I actually thought she was the more interesting character and sold her insanity in a more interesting way. She gives a menacing performance and Rose does as good a job as possible, but in the end her motivations are very dull and it wastes the opportunity given due to her decent performance.Supporting Characters
This cast has plenty of well recognised actors, though they don't exactly get much to work with. Andy Serkis is a nice fun character here, he is completely over the top and kind of like he is in a different film to the rest of the cast but you cannot deny that he is entertaining. But others like Hannah John Kamen, Tom Hopper & Noel Clarke are given very little to work with and despite being good actors the characters are bland and don't offer much to the overall product to the film.Story
The story here is really bland too, this films plot feels like it belongs in the 1990's where action films like this were churned out all of the time. The film wanted to do something unique with the two main characters but the story doesn't do enough to make it interesting and as I said above the whole motivations for the villains is cliché and not well thought. Also the film has twists and turns and I am pretty sure not one of them makes sense and the end of the film cops out and takes the easy way out instead of providing something unique.Script
The script as well is weak and really does hurt the film. It provides cliché motivations and twists that are unnecessary and feel like a poor attempt to try and make the film feel better then it actually is. The film also takes itself really seriously too and kind of misses the point of an action film like this.Style
There are some good action scenes here that are pretty violent and are the best parts of this film. The film is paced pretty well and despite a longer runtime that I would like, I never really felt bored by any of it. Though I think with the other elements of the film being weaker I needed more from the action scenes and some truly memorable sequences which the film doesn't have.Overall
Overall, SAS: Red Notice is a pretty poor film that just feels very forgettable. It has some okay action but there are so many better action films out there and this is one to avoid.",SAS - Red Notice
