,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Going to the well yet another time...enough already!,5,11 February 2020,"I know that ""Toy Story"" is a beloved franchise...I get that. But at the same time, it's a movie that's spawned three sequels AND countless shorts. Despite a complete lack of originality, however, folks still love the films and the Academy keeps awarding Pixar with Oscars for the movies. As for me, I've had enough and would really love to see the studio focus on something new and original.The story is about a new toy, 'Forky' the spork--a toy that Bonnie made at kindergarten out of some trash. Forky is trash and doesn't get the concept of being a toy....and constantly is trying to throw himself away despite Woody's best efforts to keep him with Bonnie. In the process, Woody ends up getting separated from Bonnie at Great Basin National Park (on the Nevada/Utah border). Can he find his way back to Bonnie? And, what about Forky?Although the film lacks originality, I hate to admit that it is gorgeous....with about the nicest looking CGI I can recall having seen. It is lovely to look at and the characters are more fluid and lovely to look at than ever before. Perhaps this is why it got an Oscar....it certainly wasn't for any other conceivable reason.
After all, it's yet another film where the toys try to find their way back home....just like in all the other films. Overall, an enjoyable film that is nice to watch and with a few enjoyable moments...but nothing more. It's essentially ""Toy Story"", ""Toy Story 2"" and ""Toy Story 3"" all over again.By the way, like other Toy Story movies, the creepy characters in this one are the Vincent marionettes. And, they are mega-creepy nightmare fuel.",Toy Story 4
1,TheLittleSongbird,Pixar on the road,7,17 July 2019,"Am a big fan of Pixar and have been for two decades or so. Have not loved everything they've done, 'Cars 2 and 3' and 'The Good Dinosaur' (to a lesser extent too 'The Incredibles 2') disappointed though certainly didn't dislike any of them. Their best work though are masterpieces, for me the previous three 'Toy Story' films, 'Inside Out' and 'Coco' fit this distinction as do most of their short films.Was in two minds when hearing that there was going to be a fourth 'Toy Story' film. Am somebody who would see the latest Pixar film, regardless of critical reception, at the earliest opportunity, not for nostalgia but for being an animation fan and having appreciation for high quality stuff. But it is very understandable that people are saying that they questioned the point of this being made and that 'Toy Story 3' was a perfect end, that was the very first reaction felt when first hearing of it. Those who weren't bowled over by this shouldn't be crucified for feeling underwhelmed and feeling that it was unnecessary.My aforementioned initial reaction was still not completely quashed finally seeing 'Toy Story 4' for myself. Thought actually it was still a good film, namely on its own, but if quickly getting any comparisons out of the way it is quite a bit below the quality of the first three 'Toy Story' films and as far as Pixar films go it's towards the bottom in my opinion. Which is actually not a bad thing, it says a lot about how brilliant much of their work is. A lot of great qualities, but the disappointment from some is understandable.The story is a slight one and can feel over-stretched, especially when in the latter antique store scenes. This is the only 'Toy Story' film where the pacing was flawed in my view. It is a shame too that most of the original gang are underused and their material not being much of note.Buzz didn't have the same spark and it was like those involved had not remembered what made him so memorable. The ending is proof that the ending of the third film was the perfect note for the 'Toy Story' films to go out on, because this one is one of the most anti-climactic and unsatisfying-in-outcome for any recently seen film (for me that is).However, the animation is superb and the component that actually improved with each film, although that in the first is ground-breaking. Was transfixed by the vibrant colours and rich background and character details, toys and humans. The antique store and fairground settings are vividly done. It was great to have Randy Newman back on board again, not easy to imagine a 'Toy Story' film without him and the magic hasn't been lost. Reprising ""You've Got a Friend in Me"" was a genius move and that was what stuck out most memorably in this particular regard.Enough of the dialogue is witty and sharp, 'Toy Story 4' is far from laugh a minute but it is a long way from humourless. The best laughs coming from Ducky and Bunny, Duke Caboom was fun too. 'Toy Story 4' is not without soul either, found Gabby to be one of the Pixar's most empathetic and interesting supporting characters of their 2010s output (a ""villainous"" character that is not really a villain). Forky is likeable and his chemistry with Woody, on top form, is charming. It was great to see more of Bo Peep and her personality more developed, a mix of sympathetic and sassy. Her chemistry with Woody, which one really feels, is one of the film's biggest pleasures.Voice acting is terrific, Tom Hanks, Annie Potts, Christina Hendricks and Tony Hale standing out. Didn't recognise Keanu Reeves either.Overall, good film but not a great one. 7/10",Toy Story 4
2,Leofwine_draca,Cash grab,5,19 February 2020,"TOY STORY 4 is an addition to the original trilogy that really shouldn't have been made. I thought part three was pushing it a bit, a late-stage addition that somehow tied up things nicely with a real sense of nostalgia and time moving on, whereas this feels more like a cynical cash-grab. There are flashbacks and reunions in order to get the main characters in familiar settings, but the rest feels very tired; once again there are separations and rescues and quirky supporting characters. Some of the new voice actors are amusing enough (hello, Keanu Reeves) but otherwise this offers nothing new whatsoever - aside from improved animation.",Toy Story 4
3,SnoopyStyle,emotional,8,22 September 2019,"Woody sneaks into Bonnie's backpack to watch out for her on her first day of kindergarten. He helps her create Forky out of the trash. The family goes on a road trip. Forky escapes and Woody goes in pursuit. Along the way, they are reunited with Bo Peep and her sheep while facing off against Gabby Gabby.This is surprisingly emotional. There are surprising turns at the end. I'm uncertain about the future prospects of the franchise but I'm also a little excited about a reunion. It would be fine if this is the end but that would be a shame. This is a great franchise. If there is one that deserves to continue, there is non better than this. As for Forky, I expected a wilder voice. His introduction is amazing. There are a few terrific journeys along the way.",Toy Story 4
4,Hitchcoc,Not Great but Certainly Not a 1 or 2,7,30 May 2020,"As an older adult I thought the third offering in this series was so moving. It also had a finality to it that made me feel sad and satisfied. The fourth one must have been an effort to rake in some big bucks on reputation. I found it to be the usual masterful special effects of Pixar, but it lacked emotion and story development. While I'm sure a young audience would like it, I was just left a bit cold. One criticism that others have offered, and to which I agree, is the lack of use of the cast of toy characters. Even Buzz gets short shrift. Why pay these really cool actors to do voice-overs and then have so little for them to do. I know that little girl is cute, but that only goes so far. She was the positive concluding representation of the Third film. It just didn't need to be made.",Toy Story 4
5,Horst_In_Translation,The franchise keeps going strong even after all these years,6,12 September 2019,"Okay, here we have ""Toy Story 4"" and the title is somewhat self-explanatory almost as this is the fourth installment to the famous and super-successful animated film franchise and this one was released now in 2019, almost a quarter of a century later than it all started. And also almost a decade after the third Toy Story movie which many (inclusing myself) considered perfect closure really, but as always with almost every very commercially successful film series they keep coming up with new additions. Still, this is not meant as a negative criticism because if they turn out as nice as this one here, then there are no regrets from my side they made it. And honestly when can you ever not trust Pixar and Disney. Very rare. So now the director of these 100 minutes here is Josh Cooley a voice actor on Up and Oscar-nominated for his really witty and funny ""Inside Out"" screenplay and after some short film directorial efforts they leave the fate of the newest part of the franchise in his hands and they made no mistake doing so. As for the script, Cooley is also involved, but you also find the name of Pixar Legend John Lasseter and surprisingly also the one of Parks&Rec actress Rashida Jones who I really did not expect here, but it shows how much talent this series has to offer beyond Pratt and Poehler and also some of the others for sure. But back to Toy Story now. I thought it was a fun watch, even if I must say I am still a bit baffled how these toys manage to keep their very agile life in secret still and have done so for years, decades really because lets be honest here sometimes they can be pretty clumsy. Or lets take one specific example, namely when Jessie gives back the sheriff star early on to Woody. Now had Bonnie a better memory, then she would have been surprised what's going on, but this is not what small children remember I suppose. Okay, so much for the realism component. Lets not dissect the film from that perspective now, but at least take a look about all the many things gone right here.The first and definitely among the most important aspects is that they got all the voice actors back from the older movies. This includes Hanks obviously, but also Tim Allen who was like the alpha male comedian/actor when it all started (look at his programs, or don't) just in case you wonder why he is doing Buzz Lightyear. But also many of the new characters they introduced like the Canadian stunt motobike rider (Reeves) or Ducky and Bunny (Key&Peele) are worth it and breathe new great life into this not dusty franchise at all. Often these kind of films stand and fall also with the antagonists and how memorable they are and in this department it is a success too as we have a little doll who wants a part of Woody, but it really isn't one Woody needs too much and it helps her in fulfilling (what she thinks is) her dream, so it is all good and she is not scary at all. On the contrary, they are helping her with her dream too in the end. And her aides are these seemingly robot-like gentlemen who are honestly slightly scary also with their faces, but not in a really bad way honestly like they are really just following orders. Still, there are these moments when they are turning their heads and one occasion even 180° around, which reminded me a bit of The Exorcist, even if I had no idea if it was meant this way, but it is one of the things that grown-ups will recognize and kids probably won't. Now if grown-ups even watch this film. In my showing I was the only one in the audience altogether, which was nice, but definitely not what the film deserves. Still it's been in theaters for a while already at this point, so I guess early on more people watched it and it was a commercial success again too.Another character who deserves a mention is Forky (Tony Hale, Veep), who was among the best and funniest things of the entire film when he was introduced with his constant attempts to make it to the bin, a real case of lost identity and he has to come to terms first of all with being an actual toy and not garbage, even if it is never really too much on a more serious note about that. The comedy completely prevails with this little fella and how long they really kept his story line going even at the center of the film showed how classy the script is. Luckily for him, at the end, he even finds a partner, which will make things easier for him. So yes as good as the film was in terms of drama and emotion as always with Pixar and Disney really, comedy is mostly key here. I really adored the ""has a child"" running gag used on several occasions and it really doesn't get old. And there are many other funny moments. You will recognize them when you see them. The old and new characters who all have a lot of attention to detail make them work without a doubt and will have you in stitches at times. Just one more example when Buzz finds out about his inner voice and how he reacts to it was really great. Now I like Woody and cowboy( toy)s are cool, but by now he feels more like a vehicle to boost all the other more special characters around him, even if at the very center of it all he is still in the middle of the plot too also when it comes to making crucial life decisions. Maybe this did not do too much for me because I have never been a really big Bo Peep fan, so it is at least partially subjective, but makes kinda sense that the sheepkeeper ends up with the cowboy. I'm just more of a Jessie fan, I can't deny it. But still the more serious stuff does not come short either. Like when Woody says bye to all his friends at the end (now that will be a challenge to reunite them for a fifth film, which will certainly come), it is pretty touching no denying. And what else touched me was Gabby Gabby's fate because you could really see how the girl she wanted to be her child would not love her as much as she wanted it to happen, but when she finds somebody else who was as lost as herself, it is just the sweetest moment ever. You can also make real life parallels about love and attraction here. Still very subjective, you will maybe be moved by other moments more. But you will be no matter by what. Okay finally a few words on some of the audio. Randy Newman is back with his easily identifiable voice to provide some new songs, but we also hear some of his old works. And I watched the German dub, so I cannot say anything about the English-language actors this time, but the dub was fine, even if Bully Herbig was the only truly known name. or maybe because of that because all the supporting characters were voiced by experienced voice actors and not big name German actors. The only other one I knew was Kavanian, not a surprise he is in here next to Herbig with their common past. So this was a really good film, three stars out of five and if I gave half stars maybe 3.5 even because at its peak it is certainly 4 out of 5. Again a definite contender for Best Animated Feature Film at the Oscars with inclusions maybe for screenplay or song too. We will see if Frozen 2 can be a worthy contender in the key category. But it doesn't matter anyway, even if I am glad they are pushing each other to new heights. No losers in/for this movie except those grown-ups who still refuse seeing the newest so so good animated movies. Their loss. A definite thumbs-up for Toy Story 4!",Toy Story 4
6,nogodnomasters,Thanks Inner Voice,8,19 August 2019,"I am glad Disney didn't go the easy route and make the same film four times. Our toys end up with Bonnie who loves a toy spork. When the not-so-astute fork becomes separated at a carnival, Woody to the rescue. The film gets slightly dark as an evil Chatty Cathy doll wants Woody's voice box and has some creepy Jerry Mahoney dolls as henchmen.One of the questions raised by the film is who still plays with valuable old toys? Aren't they in antique stores or on display? And with Disney's acquisition of the rights to Star Wars, I would have expected things to go in a different direction. Nothing like a bittersweet story of children growing up and the end to childhood.",Toy Story 4
7,kosmasp,Afterlife,9,25 September 2019,"So a fourth Toy Story movie? Even the teaser trailer made fun of this, because we all knew (got told), that there would be no more. Now what do we make of this? You could bury your head in the sand and act like a friend of mine, who in a way denies this movie exists and really presses that if it was called something else he might have liked it.Now if you can be a bigger person or just able to distinguish and get un-stuck (if you were in the first place that is): there is a really good movie here. Pixar almost always gets it right and you kind of know they would not mess with this or rather just do something for the sake of it. So while the third put a really good lid on it (full circle, great ending, whatever you want to say about it), this finds a way to give us a new story ... and a new satisfying (?) ending ... that depends on the viewer of course.Great animation, great voice work, good new and old new characters, although there is an emphasis on some of them and your fave may not get as much screentime as you'd like. Still all good - no pun intended.",Toy Story 4
8,classicsoncall,"""Like it or not, you are a toy!""",7,5 August 2019,"For this older viewer, this entry in the Toy Story series didn't seem to capture the same magic as the first three films. It's not bad as a stand alone film, but when you compare it to what's gone before, there's an element missing that makes it more of an average animated picture. There aren't as many sight gags and it doesn't carry the same sense of nostalgia that ""Toy Story 2"" had, for example. What it does have going for it is the skillful animation and colorful palette, and the new character 'Forky' added a whimsical vibe to the cast of characters. Most of the other returning toys though are sadly underused; Buzz Lightyear for example only makes a handful of appearances and isn't instrumental to the story line. Duke Caboom was also a new entertaining presence, while the pair of ventriloquist dummies reminded me of a couple 'Twilight Zone' episode characters back in the day which they resembled so much. But even though my review here is kind of lukewarm, I'd still encourage families to view it together as a fun time at the theater. That's the way I did it, and that's what makes it all worthwhile.",Toy Story 4
9,lee_eisenberg,now I want to see a Toy Story-Shining mashup,6,21 October 2019,"It was inevitable that the series was going to have a fourth - and probably final - installment. It's fun, if not a masterpiece. New cast members include Christina Hendricks, Keegan-Michael Key, Jordan Peele, Keanu Reeves and Patricia Arquette.But here's what caught my attention: the references to ""The Shining"". The original reference in the franchise was the carpet in Sid's house, which matched the Overlook's carpet (which Stanley Kubrick intended as a representation of the hotel's repetition of events). The obvious reference here is the phonograph playing ""Midnight, the Stars and You"", which got played at the 1920s ball attended by Jack Nicholson's character. Then there's the typewriter, 237, and some others. I'd like to see the ""Toy Story"" franchise crossed with ""The Shining"" (presumably Woody is married to Bo, and Jessie is their daughter; Woody gets a job as caretaker of a hotel, but Buzz's ghost tells him to ""correct"" them). Yeah, I have too much time on my hands.Anyway, fun for its runtime. It was high time that Mel Brooks and Carl Reiner provided voices in an animated feature together.",Toy Story 4
