,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Average execution,6,22 October 2020,"UNDERWATER is the latest ALIEN rip-off and another ""underwater base"" flick in the spirit of THE ABYSS and LEVIATHAN. Sadly, it's a distinctly average movie let down by a ton of murky underwater photography which is almost as boring as the lengthy undersea scenes in THUNDERBALL. You can't make out what's going on in these scenes apart from an overload of CGI and they're really disappointing. The rest is a predictable story with the usual disaster staples and sudden deaths, although it gets more interesting towards the climax. I'm a huge Lovecraft fan so I loved the main creature in this, although the human-size ones are too obviously ALIEN derived. Kristen Stewart is a poor choice for lead but Jessica Henwick and Vincent Cassel are better. UNDERWATER's okay, but you'd be better off sticking with LEVIATHAN for a more-fun movie.",Underwater
1,SnoopyStyle,one thing after another,6,2 January 2021,"Norah Price (Kristen Stewart) is a mechanic working at the Kepler drilling station, located in the Mariana Trench at the bottom of the ocean. The water starts crushing parts of the station and Norah tries to escape with a few other survivors.This thriller starts almost right away which leads to my initial complaint. The movie does not lay out the setting or give a sense of place before it throws the audience around. I question some of the damage and the construction of the station. Any leaks under that water pressure would be much more damaging. A drip would turn into a water drill that could slice through something solid. I don't like the science in this sci-fi. The movie also needs to lay out the journey in some more detail. There is a quick exposition and map presentation but it skims it a little. I would prefer more clarity. As for the creature feature, it's not anything special. Non of this is anything special. As always, the girls are eventually left hanging out in their underwear although the movie does give a passable explanation. All in all, this is nothing special. There are a few minor thrills. Things happen. It's one thing after another until it's not. It's a popcorn flick of little consequence.",Underwater
2,nogodnomasters,We're not supposed to be down here,5,23 January 2020,"Kristen Stewart plays a mechanical engineer (first unbelievable part) on the deep water ""Kepler"" drilling station owned by TIAN. While brushing her teeth there is a hull breech and the film is in full action and survival mode. Not too hard to figure out (before she does) that there is something out there. They drilled too deep.For some reason it reminded me of Jaws 3D. There was no introduction of characters. We are introduced to the mining operation through news clips during the opening credits. It was weak. I would have rather have seen a group conversation over the issues while building character. Kristen Stewart spends part of film running around in poor lighting in bra and panties. She is no Jane Russell.Guide: 1 quick muttered F-word. No sex or nudity.",Underwater
3,kosmasp,The mystery within,8,4 October 2021,"Disney is sending out checks to reviewers who rate their movies positively? Mine must have been lost in the mail. All kidding aside, our tastes differ and not everyone who disagrees with you is being paid or has any other ulterior motive feeling differently than you.Of course I can only speak for myself. And I can tell you that sometimes not getting all the answers is not a bad thing. If you wonder what kicked of the movie (no pun intended), the inciting incident so to speak. But I think you can piece it together - or at least make up your own mind. I think there are a few answers, some more lilkely than others. But how much do you really care about that? You never get the origin of the ... ""antagonist(s)"" of the movie either and I would not call that a bad thing in any way, shape or form.I also understand if someone is not fond of Kristen Stewart and her sulky exterior she mostly presents in movies. But I think it is fitting in this movie ... having said that, she does not have to carry the movie alone. The co-stars here make all the difference, be it the Deadpool sidekick, the Iron Fist co-star or Vincent Cassel. And a couple of other people too.The cinematography is really good, there are enough scares and tension to keep you on the edge of your seat ... well until the end of the movie, which felt a bit rushed and underwhelming to a certain degree. Still very well made (technically speaking) no doubt about that.",Underwater
4,paul_haakonsen,This was actually phenomenal...,8,10 March 2021,"Right, well as I sat down to watch the 2020 movie ""Underwater"" from writers Brian Duffield and Adam Cozad, I must admit that I didn't really have much of any expectations for the movie.Why? Well, short and simply because the movie had Kristen Stewart in the lead acting role. Yeah, as you might figure, I can't call myself much of a fan of hers. But still, I had the opportunity to watch ""Underwater"", so I did.And color me impressed. This movie was surprisingly good and entertaining. Sort of think ""Alien"" meets ""The Abyss"" and then you essentially have the hybrid that is ""Underwater"". But it gets better, because the end quarter of the movie was pure gold for a Lovecraft fan such as myself. By Dagon, the last quarter of the movie made it so worth watching.Now, don't get me wrong, because I am not saying that the rest of the movie is bad. Because it isn't. Not at all! No, this entire movie was good entertainment from beginning to end. And it felt very much like I was right there in the dark, depths of the ocean with the characters.The visual effects in ""Underwater"" were great. The creature designs were very nice, and definitely had that otherworldly feel to it that you would expect to find in a Lovecraft story. And the reveal of the massive creature, now that was just cosmic dread at its finest. And let's just give a little word of praise out to Dagon as we mention that large underwater creature. The special effects were great and very believable, looking realistic and impressive. And it definitely helped to bring the underwater world to life on the screen. And those underwater suits they were wearing, they were just fantastic; definitely had that ""X-Com: Enemy Unknown"" feeling to it.Sure, I am not a fan of Kristen Stewart no matter what angle I approach her movies from, but I will say that this movie definitely opened up a whole new world, because she was good in the movie and carried herself well enough, amidst the likes of accomplished performers Vincent Cassel, T.J. Miller and Jessica Henwick.The atmosphere in the movie was just great, as there was a clear and present sensation of impending doom, either at the imploding underwater station, or at the tentacled doom of the underwater creatures - once they were introduced and became part of the movie. But the whole movie was just so nicely done in terms of atmosphere and details. It was pure joy to sit through this movie actually in terms of visuals and presentation.You most certainly should watch ""Underwater"", even if you have an aversion towards Kristen Stewart, as I did, because this movie is entertaining and it is surprisingly good. A very good combination of thriller, action and cosmic dread - horror. And if you are a fan of Lovecraftian fiction, then you will most certainly get a kick out of ""Underwater"".My rating of ""Underwater"" lands on an eight out of ten stars.",Underwater
5,zardoz-13,"""Alien"" Meets ""The Abyss"" Without Flair",7,7 February 2020,"Imagine Ridley Scott's ""Alien"" (1979) mashed up with James Cameron's ""The Abyss"" (1988), and you'll have a clue about what awaits you in ""Underwater,"" an energetic ""Deepwater Horizon"" (2016) disaster movie cross-bred with a harebrained, B-movie creature feature. Since ""Twilight"" actress Kristen Stewart wants to be taken seriously, she has close-cropped her hair, cavorts about in a sports bra, and wears nerdy glasses. After all Hell breaks loose, Stewart and a tiny group of survivors don huge Michelin Man diving suits. The escape pods have all malfunctioned, but the captain is sure a nearby facility has operational escape pods. However, they must tramp for mile or so across the ocean floor until they reach the other facility. Initially, ""Signal"" director William Eubanks looks like he was content with making a gripping disaster epic about a troubled corporate drilling platform boring the Mariana Trench, seven miles below the surface. An earthquake erupts, and everything goes sideways. Clocking in at 95 nerve-racking minutes, ""Underwater"" qualifies as a white-knuckled exercise in suspense which may make you feel like you're trapped in that ""Star Wars"" trash compactor in ""Episode IV - A New Hope"" (1977). Anybody who suffers from bouts of claustrophobia should prepare themselves for some tight spots. ""Underwater"" doesn't let you to get comfortably seated before the bottom falls out. For the first half-hour, this tense, atmospheric opus will make you cringe because the only way to escape imminent death is to wriggle around one heap of wreckage after another and hope fate doesn't serve you up as hors d'oeuvres. About 45 minutes later, it dawns on our survivors that they may have something else to worry about than the next subterranean tremor. Indeed, somewhere out there on the gloomy ocean floor lurks a new aquatic lifeform like no other that feasts on human flesh as if it were a delicacy. ""Underwater"" qualifies as the kind of 'no holds barred' thriller that gives neither its characters nor the audience an easy way out of its death-defying quandary. Moreover, Eubanks and scenarists Brian Duffield of ""Insurgent"" and Adam Cozad of ""Legend of Tarzan"" maintain a sense of balance between the disaster plot and the monster plot until the last quarter-hour when those scary lifeforms awaken from a nap and ring the dinner bell. Sadly, the CGI is not up standards, and the monsters amount to hokum.
Norah (Kristen Stewart) serves as a mechanical engineer for Tian Industries aboard the deepest undersea drilling rig in the world. No sooner has she awakened than one disaster follows another in rapid succession. One hull breach after another has her scrambling to keep from being fish food as water swamps the facility with explosive menace. Initially, everybody believes an earthquake is the culprit, and only a handful of personnel have survived the tragedy. Along with Norah are the Captain (Vincent Cassel of ""Ocean's Twelve""), Emily (Jessica Henwick of ""Star Wars: Episode VII - The Force Awakens""), Paul (T.J. Miller of ""Deadpool""), Smith (John Gallagher Jr. of ""Jonah Hex""), and Rodrigo (Mamoudou Athie of ""The Circle""). You don't have to be a genius to figure out as the story unfolds, some of them will fall prey to either the treacherous deep-sea or the ghastly but ghostly monsters that assemble by the hundreds. Our heroes and heroines encounter one setback after another, and they aren't sure what to think when they lay eyes on these amorphous monsters. Eubanks and his writers do a good job of painting the survivors into a corner. As their resident comedian, Paul takes it upon himself to provide the comic relief from all doom and gloom. Initially, his sarcastic banter provides some chuckles. Gradually, as our heroes and heroines find themselves getting deeper and deeper into the unknown, Paul's humor wears out his welcome. T.J. Miller's sarcasm did wonders for the ""Deadpool"" superhero yarns. After a while, you just want the aliens to gorge themselves on his carcass. Inevitably, the monsters single out Norah as their prey. The last thing you want to do when you are in the presence of these monsters is to blind them with your helmet headlights. This agitates them, and they will attack. Norah comes prepared for just such an eventuality. She has appropriated a clumsy flare pistol. Suffice to say, when one of these slimy looking haunts tangles with her, Norah lets it have it with the flare pistol. Happily, she survives this encounter, but others aren't so fortunate.
The problem with ""Underwater"" is it aims no higher than a waterlogged ""Alien,"" despite the fact Eubanks stages several tour-de-force scenes that have nothing to do with alien infestation. Watching these technicians struggle against deadlines to avert the next breach which threatens to drown them all is what keeps ""Underwater"" captivating during its first hour. The adrenalin rush that comes from this constant threat of death when you least expect it provides the movie with a sense of rhythm. Little by little, Eubanks and his writers work the monsters inconspicuously into the storyline. Unfortunately, our heroes and heroine have no ideas how lethal these aquatic adversaries are. Similarly, we the audiences are just as clueless. The evil corporation in the ""Alien"" movies had an android character among the survivors who could spout data about any threat. No such character inhabits ""Underwater,"" but it doesn't take a genius to figure out that something corporate stinks.
Ultimately, what sinks all the pent-up tension that Eubanks has drummed up in ""Underwater"" is the sight of the mother monster which has populated the rig with hundreds of its spawn. Basically, this creature resembles a crepe paper dragon that you might witness at a Chinatown parade. Despite this hokum, ""Underwater"" never takes a break from the action. Just when the survivors think that they have it made, more terrifying things happen. Sadly, ""Underwater"" might have been more compelling had the filmmakers confined themselves to the disaster plot rather than piggyback a monster invasion on it.",Underwater
6,view_and_review,Don't Arrive Late to the Theater,7,18 January 2020,"""Underwater"" almost immediately thrust the audience into a panic situation. Not even a word had been uttered before the underwater rig was imploding. After the major damage was done 70% of the underwater station was compromised and presumably over 300 crew members were dead. We were left following six.It was a remarkable set design, you can tell a lot of money and time went into it. The six crew members had to navigate a mass of twisted metal, hanging wires, busted concrete, and everything else that is reminiscent of a demolition site. And that was when they were inside.I can say that every character was one that you could pull for. There wasn't the jerk, the coward, or the double-crosser. They were all characteristically unique, yet all good teammates. There were four men and two women and you know not everyone is surviving. If all six did survive it would take a miracle considering that they were contending with being nearly seven miles underwater, they were cut off from topside, hardly anything worked, they had to abandon the rig they were in for another rig, and oh yeah... there were some deep sea creatures to avoid as well.I don't think I've seen an underwater movie this claustrophobic and desperate since ""Deep Blue Sea,"" and ""The Abyss"" before that. This movie didn't rely on script so much as it relied on atmosphere. It was all about the desperateness of the place and the situation. I honestly didn't think I'd like it judging from the trailers, but I was willing to give it a try. Glad I did.",Underwater
7,ferguson-6,survival thriller more than creature feature,5,10 January 2020,"Greetings again from the darkness. The opening credits have an ""X-Files"" look and feel. Newspaper headlines and redacted reports zip by ... in fact, the rapid cuts are so quick that very few viewers will be able to keep up. Even if you haven't finished your Evelyn Woods speed-reading course, the gist is clear: there is a (very) deep-water drilling lab located 36,000 feet below the ocean's surface. Yep, that's almost 7 miles deep for the crew of 316, and some mysterious bad things may or may not be lurking. That's really our only set-up ... unless you want to count Kristen Stewart brushing her teeth.It's literally less than 5 minutes in when the rig is rocked by an explosion of some kind. We are told the structure is 70% damaged. The survivors are quickly identified. Nora (Ms. Stewart) and Rodrigo (Mamoudou Athie) are together in the immediate aftermath. Nora is a mechanical engineer and computer whiz. They soon come across a co-worker buried in rubble. It's wise-cracking TJ Miller and his (actual) stuffed bunny. Next up are the Captain (Vincent Cassel) and lovebirds Emily (Jessica Henwick) and Smith (John Gallagher Jr). With no time for early character development, we learn tidbits as their perilous journey hopefully leads them towards rescue. Of course anyone who has ever watched a movie can tell you, they won't all make it. Maybe the 8 year old girl sitting in the row behind me wouldn't know that ... but no parent should take their 8 year old to a PG-13 movie that has ""terror"" in the parental warnings.Director William Eubank and co-writers Brian Duffield and Adam Cozad create plenty of tension, danger and suspense. The movie is at its best when they let the moment speak. It's the dialogue that is mostly cringe-worthy, as well as the predictable and unnecessary jump-scares. These people are stranded miles deep in the ocean and are running out of oxygen and options ... and are being chased by something they can't identify. The visual effects are successful in generating the environment of danger and claustrophobia.It's in the little things where the film falters. When we first see the Captain, he has his arm in a sling. He's obviously injured. Once the bulky underwater suits are donned, his bad arm seems just fine ... he's even pulling one of the others with a rope! Nora makes a big deal about being the ""smallest"" of the group and volunteers to explore a narrow passage. The problem is that they are all wearing the same suits - a fact that should negate any advantage of Ms., Stewart's slim, toned body. Lastly, the film has borrowed heavily from James Cameron's classic ALIEN. In fact, it has been referred to as ""Underwater Alien"". Of course, this film isn't nearly as well-rounded or complete as that one ... but then few are.Mr. Eubank's film is a sci-fi/horror mash-up, but it's really more a survival thriller than science fiction or creature feature, although the sea creatures have their moments. Cinematographer Bojan Bozelli does a nice job in keeping with the 'play it straight' approach, and his camera work is complemented by the electronic score from Marco Beltrami and Brandon Roberts. Ms. Stewart and her buzzed blond hair hold their own amidst the danger. A blatant lecture about how we are going places (deep sea) we shouldn't go and doing things (drilling) we shouldn't do is included for those who might not figure it out on their own, but mostly we spend our time trying to figure out how to survive the deep sea pressure with little oxygen and no escape pods. Just leave the 8-year olds at home.",Underwater
8,kannibalcorpsegrinder,Highly enjoyable mainstream genre effort,9,15 April 2020,"Working for an underwater drilling station, the crew finds themselves under attack by a mysterious series of accidents that have trapped them on the ocean floor miles underwater and must try to get to the lone possible escape method to get topside, only for an unforeseen creature to impede their plans.This one was quite enjoyable when it worked. Among it's better qualities is the overall fine setup at play that features some rather enjoyable setups which are rather fun at points. With the opening destruction of the various rooms and hallways in the station, the race to get to safety away from the crumbling walls and onrushing water serves this incredibly well with the chaotic nature of the situation immediately into the film to get it started on a frantic note. The ensuing chaos and unpredictable nature of what's going on with the station exploding and failing around them unexpectedly turns into a fine series of escape plans to get to a stable environment where they can regroup and get their bearings on what's happening, allowing this to turn into a rather fun survival thriller with the different obstacles they need to overcome to escape the station. Managing to become incredibly suspenseful and claustrophobic about their trip through the unknown conditions of the situation, this section of the film gets off to a fine start. The other enjoyable aspect featured here is the final half where they've survived and become aware of what's been stalking them throughout the compound. The first attacks with the strange creatures are rather enjoyable, featuring the survivors coming upon the creatures feeding on the remains of the deceased crewmember which is all the better with the strange lighting and bizarre look of the creatures. Later scenes including the attack on the group getting into the station or the ambush inside the lift as they get into the main tower of the crumbling facility come off rather nicely, featuring a nice use of the budgetary resources to generate some spectacle in the sequence. The big finale, featuring the last-ditch effort to get out of the doomed facility before it explodes and the creatures get inside, gets incredibly enjoyable as the slick and glossy visuals offer quite suspenseful moments within the frantic action as the cliffhanger involving the monster attacking them has a lot to like. Overall, these here keep the film up over its minor drawbacks. There are a few minor problems with this one. Among its main flaws is the fact that there are some rather unnecessary aspects to their escape route that don't need to be there. A detour into rescuing a potential survivor that's out of the way of their projected route when they're on a deadline to get out alive serves no purpose and results in no real surprises when they encounter unexpected obstacles that later affect their trip. Scenes of them going for food and special item retrieval missions that enable the creatures to attack aren't too surprising, and an attack where a guided recovery system allows the creatures to follow the crew comes off incredibly confusing not just in the on-screen action but how they managed to ignore that aspect of their trip. As well, some might find fault with some woefully unfunny comedic relief attempted here which seems highly unprofessional and completely at odds with the purpose behind the company's protocols who would've eliminated that kind of behavior and immaturity from their ranks. Otherwise, there isn't much to dislike here.Rated PG-13: Violence and Language.",Underwater
9,phd_travel,Hard to make out what was going on,2,30 January 2020,Very disappointing. The story is irritating and the cinematography is too dark. Couldn't make out what was going on most of the time. If they are going to make a movie why not make it clearer! Quite a lot of the movie was boring. When something exciting happened it was over too fast. The squid like monster seemed a bit like a blast from the past.I am a K Stew fan but she wasn't great here. Only someone with such a pretty face could pull of that crew cut. Her diction needs to improve. She speaks too fast. Didn't catch some of what she was saying. She didn't seem to express fear that well. Even the supporiting character played by Jessica Henwick was better at emoting fear. Didn't really make the other characters interesting.Need to look to Koreans on how to make a good monster movie.,Underwater
