,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Not one for purists,3,25 September 2020,"Inevitably as I'm not in the target teen market for this film I ended up hating it, but then I'm a guy approaching it as a fan of Conan Doyle and authentic screen depictions of Sherlock Holmes, not this modernist teen fantasy version. And this film is pure fantasy, not even attempting to look into the moral codes and etiquette of Victorian society, but instead throwing in random disparate elements including all-female ju jitsu clubs and the sight of a random artistocrat cavorting around the countryside with a female minor. The plot hinges on a ridiculous, underwritten and uninteresting mystery, while the cast is littered with familiar faces ill at ease in their roles: Helena Bonham Carter, whose entire role is rather pointless; Henry Cavill, who couldn't be more miscast if he tried. The only decent performances come from Burn Gorman (once more typecast as an assassin) and the excellent Millie Bobby Brown, whose charisma and exuberance shine off the screen.",Enola Holmes
1,SnoopyStyle,the charms of MBB,7,26 September 2020,"Enola Holmes (Millie Bobby Brown) grew up with her mother (Helena Bonham Carter) as her teacher and best friend. She doesn't know her late father and her two older absent brothers. One morning, the sixteen year old wakes up to discover her mother has gone missing. Her brothers Sherlock (Henry Cavill) and Mycroft (Sam Claflin) return home. Mycroft is shocked that the house is in disrepair despite his various payments over the years. He insists that Enola attend Miss Harrison's strict finishing school to prepare her for a husband. She runs away to look for her mother. Along the way, she rescues young runaway Lord Tewkesbury (Louis Partridge) from an assassin and uncovers a conspiracy against political reform.Millie Bobby Brown has all the charisma in the world. Cavill is playing Sherlock as a detached loner and Claflin is bordering on villainy. There are two mysteries in the movie but they do not coexist easily. The big mistake is Enola abandoning Tewkesbury in London. It's a much better option for their chemistry to stay together and they create good chemistry later on after they reunite. It makes little sense that he doesn't join her in her search for her mother. It would also make the later encounters with the assassin a lot less awkward. One can always assume that the killer catches up to Tewkesbury. It makes less sense that he catches up to Enola when he had never seen her in a dress. It also makes more sense for Enola to go to Miss Harrison in the beginning rather than in the middle. In the beginning, she can build up her resentment which drives her to runaway. By the middle, she has already shown her independence and her abilities which makes it less likely for her to suffer under Miss Harrison. I watched the trailer after watching the movie and that's exactly what the trailer suggests. I'm not an original thinker. It just seems obvious. There are a few contrivances in the plot. There is also the reason for mother's disappearance. It doesn't get resolved to my satisfaction. It would make more sense if Mycroft already knew that she had siphoned off the money and intends to put her in an institution. The plot throws in so much with the Chinese gunpowder but does not pay it off in the end. The plot needs some better construction. Despite all that, I love MBB's screen presence and can't wait for more from this franchise.",Enola Holmes
2,Prismark10,Enola Holmes,5,24 September 2020,"Based on a series of Young Adult novels that introduced a younger sister of Sherlock Holmes.Enola Holmes has a remarkably mature performance from Millie Bobby Brown in the title role.Enola is a 16 year old independent minded teenager raised by her mother (Helena Bonham Carter) to be free spirited. Enola has had little contact with her two older brothers since they left home after the death of their father.When Mrs Holmes suddenly disappears, Her two older brothers reappear in her life. Mycroft Holmes (Sam Claflin) is her guardian and wants her to send her to a cruel finishing school. Sherlock Holmes (Henry Cavill) just sits silently gazing.It seems to be a mystery why the two brothers are not that worried that their mother has gone off somewhere.It is vibrant Enola who goes off to find her mother. She meets her mother's network of ladies in London. She also finds adventure with a runaway Lord Tewkesbury whose life is in danger.Enola Holmes is sloppy and overlong. It should had been a tighter and a more spirited adventure. The biggest problem is the characterisation of Mycroft Holmes. There have been interesting interpretations of him in the past by actors such as Christopher Lee, Charles Gray, Mark Gatiss. The Mycroft played by Claflin is a horrendous caricature. An uncaring chauvinist monster when he is supposed to be Sherlock's more smarter brother.As for Sherlock Holmes himself. Of course he is meant to have a smaller supporting role in this. Expectations need to be lowered as he is played by a plank of wood. I did expect Sherlock to be more concerned about the fate of his mother and sister and open minded to the feminist bent of this story. The character is just too passive.The film looks expensive, it is slick but also lacklustre. However I would like to see more Enola Holmes as played by Millie Bobby Brown.",Enola Holmes
3,kosmasp,Female Holmes,7,25 November 2020,"Sherlock Holmes ... has a sister? Interesting and why not? I know some may have issues with that, but think about all the girls who know can have some fun too. And that is the target audience. Young female viewers. That doesn't mean you can't have fun watching this, if you are not in that specific demographic. It just means, you are more likely to enjoy it, if you are.And while she is younger than Mr. Holmes himself and therefor a bit more ... fresh and has to learn certain things, that can also be the appeal of it all. Not to mention that Henry Cavill (a perfect bond? Maybe, but a great Holmes for sure as we can witness here too) is quite the genius casting. So while this may not tickle my bone as much as it did others, it still is quite well made. Entertaining and funny and really cool characters",Enola Holmes
4,Sleepin_Dragon,"It's good family fun, not to be taken seriously.",6,25 September 2020,"How wonderful would this film have been for teatime on Boxing Day, it very much has that cosy, family viewing vibe.If you're expecting a Sherlock style mystery forget it, this is a movie aimed at a younger audience, but it's not without merit.There's a mystery, dangers along the way, and a young Detective on the case who's set to face many dangers ahead.There is a fascination with giving Holmes a sister, we had Eurus a few years back, and now we have Enola, each has something to offer I guess.Sherlock is portrayed in an interesting way, no fault with the acting, buy he's so incredibly sweet and caring, almost cuddly.It's beautifully made, it features a super cast, I'm sure it will appeal to a younger audience. You'll see plenty of familiar faces along the way, I thought Fiona Shaw in particular was very good.As we head into another lockdown, this served as a sweet, uplifting escape. 6/10.",Enola Holmes
5,lee_eisenberg,it goes to Eleven,7,8 June 2021,"I should start by noting that I've never read any of the books depicting Sherlock Holmes's younger sister. In fact, I've never read any of Arthur Conan Doyle's original novels. Coming into ""Enola Holmes"" completely unaware of its background, I was pleased. The point is to be entertaining, and the movie is just that. In a role quite different from Eleven on ""Stranger Things"", Millie Bobby Brown plays Enola as a vivacious girl out to challenge the Victorian era's gender norms while solving a mystery. It's nothing spectacular, but will be enjoyable if you have nothing else to watch.",Enola Holmes
6,Tweekums,A fun Nineteenth Century investigation with Sherlock Holmes' younger sister,8,27 September 2020,"This film is centred on Enola Holmes, the sixteen year old sister of famous detective Sherlock. She was raised by her mother after her father died and brothers left home. When her mother mysteriously disappears she is made the ward of elder brother Mycroft, he intends to send her to boarding school so she runs away; determined to follow clues left by her mother. On the train she crosses paths with the young Viscount Tewkesbury who has also fled his family and is being searched for by a man in a brown bowler hat. She helps him escape and once in London they part ways... it isn't too long before she realises that she must help him if she is to solve her own problems. While she is undertaking her investigation brother Sherlock is looking for her.I really enjoyed this film despite not being in the target demographic. It was fun from start to finish; largely thanks to Millie Bobby Brown's brilliant performance as our eponymous heroine... I'd be very surprised if she doesn't become a major name in Hollywood. The character is spirited and likeable, delivering occasional fourth wall breaking comments to camera. The rest of the cast, which includes several familiar faces also impresses. The story provides some nice twists and turns and some genuinely tense moments, but nothing too scary for all but younger children. There is also plenty of humour but nothing too forced. Overall I'd certainly recommend this to anybody after fun, inoffensive, family suitable adventure.",Enola Holmes
7,blanche-2,family entertainment,7,20 November 2020,"I agree with one of the people who posted here. People very often view a film not for what it is, but what they either think it should be or want it to be. As the poster pointed out, this isn't a Quentin Tarantino film. It's well-done family entertainment about the adventures of a young woman, Enola Holmes, as she sets out to find her missing mother.She's Sherlock's sister, and Sherlock and Mycroft appear in the form of Henry Cavill and Sam Clafin. I did not feel they registered much. The real star is Millie Bobby Brown as Enola. Her mother is played by Helena Bonham-Carter, Frances de la Tour, Louis Partridge, and Fiona Shaw make up a very good cast.The film has wonderful production values, and I wonder if there are plans for future adventures of Enola. The film is really for teenaged women, and it's a lot of fun, with its emphasis on creative imagination and girl power.People may tune in because of the Sherlock connection, but it's not really about him. It's about his sister. Amazing how that family keeps growing.",Enola Holmes
8,CinemaSerf,Engaging tale of sleuthing with a twist.,6,21 October 2020,"This is quite a fun Holmes-ian adventure story that reminded me a bit of ""Young Sherlock Holmes"" (1985). Millie Bobby Brown is ""Enola Holmes"" the younger sister of her famous sleuth of a brother. When her mother unexpectedly absconds, she finds herself destined for a finishing school and abhorred by the prospect escapes and heads to London to search for her mother. On the way, she encounters the young ""Lord Tewkesbury"" (Louis Partridge) who is on a different sort of, and far more dangerous, adventure - together they must unravel a dangerous conspiracy that goes straight to the heart of the Kingdom. It's got plenty to enjoy, the two leads gel well and together with Helena Bonham-Carter as her mother, the occasional appearance from Henry Cavill and Sam Claflin as her elder brothers as well as a seemingly much shorter (than in ""Goblet of Fire"" (2005), anyway) Frances de la Tour as the young peer's grandmother it moves along quite nicely with a certain charm, albeit it a slightly precocious one. This is a good looking yarn that also takes us on a journey that helps ""Enola"" discover a little bit more about herself - a clever, intuitive,15 year old girl in an all male world she is determined not to be trampled by.",Enola Holmes
9,Calicodreamin,A bit boring,5,24 September 2020,"The storyline was a bit bland and disjointed, a lot going on but no substance. The acting was fairly good and the costumes were great. The looking into the camera narration was borderline creepy and didn't add anything to the story.",Enola Holmes
