,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,kosmasp,All that and more,5,29 August 2021,"Can you smell what Rachel is cooking? Name puns aside, it was nice to see her again. And if I may say she has aged beautiful. Doesn't seem to have had any work done on her - which I'm glad she didn't. But it is not her movie - it was her movie in the 90s when it was about her in ""She's all that"".Now I don't remember much of it, but I reckon it was silly and light fun. Just as this is. This is not awards season fodder. This is also not meant to excite any acting or story driven fans. I would expect that people who are looking forward to see this, would be aware of this. If you weren't I hope you are now.Does this have flaws and does the ugly duckling story have issues all over the place? Yes but the charisma of the actors involved may make that obsolete. Or at least make it dissapear to a degree. Predictable, but I have seen worse.",He's All That
1,Calicodreamin,Painfull,3,30 August 2021,"As an adult I should not have watched this movie, to a young person it might have been tolerable and relevant. However, in my opinion it was painful. The acting was stiff and the actors had no chemistry. The storyline was expected, but some really laughable moments - prom dance off? Is that even a thing?",He's All That
2,lisafordeay,It's all about Tik Tok meets Can't Buy Me Love on this 2021 remake of an underrated teen flick,5,27 August 2021,"He's All That is a gender blended romantic teen comedy directed by Mark Waters(Just Like Heaven,Mean Girls)and stars Addison Rae(in her movie debut as she is famous for Tik Tok),Tanner Buchanan,Rachel Leigh Cook,Matthew Lillard and Madison Pettis.Almost a shot for shot of the 1999 version this one centres on a popular girl named Padgett Sawyer(Addison Rae) who just got dumped by her boyfriend after she caught him cheating on her with another woman. Heartbroken she gets her own back at him with help from her friend Aiden(Madison Pettis) by making a bet that she can transform any nerdy guy into a prom king. She decides to place her bet on an antisocial photographer named Cameron Kweller(Tanner Buchanan) who isn't all that popular. At first she is enjoying her little bet,but she later finds herself falling for Cameron (after he got a makeover).Will Cameron and Padgett end up being together in the end?. Well you betcha they do.Overall I thought it was OK. The original one was way better in my opinion as this seems like a product placement for Tik Tok.Also stars 2 of the original She's All That actors as different characters Rachel Leigh Cook as Addison's mom(she was the nerdy girl in the original one) and Matthew Lillard as Principal Bosch(who played the douchbag Freddie Prinze Jr's ex girlfriend dated). And a surprise cameo by Kourntey Kardashian as Jessica.Shame Freddie Prinze Jr didn't make a cameo.",He's All That
3,JoBloTheMovieCritic,He's All That,4,27 August 2021,4/10 - unbelievably poor acting and a weak influencer-driven storyline will make you yearn for the original and wish this remake never happened.,He's All That
4,yusufpiskin,Why?,3,1 September 2021,This movie is an insult to 'She's All That'.The movie is so bad that it's ridiculous to even call it a 'movie'.It's ironic that the actors and actresses in the movie represent in their real lives everything the movie criticizes.I have to watch the 'She's All That' DVD this weekend.,He's All That
5,m-47826,The soundtrack was fine...,3,10 September 2021,"That's the only good thing I can say about this new Netflix movie. Which pretty much says it all. Why don't these streaming services just stick to buying movies and TV shows that already exist? That's all we ask of them. I liked the little nods at the original movie, and returning cast. As well as some of the new one. And see locations that were used in things I grew up watching. But it wasn't necessary. One thing it did right though, was making me want to rewatch the OG version.",He's All That
6,juanmuscle,this popped up after watching something on Netflix!,10,27 August 2021,"And I went for it! Lol, but then when I saw Rachel Leigh I was like oh, wait, he's all that, then I remembered she was in She's all that! And although the first one didn't agree with me too well , so I guess I had terrible misgivings about moving forward with this one I stayed with it anyway and gave it a chance and I'm so glad I did! This is the writing I wanted for the first one! It was sweet and witty and funny and clever and smart and brilliant and thoughtful and sincere and above all honest and it made for a fun barn burner! I really do feel this way! I loved it! And I think everyone did a great job , who knows perhaps this handsome lead might be the next Batman or something, lots of great up and coming talent but for me, the writing on this one was superlative, not a single complaint something didn't flow right or something terrible jarring and disgusting (meaning something that tramps all over the incipient stages of it's own writing) there was none of that, it built on itself , it worked through the characters, it handled the whole modern content very well which is not easy owing to all of the extra intel flying all around , it seems like the world is hauling major ass sitting on top of a major wave dashing against all sorts of different ways of distracting ourselves , and this captured this zeitgeist and ran with and made something I believe to be truly special! Great job. I really want to see another one of these! I really do! How about They're all that, but all Asian people or something, throw in a dragon! Who knows! This was very cool though!",He's All That
7,Sir_AmirSyarif,Serviceable Netflix rom-com,5,29 August 2021,"Not brilliant filmmaking by any means - the writing is cringe-worthy, it's cliché, and some of it doesn't even make sense. But Mark Waters' 'He's All That' is a perfectly serviceable Netflix rom-com that fits the needs of the film. Addison Rae gives a competent performance, but she falls short of her more experienced costars and contemporaries.",He's All That
8,Movi3DO,It's just all that,5,27 August 2021,"Hmm I guess a hipster weirdo can know the lyrics to Teenage Dream?Alright, from the look of the poster and the first scene of this movie, I already didn't want to watch it. This was clearly just going to be another surface-level, fake and cringe teen drama that tried to be all noble about not being fake. On most count, it didn't stray away too much from its kind.However, it was actually not completely unbearable. I was surprised that I found some sweet and funny moments. Addison Rae was like alright and not completely cringe, even though her character, and also her character's friends were just normally fake people.When the premises started, I found some enjoyment, but of course at the end, the movie reverted completely back to normal.But I talked a bit too much about this movie. Overall, it's just all that. 4.5/10.",He's All That
9,apryla-58795,Not great but a bit twee,5,29 August 2021,"Was this good? No but was it the worst thing I have ever seen? Not by a long shot (people giving these low reviews have obviously never seen Lifetime movies or low budget horror films-now THOSE are truly bad) it was more that it was disappointing. They had a chance with this one but they botched it.I think it's safe to say that this is a product of the generation coming up now and the times. People don't have attention spans anymore due to social media. It's all been boiled down to seconds long clips and emojis. I haven't been able to find a truly decent movie in awhile now because audiences only seem to want to watch Marvel movies. If someone takes a risk and makes an intelligent movie - it doesn't do well because people can't get into anything unless it's non-stop in your face action. As a result we have one dumbed down movie after another and people wonder why. That is why this film didn't surprise me. I knew it wasn't gonna be great and I knew it'd be dumbed down because an Instagram star is the lead. Although honestly I didn't think AR did that bad of a job. She's not Kate Winslet but this wasn't what they were looking for.I'm usually a very harsh critic but as far as teen movies go you could do a lot worse. If you are comparing it to She's All That well then yes this is terrible. That's a classic and frankly you can't have lightening in a bottle a second time. There's only one Freddie Prinze Jr.I didn't think this was that bad. The lead guy and the lesbian Asian friend were standouts to me. Rachel Leigh Cook is usually great but she wasn't given much to work with and so she was basically phoning it in. Matthew Lillard was in this for a cup of coffee and he has gotten old which threw me for a loop. Also the thing that made me roll my eyes is - the lead is NEVER shown working out. He doesn't play sports nor do they show any weights in his house and yet...when the obligatory makeover scene happens he takes off his shirt and he's movie star ripped! I'm not talking a little bit of definition...I'm talking he looks like he did a 10 month strict regimen of eating and working out like it's his job ripped and that's just soooo unrealistic. My son worked out and followed a strict eating regimen from the time he was 15 until now (he's 24)...I'm talking working out EVERY DAY on a specialized program with NO steroids and he doesn't even have a stomach like that kid. You only get that way from working out all day and only eating chicken and fish every couple of hours. It's a full-time job. It's ridiculous when they show stuff like that like ""He's just a normal HS kid and just naturally built like that."" So unrealistic.This was very cutesy and generic and cliche which is what I had a problem with. Also I thought we were moving away from all white movies but nope here it is 2021 and we are still putting out movies with all the leads being white. They had different races represented but they were only tertiary characters. I thought the industry was trying to do better with that but you'd never know it by this film.I swear if aliens came down and watched these teen films they would think all the high schools on earth are the same but honestly where does this kind of H. S. exist? Yes kids are cruel and bullies etc...but the way things are portrayed in movies you'd think things were like this everywhere and really it's just not that way.This movie is a representation of everything that is wrong with the world. Our society has turned into something that quite frankly can't sustain itself for very long. We are churning out a bunch of mindless individuals who don't know what it means to make a commitment to anything (quit at the slightest bit of pushback), care about holding down a job, learning proper grammar or holding up anything more than good looks or likes on social media as the measure of success. Many people today are shallow, uncaring and unfeeling and that will come back to bite us at some point. Watching this just made me frustrated more than anything.If you want to watch a good movie go back and watch She's All That.",He's All That
10,gab-67599,That Is A Lot Of Hate!,10,30 August 2021,"So much hate out there for a pretty great movie that is really sad! Was this movie worthy of any awards? Possibly not! But it sure as hell was not worth a 5 or below! The two leads had great chemistry and now a days with movies and Covid it is like actors are afraid to get close to one another, with good reason! You do not find that here. It was like they were unafraid to feel how they really felt.I will say this, I hate the Kardashians and when I saw Kim I rolled my eyes but in this movie she was exactly who I expected her to be so it all worked out. I miss these kind of feel good movies. This would be more for teenagers then grown adults so that is why so much hate. This is a clue, if you read the story of the movie and it ain't you cup of tea, then MOVE ON! For me it was like mean girls, she's all that and a few other high school drama movies all in one.The leads were beautiful to watch the whole time and the drama kept me in my seat. Never a dull moment, and could they dance! I would not say this was a rom-com it was more like a rom-dram! Lol And for me I loved it. Imagine that, an adult enjoyed this movie. Some ppl have placed the bar way to high now a days when it comes to movies!",He's All That
