,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Very lame,4,26 November 2017,"BUFFY THE VAMPIRE SLAYER is the misfiring film version of the popular TV series, made a few years before it debuted. This one has some good ideas but a generally poor execution which makes it feel dated in that really cheesy 1990s way. A little of the humour is funny but the rest is purely a waste of time, unless you want to cringe with embarrassment upon seeing Rutger Hauer float to the floor on a wire.The film is very much a typical high school comedy loaded with supposedly witty dialogue with the addition of a few vampires, chief of whom is the annoying Paul Reubens. Luke Perry plays the edgy love interest, Donald Sutherland is wasted as Buffy's mentor, and Kristy Swanson doesn't make much progress other than being fit and athletic. It's interesting to see Hilary Swank playing feminine and against type early on in her career, and even Ben Affleck has a cameo. A shame, then, that the vampires are so silly and ineffectual, that most of the comedy is so obvious, and that the running time feels at least twice as long as it really is due to the dragged-out nature of the plot.",Buffy the Vampire Slayer
1,SnoopyStyle,Good campy fun if you don't take it seriously,6,9 February 2014,"Buffy (Kristy Swanson) is the quintessential valley girl cheerleader. She and her friends are all clueless. She is approached by Merrick (Donald Sutherland) and told that she is the Slayer. There are vampires in the world, and there is a slayer who fights them. When one slayer falls, another one takes her place. It is Buffy's turn to be the Slayer. She is joined by a slacker outcast Pike (Luke Perry) in a fight against the powerful Lothos (Rutger Hauer).This is most notable for who wrote the script, Joss Whedon. Although he definitely has disowned this with all the changes to his script. It has a funny co-starring role from Paul Reubens. The style is lacking. Kristy Swanson has the looks but not quite the attitude of the valley girl exactly. She always seems a bit too bright and too serious for the clueless role. It is definitely a very light sarcastic take on the vampire movie.",Buffy the Vampire Slayer
2,kosmasp,"If you really want to know about Buffys ""Origin"", read the Comics!",1,7 June 2006,"I want to start with my review, by saying that I don't like to exaggerate, so I won't say it's the worst movie I've ever seen (I've seen worse), but nonetheless it was a complete waste of time. But let's go step by step.I heard that this movie symbols the beginning of Buffy, so it would be her back-story to the series. Since the script had been changed many times, you can't really say that anymore. Sometimes it seems that there a few hidden gems in this movie, that foreshadow the future Buffy in the series and the humor in it. But it's not hardly enough to enjoy.Away from the muddled script onto the actors. Now that should be something good ... for the movie that is. But it's not. Although you have some good actors (even some ""heavyweights""), none of them nearly come to a career best. It doesn't even have the charm of a ""B-Movie"". Watching this makes you realize what great Job Joss Whedon apparently is doing on the show. SO don't be blinded by a the cast (David Arquette, Sutherland, R. Hauer, Hillary Swank ...) Speaking of actors in bad ""shape"", this movie houses one of the baddest deaths ever put on celluloid. I'm even going to call it (remember my first sentence, because I don't use that term lightly) the worst on-screen death EVER on celluloid (that I have seen and I have seen many, believe you me). It's supposed to be funny, but it's anything but.Even my (14-year old) niece was shaking her head. Why we watched it anyway to the ending? First there is my rule that I watch every movie to the ending, but secondly there was also the curiosity to see if at the end of the movie we would see something ""big"" (it's spoiled in the show/series) ... but that never happened, because the script got re-written and this much anticipated scene got cut ...My summary is: If you really want to know more about Buffy's history, than buy the comic/graphic novel ""Buffy: The Origin"". It's more accurately to the script that Joss Whedon wrote!! :o)",Buffy the Vampire Slayer
3,gavin6942,"The Show is Better, But This Is Still a Treat",7,15 February 2011,"Let me just list the cast here for you: Kristy Swanson in her best role, Donald Sutherland, Paul Reubens, Rutger Hauer, Luke Perry, Hilary Swank in her debut role as a crimped-hair Valley girl, David Arquette, Stephen Root, Thomas Jane, Ben Affleck in a very early role, Seth Green and Ricki Lake.Now, do I still need to convince you? The show is better, of course, with its blend of humor and serious plots (more serious as it went on), but this film really captures the early 1990s in all its glory, and Swanson before her downfall. Some have said this film opened the door for ""Clueless""... I think that is entirely possible.Catch this if for no other reason than to see Donald Sutherland as a great slayer trainer and Pee-Wee Herman as a weird vampire. Those two performances alone make the film. Oh, and Rutger Hauer is interesting, too... very refined.",Buffy the Vampire Slayer
4,lee_eisenberg,totally STUPID,2,22 May 2008,"Looking for a real representation of 1990s air-head valley girl culture? Look no further than ""Buffy the Vampire Slayer"". Whereas ""Clueless"" constituted something really clever, this one is just plain pathetic. Buffy (Kristy Swanson) spends as much time as possible at the mall and remains totally unaware of the rest of the world. Yes, I know, the comedy involves the fact that this mildly sarcastic SoCal teenage girl has to battle vampires. Maybe there is some humor in that. But as far as I'm concerned, looking at the overall idea behind this movie, Sam Raimi's ""Army of Darkness"" was much cooler. This is one that you watch for a completely hedonistic, silly space-out. Otherwise, it was a real step down for Donald Sutherland (especially since he had appeared in Oliver Stone's ""JFK"" just the previous year).Also starring Luke Perry, Paul Reubens (aka Pee-Wee Herman), Rutger Hauer, Hilary Swank, Stephen Root, and Ben Affleck in a small role.",Buffy the Vampire Slayer
5,jboothmillard,Buffy the Vampire Slayer,5,21 September 2009,"Four years before the successful TV show with Sarah Michelle Gellar, writer Joss Whedon penned this cult movie that would inspire it. Basically at Hemery High School in Los Angeles, teenage air-head high school senior and cheerleader Buffy Summers (Kristy Swanson), her main concerns in life are shopping, her rich, snooty friends, and her boyfriend Jeffrey (Randall Batinkoff). Then one day she is approached by an old man calling himself Merrick (Donald Sutherland) who tells her she is Slayer, or the Chosen One, destined to hunt for and kill vampires, and he is the Watcher whose duty is to guide and train her. She is unconvinced, until he describes a recurring dream she has been having in detail, then she finds herself exhibiting uncanny abilities, including heightened agility, senses, and endurance. After several successful outings to kill vampires, Buffy is drawn into conflict with local vampire king Lothos (Rutger Hauer) and his acolyte Amilyn (Paul Reubens). Oliver Pike (Luke Perry) and Benny (David Arquette) are out drinking, and are attacked by the vampires, Benny is turned, but Pike is saved by Merrick. Amilyn also abducts Buffy's classmate Cassandra (Natasha Gregson Wagner), her body is eventually found and news spreads around town. Pike tries to escape the terror, but encounters Amilyn and his gang of vampires, Amilyn loses an arm when jumping on his van, Buffy and Merrick rescue Pike, he and Buffy eventually become romantic, and he joins her in fighting the undead. During a basketball game, Buffy discovers that one of the players is a vampire, she chases after him, then confronts Lothos, who puts her into a trance. Merrick breaks the trance, but Lothos stabs the old man with his own stake, Lothos escapes, before dying, Merrick tells her to do things her own way, and gives her the clue ""Remember about the music"". But Buffy is heartbroken losing her Watcher, and feels unready with the responsibilities, she starts neglecting her Slayer duties, and her friends are more concerned with preparing with the upcoming school dance. At the senior dance, Buffy fails to patch things up with her friends, and she is dismayed to find Jeffrey has dumped her for another girl. Lothos sends his remaining minions to the school to attack the humans at the dance, Buffy confronts them, while Pike fights vampires in the gym, and kills vampire Benny. After overpowering many vampires, and killing Amilyn, the dance music stops, she remembers Merrick's words and defends herself. The vampire king is unimpressed when she tries to repel him with a cross, he sets it alight, so she creates a makeshift flamethrower, using the fire and her hairspray to burn him, she escapes to the gym. Buffy finds her classmates recovering from the vampire attack, Lothos bursts in and says he will split Buffy in half like a piece of rotten fruit, in the end Buffy is able to defeat and stake Lothos, killing him. As the survivors leave, Buffy and Pike decide to finish their dance, and they leave together on a motorcycle. Also starring Hilary Swank as Kimberly Hannah, Michele Abrams as Jennifer, Paris Vaughan as Nicole 'Nicki', Thomas Jane as Zeph, Candy Clark as Buffy's Mom, James Paradise as Buffy's Dad, Liz Smith as Herself - Reporter, Stephen Root as Gary Murray, Ben Affleck as Basketball Player #10, Alexis Arquette (then Robert) as Vampire DJ, Seth Green as Vampire, Ricki Lake as Charlotte and Slash as DJ. Swanson is good at being dim-witted and slowly becoming confident, Sutherland is suitably cast as the wise old mentor, Hauer is reasonable as the main villain, Reubens is almost unrecognisable as his nasty sidekick, Swank is mostly seen being daft, and Affleck's cameo is amusing. Fans of the darker and more action-packed TV show will probably be disappointed by this movie, but there is just enough dark humour, okay special effects and deliberately knowing stupidity that it is kind of fun, not a bad comedy horror. Worth watching!",Buffy the Vampire Slayer
6,Tweekums,Buffy - The Movie,7,2 November 2016,"Buffy Summers thinks of herself as an ordinary student at a Los Angeles high school; her only priorities are cheerleading and shopping with her friends although she does have strange dreams in which she is other girls who are fighting vampires! Then one day a strange man, introducing himself as Merrick, tells Buffy that she the Chosen One The Vampire Slayer. He takes her to the graveyard where she faces and kills her first vampires. Soon afterwards she rescues Pike, an outsider at her school and they become friends as he is the only other person who knows about the vampires. As she starts to take her vampire slaying responsibilities more seriously she drifts away from her vacuous friends. Merrick warns her that there is one vampire, Lothos, who she must be wary of; he has killed many slayers over the years and won't be easy to defeat. Inevitably the two must eventually face each other at the school's senior dance.It is hard not to compare this film with the superior television series that is set after the events of the film however I will try. This film is lightweight fun; Kristy Swanson does a solid job as Buffy; her character develops nicely from a self-centred valley girl to somebody willing to risk herself for others. Donald Sutherland is impressive as Merrick because he plays his role dead-straight; the film may be fairly light but he appears to be taking his role seriously. Luke Perry is okay as love interest Pike; it was fun to see a boy taking the 'damsel in distress' role while Buffy saves the day. On the down side the special effects are almost non-existent; dead vampires don't turn to dust or burst into flames; they just lie down with a stake in their chests and the vampire makeup looks like something that one might wear for Halloween rather than that seen in a Hollywood film. The comedy elements are a bit mixed; Buffy's talk with the principal where he ends up talking about doing LSD in the sixties was priceless but the scene where vampire Amilyn has an extended death scene was just too silly for my taste. Overall I'd say this was a fun introduction to the world of Buffy The Vampire Slayer; just don't expect the same quality as the cult TV series.",Buffy the Vampire Slayer
7,BA_Harrison,Big-screen Buffy.,5,1 October 2017,"Kristy Swanson stars as Buffy, a carefree high school cheerleader leading the valley girl lifestyle who must put down her pom-poms and pick up a stake in order to fulfil her birthright as a slayer of the undead.Buffy The Vampire Slayer was a hugely popular TV show in the '90s, but this earlier big-screen bash at bringing Buffy to life is nowhere near as slick or as satisfying as the series.Part of the problem was apparently due to the fact that Joss Whedon's original script was re-written against his wishes, rendering certain scenes incomprehensible, but much of the blame must go to director Fran Rubel Kuzui, whose dull direction makes the film rather bland when it should be a whole lot of fun. The comedy falls flat, the fight scenes are limp and there is very little in the way of blood, despite quite a few stakings. Furthermore, the whole production suffers from an air of cheapness and a lack of style (most notably, the vamps just fall over when killed, rather than disintegrating).While Swanson is no match for her TV counterpart, Sarah Michelle Gellar, I didn't think that she was all that terrible: she convinces as an airhead, and looks great in her Lycra bra-top and leggings. She is certainly no worse than Donald Sutherland as her mentor Merrick, and Rutger Hauer as head vamp Lothos, both of whom are capable of much better.Perhaps the most fun that can be had with the film is in spotting the familiar faces amongst the supporting cast: David Arquette (Scream) hams it up as slacker turned bloodsucker Benny, future Oscar winner Hilary Swank plays vacuous high schooler Kimberly, Paul 'Pee Wee Herman' Reubens is Lothos' right-hand vamp Amilyn, and both Ben Affleck and Ricki Lake have blink and you'll miss them cameos.",Buffy the Vampire Slayer
8,moonspinner55,Dreadful comic-book tosh...,3,13 January 2008,"Tedious horror-comedy, intentionally silly though unfunny, has vacuous Valley girl Buffy Summers (Kristy Swanson) realizing her destiny as a modern-day Van Helsing, taking on an army of vampires. Mixture of high school nonsense and bloodsucking satire never really comes off, especially with such weak talent involved; the jokes are as shallow as the players! It aspires to be a cross-pollination of ""The Lost Boys"" and ""Heathers"", but with dialogue like, ""Does the word 'duh' mean anything to you?"", the movie is more embarrassing than amusing. Swanson works hard with the dumb material she's given, Donald Sutherland does an amiable walk-through as her teacher. Idea later revamped into the cult TV series. *1/2 from ****",Buffy the Vampire Slayer
9,Quinoa1984,"not funny, not campy, not dramatic: a blight on proper storytelling",3,23 November 2009,"I sort of remember going to see this as a kid in the theater. Sort of, mind you, since I barely remember anything about the actual movie from that time. It was, even for an impressionable youth, who by the by was a big Pee-Wee fan, forgettable. As an adult seeing it again- now with almost all of the Buffy the Vampire Slayer television series seen and digested- it comes off more like a pit of empty horrors. Its director, Fran Rubel Kuzui, takes a screenplay written by Joss Whedon and seems to keep at least some of the words, some hints and impressions of potential, the origin story of the ""Valley Girl"" who is the chosen one to slay any and all vampires in sight. But, and here's the big but, the interpretation guts out all of the true wit and clever characters and deft lines made between satire and horror and drama, and leaves it for a kind of post-mortem state. It's wrong in so many ways, and it can't even muster up the gusto to be campy.Part of it is miscasting, perhaps: Kristy Swanson isn't the worst actress on the planet, but she just can't latch on to the dialog and make it breath with the life it needs. You see her and want to play casting director: ""Ok, thank you, very good, next!"" The same can be said of Donald Sutherland, which is surprising since a ""Watcher"" (as described better on the show as the trainer-mentor-researcher of the vampire slayers) seems like something Sutherland could really sink his teeth into - a good actor playing it up as he did in something like Kelly's Heroes. Not the case. He sleepwalks through most of this role, playing creepy-old-man reasonably well and nothing else. That he's also got such a tremendously awful death scene that it's the worst death scene possible: he doesn't look, act, or talk dead. I can almost imagine a half-awake Sutherland asking, pleading, with Kuzui for him to have something to do, and her response being a ""... eh, whatever."" And it's not just that Kuzui has a general disrespect for the original material (Whedon reportedly left the set due to his disgust with the way the film was being made), but just how lamely she directs her cast. This is the prime example to show in a film school of how to direct (at least) decent material poorly. The cast mostly tries to play for laughs, but there's no sense of good comic timing. The drama is so bloodless (pun intended) that you wonder where the talent on the SyFy network was during all of this. The horror and action are a joke; perhaps this is comparing to the show much, but even in a so-called 'stupid' valley-girl-vampire comedy, you need someone who can actually choreograph action. And the storytelling itself is weak; the pacing is at best formulaic and at worst the kind of sloppy handling that is just felt. And as romantic comedy... Luke Perry (?) The best you can do is Luke Perry?! Compared to the rest of the slog (one which, by the way oddly enough, was Whedon's first big exposure - via Fox studios, who would go on in further years to screw with the man), only one really comes out unscathed. Rutger Hauer as the big baddie, vampire master Lothos, seems to be in his own realm even among good actors giving bad performances like Reubens or those not doing much acting at all like Swanson or Arquette. Hell, it's invigorating to see him at least try something different; as the only one having fun with his role, however subtly (or not, like with the grab for the kittie), he even does a little to make the climactic battle interesting. But one bad-ass actor, who probably said 'shove it' to Kuzu's non-directing, isn't enough to save this.Buffy the Vampire Slayer is turgid, and for those who find the Slayer TV show to include some of the greatest artistic achievements in its medium, it's akin to suddenly seeing your lovely wife a raggedy crackhead. One part still sees something there, but the rest of it screams JUST SAY NO!",Buffy the Vampire Slayer
10,wes-connors,Buffy Brings Home the Stake,6,11 December 2010,"""Blonde, bouncy Buffy (Kristy Swanson) is your typical high school cheerleader - her goal is to 'marry Christian Slater and die' and nothing gets in her way when it's time to shop. But all that changes when a strange man (Donald Sutherland) informs her she's been chosen by fate to kill vampires. With the help of a romantic rebel (Luke Perry), Buffy is soon spending school nights protecting L.A. from Lothos, the Vampire King (Rutger Hauer), his sidekick. Lefty (Paul Reubens), and their determined gang of bloodsuckers. It's everything you'd expect from a teen queen in the Valley,"" according to the DVD sleeve description.It's difficult to believe this horror spoof started Joss Whedon's great Vampire franchise. Of course, the ""Buffy"" series and its ""Angel"" spin-off are infinitely better. Now, it's fairly obvious that, despite some funny moments, the situation doesn't support the broadness they give this material, here, overall; the foundational story took on new life with a more serious tone. But, while this film is currently held in low regard when compared to its offspring, there are kernels of imagination to be found. It's also fun to Ricki Lake waiting tables, Ben Affleck (#10) on the basketball court, and confirm Hilary Swank had those lips from the start.****** Buffy the Vampire Slayer (7/31/92) Fran Rubel Kuzui ~ Kristy Swanson, Luke Perry, Donald Sutherland, Paul Reubens",Buffy the Vampire Slayer
11,bevo-13678,Vampires,10,31 March 2020,I like buffy. Specifically her vampire slaying exploits,Buffy the Vampire Slayer
12,Theo Robertson,Difficult To Imagine This Would Have Led To A Hit Series,3,10 March 2003,"I can`t claim to be a fan of the TV series BUFFY THE VAMPIRE SLAYER , in fact I slightly surprised that it is a world wide smash , but even more surprisingly is that it`s a spin off from a pretty poor film that didn`t do much at the box office .The central premise of a teenage high school student becoming a vampire hunter is just plain silly and this is a silly film . The production values are also poor . I don`t know if there`s any prophetic irony involved ( Probably not )  but BUFFY THE VAMPIRE SLAYER comes across as being more like a TVM than a cinematic release , gawd it probably cost less to make this film than an episode of the show does . And the acting is extremely bland , especially Rutger Hauer who doesn`t deliver any type of camp performance needed in this role If you`re a fan of the series you might be interested in seeing this . If you`re not then don`t bother",Buffy the Vampire Slayer
13,Doylenf,Buffy fights the forces of evil...high camp horror fright flick...,5,3 June 2007,"BUFFY THE VAMPIRE SLAYER is cotton candy for teeny minds...or at least teen-age minds looking for cheap thrills.It's got a sassy combination of horror (those vampires can get real nasty when provoked) and laughs, like what Luke Perry says after Buffy saves his butt: ""I mean, like, do you do this all the time?""KRISTY SWANSON is an attractive bimbo-type blonde who plays her role with tongue-in-cheek humor and manages to look athletic while throwing a punch or riding a motorcycle or doing whatever it takes to combat vampires. Luke PERRY has lots of smart one-line remarks that look as though they come easily to him, as he shrugs his shoulders a lot when delivering them in little effort to look cute. But DONALD SUTHERLAND fails to make the most of his role as Merrick, the man who tells Buffy she's ""the chosen one"". He looks bored stiff most of the time.More in keeping with the breezy tone of the film are RUTGER HAUER as the debonair vampire chief and PAUL REUBENS (Pee Wee Herman) as a wild-eyed, red-lipped vampire who takes a lot of time to die even with a stake through his heart.Somewhere in the background among Kristy Swanson's school chums is HILLARY SWANK, as one of the more vacuous of her girlfriends. She makes an impression as an obnoxious Valley Girl that gets her comeuppance.Summing up: Foolish fun has enough silly scares and bright teen dialog to please most teens and even some adults. Perry makes a good impression in a role he plays with confident ease and studied cuteness.",Buffy the Vampire Slayer
14,preppy-3,Totally sucks!!! (No pun intended),1,26 September 2001,"Abysmal ""comedy"" about a high school airhead learning she has a legacy to kill vampires. Donald Sutherland plays her mentor.Decent idea horribly handled. The film was heavily edited before it came out (it's only 82 minutes) because the studio realized what a bomb that had. It didn't help. Kristy Swanson is pretty good as Buffy, but Rutger Hauer is terrible as the lead vampire...he's a good actor but no comedian. Luke Perry proves he can't do comedy and Donald Sutherland phones in his performance. The script is unfunny and plodding. A total waste. This piece of crap would be totally forgotten if it didn't give us such a great TV series. Watch the series--it does everything right that the movie did wrong.",Buffy the Vampire Slayer
