,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Silly graphics Silly story but hot young Angelina Jolie,6,18 September 2013,"Dade (Jonny Lee Miller) is a young hacker who got caught when he was younger. He's in yet another new school, and soon he's fallen for Kate (Angelina Jolie). Little did he know, she's an elite hacker also. Together with other hackers, they intend to stop a security expert (Fisher Stevens) from stealing a big stash of cash and hide it by sinking oil tankers thru a computer virus.The story is kinda silly, the clothes are stupid, and the graphics is ridiculously silly. At least there's some cool music, and a hot young Angelina Jolie. No wonder Jonny Lee Miller put a ring on it. I guess there's some cult status value in this movie.",Hackers
1,gavin6942,What Hacking Looked Like in 1995?,7,26 November 2015,"A young boy is arrested by the U.S. Secret Service for writing a computer virus and is banned from using a computer until his 18th birthday. Years later, he and his new-found friends discover a plot to unleash a dangerous computer virus, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.I grew up in the 1980s and 1990s and was involved in computer culture. I was never a ""hacker"" but I understood what ""phreaking"" and other hacking-related activities were. We knew what ""war driving"" was. The stuff depicted in this film was unrealistic then and remains unrealistic today (for the most part).It serves as an interesting nostalgia piece, if anyone can be nostalgic for the 90s. Also, this has to be one of Angelina Jolie's breakout roles. Who knew in 1995 that she would go on to be a celebrated director and something of Hollywood royalty?",Hackers
2,lee_eisenberg,hacking was only the beginning,8,12 April 2021,"The internet was still in its relative infancy when Iain Softley's ""Hackers"" got released. Now that we have Anonymous exposing all sorts of government information, the actions of the characters in this movie look tame. Nonetheless, the movie is not only a cool look into the world of hacker subculture, but also a look at corporate malfeasance (I wouldn't put it past any corporate exec to do what Fisher Stevens's character does).Obviously I can't vouch for the accuracy of anything depicted here; movies tend to play with reality a bit. Even so, it's a brisk ride from beginning to end. At this point, it's also known for early appearances of Angelina Jolie and Matthew Lillard (of ""Scream""). Also appearing briefly are Felicity Huffman (now disgraced for her bribing of a college) and Ravil Isyanov (who played a supporting role on ""GLOW"").",Hackers
3,Tweekums,Dated but still rather fun,7,26 August 2019,"This cyber thriller is centred on Dade Murphy an eighteen year old hacker who has recently moved to New York City with his mother. At his new school he quickly becomes friends with a group of fellow hackers... and crosses swords with Kate Libby, not realising that she is also a hacker. One of his new group of friends tries to prove that he can hack as well as the others breaks into the super-computer of a mineral company and copies a garbage file to prove he was there... he doesn't know it contains evidence of a scheme by the companies head of security to steal millions of dollars and then capsize ships to make it look like terrorist action by hackers! Soon he is arrested; now Dade, his friends and Kate must find a way to uncover the truth... that will mean more hacking and avoiding arrest.If you want a realistic use of the use of computers in the mid-nineties than this fill will only irritate you; however if you just want a fun thriller where you can laugh at the sillier moments it is worth watching. It is clearly trying to do for computer hacking what 'Pump Up the Volume' did for pirate radio but not as well. Johnny Lee Miller is solid as Dade and Angelina Jolie, looking great with short hair, impresses as Kate. The rest of the cast are solid enough even though some of their characters are rather irritating. Most irritating for me was the villain, Eugene 'The Plague' Belford; he wasn't menacing enough and the way he insisted on being called The Plague just made him childish. There is a degree of tension although one never feels that characters are in physical danger. Overall I'd say that this film has dated it is still good silly fun if you are in the right mood.",Hackers
4,blanche-2,not of my generation but okay,6,28 January 2008,"I had some trouble getting into the teens in ""Hackers"" because for me, even the 1995 types seem like they're from another planet. A cast of now familiar faces (Fisher Stevens, Angelina Jolie, Lorraine Bracco, Jonny Lee Miller, Jesse Bradford, Laurence Mason) tell the story of a bunch of hackers who are about to be framed for a fraud put together by the computer security person in a corporation (Stevens) and his girlfriend, also inside the corporation (Bracco). The beginning is especially good - an district attorney (Felicity Huffman) speaks of the dastardly deeds of the defendant, a destructive criminal - and the camera pans to an 11-year-old boy, Dade Murphy, who is Johnny Lee Miller's character as a child. The boy is forbidden by the court to have a touch tone phone or a computer until he turns 18. The story continues 7 years later when Dade is up to his old tricks and joins a group of hackers with handles like Acid Burn and Cereal Killer.As mentioned in several comments, a lot of ""Hackers"" is dated now - like the 28.8 modem - but it's still fun, with very colorful computer screens, many of which will take old-timers back to the psychedelic days. Though I enjoyed the movie, I don't think I was the target demographic.",Hackers
5,edwagreen,This Movie Should Have Been Hacked-Hackers *,3,27 June 2010,"Idiotic movie where a group of real high school losers are portrayed as the good guys here even though they're into hacking.We hear familiar names and words such as viruses, worms, Da Vinci Code and all sorts of mess in this totally mixed up movie.Angelina Jolie looks like she is an alien from another planet. Bad guy Fisher Stevens appears to look like the devil and Lorraine Bracco doesn't really have a clue to what's going on here; although, she is fully aware about the money going into her account.The FBI thinks they know what's happening, but they prove not to be savvy as well.The guy with the sack on his back gives a new meaning to the word retardation. He has appeared in similar roles in other films and by his same actions, he may best be described as a total jerk.Who computed this mess?",Hackers
6,BandSAboutMovies,Hack the planet,6,17 April 2021,"Before we begin discussing Hackers, perhaps the most 90's movie of all time next to Singles, let's apply our version of the Turning test to it to see if we can consider Hackers a true cyber punk film.Does it have the title of a Philip K. Dick book but not really have much to do with it?Nope. This is grounded in the world of phreaks and hackers, as best seen in real life in the documentary Hackers: The History of Hacking.Is there a lot of rain?Not so much.Does the male hero wear dress clothes and/or a trenchcoat?Oh man, everyone wears a trenchcoat at one time or another, as well as having their own very distinct style of uniform. It's kind of like The Warriors on a much, much smaller scale.Do Keanu Reeves, Ben Affleck, Dolph Lundgren or Udo Keir appear in it?No, but man, I sure wish they did.Does the internet do something it can't do yet, yet look dated AF?That's this entire movie. Seriously, a lot of the internet appears as if it lives in the characters' heads as clips from old movies and TV shows, as if this were Dream On (an ancient HBO reference I realize is going over the heads of way too many of our readers). Also: there's a scene where the Internet is used to turn off a Wally George-style show (I was born in 1972, people) and a videotape of The Outer Limits plays in its place. Low tech in the service of high tech.Are Stabbing Westward, KMFDM, Ministry or God Lives Underwater on the soundtrack?This movie didn't just have one soundtrack, it had three different releases. The first has Carl Cox, Machines of Loving Grace, Leftfield, Underworld and Orbital on it. The second has The Orb, David Bowie, BT and Moby. And the third has those artists plus Fluke and John Lydon. Even better, Simon Boswell, who did the music for Stage Fright and Phenomena, amongst others, did the score.Is it a crappy version of Blade Runner?Nope. There is a William Gibson reference, which I may need to add to the test.Are there numerous Asian-influenced scenes?Surprisingly, no.Do people use future terms that make no sense?Throughout.Are there a lot of whirring sound effects?Of course they do.Do people stare at the camera as it moves through a neon-lit strip club?Yes, it has a party scene that is so opulent that you wonder, ""How can these be teenagers?""Are there rock stars in it?Yes! Marc Anthony plays an FBI agent. One could argue that Angelina Jolie is beyond a rock star if you want to get technical.Is there a feral child?I'd argue that every single one of the Hackers is a feral child.By following the rules of this text, as designed by our team of engineers here - me, basically - the ruling is that Hackers is not post-apocalyptic (barring a Tenebre-level in the director's head twist) nor is it cyberpunk. It is, however, an ancient future film and one that had my wife wondering, ""Was this what the nineties were like?"" She was born in 1984 and I have to confess to you, dear reader, that my 90's were spent in college and working eighty-plus hour a week advertising jobs.I told her, ""This is what it was like all the time.""Back in August of 1988, a hacker named Zero Cool used his 1200 baud modem to crash 1,500 computer systems and cause a seven-point drop in the NYSE. It turns out that said hacker was really eleven-year-old Dade Murphy, who is banned from all computers and touch-tone phones - how would he call 911? - until he turns eighteen.Literally the day he turns legal, Dade becomes Crash Override and pulls off that VHS switcheroo we discussed above. He's met and countered by another hacker named Acid Burn, who kicks him out. Oh yeah - and he's also played by Johnny Lee Miller now.He has a new school and has to fit in. Magically, this school has an entire roster of hackers who all follow the Hacker Manifesto.""This is our world now... the world of the electron and the switch. We exist without skin color, without nationality, without religious bias... and you call us criminals. Yes, I am a criminal. My crime is that of curiosity.""They are:Ramon ""The Phantom Phreak"" Sanchez: Able to get into any phone system, he's played by Renoly Santiago from Dangerous Minds and Con Air.Emmanuel ""Cereal Killer"" Goldstein: Matthew Lillard is this guy, who seemingly dresses as if he was inside the Matrix four years before that movie ever got made. He's also edgy and wears dresses because he's a hacker and hackers do whatever they want. Lillard was also 25 when this was made, making him the oldest of the high school hackers.Paul ""Lord Nikon"" Cook: Given this name because he has a photographic memory, this hacker is played by Laurence Mason.Joey Pardella: Played by Jesse Bradford, he's the youngest member of the group and has not yet earned his hacker code name (when I went to my first hackathon, they have us all printed name badges that many of us covered up with electric tape so no one could tie our faces in to our handles; I was 14 and my parents dropped me off. I was the youngest person there by several decades).Kate ""Acid Burn"" Libby: Pretty much considered the greatest hacker around, she's the frenemy of our lead and a rich girl who throws indulgent parties. She's also Angelina Jolie and coming into her peak of power here. This part was originally going to be played by Katherine Heigl, who did the second Under Siege movie instead.Crash Override has to prove himself to his new hacker buddies, so he breaks into ""The Gibson"" - yay cyberpunk reference - the supercomputer that runs the Ellingson Mineral Company. While downloading a garbage file as proof, his mother - who is convinced he's back to his evil hacking ways - unplugs the computer.This brings him to the attention of sell-out hacker turned computer security officer Eugene ""The Plague"" Belford (Fisher Stevens, which when you think about it is amazing casting, as just eight years earlier he was playing the hero version of the hacker role in Short Circuit; Johnny Five would not be pleased by this turn of events). Yes, he is pulling off the Richard Pryor Superman III scam that would one day become the Office Space scam.It turns out that the file our hero has downloaded isn't garbage. It's a virus that will destroy a fleet of oil tankers that The Plague plans on taking advantage of and blaming hackers. He brings in the Secret Service to go after our heroes, who have to use their powers of typing, logging on and pranking people to win the day.There's also an internet TV show called ""Hack the Planet"" that for some reason has no buffering issues, which remain a problem in 2021 much less in 1995 when this was made.Also - how about getting Lorraine Bracco as our hero's mom, Felicity Huffman as an attorney and Penn Jilette as Hal, an IT guy who gets no nickname? Plus, that bearded London-based hacker? That's David A. Stewart of Eurythmics!This is my favorite fact about this movie: ""The cast spent three weeks getting to know each other and learning how to type and rollerblade."" Yes, rollerblading is an essential part of the plot!Director Ian Softly - who also made Backbeat - would go on to direct K-PAX, a movie in which Kevin Spacey eats a banana skin and all.",Hackers
7,michaelRokeefe,The trials and tribulations of computer wizardry.,5,28 April 2002,"This movie has some brilliant moments. This is computer wizard heaven/hell. Some young students/hacking computer 'geeks' stumble upon an embezzlement scheme and use their wizardry to thwart the criminal masterminds. I admit watching this for one reason...Angelina Jolie. Even with a 'butch' haircut, she is one sensual goddess. Fisher Stevens is outstanding as 'The Plague'. Jonny Lee Miller in the lead role is arrested as a child using the moniker of 'Zero Cool'. After serving a lengthy probation period he takes up the name 'Crash Override' and finds himself in competition with 'Acid Burn'(Jolie). This manic computer madness also features Matthew Lillard, Jesse Bradford, Peter Y. Kim and Darren Lee.",Hackers
8,hitchcockthelegend,A wakeup call for the Nintendo generation? Hit the snooze button instead.,4,4 July 2012,"Hackers is directed by Iain Softley and written by Rafael Moreu. It stars Jonny Lee Miller, Angelina Jolie, Jesse Bradford, Matthew Lillard, Laurence Mason, Renoly Santiago, Fisher Stevens and Lorraine Bracco. Music is scored by Simon Boswell and Guy Pratt and cinematography by Andrzej Sekula. Young Dade Murphy (Miller) gets banned from touching a computer again until his 18th birthday because of a infamous hacking stunt. Moving to New York with his mum, Dade meets like-minded techno heads at his new school. When one of them hacks into a scam masterminded by The Plague (Stevens), the gang find themselves framed and have to not only clear their names, but also avert computer catastrophe.I desperately don't want to be one of this middle aged squares who frowns at teenagers, I consistently worry about the widening generational gap. Yet Hackers is irritating beyond compare, a film that, were I a teenage techno geek, would probably be on my ""epic"" favourites list. The 90s saw a rush of cyberspace/computer based thrillers, think The Net, Antitrust, The Lawnmower Man et al, none of which had the savvy nous or intelligence of War Games a decade earlier or Sneakers from 92. The main problem with Hackers is that it forgoes plot in favour of bombarding the viewer with techno babble and flashy visuals, it thinks it's being immeasurably cool by having this bunch of genius hacker kids (who conveniently all go to the same school) take on the establishment, but it's desperately shallow and comes off as an excuse to showcase some pretty young things in a world that the writers know nothing about.Computer based crime is very real, now more than ever, and it's frightening, but this never comes to the fore here, the peril is preposterous and pushed to the sidelines. In fact the only thing scary here is Matthew Lillard's pig-tail plats! Softley, who made the rather great Backbeat, is more content with MTV style coolness than making his film stand on its own thematic two feet. It's all very colourful, but even the gorgeous colour only serves to make this teen hacker world seem like a space age cartoon, the fashions more at home in an episode of The Jetsons. If it was Softley and the writer's intention to create an alien teen world, one that the adults are bemused by, then that would be impressive, but I really don't think it's that at all, especially since it rings so false. The young actors are enthusiastic, but that's about it, leaving Fisher's villain to hog the limelight, while Bracco is woeful.I can ""dig"" fanciful entertainment and spandex, but I'd also like a bit of substance with my eye orgasms too, Mr Softley. Thanks but no thanks, dude. 4/10",Hackers
9,view_and_review,Made Computer Nerds Hip,8,3 September 2020,"1995 gave us ""Johnny Mnemonic,"" ""Virtuosity,"" ""The Net,"" and ""Hackers."" All digital age tech movies. Of the four, ""Hackers"" is by far my favorite. It is similar to ""The Net"" in that both movies showed the vulnerabilities of our cyber world. But before I start gushing too much over ""Hackers,"" I must first give credit to the mother of them all: ""War Games"" (1983).""War Games"" with Matthew Broderick was the first movie, to my knowledge, featuring a hacker. I don't think that word was used back then, but ""War Games'"" main character was using a dial-up modem at a speed God knows how slow to hack into military computers. This was back before anything such as the internet and when only the military was using anything such as a network. Fast-forward twelve years and ""The Net"" and ""Hackers"" showed the world how computers had taken over and were no longer just a tool of the military.""Hackers"" was hip, it was punk, it was grunge, it was fun. Actors like Angelina Jolie (Kate/Acid Burn) and Matthew Lillard (Cereal) made the movie pop. Add to them a suitable supporting cast and a dope plot and ""Hackers"" becomes a cult classic.",Hackers
