,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"Superficially entertaining, but highly derivative and unoriginal",5,10 July 2016,"This film starts off with an adequate plot, concerning suspicious events at a local high school. Halfway through, however, it loses all direction and momentum and simply becomes a roller coaster ride of increasingly bigger and better special effects, starting off with a tiny little alien creature to a huge, slimy monster. The obvious inspiration for the film is INVASION OF THE BODY SNATCHERS (which is repeatedly referenced, somewhat cheekily), but THE FACULTY is a lot less powerful than that masterpiece.The full implications of the alien take over are rarely hinted at, and put aside in favour of in-your-face shocks and thrills, which dampens the impact a lot. The killing blow, though, is the ending, a huge letdown. Compare this to the starkly powerful and horrific ending of the 1978 version of INVASION OF THE BODY SNATCHERS, and you'll see that there is simply no match. THE FACULTY is nothing more than moving wallpaper, something to look at while you're eating your dinner. Similar to reading a glossy magazine, all style and not much substance. It can hardly be called a horror film at all really, but then again these days film makers seem to have forgotten what horror actually means; they confuse it with blood and guts and gory effects.I did like the little alien in the fish tank. I thought the special effect was very good indeed, and the first time you saw it, it was also very impressive. After the first couple of times though the novelty wore off and we'd grown used to the special effects, even if they did become more and more outlandish. The ending was also fun, with the fight against the big tentacled monster, even though it may have been cheesy and it may have been clichéd and unlikely. There were a lot of clever minor things throughout the film, it's just a shame they couldn't have put them together to make something cleverer as a whole. But what can you expect from Kevin Williamson? I didn't like the incessant swearing at all. There didn't seem to be much dialogue in this film, it was thrown aside to pave the way for a number of expletives. I also thought it was pretty stupid the way the film makers decided to have a naked girl in but then they were too scared to show her completely naked. I didn't think much of the child actors and actresses, who were typically mundane and boring, the outsiders we're over familiar of from all of the other mind numbing horror films which have been coming out these recent years.There are a few interesting actors amid the teaching group, namely Piper Laurie and Robert Patrick, the liquid metal man who is always sinister in any film he's in. Patrick was a good reason for me for watching this, I just wish he could have played a bigger part. I hated the glossy, DAWSON'S CREEK style of the film. I hated the self-referencing of Spielberg and other film makers (and even Neve Campbell, how original). I detested the stupid jump scares which weren't scary. And all of the other clichéd stuff (such as the alien slugs moving under the face from THE X-FILES. The finger cutting scene from THE BURNING. The head with tentacles from THE THING. The shadowy-jump scares from HALLOWEEN). But that's enough of me complaining. It is mildly refreshing to see a monster movie instead of having a maniac on the loose with a razor-sharp weapon. Just don't expect much more than something at a superficial level.",The Faculty
1,SnoopyStyle,Pretty good with some problems,7,19 October 2013,"Six disparate teens must prevent an alien species from taking over their high school and probably the world. Jordana Brewster is the bitchy queen bee Delilah Profitt. Clea DuVall is the weird loner Stokes Mitchell. Laura Harris is the newcomer Marybeth Hutchinson. Josh Hartnett is the genius drug dealing Zeke Tyler. Shawn Hatosy is the star quarterback Stan Rosado. Elijah Wood is the geeky Casey Connor.Writer Kevin Williamson has written a knowing script of witty smart teens. Then director Robert Rodriguez adds his sense of action. Both of them have combine to create a smarter than average body snatching movie. Still I have a couple of problems.First they show their hand too early. The first section with the teachers is just unnecessary. It'd be better to have the audience question if there was an actual problem. Also it'd be better to start with the kids since they're the lead characters.Second the logic of the twist doesn't make sense. If the aliens can be wipe out by killing the queen, she should be much better protected. And the fact that we know neither Bebe Neuwirth nor Robert Patrick is the first alien. It makes those encounters less compelling because we know for sure they're not the queen.There is still much good here. It has many memorable elements that Kevin Williamson and Robert Rodriguez have piece together. They've got good actors playing all the different teen types. It's a horror from people who've watched a lot of horror.",The Faculty
2,claudio_carvalho,They Are Taking Over the World through the Back Door,7,18 March 2015,"On the Harrington High School in Ohio, the newcomer Marybeth Louise Hutchinson (Laura Harris) tries to befriend the outcast Stokely 'Stokes' Mitchell (Clea DuVall). The quarterback Stan Rosado (Shawn Hatosy) quits the football team and breaks off with his girlfriend Delilah Profitt (Jordana Brewster), who is the editor of the school newspaper and head cheerleader. Zeke Tyler (Josh Hartnett), who is repeating the senior year and sells drugs to the other students, has an argument with his teacher Elizabeth Burke (Famke Janssen). When the bullied Casey Connor (Elijah Wood) finds a weird being on the football field, he brings it to his Professor Edward Furlong (Jon Stewart) that finds that the unknown specimen lives in the water and has the ability of replicating. Later, Delilah brings Casey, who is the photographer of the newspaper and has a crush on her, to the faculty room to snoop around and find any evidence for a story, they need to hide in a closet when Coach Joe Willis (Robert Patrick) and the teacher Karen Olson (Piper Laurie) arrive. Delilah and Casey witness the coach and the teacher attacking Nurse Rosa Harper (Salma Hayek) and they stumble with the corpse of Mrs. Jessica Brummel (Susan Willis), who has recently died, in the closet. They call the police but are discredited by Principal Valerie Drake (Bebe Neuwirth). On the next morning, Casey discloses to Delilah, Stokely and Stan that he believes that aliens are taking over the planet through their high school. Zeke and Marybeth overhear the conversation and join the group. Further they discover that the aliens need water to survive and Zeke's drug is diuretic and kills them. But the problem is who can be trusted in the group?""The Faculty"" is a great sci-fi with a tribute to the classic ""Invasion of the Body Snatchers"". I saw this movie for the first time in the late 90's and yesterday I saw it again on DVD and it is impressive the cast joined by Robert Rodriguez in this film. The plot is mysterious, entertaining and well resolved and also supported by an excellent soundtrack. My vote is seven.Title (Brazil): ""Prova Final"" (""Final Test"")Note: On 18 Aug 2020, I saw this film again.",The Faculty
3,kosmasp,The Faculty Thing Snatcher,8,3 February 2021,"Why not take notes from Horror movie classics and bring them into a teenage world, with teenage angst and terror - aka school. And if you do that, why not have a cast that will be looked back to as stellar to say the least? I don't know how much luck one can have with the casting or how Robert Rodriguez essembled such a great group of people. Be it on the teacher side or on the pupils side of things.This may have classic horror and science fiction elements to it, but it also is clearly a 90s movie too. This throws as many twists your way as you can handle. Not to mention enough jump scares to get a dead heart beating again ... and I'm saying this not in a bad way. Other movies have issues with those tropes, but they work with this one quite well. And it's the script on the one hand, the direction on the other ... and of course that cast. Have I mentioned the actors yet? Kidding aside, the effects may have aged badly in some respects, but they are still ok all things considering.",The Faculty
4,gavin6942,Very Much 1990s,7,30 September 2015,"Students suspect that their teachers are aliens after bizarre occurrences.This is very much a film of the 1990s, especially the second half. That same teen horror subgenre that ""Scream"" mastered and ""Disturbing Behavior"" did well. Get a mix of teen idols, add a soundtrack, and boom, you have a film. This is no exception, with some of the biggest names of the time on the screen (now, about fifteen years later, it is interesting to see who is big and who is forgotten).As far as being a ""body snatcher"" movie, it is pretty good. It is obviously aware of its past, as it overtly makes reference. But it also tries to steer clear of being a copy. Some references to past films are over the top, such as naming a character Edward Furlong. Really? Although not one of Robert Rodriguez's best films, it is still a nice trip down nostalgia lane. And it is probably not his worst (it may be time to stop with the ""Spy Kids"" and ""Machete"" sequels).",The Faculty
5,jboothmillard,The Faculty,5,24 April 2006,"From writer Kevin Williamson (Dawson's Creek, Scream, I Know What You Did Last Summer) and director Robert Rodriguez (Desperado, From Dusk Till Dawn, Spy Kids, Sin City), I may have seen this film once before, but I guess I didn't pay full attention, as I didn't recognise any of it, so I'm glad I watched properly. Basically at small town Herrington High School in Ohio strange things are happening to the faculty teaching staff, one or two of them have become almost emotionless in attitude and demeanour. Casey Connor (Elijah Wood) in his science class one day finds a new strange insect like creature, and the teacher says it is a new form of life, this comes into play later. It is after he and his friend Delilah Profitt (The Texas Chainsaw Massacre: The Beginning's Jordana Brewster) hiding witness two of the teachers who have been acting strangely murder Nurse Rosa Harper (Salma Hayek) by strangulation that they know something is going on, especially when she comes back to life. Casey works out that it is not just the teachers, but also many of the students that are part of this thing going on, and eventually they realise that it is to do with the weird creature they found, it is multiplying and taking over the minds of those who come near it. So now Casey, Stokely 'Stokes' Mitchell (Clea DuVall), Zeke Tyler (Josh Hartnett), Marybeth Louise Hutchinson (Severance's Laura Harris) and Stan Rosado (The Cooler's Shawn Hatosy) are trying to find a way to fight and eliminate the alien infection. The teachers infected by the phenomenon include Principal Valerie Drake (Jumanji's Bebe Neuwirth), Coach Joe Willis (Robert Patrick), Miss Elizabeth Burke (GoldenEye's Famke Janssen) and Mrs. Karen Olson (Carrie's Piper Laurie), and they are all aware the teenagers are suspicious. The way to stop it is to kill the queen, and using a mixture they created that the alien parasites resist the search begins to find the queen, it turns out to be the last person you would expect, but the aliens are stopped in the end. Also starring Usher Raymond as Gabe Santora, Jon Stewart as Prof. Edward Furlong and Daniel Von Bargen as Mr. John Tate. The cast of both young rising teenage stars and older established stars do pretty well, the script is witty and amusing, and the alien invasion concept is interesting with creatures doing mind control, I agree the special effects are dodgy, but it doesn't matter, it is a fun science-fiction horror thriller. Worth watching!",The Faculty
6,BA_Harrison,Today's lesson: kicking alien ass.,8,2 March 2012,"Originality is not The Faculty's strongest suit, the basic plot being a reworking of Invasion of the Bodysnatchers (with a touch of Night of the Creeps and The Thing chucked in for good measure), its characters your typical high-school movie stereotypes (The Jock, The Nerd, The Outcast, The Stoner, The Head Cheerleader, The Hard-ass Coach, The Tough Principal etcetera etcetera.) and even the movie poster displaying very little imagination.But although this kind of thing has been done many, many times before, the film still proves to be hugely entertaining thanks to a sharp script by Kevin Williamson, assured direction by Robert Rodriguez, great special effects (particularly the practical MUFX by KNB), and a cool cast including Bebe Neuwirth (40 and fabulous), Jordana Brewster, Salma Hayek, Elijah Wood, Robert Patrick, Clea DuVall, Famke Janssen (hubba, hubba), Usher, Laura Harris (naked!) and Piper Laurie. Hell, even Josh Hartnett and his bad hair didn't rankle me that much, which is a change.The movie opens brilliantly with an amazingly tense scene (Williamson having had prior experience in writing such scary openings with Scream and Scream 2), and the excitement continues unabated until the spectacular finale which features one hell of a cool monster, a Cthulu style alien with lots of gnarly teeth and thrashing tentacles. Along the way, Salma, Famke, and Bebe get all sexed up, Josh gets all macho with a makeshift machete, Elijah takes drugs, and Harry Knowles hoists his fat ass out of his armchair for a pointless cameo. It all adds up to a whole heap of fun.",The Faculty
7,Quinoa1984,"neither director or writer's best work, but it's got a good riff on its repeated subject matter",7,2 September 2006,"From the get-go one can figure the Robert Rodriguez directed film of Kevin (Scream) Williamson's The Faculty is like Invasion of the Body Snatchers given a dose of full-blown 90s High School horror movie without it being too compromised. I can't compare to how it might hold up to die-hard fans of the original 50s film, but The Faculty earns its keep as a pretty decent thrill machine by putting up some good characters to sink into. What struck me more though than the characters- even through some notable turns from its main teen cast (Elijah Wood, Josh Hartnett, Clea Duvall, Shawn Hatosy and Jordanna Brewster) and choice teacher bit parts (Jon Stewart, Salma Hayek, Christopher McDonald)- is Rodriguez's fun with the material. The first chase/action scene puts everything into context. And once the developments in the story become fairly familiar- albeit with some occasionally clever if a little easy- points made about the robotic, submissive nature of high school, the gears can kick in with the style. The premise itself could come in any form, even a Goosebumps book. But given a similar need to put some gore and violence and abandon with the context of the real action and suspense (including an extra creepy, twisty-as-Williamson-does last ten minutes) Rodriguez makes it a good attempt after his classic From Dusk Till Dawn. Exploitive, sure, and with some of the bits that aren't totally strong. Even a performance or two can become irksome. But it's a worthy enough B-movie in the guise of something much more in the Scream vein then one might expect. It's smart about what's its doing somehow, and it makes a fine, Dimension-movie style attempt to go into the sci-fi social consciousness that was originally begotten with Siegel's film.",The Faculty
8,edwagreen,You Can Lose Your Faculties With This...Worst Ever 0*,1,9 January 2012,"Truly dreadful film where the faculty at an Ohio High School seems to have been taken over by aliens. They're acting mysteriously and the dead from among them are waking up.6 teenagers try to stop this rampage and impending doom. However, the problem is that among them, one is an alien who is creating all the mayhem and resulting damage.Despite an impressive cast, the film is awful since the writing just plain stinks.Our teens are reduced to taking drugs from one of them, a drug dealer. This will invariably prove who among them is an alien. This is absolutely ridiculous, inane and an insult to watch.",The Faculty
9,wes-connors,There's a Monster in My Class,6,20 September 2008,"Six stereotypically diverse Ohio high school students suspect their teachers are being replaced by an invasion of parasitical body-snatchers! Their assumption proves to be correct; and, soon, the high school is crawling with alien body-seeking creatures! The starring teenagers are: nerdy geek Elijah Wood (as Casey), outcast lesbian Clea DuVall (as Stokely), sexy cheerleader Jordana Brewster (as Delilah), football jock Shawn Hotosy (as Stan), nubile newby Laura Harris (as Marybeth), and rebel stoner Josh Hartnett (as Zeke). Their mission becomes discovering, and destroying, the Queen of the ear-invading slugs.I saw this film shortly after its original release, and was able to enjoy it again, recently. Perhaps I wasn't paying a whole lot of attention, originally; because, I didn't experience the certainty of déjà vu until the scene where the six students are in Mr. Hartnett's home lab, wondering of one of them might be ""infected"". This scene highlights the good characterizations, writing (Kevin Williamson), and direction (Robert Rodriguez) in ""The Faculty"". The script has some wit, the cast is great, and the story moves; though, it doesn't really achieve the above ordinary status obviously intended -- it's no ""Scream"".Of the adults, coach Robert Patrick is the main villain; he and the other adults play their roles with a good amount of creepy teacher edginess. Science professor Jon Stewart is a treat. Usher has a small, non-singing role. The ""kids"" don't look too, too old to pass for high school seniors; but, a college setting might have been more interesting, and believable. Neglected genius Hartnett, who is repeating the twelfth grade, and Ms. DuVall give the younger stand-out characterizations. DuVall's character is introduced as a lesbian, but, don't get your hopes up; she's only pretending (wtf?).****** The Faculty (1998) Robert Rodriguez ~ Elijah Wood, Josh Hartnett, Clea DuVall",The Faculty
10,BandSAboutMovies,Simultaneously commercial and anti-commercial,5,2 September 2020,"David Wechter (The Malibu Bikini Shop, Midnight Madness) and Bruce Kimmel (The Creature Wasn't Nice) wrote their first draft of this film eight years before it was made. The success of Scream led to Miramax bringing Kevin Williamson on board to rewrite the dialogue and Robert Rodriguez to direct.The result is a very hip for the 90's remix of Invasion of the Body Snatchers that stars plenty of gorgeous teen actors like Elijah Wood, Usher, Josh Hartnett, Clea Duvall and Jordana Brewster.The teachers are all taken over by the time the movie begins. Coach Joe (Robert Patrick), Miss Burke (Famke Janssen), Principal Drake (Bebe Neuwirth), Mrs. Olson (Piper Laurie), Mr. Fulong (Jon Stewart) and even Nurse Harper (Salma Hayek) are all soon transformed into the carriers of a ""cephalopod-specific parasite called a mesozoan.""Becca remembers that when this movie came out that it was part of a Tommy Hilfinger promotion, even featuring a character named Venus who was only in the commercials and the clothing promos. Whatever it takes to get your movie made.There's also a scene that's a homage to Carpenter's The Thing, but this time involving doing drugs. Another interesting thing is that each of the teens has a counterpart in The Breakfast Club. Stan (Shawn Hatosy) is Emilio Estevez's jock character Andrew Clark, Delilah (Brewster) is Molly Ringwald's Claire Standish, Zeke (Hartnett) is Judd Nelson's John Bender, Stokes (DuVall) is Ally Sheedy's Allison Reynolds and Casey is obviously Anthony Michael Hall's Brian Johnson. So who is Marybeth (Laura Harris)? Do you want me to spoil the movie for you?",The Faculty
11,Coventry,Drugs are the answer...,8,25 July 2004,"Behold: The most outstanding screenplay that ever came out of Kevin Williamson's pen! The scriptwriter of meaningless, new age horror nonsense like `Scream' and `I know what you did last Summer' pleasantly surprises here with a clever and lively sci-fi plot, filled with homage to the all-time genre classics. The Faculty unites a group of typical high-school outcasts in their battle againstaliens. Extraterrestrial Intelligence invaded the modest Ohio lifestyle and takes over, starting with the Herrington High teaching staff. The unfriendly ET's are like the pod-people in `Invasion of the Body Snatchers' and can only be killed by drugs, which dehydrates their water-filled bodies. The film is a terrific spitfire of typical high-school jokes and situations, and it's very funny because of the `Breakfast Club'-like characters. They're all there! The geek (Wood in his pre-Hobbit era), the head cheerleader (Brewster), the jock (Hatosy), the scum with intellect-potential (great role by Hartnett), the anti-social goth (DuVall) and the new kid in town (Laura Harris). Other than the young stars, the cast is filled with brilliant B-actors who all clearly had fun playing their roles. Christopher MacDonald, Piper Laurie, Robert Patricktoo many to name! A lot of the film's quality certainly depends on the class-direction of Rodriguez. He creates a light-hearted surrounding and slowly builds up tension without the viewer really realizes it. Without a doubt, on of 1998 most modest, but entertaining films.",The Faculty
12,michaelRokeefe,This goes beyond being true to your school.,7,9 June 2000,"Stupendous. Scary. Awesome. Based on the classic 'body snatchers' theme; the students of Herrington High suspect that their teachers have become alien entities. Getting 'high' at this school is more than a common thing to do. It can help save your life.The special effects and creatures are top of the line. The suspense and terrific action scenes are glued together with a solid soundtrack. Some of the artists providing musical talent are Soul Asylum, Garbage, Sheryl Crowe and Oasis.The cast, that is diverse as it interesting, includes Bebe Neuwirth, Robert Patrick, Elijah Wood, Jon Stewart, Jordana Brewster, Piper Laurie and Laura Harris.Broad daylight or a rainy night; this movie will cause your anxious heart to beat like a rabid rat in a cage.",The Faculty
13,hitchcockthelegend,Body Snatchers was just a made up story...,7,18 January 2010,"Herrington High School, just your everyday place of learning. That is until the teachers start behaving strangely. It seems there is an alien plot to take over the world and only a rag-tag group of students can save us!When you pair Robert Rodriguez (director) and Kevin Williamson (writer) what sort of movie do you really think you are going to get? Well the answer is The Faculty, which in all honesty holds absolutely no surprises for anyone familiar with the guys who gave us From Dusk Till Dawn & Scream respectively. That's not to say that The Faculty isn't a fun horror/sci-fi film, because it absolutely is, it's just should be noted that The Faculty is all that it can be as regards the makers and the nature of the genre beast.The film has rightly been tagged as a cross between Invasion Of The Body Snatchers and any teen led Highschool movie (you can add Invaders From Mars in the mix too), this is intentional, something that's apparent since our intrepid students discuss ""Snatchers"" amongst other movie references, and one of them, Stokely (Clea Duval), is a sci-fi aficionado . As things progress it's also evident that the makers here are movie fans making a movie for movie fans, all be it one aimed solely at the teenage demographic. There's much satire around and cliché's are widely embraced, but again it works because there is no hidden agenda. There's gore and hugely effective scenes involving blood, slugs, heads and an eyeball, whilst slasher fans are catered for in a couple of - if seemingly pointless as regards the alien's intentions - memorable scenes.The youngsters in the cast, all purposely playing total stereotypes, all do what is required, with Josh Hartnett, Duval & Elijah Wood particularly shining. Yet it's with the adult actors that The Faculty really gains its tongue in cheek momentum. Robert Patrick, Famke Jansen, Salma Hayek, Piper Laurie, Bebe Neuwirth and even Jon Stewart all file in for a bit of alien parasitical fun. Come the end of the mania, with the staple alien queen reveal and showdown, there's the overriding feeling that the film could have been so much more. Certainly it's guilty of being a touch too derivative, where a little focus has been lost in the self referential and knowing in-jokery genre winks. But ultimately it's a groovy ride is this one, not in the least bit serious, but one to clip open a tin of beer with and embrace it for what it certainly is. Entertaining sci-fi alien invasion hokum. 7/10",The Faculty
