,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"Not bad, but could have been so much more",6,10 February 2014,"Originally conceived as THE SHINING in space, by the end I think EVENT HORIZON has become more like HELLRAISER in space, although of course one of the later HELLRAISER movies was just that. This is an intriguing and interesting sci-fi/horror movie that initially feels like an ALIEN clone before becoming something else quite different.The problem is that the story is sadly flawed, spending too much time on all-too-familiar situations and not enough time on the true horror envisaged by the screenwriter. It seems to take the crew an age to get to their destination, and even when stuff is finally happening, the ending is quite choppy. Apparently, 20 minutes of violent footage were excised after a poor reaction from the test audience, which I think is a real shame.Another problem lies in the choice of director Paul W. S. Anderson, who is and has been one of the worst directors working in Hollywood in recent years. This and DEATH RACE are the only films I truly like of his, and even in these two movies his direction is poor and over the top. The laboured comic relief is particularly noticeable here.It's a pity, because the story has real potential, with undertones of Clive Barker and H. P. Lovecraft on occasion. The cast is decent too, with nice performances from the reliable Laurence Fishburne and Sam Neill, as well as turns from the underrated Sean Pertwee and Jason Isaacs. I hope that an extended director's cut may surface one day and add more to the experience.",Event Horizon
1,SnoopyStyle,sci-fi haunted ship horror had potential,6,8 August 2015,"The first permanent moon base is established in 2015 and commercial mining on Mars begins in 2032. In 2040, research vessel Event Horizon is launched. It disappears past Neptune. In 2047, spaceship Lewis and Clark is sent to investigate. The crew consists of Captain Miller (Laurence Fishburne), Lieutenant Starck (Joely Richardson), pilot Smith (Sean Pertwee), Medical Technician Peters (Kathleen Quinlan), Engineer Ensign Justin (Jack Noseworthy), Rescue Technician Cooper (Richard T. Jones), and Trauma Doctor D.J. (Jason Isaacs). Event Horizon's designer Dr. William Weir (Sam Neill) joins them and tells the crew about its innovative gravity drive.The design is interesting and this has the potential to be a pretty good sci-fi horror. This is essentially a haunted house but the chaos overwhelms the movie. Sam Neill doesn't really fit as the mad scientist type. That role needs somebody creepier. Captain Miller is too clueless. In fact, Starck is a smarter character and in a better movie, she would be revealed as the lead. This movie has a great cast, an interesting look and great potential. It's too bad that it's not actually that good.",Event Horizon
2,kosmasp,"Bad, bad, bad ... or in one word: Bad!",5,23 April 2006,"Now for this ""special"" movie, that I watched theatrically, I will specify in various paragraphs, what I didn't like about the movie. When I went to watch the movie, I didn't thought it would be a classic. But boy if I knew how bad it was/is I wouldn't bothered to go in at all.Let's start from the actors. And if I didn't knew the actors I'd be wondering where they had found those people (maybe they dragged someone in from the street?). But there is an explanation: Sam Neill & Co are humans too and they need the money. To pay bills and stuff. But even they must be ashamed of this. And they didn't even bother to act at all! Not that it would have elevated this movie to much better ranking place, but it might have been a little more pleasant to watch. Or at least they could have tried to have while shooting the movie, but even that wasn't possible (it seems that way if you watch the movie).But the actors are not the ones responsible for this mess. First of all you have to ask yourself if the scriptwriter had anything in mind except ""a cool idea""! Because the outline did sound quite good. But when you have so much plot holes in a movie ... you just wish it is over. For the movie and the characters! You just don't care for people who act irrational and only just about compete who'll say the worst line in the movie. Irrational ""acting"" is something that you are used to in horror movies (most of the thrill will happen, just because of that behavior), but what happens here is just about every bad cliché thrown in. And mixed together, they don't taste any good, and they also smell bad too! But a bad script can be helped by a good director. If there was one here at hand ... If if if ... but there was none. Quite the contrary, this one (director) isn't good, but he's bad! So he let all of the above happen and more. When people have a bad thing happening and then just jump out the next moment as if nothing happened, you're not only confused, but more than a bit angry. Mass delusion anyone? It must've been something in the tea or coffee!Talking about something, like you don't believe it exists, just to be afraid of the same thing that doesn't ""exist"" the next second ... at least that's what the script lines were that came out the actors mouth ... (you didn't get it? Neither did I while watching the movie!) It's just so f**'d up ... I get mad thinking about it ... The movie touched a nerve. And one things for sure, if I ever do something bad again, something real bad, I shall be punished with watching this movie along ""Kinetta"" ... But if you're a masochist, you can do that in your free time too ... I warned you! But if you don't want to waste your time, just don't watch this ""classic""! (and yes I knew that some people will be offended by this, those same people who think this movie is good. Can't believe it, but some people just seem to enjoy the formula bad acting/bad director/bad script ... knock yourself out!)Edit: Wow. I really went to town on this one. This really hit a nerve as I say above. But since I was convinced I should give this another chance, I did just that. First thing I realized is the CGI. It did not age well at all. I'm saying this especially for those embarking on this journey for the first time! Be aware of it! That's all.I don't want to censor or redact my above statement or change it, but I want to elaborate. I really do like all the actors involved, I just think the script did not do anything to help them. This sounds already more mellow and more in tune with what I usually do when reviewing a movie I reckon. And that's I went up on the rating a bit. I still don't think this is anywhere near something like Alien or other movies that do earn the term classic. But I've seen way worse movies. Technically speaking and from other standpoints too.So overall I did not change my opinion on this being overrated and unfortunately having a better central idea than what we get served. One thing I do want to apologize for, is how I spoke to and about fans of this movie. Guessing I was a bit angry about bad responses I got to my review, but I should never shame anyone for their taste or opinion. It's a film after all, if you were able to enjoy it, good for you and I mean it",Event Horizon
3,Sleepin_Dragon,A very atmospheric space horror.,8,17 October 2017,"The crew of a small ship set off into deep space to recapture the Event Horizon, a ship that's been to some dark places in Space. On that ship is Event Horizon creator Doctor Weir, and when the crew get trapped on board the Event Horizon they face some horrific events.The movie is incredibly atmospheric, even after all these years it holds up very well, the ship looks great, well designed with strong production values. The music is particularly good, again adding to the sense of fear. Soon good special effects, sure it rattles a little around the edges, but it was made back in 1997. There isn't a reliance on gore, as there are with so many current films, although it does contain some rather grim scenes.I'm a big fan of Joseph Richardson, but she somehow looks and feels a little out of place in a sci-fi movie, I don't buy into her. Definite star of the show is Sam Neill who is definitely a cut above, he's cool and menacing.I'm surprised at just how much I enjoyed watching it once again. 8/10",Event Horizon
4,gavin6942,Not Your Typical Space Horror Movie,7,11 March 2007,"A doctor who designed the ship and a crew of rescuers are sent to pick up the crew from the space vessel Event Horizon, off the orbit of Neptune. What the rescuers don't know, however, is that the ship is powered by a black hole and is capable of opening portals to other planets or maybe even dimensions. What might have come through?It seems appropriate I chose to watch this after ""Snow White"", the OTHER 1997 Sam Neill horror film (but he's more like the Neill from ""In the Mouth of Madness"" here than the Neill from ""Snow White""). Never a bad time to catch two connected movies back to back.I can't help but compare this film to other Paul Anderson films such as ""Resident Evil"" or ""Mortal Kombat"". There is a distinct look he is good at with technology and particularly the costumes. While I doubt Anderson designed the costumes, you get a sense he likes characters with jumpsuits. If I had to guess who directed this film without knowing, Anderson would be my first guess based on his scenery alone.Paul Anderson also loves the techno-industrial music in his films (Orbital, The Prodigy, KMFDM) -- he's like a more lighthearted David Fincher in this way. I grew up on industrial music, so this really works for me. But also, I see metal or more specifically industrial crucial to good horror -- to really make the point, see Charlie Clouser's contributions to ""Saw II"". The whole violence and alienation vibe that is given off by industrial is very appropriate to horror.The film in general is very likable. Sam Neill is an amazing actor, Laurence Fishbourne (after being Cowboy Curtis but before being Morpheus) is wonderful. And there's a sense of gore that is more hinted at than shown (most of the gore scenes are very quick, leaving an impression on your mind for you to create your own imagery). Many horror space movies are just really stupid (do I need to mention ""Leprechaun in Space""?) or follow the same paths, but this one really stands out as unique. It needed both the horror and space aspects to work.I could compare this to ""Doom"" (the game or the movie) with the portal to Hell in space... but I won't. Or how about comparing it to ""Solaris"" (George Clooney's only bad film) with the images of dead friends coming back to life? This is vastly superior, by far. Really, I can't stress enough how awful ""Solaris"" is. The inclusion of the tesseract is really great. I don't think they used the word ""tesseract"", but they used the idea. I grew up with ""A Wrinkle in Time"" and another book about tesseracts (or, more precisely, wormholes since ""tesseract"" just illustrates extra dimensions and not so much how to travel through them) and this always gets me pumped. If such things are really possible, the future will be awesome.Well, anyway, if you're looking for a horror film that's unlike all others you've seen -- but good -- this is a wise choice. Sam Neill cannot steer you wrong, and the elements needed for a good movie are in place here. It's not like the ""Citizen Kane"" of horror, but maybe the ""Jurassic Park"" of horror. Check it out.",Event Horizon
5,lee_eisenberg,makes no sense,4,18 April 2006,"""Event Horizon"" is the sort of movie that could have come out very neat. Granted, there have been a number of movies about a mission in outer space finding something unusual, but they still could have done something interesting with it.Well, guess what? They tried to do something interesting with it, and the movie ended up making little sense. For starters, the whole part about bending space was clearly ripped off from Madeline L'Engle's novel ""A Wrinkle in Time"". But even beyond that, there was so much that they could have done that they didn't do.All in all, we can affirm that although the director has a name similar to the director of ""Boogie Nights"" and ""Magnolia"", it's clearly a different person. And it goes without saying that Laurence Fishburne, Sam Neill and Kathleen Quinlan have all done much better than this. Jason Isaacs would later do better as Lucius Malfoy in the ""Harry Potter"" movies.",Event Horizon
6,jboothmillard,Event Horizon,5,21 July 2015,"Directed by Paul W.S. Anderson (Mortal Kombat, Resident Evil, AVP: Alien vs. Predator, Pompeii), I had heard about this film many times, I knew it was sc-fi horror, and I knew one or two names in the cast, so I was hoping it would be something I'd like. Basically in the year 2047, humanity has successfully colonised on the Moon and other planets, and starships have managed to travel and venture deeper into space than ever before, one such ship was the ""Event Horizon"", an experimental government starship, but it mysteriously disappeared seven years ago going beyond the planet Neptune, this loss was considered the worst space disaster on record. However a distress signal was picked up that appeared to come from the Event Horizon, so an astronaut crew on the rescue vessel ""Lewis and Clark"" has been dispatched to investigate, salvage and rescue any living survivors on the ship, they are led by Captain Miller (Laurence Fishburne), and guided by the Event Horizon's designer Dr. William Weir (Sam Neill). The Lewis and Clark crew consists of Executive Officer Lieutenant Starck (Joely Richardson), pilot Smith (Sean Pertwee), Medical Technician Peters (Kathleen Quinlan), Engineer Ensign Justin (Jack Noseworthy), Rescue Technician Cooper (Richard T. Jones) and Trauma Doctor D.J. (Jason Isaacs). The ship is found in deep space, the crew manage to dock with it, but with limited supply of oxygen and increasing carbon dioxide they do not have long to find out what happened to the ship and its crew, it is not long though until the rescuing crew members realise the unimaginable and terrifying secrets lie within the ship. One by one each crew member experiences what is either a hallucination or an apparition that messes with their minds and causes them to panic or go mad, and it is all caused by a gateway, created on the ship to reach other places in space and time, but something was opened that has caused chaos for anyone that dares to venture in. Also starring Peter Marinker as Captain John Kilpack, Holley Chant as Claire and Barclay Wright as Denny Peters. This is obviously a B-movie, full of big names in the cast, but produced with a moderate budget, there are some good special effects and gory moments to satisfy the fans of things nasty, but the dialogue and storyline is rather hammy, and it is often predictable, but if you like to see things going wrong in space and many people going mad thinking they are seeing things, then I suppose it's not a bad science-fiction horror. Worth watching!",Event Horizon
7,ccthemovieman-1,Looked Slick But Turned Out To Be No 'Alien',5,7 January 2007,"Once I started watching, In some respects, this film started to remind me of ""Alien,"" except it obviously wound up quite a bit inferior to that famous sci-fi-horror thriller.Since it was made about 18 years after ""Alien,"" this movie features more special-effects and some high-tech visuals but it doesn't have the suspense nor the overall cinematography nor the cohesive storyline of the latter. Both movies have the same crude, profane, low-class astronauts that you would never see in real life. In this film, the characters are not quite as hard-edged.Slick-looking as this in spots, it still succumbs to a problem prevalent in modern-day action movies: too much action, especially at the end of the film. Also, there is too much gore and too many unbelievable escapes. In the end, this is another of those movies that ""should have been better.""",Event Horizon
8,Tweekums,A disturbing sci-fi horror,8,13 November 2012,"The Spaceship 'Event Horizon' disappeared near Neptune while on a classified mission to test a new drive system that could make interstellar travel a possibility; seven years later a broadcast was received and the rescue ship 'Lewis and Clark'. This ship's regular crew has been joined by Dr. Weir; the designer of the 'Event Horizon' and the only person to know the nature of the ship's revolutionary drive system; it uses a singularity to fold space enabling it to pass between two points almost instantly. Strange things start to happen once they arrive; scanners show lifeforms everywhere on the 'Event Horizon' and once aboard the crew start having strange visions of people they once knew; dead people! It would appear that that when the gateway opened for its test flight to Proxima Centauri it went somewhere on the way; a place of pure chaos and evil; for want of a better word Hell itself! By the time the crew realises something is wrong; it isn't a question of whether they whether get away alive it is a question of whether any of them will survive.This sci-fi horror deserves to be better known; there may not be an alien aboard the ship but the strange presence is just as frightening; especially when the crew have visions that involve eyeless loved ones. For a film that isn't that well known it has a surprisingly strong cast of well known actors including Lawrence Fishburne, Joely Richardson, Jason Isaacs and Sean Pertwee amongst the crew; they all put in solid performances although it is Sam Neill who puts in the most memorable performance as Dr. Weir; a character that becomes more dangerous as time passes; whether he is going insane or becoming possessed by the evil controlling the ship is hard to say. They is a lot of disturbing imagery here; both when we see what happened to the old crew of the 'Event Horizon' and when things start going bad for the rescue team; if you don't like the sight of blood you'd best give this a miss but if you want a genuinely creepy sci-fi horror you could do a lot worse.",Event Horizon
9,ma-cortes,Sci-Fi/horror film with creepy images and eerie events when a motley crew investigates a rare aircraft,6,1 April 2012,"A rescue team investigates a spaceship called ¨Event Horizon¨ that disappeared into a black hole and has now returned , re-establishing contact after 25 years lost in cosmos , but now , 2047 , with someone or something new on-board . The vessel has been sent to salvage and pick up survivors and discover strange deeds . This frightening Sci-Fi movie concerns about some crack astronauts being trapped into a claustrophobic space aircraft . This is a spectacular and moving story full of twists and turns ; however being pretty claustrophobic , though this is never tiring . It starts with some astronauts wake up from pods , they are captained by Laurence Fishburne and accompanied by scientific Sam Neill . One of them goes to explore the zone and encounters an extraordinary surprise . Meanwhile , they meet new mysteries hidden throughout the aircraft and attempting to survive . They then encounter themselves chased by bloodthirsty , predatory visions which have haunted them . They must confront some of the most horrifying spectres ever seen and some has been decimating the crew . The survivor group is surrounded , as they encounter horrible visions that are waiting for them , facing their destruction and exposed to cruel dangers . They undertake a desperate fighting to survive and confronting each other .This exciting picture contains thrills , chills , plot twists, action-filled and lots of gore and guts . The terror and action moments are fast moving and compactly realized enhanced by excellent special effects by the expert Richard Yuricich . The film turns out to be a crossover between old-fashioned ghost terror yarn and modern horror/Sci-Fi film taking ideas here and there , resulting in a fine movie . And of course the theme of people being stranded in a hostile, perilous space environment with attackers creatures is justly reminiscent of Alien . The creepy images of wide range from the genuinely fantastic to the bizarre along with an eerie and amazing frames that creates horror piles on horror . It's predictable but also its predictability is redeemed for some extraordinary surprises and in part by the charismatic acting from the main protagonists as Fishburne , Sam Neill and large support cast as Richard T Jones , Jason Isaacs , Sean Pertwee , Kathleen Quinlan , Joely Richardson and Noseworthy . The shapeless evil hovers , phantoms appearance deliver the goods , plenty of screams, shocks and tension . The make-up artist as Rob Bottin and assistants create the truly terrible images . Horrifying and astonishing frames about eerie events with deserted and threatening corridors , walls drips blood , Gothic halls as well as the creepy scenarios in the large spacial craft without barely people and covered of metal and iron . Cool , dark cinematography by Adran Biddle who creates a perfect atmosphere and haunting musical score fitting to action and horror by Michael Kamen .The motion picture is surprisingly directed with startling visual style by Brit filmmaker Paul W. S. Anderson in his third film , his first was ¨Shopping¨ . He is a notorious producer , writer and director of Sci-Fi , some super-productions as ¨Resident Evil¨ saga, ¨Alien Vs Predator¨ , ¨Soldier¨ , ¨Mortal combat¨ and recently a fantastic ¨Three musketeers¨.",Event Horizon
