,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"Not altogether bad video game adaptation, but it could have been better",4,30 October 2016,"Films based on computer games have long been the bane of modern cinema and RESIDENT EVIL does little to change the pattern they have fallen into over the years. This is an almost plot less action epic with a few zombies and monsters thrown in as an afterthought; a well-executed exercise in suspense, fear, and frights which goes through the motions without ever being engaging. Every cliché in the book is present here, from the actions of the zombies to the situations our characters find themselves in and the finale, amongst other things. In fact the best bit of the film is the very beginning, the prologue showing the complex spiralling out of control with death and destruction as a result; the feeling of helplessness and despair is overpowering and hard-hitting; personally I connected this with the real-life reactions of victims of disasters such as the World Trade Center bombing and thus found it very powerful stuff.From then on the tired formula follows a bunch of marines infiltrating a spookily deserted base (more than a few nods to ALIENS here) and finding themselves picked off one by one by a number of menaces: genetic mutations, the living dead, a malevolent super computer, and skinless dogs. Having never played the game I can't comment on the connection, although I guess that the ""feel"" is spot on. The film's biggest loss is the gaping hole left by the departure of George Romero, who would have undoubtedly made this something special. Flashy workman Paul W. S. Anderson has little of Romero's skill and expertise in the genre and we're left only wondering what it would have been like with gory George on board.Technically the film is very good, excellent use being made of the budget and some interesting actors giving edgy performances. Lead Milla Jovovich manages to make her character smart AND sexy whilst the supporting male actors give subdued but solid turns. The only turn-off is Michelle Rodriguez, who plays Vasquez from ALIENS again, except without the likability; her character fails to engage on any level, making her plight (she finds herself the victim of a zombie bite) rather uninteresting. On the plus side, special effects are very good indeed (zombies have never looked better), whether makeup or solid CGI work (especially the skinless dogs, which provide a worthwhile menace; unfortunately the genetic mutation which turns up later on looks exactly like what it is, a pretty but hollow computer pattern). The script, however, is pretty shallow and the twists and surprises telegraphed a mile off.This is a film of two halves; the first builds up the suspense whilst the latter provides the payoff, namely the action. I prefer the former, with its gradually building intrigue and growing horror, scenes of genuine nastiness, excellent use of lighting, and a dark, brooding atmosphere. The action is all right but ruined by a loud, irritating and out-of-place soundtrack incorporating the likes of Marilyn Manson. I remember being annoyed when UNIVERSAL SOLDIER: THE RETURN used a similar technique. I don't want to be blown out of my chair by several decibels when watching a film, and such intrusive noise only dispels the realism and takes you out of it. Without the music this would have been a lot better. Thankfully, there are some scenes of gore to take your mind off the flaws, with some nasty laser dissections copied from Canadian indie hit CUBE and some zombie-munching fun, although hardcore gore lovers will be disappointed by the lack of intestine-munching. As a fun, brainless popcorn flick this delivers, but there isn't much to stay in your mind afterwards and it has little re-watchability value. Not bad but could have been a heck of a lot better.",Resident Evil
1,SnoopyStyle,Some good action but not much more,6,10 March 2014,"The Umbrella corporation dominates the world. In an accident at its secret underground facility called ""The Hive"", a dangerous virus is let loose. It has infected the staff turning them into zombies while mutant creatures run free. The computer Red Queen shuts down the complex and kills everybody inside. Alice (Milla Jovovich) finds herself with amnesia in a house that has a secret entrance to the underground labs. The corporation sends in an elite armed squad (Colin Salmon, Michelle Rodriguez) who finds amnesic Alice and Spence (James Purefoy), and they go in to investigate.Based on the video game, director/writer Paul W.S. Anderson brings some interesting gore into the movie. The characters are two dimensional. But it does what it intends to do and not much more. It's mostly atmosphere in the first half. Then there is shoot them up horror action but nothing terribly scary. And hot Jovovich doing battle with zombies and mutants. The flashbacks as Alice remembers is distracting and usually disrupts the flow. The video game genre doesn't usually get much better.",Resident Evil
2,Horst_In_Translation,Needed better focus in many areas,4,27 October 2015,"""Resident Evil"" is the first of the film series that adapted the popular video game franchise into the world of movies. Milla Jovovich was chosen to lead the franchise after her success on ""The Fifth Element"". I can only speak about this first entry to the series as I have not seen the other ones, but I was not impressed at all. These 100 minutes (with credits) had basically everything you'd expect from a weak action movie that relies on spectacular effects and sacrifices story for it. They included stuff like love relationships, sex, nudity etc. to make this look slightly more interesting, but none of these aspects received a convincing elaboration. It all just felt thrown in for the sake of it.I will not deny that this is a film worth watching for its technical aspects and there are some decent scenes actually, but it's all shallow and unconvincing if the characters are so badly written like it is case here. By the way, the monster humans reminded me a bit of the walkers on ""Walking Dead"". Interesting aspect that they also included the idea that they were dead already despite still moving with the clotted blood reference. But that was one of really not too many smart aspects from this film. Jovovich and Rodriguez may be very attractive, but in terms of acting I'm not too sure if they can carry a franchise like that. Admittedly, you have to say in their favor that their male co-actors were even more forgettable. It is the same like almost any other Bernd Eichinger production and Paul W.S. Anderson film: A lot of style over substance and just not a great story or great writing. Forgettable movie and it's odd to see this has 3 sequels already with number 4 in the making. I really hope the quality gets better, but judging from this one here, I do not have much intention to watch the other films soon. Not recommended.",Resident Evil
3,Prismark10,Splatter the walking dead,3,6 November 2017,"Hackneyed film from hack Paul WS Anderson as he turns a computer game franchise into a film franchise.In the near future an underground biogenetic research laboratory owned by Umbrella Corporation accidentally releases the deadly T- virus which kills the scientists and workers. A team of special operatives investigate, among them is Alice (Milla Jovovich.) She is amnesiac but her memories slowly come back as the team encounter the Red Queen, a supercomputer that had them trapped in order to prevent further spreading of disease.Also after them are lethal zombies created by the virus and looking for food. There are also a predictable twist relating to a betrayal.Anderson has made a plain bad horror action flick with dodgy CGI. He throws in some zombie dogs and there is a nod to Alien.",Resident Evil
4,claudio_carvalho,Great Sci-Fi Action Horror Film,8,31 January 2017,"In the near future, the powerful Umbrella Corporation has a hidden research facility called The Hive underneath Raccoon City, where the scientists develop genetically engineered drugs for medical purpose and biological weapons. After stealing the lethal T-virus, a thief contaminates The Hive and the artificial intelligence Red Queen seals the Hive and kills all the staff and guinea pigs. A woman called Alice (Milla Jovovich) awakes naked in a bathroom of a mansion without memory and soon a commando led by a man called One (Colin Salmon) subdues her and another man called Matt (Eric Mabius), who claims to be a cop. Alice learns that she is a security guard with her partner Spence (James Purefoy) assigned to protect the entrance to The Hive and her memory will return in an undefined period since she was affected by a gas. The Red Queen had a malfunctioning five hours ago and had shut down the facility and killed everybody releasing a lethal gas. Now they need to shut down the Red Queen and restart her systems. They use an underground train to reach The Hive and the Red Queen asks then to leave the place. However Kaplan (Martin Crewes) disables the Red Queen opening the doors in The Hive. Soon the group learns that the staff has turned into zombies and now they are under siege of the zombies. Most of the commando dies and only Alice, Spence, Matt, Rain (Michelle Rodriguez) and Kaplan survive. Now they need to find a way to escape from The Hive since the system will shut down the exits in a short period. Who will survive?""Resident Evil"" is a great sci-fi action horror film by Paul W.S. Anderson. Milla Jovovich, Michelle Rodriguez and the rest of the cast have good performances and the non-stop action is engaging. The gloomy pessimist conclusion fits perfectly to the story. My vote is eight.Title (Brazil): ""Resident Evil: O Hóspede Maldito"" (""Resident Evil: The Damned Guest"")",Resident Evil
5,kosmasp,Evil Begins,5,30 December 2010,"When I first watched this movie, I was still under the impression, that it could have been made by George Romero. Not a good state of mind to be watching any movie then (at least for me). If I had rated it back then, it would have been a worse rating I can assure you that. Especially because I had read a script (a first draft), of what Romero would have done with it.But as it is, the movie kicked off (literally) a series of movies. And when I re-watched it recently, I did so with the commentary on. And when you listen to the people talk about this movie passionately, you can't help but almost fall in love with it. I was tempted to give it a very high rating then. I think the middle way was good though. There are things that have been done good here (some of the action, the suspense stuff, the casting of Michelle Rodriguez) and others that haven't (the story, the rest of the action as Rodriguez does say so herself on the commentary and some other things).All in all a decent horror movie, but nothing to get too excited about.",Resident Evil
6,jboothmillard,Resident Evil,6,19 September 2005,"Directed by Paul W.S. Anderson (Mortal Kombat, AVP: Alien vs. Predator, Death Race, Pompeii), I had always heard of the popular zombie survival horror video games series, and I had enjoyed the George A. Romero Living Dead films, I was hoping for the same entertainment with this video game based film. Basically the film starts in the secret underground laboratory located beneath Raccoon City, called The Hive, owned by the Umbrella Corporation, an accident occurs and a deadly chemical called the T-Virus is released into the facility, the artificial intelligence security system, The Red Queen, traps all workers inside to contain the infection. Alice (The Fifth Element's Milla Jovovich) awakens alone in a deserted mansion, she is suffering from short-term amnesia, she is shortly accompanied by police officer Matt Addison (Ugly Betty's Eric Mabius), before he is subdued by a military unit, sent by the Umbrella Corporation. The commandos consist of leader James ""One"" Shade (Colin Salmon), Rain Ocampo (Michelle Rodriguez), medic Chad Kaplan (Martin Crewes), J.D. (Pasquale Aleardi) and two others, they have been assigned to shut down the main computer and quarantine the virus, and along the way also meet fellow amnesiac Spence Parks (A Knight's Tale's James Purefoy), he was in a sham marriage with Alice, to protect the Hive's entrance. To get to the Hive the team must first travel the long underground train system to reach the facility, and pass through the various, and dangerous, security and weapon systems they unintentionally activate, including a laser defence system that slices most of the commandos into pieces. Alice and the remaining members manage to get to the circuit board containing the Red Queen system, it is deactivated and all doors are unlocked, but the team had not counted on the release of a horde of zombified people, these undead creatures were formerly the staff working inside the Hive, they have been infected by the T-Virus. After battling with these flesh hungry mutated people, Alice suggests reactivating the Red Queen who will be able to explain what happened in the Hive, the artificial intelligence explains the infection that spread, that the virus is contagious and reanimates dead bodies with an impulse, they are driven by the basic need to feed, one bite or scratch from a creature and that person will become one themselves, trauma to the head is the only way to kill them. The team try to navigate their way out of the facility and back to the train to reenter Raccoon City, but the zombies are all over the place and blocking their path, as well as mutated dogs, and an experimental beast made from evolution in human flesh, and they must also be careful not to bring the effects of the T-Virus to the surface and spread the infection further. Also starring Ryan McCluskey as Mr. Grey, Oscar Pearce as Mr. Red, Indra Ové as Ms. Black, Anna Bolt as Dr. Green, Joseph May as Dr. Blue, Heike , Makatsch as Lisa, Jaymes Butler as Clarence, Stephen Billington as Mr. White, Fiona Glascott as Ms. Gold and Jason Isaacs as Dr. William Birkin, also narrating. Jovovich is great being the kick-ass woman who slowly regains her memory and a bunch of martial arts and gun skills, Rodriguez is also feisty, the supporting cast all do well also, the special effects and makeup for the zombies, mutated things and scientific stuff are all cool, and the music by shock rocker Marilyn Mason gives the action edge, it is exciting compared to the rubbish or average sequels that followed, a great science- fiction horror action film. Good!",Resident Evil
7,ccthemovieman-1,Too Macho & Violent.....And That's Just The Women!,1,22 December 2007,"This 21st century science fiction/horror story should have been much better than it wound up. To me, it had a couple of major problems, namely: It had very few likable characters and way overdone violence. Regarding the latter, even with the good special-effects, nonstop violence only serves to become boring after awhile. When are filmmakers going to learn this? Certainly not director-writer Paul Anderson, who was responsible for this after two previous bombs in ""Event Horizon"" and ""Soldier."" If you recall, those movies also were disappointing.The women in here are Hollywood's new type of heroine: tough-looking, tough-talking and overly macho. Whatever happened to nice girls? If you lived on another planet and only watched movies made on Earth, you'd think women were physically tougher than men, and all want to act like men. Michelle Rodriguez played a character (""Rain Ocampo"") who personified this misconception to the hilt. She was annoying, to say the least, as was this film in general which is made to satisfy millions of immature young males. Judging by the amount of reviews here, the filmmakers succeeded.",Resident Evil
8,Tweekums,Solid enough zombie movie based on a video game,7,5 August 2015,"As the film opens we that the film is set in a near future where the Umbrella Corporation is the world's largest business and that some of its activities are distinctly shady. The action then starts in a lab where an unknown thief steals a case containing a biological weapon that we later learn is called the T-Virus. As he fleas he smashes one of the vials releasing the virus into the facility, known as The Hive. As the virus is spread through the air-conditioning The Hive's computer seals the facility and kills everybody inside. We then cut to the sight of a naked woman, Alice, wrapped in a shower curtain; she gets dressed and is surprised first by an unknown man then by a whole squad of commandos! Their leader addresses her as 'Soldier' but she has no idea who she is. The other man identifies himself as a newly transferred police officer. These two are then taken by an underground railway to The Hive where we learn they intend to shut down the computer, known as Red Queen. Red Queen's defences kill many of the commandos and before the others shut it down its avatar informs them that they will all die. It soon becomes apparent that the people in The Hive have come back to life as zombies! Perhaps Red Queen was right; certainly many of them won't make it; some of them will become zombies themselves and not all of the dangers are outside the group.I have not played the computer games this film was inspired by so can't say how the story compares but it didn't feel like there was much unexplained within the film. The fact that Alice has no memory means that we are told everything we need to know as the leader of the commandos tells her. The film opens strongly with the scenes with Red Queen killing everybody in The Hive and after we have been introduced to Alice and her situation the action is pretty good. It is also varied; we have Red Queen's futuristic defences that literally slice and dice some commandos with a laser, hordes of zombies, zombie guard dogs and a mutant creature for our protagonists to battle against. While nobody is going to be winning any Oscars for this the cast do a decent enough job; Milla Jovovich is good as Alice; putting in some good action scenes and Michelle Rodriguez is fun as the hard-core commando Rain Ocampo and Colin Salmon adds some class as the commandos' leader although sadly he doesn't last too long. In many ways this film feels like 'Aliens' with the aliens replaced by zombies; we have an evil corporation, one of the group who is working against their interests and the fact that the protagonist and the toughest soldier are both women... I guess if one is going to borrow ideas from another film one could do a lot worse that take from 'Aliens'. The effects are fairly mixed; the zombies, both human and canine, are impressive but some of the CGI is far too obvious. The Red Queen is delightfully creepy due to the fact that it speaks with the voice of a young girl and prior to shutdown appears to be all-seeing. Overall this film is far from perfect but it is surprisingly fun in a fairly trashy way.",Resident Evil
9,ma-cortes,First and the best rendition based on popular video games in which a virus has escaped into a secret facility,7,26 July 2014,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident into a facility called the ¨Hive¨. But a secret experiment has been developed and a fatal mistake and a deadly virus expands itself . As the Umbrella Corporation's deadly T-virus ravages the Earth , transforming the global population into legions of the flesh eating Undead . The group Milla Jovovich , Eric Mabius , Colin Salmon , Martin Crewes , James Purefoy) battles the Umbrella Corporation , the undead and a super computer that plots total destruction over the human race . The commando (to prepare for their roles, the actors playing commandos and Milla Jovovich and Eric Mabius had a week of commando training with a Navy Seal) in the heart of Umbrella's most clandestine operations facility and unveil mysterious plans . First original film with nonstop action , violent combats and spectacular images by computer generator . The human race's last and only hope is Alice (Milla Jovovich is the only actor to appear in all five films) . Spectacular , action-packed and thrilling first installment of the ¨Resident Evil series¨ , adapted from the video games characters produced by Hiroyuki Kobayashi . Yet another noisy film rendered from a video game which never gets as eerie as a Zombie picture should . Unstopped-action gore-feast that provides for high-octane escapist entertainment with some eye-catching visuals and pulsing soundtrack . This exciting picture contains thrills , chills , action-filled with fierce combats and lots of gore and guts . The horror and action moments are fast moving and compactly realized , being the first movie of the series not to feature undead dogs . This original takes more , more approach , more fights , more blood and gore than subsequent sequels . The creepy images of wide range from the genuinely fantastic to the bizarre along with scary and amazing frames . It's predictable but we have seen some scenes in previous films , but also its predictability is redeemed in part by the charismatic acting from the action-women , as Milla Jovovich and Michelle Rodriguez . Milla Jovovich did all of her own stunts except the pipe jump in the sewer scene . The main actors were told to prepare for the film by getting copies of the games and playing them through. Some of them didn't know if they could complete them in time so they had to get video copies of other people beating the games and then watch it . One of the most popular scenes in the film - when Alice runs up a wall and flings round to kick a zombie dog in the head - took 3 months of training for Milla Jovovich. The flesh-eating mutants appearance deliver the goods , plenty of screams , shocks and tension . The make-up assistants create a truly horrible zombie cannibals and state-of-art FX won the Canadian Screen Award for Achievement in Visual Effects . Professional dancers were cast as zombies . Horrifying and astonishing images about apocalyptic events with destroyed city , with a technological facility totally inhabited by flesh-munchies creatures and much of it was filmed in unfinished stations of Berlin underground . Cool , luminous cinematography using Steadicam by David Johnson . Haunting , pulsing Techno-musical score by Marco Beltrani . The motion picture was professionally directed with startling visual style , though with no originality , by Paul W Anderson . This was he second movie based on a video game directed by Paul W.S. Anderson , the first was Mortal Kombat (1995). Its successful opening weekend sparked a frenzy among US studios, eager to capitalize on the interest in video games. Titles like Doom (1993), Silent Hill (1999) and Max Payne (2001) were all snapped up. The complete saga is formed by the following films : ¨Resident evil¨ by Paul W Anderson with Milla , Eric Mabius , Michelle Rodriguez , James Purefoy , Colin Salmon ; this is the best , dealing with a group of containment specialists are sent in and have to fight employees who have been contaminated , while A.I. computer instigates a series of defensive measures to contain the virus . It's followed by ¨Resident evil II : Apocalypse¨ by Alexander Witt with Jared Harris , Iain Glen , Oded Fehr , Sienna Guillory . Furthermore , ¨Resident evil III¨ by Russell Mulcahy with Ali Larter, Ashanti , Mike Epps , Oded Fehr and of course Milla Jovovich ; ¨Resident Evil : Afterlife¨ by Paul W Anderson with usual actors along with Kim Coates , Sergio Peris Mencheta , Boris Kodjoe and Wentworth Miller , and ¨Resident evil 5 : retribution¨ with Boris Kodjoe, Johann Urb ,Aryana Engineer , Kevin Durand , Robin Kasyanov and as always Milla Jovovich .",Resident Evil
