,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,A rare beast - a superior remake,7,17 March 2015,"Another year, another remake. At least THE AMITYVILLE HORROR remake has some sense behind it: the '70s version is very much a flawed film, one I found interesting and engaging, but not particularly well made or paced. This one sticks very much to Jay Anson's book as its source material, attempting to show a realistic sequence of events centred around a real-life haunted house. For the most part, I liked it a lot. It's an exercise in atmosphere building, relying on suspense over gore, eerie chills over shocks, and it's these elements of the movie that lift it far above the norm.Of course, being a Hollywood movie, there has to be more, so we get thrown-in chase scenes across rooftops, a villain who keeps coming back from the dead, a hint at a SAW-style gore sequence in which a woman's hair is caught in a boat's propeller, some unnecessary and flashy MTV-style editing and the presence of a creepy young ghost girl who doesn't really add much to the proceedings. There's also an extended flashback that attempts to explain the house's haunted reputation, it's something to do with Native Americans being tortured in the basement back in the 17th century, apparently.To be honest I found all of this stuff quite superfluous. The central plot of the film concerns George Lutz's character, showing how the house slowly changes his personality as he becomes 'possessed' by the evil therein. THIS is the stuff that's scary, not that flashy stuff. When I heard that Ryan Reynolds was cast in this movie, I despaired, because I hated him in BLADE: TRINITY and he's always seemed to be one of those big-headed, can't-take-anything-seriously type of actors. Well, this film is an exception, because he's GREAT in it. I found him sympathetic and scary at the same time, and I thought he did a great job of portraying how George's mind was gradually transformed. Good job on the contact lenses, too. Basically, every scene with Reynolds is a highlight in this movie. The rest of the cast don't have a great deal to work with, particularly Melissa George (30 DAYS OF NIGHT), who always seems to suffer in thankless roles in horror films. The kids shriek a lot, but Jesse James has the second strongest part as the slightly older boy who suspects that his stepfather might be hiding something.For the most part, I found this a definite improvement over the original. Some of the scenes are mishandled and disappointing as a result – the scene with the priest and the flies is nowhere near as disturbing as I found it in the original – but for the most part this is taut, psychological horror fare and a cut above Hollywood's usual remake standards.",The Amityville Horror
1,SnoopyStyle,Creepiest thing is the sexy babysitter,5,26 October 2013,"The Lutz family (Ryan Reynolds, Melissa George, Jesse James, Jimmy Bennett, Chloë Grace Moretz) finds a big house for a surprising price. The reason for the low price is a grisly murder suicide in its history. When the family moves in, strange things start happening.The biggest mistake is using the wrong POV. Ryan Reynolds shouldn't be the one to lead the movie. Melissa George should be the lead. She can be afraid of Reynolds. She can be conflicted about the new man as a father for her children. There are all kinds of avenues this could have taken.The creepiest thing that happened is the super sexy babysitter (Rachel Nichols) for the kids. Would any parents really just walk off without a second look when the babysitter is dressed like that? And it gets super awkward with the sex talk.",The Amityville Horror
2,claudio_carvalho,"Spooky, But Absolutely Unnecessary",6,27 April 2006,"I do not like remakes, but I love horror movies, so that was the reason for me to see this remake of the 1979 ""The Amityville Horror"" on DVD. The movie is spooky, because the original story is scary. ""The Amityville Horror"" was released in 1979, and has the great merit of being made before ""The Shining""(1980) and ""Poltergeist"" (1982), which seem to use parts of the storyline of this film. But this remake is absolutely unnecessary, since it is the same story, once it is claimed to be based on a true event, and in the same year, 1974. Therefore, there is nothing new or original in this remake, with the exception of the actors and actresses and some special effects. Ryan Reynolds visibly looked for inspiration watching Stanley Kubrick's ""The Shinning"", with the insane expression of Jack Nicholson and an ax in his hands chasing his family. My vote is six.Title (Brazil): ""Horror em Amityville"" (""Horror in Amityville"")",The Amityville Horror
3,gavin6942,"Nothing New, But Hardly a Bad Picture",6,3 January 2007,"A year after the DeFeo family is slaughtered wholesale by a rifle-loving father, a new family -- the Lutzes -- move in. Soon, the family feels an eerie presence in the house and George Lutz (Ryan Reynolds) -- the new dad -- begins to change.The movie overall is a respectable one. The mood is very nice, the New York Times rightfully called it ""a modest improvement over the original"", and I freely admit there were moments I was on edge thinking something nasty was going to come popping out, a feeling I very rarely have anymore after seeing so many ""scary movies"". So all in all they did something right. One scene in particular, where something is in the ceiling (I couldn't quite make it out) was creepy, and the dead girl in the window was unsettling. I also take a little pride knowing the film was shot in Wisconsin (in the towns of Salem and Silver Lake, near Kenosha).Someone commented that this was very much a Ryan Reynolds fetish film, having him taking up almost all the scenes. More specifically, it's a Ryan Reynolds chopping wood fetish film. He is in 85% of the shots and in many of those he is chopping wood. And why is his shirt constantly off? Yes, I see those pecs and abs, Ryan... I know you were in that ""Blade"" movie... but come on, you were also in ""Van Wilder""... you're not a threat.Melissa George (Kathy Lutz) on the other hand did not take her shirt off enough, and when she did the camera was positioned in such convenient ways. Was this film PG-13? I don't believe it was, so why tease the audience like that? By the way, George's performance was the weakest of the entire cast, even the children. Some people have commented on how she is a TV actress, and I agree this might have something to do with it. (For a better Melissa George film, see ""Triangle"".)Another reviewer complained that Kathy didn't remove her children fast enough when George began turning violent. I disagree. The family has been together a while, George has been nothing but loving and supportive (I mean, geez, he bought her a house). The whole film takes place in about a week, as far as I can tell. The man deserves a few days of blowing off steam.What's the deal with the babysitter (Rachel Nichols)? She shows up looking like a prostitute and then talks seductively to a little boy. This was very confusing for me. I don't mind... and actually, I really liked her character, but it was still odd.My friend warned me about the babysitter in the closet scene, which he said was the creepiest thing he saw since ""In the Mouth of Madness"". Well, I think ITMOM was John Carpenter's best film (even more than ""The Thing"", ""They Live"" and ""Prince of Darkness"") but it never scared me. The closet scene had me on edge -- but only because he had me convinced it was going to be awful. Really, the scene was nothing out of the ordinary. (You'll have to see for yourself what happens, maybe you'll be grossed out more than I was.) There were many ""Wicked Little Things"" connections, which is a slam on WLT. If you read my review for that film, you'll see I complained about how unoriginal it was. After seeing ""Amityville Horror"", I can add so many more instances. Both films star Chloe Moretz (the Dakota Fanning of horror). Both have her with an ""imaginary friend"" that is a dead girl. Both inform their mothers they won't be hurt. Both carry disfigured dolls previously owned by the dead friend. So, um, for the guys who made ""Wicked Little Things"" -- if you were gonna rip off ""Amityville Horror"", why didn't you at least bother to get a new actress? The producers do say on the commentary that ""she was amazing"" and I appreciate that Chloe was singled out.I didn't expect much from this one, hearing it was nothing special and many saying it was monotonous. Well, I liked it. I think it all went together very well, and they do a fine job of explaining the backstory, which is something many horror films fail miserably at. (I don't recall if the original explains it as well, but I'm willing to bet it doesn't). By remake standards, better than average. By movie standards, not bad. I stamp it with my seal of approval.",The Amityville Horror
4,jboothmillard,The Amityville Horror,3,1 November 2010,"The original film with James Brolin and Margot Kidder is rated two stars, but I noticed this remake was exactly the same rating, so I thought it would be interesting to see which one I'd prefer. If you don't know the plot already, basically the Lutz family, husband/father George (Just Friends' Ryan Reynolds) and wife/mother Kathy (30 Days of Night's Melissa George) and their kids Billy (Jesse James), Michael (Jimmy Bennett) and Chelsea (Chloë Grace Moretz) are moving house. They find what they believe to be the perfect family home in The Amityville Horror for a bit of a low price, and this is revealed to be because there was a mass murder in the house a few years ago. Not long after moving a few strange things start happening, starting with George developing temper tantrums and blowing his fuse quite easily. But also daughter Chelsea seems to have an invisible friend named Jodie Defeo (Isabel Conner), who is revealed to be a once real and living person from the past. Then the really bad stuff comes about when demons are showing up and the house is speaking to George telling him to kill his family, and making one or two of the kids being almost possessed. Kathy tries to get some help from Father Callaway (Bruce Almighty's Philip Baker Hall) to perform an exorcism or something, realising where they are living, but he runs away in fear with a demonic attack. Eventually George really comes out with his extremely aggressive side brought out by the haunted house when he tries to kill Kathy and the kids, and they realise they have to get him away from the house in the speedboat (unlike the car). Also starring Rachel Nichols as Lisa, Brendan Donaldson as Ronald Defeo and Annabel Armour as Realtor. This version focuses more on the father going insane kind of like Jack Torrance and less on the house coming alive, so the original version is much creepier than this not very impressive supernatural horror remake. Adequate!",The Amityville Horror
5,ma-cortes,New version Amityville with lots of screams and weird deeds,6,12 June 2006,"A family(Ryan Reynolds,Melissa George and sons)moves to Long Island where is purchased a Victorian home ,their house of dreams but they find only devilish horror.Longtime ago,there occurred a grisly mass killing based on an allegedly real life occurrence in Amityville. And now a possessed father is plunged by demonic forces into supernatural attitude driving him to mistreat and beat the kiddies.He is attempting to find out the bottom of events by ways of the cellar.Meanwhile a exorcist(Philip Baker Hall)tries praying to vanquish the malignant spirit.The film contains restless terror and great loads of gore and blood and usual poltergeists phenomenon caused by the curse as pipes and wall ooze stuff,flies swarm,doors suddenly slam ;it is recreated with high grade special effects which are frightening and horrifying the spectator.It's actually halfway decent terror movie that will like to ghostly and eerie occur fonds. The original¨Exorcist¨film(Friedkin) spawned a wave of demonic possessions movies that continues unabated today ¨Changeling¨,¨Amytiville ¨(Stuart Rosemberg) are two further examples of this sub-genre ,following a great number of sequels directed by Damiano Damiani,Richard Fleischer,Sandor Stern(authentic film's screenwriter),Anthony Hitchcock... .Although this is a new version from previous film, it's one of the highest earning horror movie of the last years.The motion picture is well directed by Andrew Douglas",The Amityville Horror
6,BA_Harrison,Reasonable remake of the creepy classic!,7,12 May 2006,"This unnecessary, but effective remake manages to take a well known tale and retell it in an imaginative and surprisingly spooky manner.When the Lutz family move into the most infamous house in horror movie history, they soon realise that the property wasn't such a bargain after all; the scene of a mass shooting the previous year, the building is not exactly a des-res. It's not long before stepfather George (Ryan Reynolds) becomes possessed and mother Kathy (Melissa George) and her kids are running for their lives.Thankfully, director Andrew Douglas does not give us a carbon copy of the 1979 movie; he embellishes the original plot, adding creepy new elements, including a nifty background story about the origins of the house. The chills are well developed and the shocks, though rather mechanical in execution, are timed to perfection (although the final 'shock' is an out and out cheat and should have been cut from the film).Whilst not exactly essential viewing, The Amityville Horror is a lot better than I thought it would be and is well worth a watch.",The Amityville Horror
7,moonspinner55,"Big budget blunder...wayward, confusing, and awesomely extended",2,21 February 2010,"A construction worker, his new wife and three stepchildren move into a spooky New York estate, one with a disturbing past: the previous tenants were murdered while they slept by the ""possessed"" eldest son. A rather loose adaptation of Jay Anson's bestseller about the Lutz family's ""true-life"" experiences, first filmed in 1979, hopes to explain that what overtook the original murderer is now possessing patriarch George Lutz. Unfortunately, screenwriter Scott Kosar's explanation--in which he points the finger at a vicious killer of Indians named Jeremiah Ketchum--is sketchily-presented at best, confusing at worst (Mrs. Lutz reads about it at the library in the same moment her husband is discovering the atrocities in a wall behind the boathouse). Kosar wants multiple-layer horrors, while director Andrew Douglas is more than happy to pile on the shuddery images (often used as cheap-shock nightmares: ""Oh, it was only a dream!""). The film is so woefully overproduced with all the latest whiz-bang tricks the narrative flattens out, so that even the scariest portion of the story--the intrinsic fear of one's own parent--nearly becomes arbitrary, an afterthought. In the lead, Ryan Reynolds was probably cast for his handsome physique and six-pack, but this isn't appropriate for the character (George Lutz as an axe-wielding sex symbol). Reynolds does manage a tight performance, nevertheless, while the other actors are reduced to crying, worrying, trembling victims who continually run for cover. Most logical people run from a bomb. * from ****",The Amityville Horror
8,wes-connors,The House That Dripped Money,3,16 September 2010,"""From Michael Bay, the producer of 'The Texas Chainsaw Massacre', comes the true story of Amityville. In November 1974, a family of six was brutally murdered. Now, a year later, an unsuspecting young couple, George (Ryan Reynolds) and Kathy Lutz (Melissa George), and their children move into the house that was the site of the horrific event and is now haunted by a murderous presence. What follows is 28 days of unimaginable terror. With demonic visions of the dead and relentless screams of terror, this is the haunted house story that isn't just a movie - it's real,"" according to the film's official description.Writer Jay Anson along with ""The Amityville Horror"" house residents George and Kathleen Lutz essentially made up this story, which was a media sensation even before the first movie appeared in 1979.""Based on the true story,"" all of this was supposed to be about a ""real"" haunted house, with ghosts possibly vengeful due to desecration of sacred Indian burial grounds. Apparently, some religions share the same devil. Gullible people gobbled up the ghoulishness revealed in the original book and movie. It may also be a tribute to the storytellers' imagination that ""The Amityville Horror"" continues to be taken seriously. This re-make bears mysteriously little resemblance to the original story, however; the flies are sorely underused. Admirers of the male physique will appreciate a generous sampling of Mr. Reynolds' killer body.*** The Amityville Horror (4/7/05) Andrew Douglas ~ Ryan Reynolds, Melissa George, Jesse James, Jimmy Bennett",The Amityville Horror
9,BandSAboutMovies,Poor,4,14 February 2020,"The only thing I could recall about seeing this in the theater is that one of my friends is the toughest wrestler I've ever met and he continually lept to his feet at every single jump scare.Years of the Amityville films being direct to video didn't stop Michael Bay, MGM and Dimension Films with charging Andrew Douglas with directing this remake. He's since gone on to helm episodes of Netflix's Mindhunter.For what it's worth, the studios claimed that the remake was based on new information uncovered during the research of the original story, but George Lutz claimed that nobody ever spoke to him or his family about the project. His attorney contacted the studios to express the thought that they didn't have the right to proceed without his input. The case remained unresolved when Lutz died in May 2006. Man, the only thing scarier than the devil is our legal system.Instead of James Brolin and Margot Kidder, here we have a pre-Deadpool Ryan Reynolds and Melissa George. As for the kids, Jesse James plays Billy (no, not the outlaw nor the tattooed mechanic), Jimmy Bennett (the young Kirk from the modern Star Trek) is Michael and Chloë Grace Moretz is Chelsea. Phillip Baker Hall, who of course deserves better, plays a priest. And Rachel Nichols, who was Scarlett in G.I. Joe: The Rise of Cobra plays the babysitter.The new research is all about the fact that the house once belonged to a preacher named Reverend Jeremiah Ketcham, who killed plenty of Native Americans which caused the hauntings here at 112 Ocean Avenue. So yes, they set out to remake The Amityville Horror and made a turn into Poltergeist.I love the Hollywood BS factory that spun stories that a dead fisherman washed up near the set, that Kathy Lutz died while they were filming and the fact that cast and crew members began waking up at 3:15 AM - the same time that Ron Defeo Jr. murdered his family. It gets so ridiculous that in 2008, Melissa George told Celebrity Ghost Stories that the terror she showed in the movie was real and that she was really being haunted.",The Amityville Horror
