,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,You wonder HOW the Academy didn't nominate this lovely picture...,9,16 May 2017,"A few months ago when they announced the Oscar nominations for 2017, I was very surprised to see the French film, ""The Red Turtle"", among the nominees for Best Animated Feature. After all, this strange film featured a plot involving a man who falls in love with a woman who used to be a turtle.and has also earned less than a million dollars at the box office worldwide. At the same time, the Japanese animated film, ""Your Name."", earned over $350,000,000setting box office records throughout Asia for a Japanese animated movie. It has even earned more than any of the films from the terrific Studio Ghibli.home of the legendary Hayao Miyazaki! Fortunately, ""Your Name."" is now playing in select markets throughout the United States and I was in Philadelphia this week.where I jumped at a chance to finally see this record-breaking yet inexplicably snubbed movie. If it's playing near you, I suggest you consider also seeing this lovely and rather adult picture. Now when I say 'rather adult', I do not mean it has any objectionable content. However, parents should understand that just because it is a cartoon does not mean that younger children should see it. They simply could not be expected to follow the plot, as the film is complex and clearly designed for teens and adults. As to the story, for some time it's a tad confusing.and that's okay as it will eventually all come together. It seems that Mitsuha and Taki are somehow psychically linked. When Taki goes to sleep, he finds himself as Mitsuha.which is a bit embarrassing for him since he is a teenage guy and Mitsuha is a teenage girl! But why.why is he experiencing Mitsuha's life? And, the strange part is that he soon learns that what he's experiencing happened several years ago!! And what does a comet have to do with this as well? How can Taki's strange dreams possibly save Mitusha and her small village? I'd say more, but don't want to reveal too much about the story. The quality of this film is very, very nice. I would not say that the animation is quite as good as a typical Ghibli picture, but it is close. But what makes this a delightful film are that it never tries to be cute or formulaic.it's a wholly unique viewing experience. It also is very well written and kept my interesteven though I was suffering jetlag! I saw the film in Japanese with subtitles, though the theater and many others are showing an English dubbed version as well. So, in this case, I actually had the choice which I wanted to seewhich was very unusual.",Your Name.
1,TheLittleSongbird,"Once seen, never forgotten- truly magnificent",10,9 December 2016,"'Your Name' is not just one of the best animes in recent years (and there have been some very good ones), but one of the best animes ever from personal opinion.Will go even further, saying it's one of the best animated films in recent years, one of the best animated or otherwise films of the year and that it rivals the masterworks of Miyazaki. This is a huge compliment, for any anime, animated film or even any film, and a bold claim that still stands. Much of it is to do with how 'Your Name's' stayed with me and the impact it's had, a film once seen but never forgotten.The animation in 'Your Name' is stunning, so beautifully and intricately drawn with immaculate attention to detail in the backgrounds and a simply breath-taking array of ethereal but also atmospheric colours. The music fits the film's atmosphere with no problem at all and also works wonders as a soundtrack on its own, serving superbly as music on its own.Meanwhile, the script is thought-provoking and touching, with much to say and explored expertly and neatly with no heavy-handedness. The storytelling engages throughout, sucks one into its world and never lets go of the immersing and is enormously heartfelt, really investing in the characters' chemistry and their love for each other. Pacing is deliberate, but never drags due to the emotional impact and how well realised the characters are, even when noticeably slower in the second half.Characters, and the film's themes, are brilliantly written and developed, and the voice acting is emotive and fit the characters with no qualms.In summary, a truly magnificent film all round that will be remembered for years to come. Deserves all the raves it's gotten, and deserving of even more. 10/10 Bethany Cox",Your Name.
2,Leofwine_draca,Another expertly-made anime,6,16 December 2017,"YOUR NAME is another expertly-made anime that hails from Japan and is similar to the high quality of other recent animated drama from that country. The story is about two teenagers, one male and one female, who randomly find themselves swapping bodies on one fateful date and must subsequently investigate their bizarre circumstances. It sounds like a cheesy body-swap romance and indeed I've seen it described as such, but that description doesn't do the film justice. Body-swapping plays a part and there's even some high school tenderness, but this wide-reaching picture also explores themes of disaster, loss, tragedy, family, mythology, and long-distance relationships. It's been made in an exemplary fashion with perfect animation and voice acting, so it's very difficult to criticise it overall.",Your Name.
3,SnoopyStyle,magical realism,7,20 November 2018,"A comet is approaching. Mitsuha Miyamizu is a 17 year old high school girl in the small town of Itomori. Her dad is the mayor and she's tired of her small town life. Her friends complain about her behavior the day before but she doesn't remember. She wishes to be reborn as a boy in the big city. Her wish comes true as she wakes up in the body of high school student and part time waiter Taki. It's like a dream as they inhabit each other's body.The animation is beautiful. The story is imaginative. The characters are lovely and compelling. There is magical realism to the movie. The plot does get a little jumpy which does fit the style. I would be more interested if it's cleared up a bit more. The movie climaxes at the impact and it drags out the ending a bit. Taki should have encountered Mitsuha at that point. Her father could be dead and she would be on top of the hill tending his grave. The searching in Tokyo is poetic for a little while but at some point, I just wanted it to end the movie and the ending is never in doubt.",Your Name.
4,Horst_In_Translation,"A big success in terms of visuals, audio and story",8,18 February 2018,"""Kimi no na wa."" or ""Your Name"" is a Japanese anime movie that premiered in 2016 already and it took until now, early 2018, to make it to Germany, but the waiting was worth it. Writer and director here is Makoto Shinkai and this was his 5th full feature movie I believe and judging from the quality, I am not surprised that he is considered the next Miyazaki by many, even without the contribution of Studio Ghibli here. This was really a beautiful watch. It runs for 105 minutes approximately and takes us into the lives of a Japanese male teenager living in Tokyo and a female teenager living in the countryside. With a comet approaching Planet Earth, these two seem to be switching mind and bodies as a consequence of their dreams. This results in some pretty funny moments early on, but adds considerable gravity to the whole story the longer the film goes on, at least starting that very moment when we find out how they are not living during the exact same time. So it is a definitely a drama movie, even if Shinkai did really fine in using several established approaches to get in comedy too like the recurring boob humor that is executed so thoughtfully that it works very well and never feels cheesy or even offensive, then the scenes in which we see how female characters can get interested in something so enthusiastically or also thought process of recent mentions in a way you see on Family Guy, but in anime style of course.But now about the more crucial factors here. I watched the German dub and I thought the voice actors did a really good job. The music was really beautiful to listen to most of the time and the soundtrack added a great deal of class to the film and many individual scenes. And in terms of the plot, the twist towards the darker, more dramatic side the film takes around the one-hour mark is one that worked incredibly well too while before that it was more entertaining for the sweetness, funny mannerisms of the characters and just the exploration of the whole situation. The element of death that is included afterward is one that will have you glued to the screen as it also adds a great deal in terms of character development. The eternal parallel between beauty and destruction was one that was mesmerizing. The moment the comet eventually hit the place and we were nearby to see it not knowing how many died and how many survived was one of the best of the entire film year to me. But this parallel I just mentioned also applies in terms of the subject of dreams, a very crucial one in here. As quickly as your memories are irrevocably destroyed, as sweet and breathtaking and special may your dreams be. There is no way to keep them though as the memory fades quickly and this is something I experienced so many times in real life too, which is why the film made an even bigger impact on me from that perspective. It was not a perfect film, but all criticisms I have with it are just minor really and probably entirely subjective, so I won't mention them in detail, so that you won't recognize them even perhaps from your standpoint. What else? Oh yes, all the characters are really likable and fun to watch and there is great charm to this movie in my opinion, lots of magic. It is also a film I am sure where you will see something new every time regardless of it being the second time you see it or the 20th time. I don't think that how much I liked it has to do here with my preference for anime or Japanese films and Japan in general, so you can also enjoy it without these preferences, but it obviously helps. The ending was slightly predictable that the film stops the moment they meet in real life for the very first time, but that does not make it bad. There were 2 or 3 moments before that too when the film could have ended and it would have been as good, maybe even better, but the actual ending is very good nonetheless. Overall, this was a touching, sweet, shocking, funny movie and it was really all I could hope for. I am really glad I got the chance to see it on the big screen as this is where it is far more effective than on a small laptop or television screen I'm sure. Still it is better seeing it there too than not seeing it at all. A definite contender for best animated feature from 2016 and boo to the Oscars and all the other awards bodies not showing it any love. This movie is a true thing of beauty and I highly highly recommend seeing it. And yes, it is an animated movie that is more for grown-ups than for kids for sure. Don't miss out here.",Your Name.
5,kosmasp,Switching,8,19 July 2019,"You get thrown into this and you have to figure out what is what. Unless you know the source material and/or read synopsis of the movie of course. I hadn't so some of the stuff came as a surprise but there is a lightness at the beginning of it, which switches or changes gear throughout the movie. I wouldn't go as far as to say ""forget Disney"". There's a different audience and a different feel to this movie for sure, why not have both? Instead of viewing something negatively take in the positive.Animation is not everyones cup of tea, but if you have no issues with it, this is quite the ride with two characters and a lot of fantasy and drama thrown into the mix. It really is something and the repurcussions are felt ... and heavy",Your Name.
6,classicsoncall,"""It's just a what-if fantasy, isn't it?""",7,7 April 2018,"This anime film had an interesting premise with it's fantasy, time-travel concept, and in a way I was reminded of the 1980 Christopher Reeve/Jane Seymour movie, ""Somewhere in Time"". It starts out a little more complicated because it leaves the viewer somewhat confused until the characters themselves reveal what's going on, perhaps even more so through the dialog of their friends questioning the behavior of the principals. I will concede that the picture is rendered beautifully and the animation is exquisite. However the tenor of the film is geared in my estimation to a younger viewing audience, as so many anime films appear to be. That's not a negative, it's just that senior citizens like myself relate very little if at all to the characters in the story. However I found myself thinking that the same basic premise of the story would provide an exceptional opportunity for a live action film. I think the story would be easier to follow if the viewer could relate to live actors in real locations, as the animated nature of the picture tends to take one outside the boundaries of real life situations. Even so, I was entertained by the picture once I figured out what was going on with the body swapping and time dissonance. It's not hard to understand why this would have a wide appeal to a much younger audience.",Your Name.
7,Tweekums,Your Name,10,10 November 2017,"This delightful Japanese animation follows two strangely interlinked lives; Mitsuha, a high school girl living in a rural area of Japan, and Taki, a similarly aged boy in Tokyo. They have never met but they somehow start switching places in their dreams. At first each thinks they are having strange but very realistic dreams but the following day as the 'dream' fades they are surprised when friends and family tell them that they had been behaving oddly the day before; not recognising anybody and not knowing where they are meant to be then each finds a note from the other. They continue to swap days until suddenly it stops Taki can't recall many details but he has a memory of the place Mitsuha lived and is drawn to find her. Armed with a sketch of the location he finds the village and learns a shocking truth it had been destroyed in a natural disaster three years previously and Mitsuha was amongst the five hundred people who died! He is determined to find a way to swap places again so he can save her.Anybody who has seen previous films from director Makoto Shinkai will immediately recognise the beautiful style of the artwork, with incredibly detailed backgrounds. Of course a good film must do more than 'look good' and this succeeds there too; the first half is a fun introduction to the characters and their situation. This is done with plenty of humour; the fact that they find themselves in bodies of the opposite gender is quickly handled in an amusing but not a crude manner. There are lots of delightful details such as while swapped they talk in different dialects and Taki talks like a girl of course this is better appreciated if you speak Japanese but is explained so non-Japanese speakers (like me) can realise that it is happening. The events that take place half way through the film come as quite a surprise and suddenly change to tone of the film. As Taki tries to find a way to save Mitsuha and her village it is far from obvious that he will be successful. Overall I'd certainly recommend this to older fans of good animation; the content isn't really unsuitably for younger viewers but it would probably be a bit confusing.These comments are based on watching the film in Japanese with English subtitles; an English dub is also available on the DVD I bought.",Your Name.
8,grantss,"Reasonably interesting, but not great",6,12 December 2017,"A teenage boy living in Tokyo and a teenage girl living in the country experience a strange, random phenomenon. They occasionally switch bodies for a day at a time, and then can't remember what happened while they were switched. The boy eventually sets out to find the girl, but the situation may be even more peculiar than he imagined.Reasonably interesting, though not overly engaging and quite schmaltzy. The switching places plot device didn't seem too original, reminding me of movies like Freaky Friday, and was often just a basis for silliness. However, once the plot progressed past the cheap fun part, the plot gained some intrigue. It didn't quite live up to its potential in that regard, resorting to clumsily layered cleverness and random departures to create a feeling of ingenuity, when this was really more style than substance. Still, did make it fairly interesting.Unfortunately there is a whole lot of trite schmalziness and empty sentimentality too, probably because the movie is aimed at the teenage market. In the end it feels a like Freaky Friday meets Christopher Nolan, dumbed down for teenagers. By aiming for a broader audience and avoiding the schmaltz, this could have been great. Instead it is just okay.",Your Name.
9,siderite,"It was very beautiful, but also quite derivative",8,10 November 2018,"Watching the trailer I thought this is going to be like Voices of a Distant Star or the myriad of similar anime since. Same nice scenery, piano music, long space and time communication , the touching of two people's souls (of course, high school boy and girl). And it was! Up until half of the movie. Then the original idea of the script kicked in and saved the story. I have to say that for people who have never watched Japanese anime this should be quite beautiful, but for long time fans it touches all the right buttons in a sort of mechanical and predictable way.It is a very beautiful romantic fantasy, but it sure felt very derivative. I know nothing is truly original, but as the movie ended (in a quite predictable manner), I wanted a little more - I don't know what. Perhaps more than the cardboard characters or the dusk lit countryside scenery with the piano music. The only interesting character for me was the senior waitress from where Taki worked. The rest were all the childish Japanese cliches that you see in all the anime.",Your Name.
