,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Fast and funny, if rather hit and miss",7,15 April 2010,"I thoroughly enjoyed the first two Batman movies, and although Tim Burton didn't return and replaced by Joel Schummacher I decided to give Batman Forever a chance. The film isn't as good or as dark as the first two films, but it is a huge improvement over Batman and Robin, the less said about that film the better. Anyway, this film is quite possibly the fastest and the funniest of the series, but despite all this there are some hit and miss elements. Chris O'Donnell is annoying and lifeless as Robin, the script has its weak spots despite some terrific lines from Jim Carrey and while Nicole Kidman was bearable, her character could have been written better. However, it is stylishly filmed with Oscar-nominated photography and excellent special effects, the direction is surprisingly more efficient and the action hurls along at an exciting and breakneck pace. The acting is good on the most part with Val Kilmer brooding as Batman and Michael Gough perfect as Alfred. The villains steal the show though, while Tommy Lee Jones is excellent as usual as Two Face Jim Carrey is the one with the best lines and delivery as the Riddler. Overall, hit and miss but a decent entry in the Batman franchise. 7/10 Bethany Cox",Batman Forever
1,Leofwine_draca,Too over the top,4,2 January 2020,"BATMAN FOREVER was for many years the only Batman movie that I'd never got around to watching, so it was time to rectify that. Seeing it now, I can understand my reluctance to see it; this is a pure live action cartoon, extremely over the top from the very beginning to very end, and far sillier than even the campness of the 1960s TV series. Now, I'm one of the few people who like the camp of the follow-up BATMAN & ROBIN, but this film takes it a step too far. Jim Carrey's crazed villain spoils the whole thing for me; he's hammily mad from the moment we see him until his last scene, and he gets way too much screen time. Val Kilmer has very little to do other than look good in a bat suit, and Tommy Lee Jones is the worst I've seen him; some of Carrey seems to have rubbed off on him. Elsewhere, Schumacher's hyperactive direction is sub-standard and the film looks just as dated as the rubbery Burton flicks. Thumbs down on this one.",Batman Forever
2,SnoopyStyle,Joel Schumacher takes over,5,17 January 2016,Batman (Val Kilmer) battles Two-Face (Tommy Lee Jones) who blames him for failing to protect him as DA Harvey Dent. Flirtatious Dr. Chase Meridian (Nicole Kidman) is an expert in abnormal psychology. Edward Nygma (Jim Carrey) works for Bruce Wayne creating a machine to transmit directly into the brain. Bruce disapproves of brainwave manipulation. Nygma decides to test it on himself and discovers it sucks up the intelligence of his victims. Nygma turns into the Riddler. Two-Face attacks the circus leaving acrobat Dick Grayson (Chris O'Donnell) an orphan. He wants revenge but gets talked into staying in Wayne Mansion. He discovers the bat-cave and becomes Batman's partner Robin.Joel Schumacher takes over and turns the Batman franchise into a neon colored cartoon. Jim Carrey is a perfect fit for the Riddler. He is great fun and I love the idiot box machine. Tommy Lee Jones plays Two-Face like the Joker and feels too close to Carrey. It would have been better for him to play to his strength being tough and hard. Val Kilmer is solid as Batman/Bruce Wayne although Chris O'Donnell is a little annoying. The neon color overload really bothers me. I might like this if Schumacher could calm down the color palette.,Batman Forever
3,classicsoncall,"""Let's see what justice has in store for you.""",7,23 March 2014,"Among the four pre-Dark Knight films of Christopher Nolan, I'd say that this one was the most suitable for my tastes. Note I didn't say 'favorite', because in general, these films are on a seriously lower grade level than the Dark Knight pictures. I guess for me, this story at least had some character development missing in the prior two pictures, as in the exploration of Bruce Wayne/Batman's (Val Kilmer) duality and the story of Robin's (Chris O'Donnell) origin. Batman's conflict was given added weight with the presence of Chase Meridian (Nicole Kidman), a psychologist who found herself in a similar conflict over which one to choose as a romantic interest. There was an interesting scene where Wayne walked right into an unset trap by seeing a bat in a Rorschach drawing. That was a revelation for both Bruce and the shrink.As far as villains go, I think the franchise would have been better off by introducing one bad guy at a time instead of two or three as in ""Batman and Robin"", because the story seems to get watered down when the hero has to concentrate on multiple enemies. You generally didn't find that to be the case in the comics, but I understand that the film makers were probably trying to get the biggest bang for the buck with their casting choices.So with that in mind, Tommy Lee Jones and Jim Carrey were two hot names at the time, and were generally suitable picks for their respective alter-egos, Two-Face and The Riddler. Quite honestly, I didn't discern much difference between Jones's Two-Face and Nicholson's Joker, almost opposite sides of the same coin if you catch the irony. With the Riddler, you have Carrey doing himself most of the time, whether in character or not; that's one of the things I find annoying about him when appearing on a talk show. He feels he needs to be over the top most of the time, just like the Riddler when he posed the same question.Well fortunately I guess, this series of films is a couple of decades in the past now and I think of them now more as curiosity pieces than part of the Batman comics continuity. Somewhat, but on a different level than the Adam West TV series, which also produced it's share of groan inducing moments. At least these flicks didn't accentuate the action with Pow! Smash! Boom! word balloons.",Batman Forever
4,lee_eisenberg,Jim Carrey stole the show,5,23 July 2005,"Some people talk about ""the stick of straw that broke the camel's back"", meaning when something reached the tipping point. So when did the Batman franchise go bad? Well, ""Batman Forever"" was getting silly, but it still had Jim Carrey to steal the show as The Riddler (""Batman and Robin"" had about as many good qualities as a barrel of toxic waste). Personally, I don't know why they had to have Batman (Val Kilmer) going through therapy; remove that and he still would have been a cool superhero with neat gadgets. Tommy Lee Jones wasn't bad as Two-Face. Nicole Kidman and Chris O'Donnell, as Dr. Chase Meridian and Robin, respectively, didn't really add anything.Overall, the point is that when Joel Schumacher took over directing, the franchise went downhill. Part of the problem was that while Tim Burton created an eerie Gotham City that looked like New York in the 1940s, Joel Schumacher created a Gotham City that looked like it was trying too hard to be ""Blade Runner"".So, the franchise starting getting stale with this one, but Jim Carrey kept the movie from being unwatchable. As Edward Nygma, one of Bruce Wayne's employees, he had some great lines. In the movie, Nygma proposes a device that rests atop TV sets and reads peoples' minds, but Wayne rejects it, considering it too dangerous. Thus, Nygma becomes The Riddler, and he's the best character in the movie.",Batman Forever
5,jboothmillard,Batman Forever,9,24 February 2005,"A totally new Batman and a totally new director, Joel Schumacher. Dropping Michael Keaton, Val Kilmer has now entered Batman's boots. The main difference of this Batman to Tim Burton's is he is not as dark as before. This time the caped crusader is up against the perfect villain duo of Tommy Lee Jones as the dangerous Harvey Two-Face, and with him is the hilarious but also nasty likes of Jim Carrey as the Riddler. There is also the appearance of Nicole Kidman, and later Chris O'Donnell becomes Batman's remembered sidekick the boy wonder Robin. Jim Carrey is more funny than the Jack Nicholson was, but this film is still not as great as the first one. Also starring Drew Barrymore as Sugar, Pat Hingle as Comissioner Gordon and Michael Gough as Alfred. A good array of action and adventure is in store. It was nominated the Oscars Best Cinematography, Best Sound Effects Editing and Best Sound, and it was nominated the Golden Globe for Best Song for ""Hold Me, Thrill Me, Kiss Me, Kill Me"", also featuring Seal's ""Kiss From a Rose"". Batman was number 84 on The 100 Greatest Pop Culture Icons, Jim Carrey was number 47, and Nicole Kidman number 21 on The 100 Greatest Movie Stars. Very good!",Batman Forever
6,ccthemovieman-1,Jones & Carrey Made It The Worst Batman Movie Ever,3,23 February 2007,"This is the only Batman film of the five I've seen (the ones since 1989) that I felt was totally stupid and the villains were so loud, obnoxious and over-the-top that I never owned it. I've owned all the others and still have three of them.I had no trouble with Val Kilmer as Batman. He played the role about as well as all the other guys. I certainly had no trouble ogling Nicole Kidman, who looks sensational. However, Chris O'Donnell, who pushes himself into the role of ""Robin"" was annoying. Meanwhile, Tommy Lee Jones (""Harvey Two-Face"") and Jim Carrey (""The Riddler"") both overacted so badly in the role of the villains that it make the movie just look ludicrous. They gave me a headache listening to all their rants and raves, and ruined the film for me.I still enjoyed the special effects and some of the wild action scenes but overall the minuses in here were more than the pluses.",Batman Forever
7,Tweekums,Batman gets a sidekick,6,29 April 2017,"After a delightfully dark 'Batman Returns' things turn much more camp in this instalment. The villain Two-Face is menacing the city of Gotham and he is soon to be joined by the Riddler; AKA Edward Nygma, formerly an employee of Wayne Enterprises. Two-Face wants Batman dead because he blames him for his horrific injuries and The Riddler wants Bruce Wayne dead because he refused to fund his scheme to make a device that could project images into a person's brain or extract memories. While these two are scheming to kill Batman/Bruce Wayne psychiatrist Dr Chase Meridian is trying to seduce Batman while being courted by Bruce. While Bruce and Chase are attending a charity fundraiser at the Gotham Circus Two Face strikes and his actions kill all but one member of a family of acrobats; the survivor is Dick Grayson who Bruce invites to stay at Wayne Manor. It isn't too long before he learns that Bruce is Batman and wants to team up with him to kill Two-Face.I really enjoyed 'Batman Returns' due to its dark tone and interesting antagonists this was definitely disappointing in comparison. Tim Burton has been replaced by Joel Schumacher as director and the film feels altogether more camp. We also have a new Batman in the form of Val Kilmer; he does a solid enough job in the role and Chris O'Donnell works well with him in the role of Dick Grayson who nobody will be surprised when he becomes Robin. Nicole Kidman is okay as Chase, definitely improving as the film progresses. The problem is the two villains; Tommy Lee Jones hams it up outrageously as Two-Face and Jim Carrey is at his most annoying as the gurning Riddler a shame as both have shown they can be so much better. There is a decent amount of action but it doesn't feel that threatening even at the moments that it really should. Overall I'd say that this is a real step down from the previous two films the only real plus is that it is now more suitable for younger viewers.",Batman Forever
8,BA_Harrison,"Fetishistic foibles aside, it's actually very good.",8,22 July 2017,"There's a lot of hatred for Joel Schumacher's Batman movies, deservedly so in the case of the dreadful Batman and Robin, but for my money, Batman Forever is vastly under-rated: in my opinion, it's a hugely entertaining, brightly coloured comic-book romp with just the right level of camp. Yes, it might have introduced nipples to the Bat costume and given us a gratuitous shot of the hero's rubber clad butt (Schumacher just can't help himself), but the film's gaudy neon Gotham City and over-the-top characters make this a far more satisfying affair than Tim Burton's previous film, the joyless, dreary Gothic mess that was Batman Returns.As much as I enjoyed Burton's 1989 original, I was never 100% convinced by Michael Keaton as either Bruce Wayne or Batman. Here, Val Kilmer is far more suitable, looking every inch the millionaire playboy and much more believable as a tough superhero. Likewise, I prefer Nicole Kidman over Batman's previous love interests, but that's probably because she is way hotter. As far as the villains are concerned, the double team of Tommy Lee Jones as Two Face and Jim Carrey as The Riddler are hard to beat, both revelling in the ridiculousness of their roles (Carrey, in particular, hams it up a treat). And then there's Drew Barrymore, as Two Face's sexy moll Sugar, looking fabulous in white lacy underwear—can't really go wrong with that!The cookie-cutter plot isn't anything groundbreaking, but the simple story-line doesn't detract from the enjoyment, Schumacher keeping the film moving at a cracking pace, with plenty of spectacular, action packed, special effects filled set-pieces, and quite a few funny gags (best of all: Robin saying ""Holey rusted metal, Batman"", a joke which will probably be lost on many younger viewers). As a fun way to spend a couple of hours, Batman Forever succeeds very well indeed.8/10.",Batman Forever
9,moonspinner55,New-fangled Batman in a disco-ball Gotham City...,5,21 July 2006,"Third film in the late '80's-to-late '90's cycle of the ""Batman"" franchise has director Joel Schumacher following in the deeply-entrenched footprints of Tim Burton (who directed 1989's ""Batman"" and 1993's ""Batman Returns""). Val Kilmer is not a bad choice for the lead (his one and only turn as the superhero) and the supporting cast is full of colorful players, but who wants a day-glo Batman? Schumacher seems to delight in being a piffle-maker extraordinare--how else to explain the jokey exchanges and cartoony costumes which look like leftovers from an S&M sex shop. Plot has Batman challenged by Jim Carrey's nerd-turned-mad genius the Riddler and Tommy Lee Jones as Two-Face (whose modus operandi is never made quite clear). Chris O'Donnell adds some dry humor as would-be protégé Robin, but Nicole Kidman has a wan role as a psychologist/love-interest. The movie creaks and groans with empty camp, while whole sequences seem terribly under-directed and yet over-nourished (Carrey has an outdoor press-conference scene which probably took an entire day to set up and yet runs about 15 seconds and looks horribly tacky). Followed by Schumacher's ""Batman & Robin"" in 1997, which was even worse. ** from ****",Batman Forever
