,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"Too artsy and slow....and the relationship, sadly, seemed unreal.",6,23 October 2019,"""Portrait of a Lady on Fire"" is not a film for everyone. After all, it's about lesbianism in the 18th century and not everyone is excited about seeing such a picture. As for me, I applaud the lesbian subject matter....but I think the film itself left much to be desired.The film clearly is intended as an 'art film'. In other words, instead of telling a story in a normal way, it's very, very slow and deliberate....too slow. Oddly, however, despite the glacial pacing, when it comes to the relationship between the two women is the opposite. They go from not even talking to each other to lovers...and you cannot help but think something is missing. There is simply little chemistry or joy between the pair.Overall, the film could have been very good. Instead, it just looks nice but that's really about all there is to it. Worth seeing? Perhaps...but far from a must-see.",Portrait of a Lady on Fire
1,Kirpianuscus,beautiful,9,9 April 2021,"The first temptation is to define it as a beautiful film. Not doubts, it is a real beautiful film. In so profound sense than you can not explain , in fair way, this kind of beauty. An island, portrait behind wedding, love, dance, fires in different senses, memories and admirable cinematography. A film for feel it. Scene by scene , as a sort of. Oozing honey.",Portrait of a Lady on Fire
2,boblipton,What Women Do When Men Aren't Watching,6,16 February 2020,"When Noémie Merlant arrives to paint Adèle Haenel's portrait so a prospective groom can look her over, Mlle. Merlant is informed she is the second portrait artist hired. Mlle. Haenel refused to pose. As time goes on, the two ladies develop a challenging lesbian relationship, and a regard for the house's maid-of-all-work Luàna Bajrami, who initiates them into the local branch of la vecchia religione.There are some very good parts to this movie, but it seems fairly erratic to me, with no visual consistency - when you're doing a movie in which painting is a key point, that seems important to me, and given a look that wanders from 17th Century Flemish to 19th century Impressionism, with Mlle Merlant's portrait work looking like mid-20th Century portraiture, I am dissatisfied with that. For almost the entire length, there are only women to be seen. There seems to be the implication that this is what women get up to when men are around, in nunneries and garden clubs and such, instead of being thrust into domesticity, worrying about dinner and the kiddies, and isn't it terrible that women aren't given choices.Yes, it is. Judging by the IMDb rating (8.2 out of 10 on more than 15,000 votes) and Rotten Tomatoes rating of 98%, are we supposed to be impressed? Given such unanimity of opinion, can this be such a ground-breaking movie? Am I asking too much for a movie set in the 18th Century, concerning itself with a painter, to have the look of the movie - and of the paintings - reflect that?",Portrait of a Lady on Fire
3,Horst_In_Translation,La vie d'Adèle two centuries back,6,11 December 2019,"""Portrait de la jeune fille en feu"" or ""Portrait of a Lady on Fire"" is a French movie from 2019 that is also almost exclusively in the French language, just 5 seconds of Italian or so on one occasion. Writer and director of these over 2 hours is Céline Sciamma, in France already a really established filmmaker, but this could turn out to be her international breakthrough because this film is really garnering awards recognition left and right on the entire planet and most recently the Golden Globes nominated it in the Best Foreign Language Feature category. And the prestigious Cannes Film Festival loved it too. This is a big success, especially as the film will not have a chance to get in at the Oscars at the Foreign Language Film category because France picked Les Misérables this year to represent the country, a film that by the way is nominated for a Foreign Language Golden Globe as well. But of course, this movie here does have Oscar chances in other categories, at least in terms of nominations. I think for the costume, cinematography and production design. We will see. I think it wouldn't be undeserving, but maybe it is still a bit of a long shot. However, one character's special green dress stays in the mind especially for me here, so maybe Costume is most likely or Cinematography because there some awards bodies nominated it already, more than for any other production aspect so far.Okay, now let's take a look at the film at hand in detail, especially in terms of the story. We have a young painter here who comes to a remote mansion and she has the task to make a painting of the young woman living there with her mother. The young woman does not want it though because she feels she is not at a good place in life right now and does not want it to be documented because she has to marry a man she doesn't love at some point in the near future. And she already chased away the previous painter because she would not give him a look at her face, let alone her smile. So quite a challenge. The woman thinks the new woman is there to provide her with some company during walks, but the truth is different and the central character (I think the painter is slightly more central than the young title character) has to paint the title character from her imagination. Well, this is only half the truth. After she is finished with the painting she tells her model what she did and gets a very negative reaction when she sees the painting, so bad that she destroys her own work immediately, which shows she thinks very highly of the other's opinion. However, to the surprise of the really unhappy mother of the title character (she initiated it all) all of a sudden she agrees to get drawn by the artist and they start from zero again, but this time on equal terms. From this moment on, however, the film moves further and further away from the painting idea. Instead we see the two spend time outside, take walks, play games also with the young servant and try to help the latter with her pregnancy. I must say that lead actress Merlant here sometimes looked a lot like a dark-haired Emma Watson to me and Haenel who I have seen in other films as well reminded me a bit of Léa Seydoux, which explains the reference I made in the title of my review. It is a lesbian drama. There are no explicit sex scenes in here of course, this clearly wasn't the time and century for that, but we see bare breasts here and there and it certainly helps the girls that the mother is out for days.There is also a frame to this movie. This frame takes place a few years later at an art gallery. We have a group of students paint the central character in an almost modern fashion and one of them found the painting referenced in the title and so the main character tells us the story behind it, although I really wonder if she was this explicit about her romantic relationship with the girl on fire. Anyway, just like with Adèle (not the Adèle in here) there is no happy ending here because time wasn't ready of course for the two being a couple. The final scene at the opera was pretty good though, even if maybe at the end the camera was a bit too long on Haenel's character. But it emphasized how hard she was struggling. She seemed to be deeply unhappy (despite being a mother) and her smile seemed forced and she also looked as if she had aged a lot unlike her painter. I would say that it was these specific scenes that made this film worth seeing. Another scene I remember fondly, maybe my favorite from the entire film, was the one when they talk about each other how nervousness, insecurity and anger showed in the other person, in the sense of through which physical signs like biting one's lip. This one was really well-written and well-acted. Sadly, the scene that includes the photo here on imdb as well as the title, namely the one where one character actually catches fire was not as memorable to me as I would have liked it to be. And I am also still undecided on the moments when the title character is a bit of an apparition to the main character. I initially did not like them, but when they see each other the very last time and she actually looks like this and is not an apparition anymore, this was a nice bit of closure.Finally, a few words on the visual side. I already said that there they did almost everything right. The cliffs on the island are haunting and I kept wondering if eventually the title character would also jump down, but like she says early she wants to courir and not mourir, so this was not an option for her it seems. Instead she lives an unhappy life as the wife of somebody she doesn't love as we find out at the end. The other central female character is luckier. And happier despite not being born into a wealthy family. Or maybe because of that? It would be exaggerated to call her emancipated or so, but you get the message. She has a better chance to follow her dream and live the life she aspires, even if obviously there are obstacles for her as well, just like there are to all homosexual people who lived during that time. You also hear about how she is not allowed to draw men, at least naked men. Speaking of men, there are virtually no male characters in this film at all until almost the end and those you see or hear about, like the guy who got the servant pregnant, the man the title character is supposed to marry and others are really no additions who bring happiness to any of the several female characters in this movie. I don't mind the absensce of men here. It makes sense story-wise, but you also need to be careful because I am sure feminists would advertize this film in the sense that it is a pro that there are (almost) no males, but it is just a fact and should not be said it is good or bad because this film is too good to be pulled down by anti-male propaganda. So yeah, overall I would not say it is one of the best films of the year, but a pretty good and enjoyable one that did not feel like 2 hours and that is always good. It needs to be said though that this is an extremely slow movie that lives through the artistry of the individual scenes and not through a lot happening. Honestly, in terms of the action you could have fit it into a 20-minute short film. Also I don't really like gender statements, but I feel this is a film that maybe women will appreciate more than men and gays more than straight people. Overall, it's a thumbs-up for me. Certainly worth seeing.",Portrait of a Lady on Fire
4,classicsoncall,"""There are rules, conventions, ideas.""",8,4 August 2020,"When Marianne (Noémie Merlant) spoke those words to Heloise (Adèle Haenel), she could just as well have been describing the passionate nature of their relationship as much as the technique she used in painting Heloise's portrait. The film explores the romance that develops between two passionate women who due to their isolation on a remote island in France, experience a serene, yet potentially volatile connection that will surely terminate when Heloise must commit to an arranged marriage. Writer and director Céline Sciamma could have smoldered the story with graphic sexuality, but instead decided on a slow, methodical approach to bring the women to an understanding that might have endured in another time and place, but was destined to end in disappointment and sorrow. There was a moment in the film when the women studied the almost completed portrait, and Heloise asks how Marianne would know the painting was completed. It was a poignant moment, and Marianne's answer was a harbinger of their final moments together - ""At one point we stop"".",Portrait of a Lady on Fire
5,jboothmillard,Portrait of a Lady on Fire,8,21 December 2020,"When the new 1001 Movies You Must See Before You Die book was released, which I had previously finished every title from, I had a feeling I had have a low number of new titles added to watch, and I was relieved there were only two, this French film was one of them. Basically, set near the end of the 18th century, Marianne (Noémie Merlant), a young painter, is teaching painting lessons in France. One of her students asks her about one of her paintings, Marianne calls it ""Portrait de la jeune fille en feu"" (""Portrait of a Lady on Fire""). Years previously, Marianne arrives on a distant island in Brittany. She has been commissioned to paint the portrait of a young woman of the gentry named Héloïse (Adèle Haenel), who is to be married off to a nobleman from Milan. Marianne is told by Héloïse's mother, The Countess (Valeria Golino), that her daughter has previously refused to pose for portraits, as she does not want to be married. Héloïse previously lived in a convent before the suicide of her older sister resulted in her return and her betrothal. Marianne acts as Héloïse's hired companion, to accompany her on daily walks along the rugged coastline. During these walks, Marianne tries to memorise Héloïse's features to be able to paint her in secret. Marianne does eventually finish the portrait but finds herself unable to betray Héloïse's trust and reveals her true reason for arriving. Marianne shows Héloïse the painting, she criticises it for not portraying her true nature, so Marianne smudges the face, destroying the work. Héloïse's mother is shocked when Héloïse says she is willing to pose for Marianne. Meanwhile, the Countess will be away over the next few days on the mainland. During this time, Marianne and Héloïse build a more intimate bond, reading stories, including Orpheus and Eurydice, and debating about it, and helping housemaid Sophie (Luàna Bajrami) have an abortion. Marianne is haunted throughout the house by visions of Héloïse in a wedding dress. One evening, Marianne, Héloïse and Sophie go to a bonfire gathering where women sing, during which Héloïse's dress briefly catches fire (inspiring the painting years later). The next day, Marianne and Héloïse, who have become much closer during the process of the painting, share their first kiss, and make love later that night. Over the next few days, their romance grows stronger. However, it is cut short by the inevitable return of Héloïse's mother, who approves of the now completed portrait. The evening before her departure, Marianne sketches a drawing of Héloïse to remember her, and Héloïse asks Marianne to draw a sketch of herself in her book on page 28. The next morning Marianne bids farewell; as she leaves, she hears Héloïse say, ""Turn around"", to which she turns to see Héloïse in her wedding dress. In the present, Marianne reveals that she saw Héloïse two more times. The first time was in the form of a portrait at an art exhibition, where Héloïse has her child beside her, and is holding a book showing the edge of page 28. The second time was at a concert in Milan, where Héloïse sat in a theatre balcony across from Marianne. Héloïse does not see Marianne as she observes her becoming overwhelmed with emotion and coming to tears. The orchestra play the Presto from ""Summer"" from Vivaldi's Four Seasons, the music that Marianne had played for her years before. Merlant as the beautiful, talented young artist and Haenel as the equally beautiful, troubled aristocrat bride-to-be both give splendid performances, and there is good support from Golino as the slightly scary mother and Bajrami as the amusing maid. It works really well as a story of a developing mutual attraction between the painter and her subject, and the countryside locations and the painting scenes are terrific. The subjects of suicide and abortion are hard-hitting, but with good pacing, great costumes and scenery, and an interesting unfolding story of passion (for art and a person), this is a most recommendable historical romantic drama. It was nominated the BAFTA for Best Film Not in the English Language, and it was nominated the Golden Globe for Best Motion Picture - Foreign Language. Very good!",Portrait of a Lady on Fire
6,Quinoa1984,Portrait of a Filmmaker with Something to Say (I mean that as a compliment!),10,4 March 2020,"Well, that was.... incredibly satisfying (you thought I'd say lit, didn't you?)I don't know how long I could expound about how Portrait of a Lady on Fire completely took me in and made me awed by how writer/director Céline Sciamma slowly (and it may be too slow for some, certainly not for the majority of critics) develops this relationship between an artist and the figure of her focus, what it means for anyone with creative aspirations to open oneself and find what *you* see, with a laser focus, on how faces and eyes and bodies and just these two amazing women look at each other on screen - Merlant and Haenel have some of the most electric chemistry of any performers I've experienced in a film, it's that damn good - or how she has the bravery to bring in moments that may confound a little (that feast where all the women start singing a hymn or some type of song out of nowhere, leading to a practically literal representation of the title) and disturb (what happens with Sophie about two thirds of the way through somehow made me shocked by how simply Sciamma shows what happens to her), while her camera is so focused on getting us to see HOW art and that process needs time to develop when it comes down to the soul, but.... What I'll try to bottle up in this is to say this:You know the term ""Male Gaze"" when it comes to certain (a lot, too many) filmmakers? Sciamma showed me what the ""Female Gaze"" is like in all of its uncompromising hues. More importantly, this is just an artist with a vivid, sometimes surreal and harrowingly romantic point of view - not to mention, these two women are just staggering in what they're able to achieve here.It made me feel like I've seen the rebirth of the French New Wave - the New-New, more precisely. Ok, I'll stop now.",Portrait of a Lady on Fire
7,CinemaSerf,Gorgeous performances all around....,8,10 March 2020,"""Marianne"" (Neómie Merlant), the daughter of a famous artist travels to a windswept island off the Brittany coast to paint the portrait of an unwilling young lady ""Héloïse"" (Adèle Haenel); the purpose of the picture being to demonstrate her beauty to a Milanese gentleman to whom she is betrothed but has never met. Having little interest in the prospect, our model refuses to pose, so ""Marianne"" must find more devious, novel and difficult ways of garnering the images she needs to create her art. What follows morphs into a love story. Initially cold and distant, ""Hèloise"" warms to her new colleague and soon trust and more develops. There is a lovely sub-plot featuring the maid ""Sophie"" (Luàna Bajrami) who has become pregnant and they try to help her - sometimes rather comedically - to have an abortion. The writing is gentle and penetrating and the cinematography is beautiful: the light during the day, brilliant; at night eerily but gloomily authentic and atmospheric. Also outstanding is the use of audio - the howling winds; rain on the windows; the sea crashing - frequently a far more effective method of communication than dialogue. Sadly, there isn't much jeopardy with the story itself - the inevitability that all will follow the pattern set by her mother - a kindly, but determined Valeria Golino - is never questioned and merely reinforces the almost chattel status even high-born women were accorded in the 18th Century. A really sophisticated piece of work with two sterling lead performances and of which Céline Sciamma has much to be proud.",Portrait of a Lady on Fire
8,grantss,Beautifully filmed but otherwise dull and unoriginal,4,29 January 2021,"18th century France. A young painter, Marianne, arrives on an island to paint the portrait of Heloise, a woman soon to be married. Heloise does not know a portrait is being made of her. Over time the relationship between the two young women deepens.A fairly predictable French arthouse offering. Being French, being arty, involving two beautiful young women, you pretty much know where this is going to go. Hardly revolutionary - there have been plenty of same-sex romantic dramas before and this is no different. In fact, it's just another romantic drama, full stop.On the plus side, the cinematography is excellent. Every shot seems like a painting itself and the 18th century outfits complete the impression that you're watching a classic oil painting in motion.",Portrait of a Lady on Fire
9,evanston_dad,The Gazer and the Gazed,8,11 May 2020,"It was hard not to come into ""Portrait of a Lady on Fire"" with really high expectations, given its idolatrous critical reception last year and the fact that I saw it long after it had already appeared at #1 and #2 slots on numerous best-of lists for 2019. So maybe that accounts a bit for the fact that I liked it very much but wasn't moved enough by it to include it on my own personal favorites list for the year.The film is sumptuous in its design, and it's deeply lush and romantic in its themes. It reminded me a bit at times of Jane Campion's 1993 film ""The Piano"" in its exploration of forbidden love and of the deep intimacy that can develop between two people who connect through a mutual understanding of one another's passions. It's about the gazer and the one who's gazed at and the way those roles can switch depending on perspective. One of the more thought-provoking (to me) themes it develops is the degree to which the artist is as scrutinized as the subject she chooses for her art.The film is also about women's choices (and the lack of them), and pointedly about the right to decide what happens to their own bodies. It's an anthem of female solidarity and empowerment in a cultural moment when people are craving stories like this, so I'm not surprised that it caught the attention of critics and audiences. It didn't resonate quite as much with me as it clearly did for others, but there's no doubt that it's a quite accomplished and at times beautiful film.Grade: A",Portrait of a Lady on Fire
