,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,A work of unusual depth,8,21 April 2017,"MEMORIES OF MURDER is much more than just another serial killer story; this South Korean thriller is a movie of real depth, a genre-transcending tale that shines a light on social and political issues as well as presenting that country's police force in a typically unflattering light. The main story of the tale is also interesting, as is the complex back story, and although slow-paced this is one of those films that creeps up on you to become gripping by the end. Song Kang-ho leads a great cast, but the real star here is director Bong Joon Ho, who followed this up with the equally great THE HOST and SNOWPIERCER.",Memories of Murder
1,SnoopyStyle,Gallows humor elevates serial murder mystery,8,10 June 2014,It's 1986 in South Korea. Women's bodies are being found tied up. Detective Park Doo-Man is the local cop tasked to find the killer. He's a bumpkin and a brute with a slightly better sense than his other co-workers. The local force proves to be inept at such a big case. The locals coach a weak minded idiot to confess. Detective Seo Tae-yoon comes from Seoul to assist them. He suspects a missing girl is the third murder victim and they find her in the field.This is a funny serial killer police procedural. It's a rare thing to have both the gritty brutality and the comedic aspects. Park's foolishness is funny at time but also very dark. It helps to break up the usual the grotesque serial killer movie. The mystery goes slowly sometimes as Park bungle him way interrogating one wrong suspect after another. It would be helpful to tighten up the over 2 hours running time to speed up some of the slower spots. However this is still a fascinating mix of dark humor and grotesque violence.,Memories of Murder
2,Horst_In_Translation,"Okay crime movie, but nothing extraordinary",6,16 November 2019,"""Salinui chueok"" or ""Memories of Murder"" is a South Korean movie from 2003 that runs for over 2 hours and it is the second full feature film by Bong Joon Ho and it catapulted him into the elite of Asian filmmakers where he has stayed to this day. Of course BJH is getting a lot of recognition for his very recent movie ""Parasite"" and now he is 50 years old and back then he was in his early-/mid-30s and also his talent was pretty visible. I am actually curious to see Parasite at some point in the next weeks, but today I watched this one here and I was not disappointed. Okay, the imdb Top250 inclusion is definitely too extreme, but I had a fun time all in all. Well, ""fun time"" may not be the best description for this one in terms of the subject, but there were always slight comedic inclusions as well, most of them involving the incompetence of the police there. With this I am of course talking about the police officer pretty much at the center of the story who thinks the killer who sexually abused and murdered several women must be a monk because there was not a single hair to be found at the crime scenes. Or when he gets that sheet and liquid and says the image will be the looks of the perpetrator. Oh well, he seemed to be serious with that and that made it somewhat funny. In general, you could say that the foolishness and cluelessness of the police was a big factor here really. But also in a more critical way because really some suspects are attacked really violently by some brute also working for the police and there is uproar in the media because of that too. I am mostly talking about the disabled guy, but also the exhbitionist they find later on and they are both innocent. As for the mentally disabled guy, it all ends in a tragic way sadly too and you could only feel bad for him. But there karma strikes too becase the aforementioned brute eventually loses his leg, the one that has been doing the harm through a freak accident, and again there the stupidity of the police shows because the doctor says that they should have taken him to a hospital right away to keep tetanus from happening right away. And also the bigger, chubbier police officer (the one who sings on one occasion) is not exactly too competent, even if he does not see it like that and thinks he is really smart and gifted when he complains about a farm vehicle destroying footprints. But he is also the one who beats up the police inspector from Seoul who comes to assist the team and boy they really need him. But yeah, very strange he gets beaten up by the central character because the latter out of nowhere suspected that he was molesting women. And finally, their boss. Oh well, he is a fruitcake too. The brief scene with his wife was still harmless, but he does not have his team under control one bit really, not even when he beats up one of his officers. Violence sure was more of a thing back then in the police force it seemed compared to today. Or let's say compared to today here in the western world. No idea what the state of things is in Asia these days. At least in North Korea things probably won't look too different still. As for the South no idea, but admittedly, it made for some solid comedy value in here, so I won't complain.Also, what I would like to mention because I am just talking about North and South was one reference I found interesting as we see at an all-girls school people being trained for the worst case scenario, a military attack, and we have to keep in mind that even today the situation between these countries is not exactly promising, but back then, it was even worse and definitely a possibility that there could be a war again. But let us not drift too far away from the film now. Like I said, I enjoyed it all in all. Sometimes it did feel a bit unrealistic, but maybe that is just me. Like for example, why did they take that long to ask the mentally challenged man about what he saw? Okay they thought the cop just made up a story for him, but this cop knew better. He should have stayed on him because he is an important eye witness and they should have known right away. Or near the end when we have the final suspect, it seemed a bit too easy that they just identify him from his name on the letters he wrote to the radio station. He does not seem this stupid honestly. This made very little sense to me regardless of what you may think about the whole music song idea that he always kills when this one plays in the radio and when it is a dark and rainy day. It's okay I guess, but could have been better. Same about the car not starting when the suspect leaves in the bus. A bit too much of a coincidence perhaps. Coincidence maybe is not the filmmaker's biggest strength and he should have included less of it. This also refers to the lady who has been crying so hard. I mean her dog could have died, but the fact that she was attacked by the killer too comes a bit out of nowhere really. There is also no further elaboration on how she survived. Not looking him in the eye is too vague of an explanation really. Perhaps he still wasn't too good at his craft at that point. Very simple explanation actually, but I wish they could have given this one or another. So yeah there are flaws with this movie and there are things wrong, but I still think that all in all the good here is more frequent than the bad. Like I said it flew by almost and that is always a good sign for a film with this running time. Overall, no hesitation for me in giving this one a thumbs-up, but a truly memorable movie it is not and I am baffled by the many people who call it a masterpiece or/and give it a perfect 10 out of 10 rating. That would be all then. As for the actors, I cannot really say too much as that deep into Korean cinema I am not, but the awards recognition here speaks for itself I suppose. Go check this one out unless you really dislike Asian films. The open/unhappy ending also makes it really worth it. This is not made to please the audience, at least not on that occasion. It depicts reality, especially taking into account that the time they had to find him and get him to prison is now almost over because of the limitation period. That would be all. Thumbs up.",Memories of Murder
3,claudio_carvalho,Very Realistic Movie,8,29 April 2007,"In 1986, in the province of Gyunggi, in South Korea, a second young and beautiful woman is found dead, raped and tied and gagged with her underwear. Detective Park Doo-Man (Kang-ho Song) and Detective Cho Yong-koo (Roe-ha Kim), two brutal and stupid local detectives without any technique, investigate the murder using brutality and torturing the suspects, without any practical result. The Detective Seo Tae-Yoon (Sang-kyung Kim) from Seul comes to the country to help the investigations and is convinced that a serial-killer is killing the women. When a third woman is found dead in the same ""modus-operandi"", the detectives find leads of the assassin.""Salinui chueok"" is a very realistic movie based on a true story. The performances are stunning, showing the flaws of a Third World police department in a country under dictatorship, without respect to the human rights, using torture to force the confession and without skilled agents and resources. Unfortunately the identity of the killer is not disclosed and the unsolved investigation gives a sensation that the films has not finished. I am really impressed with the excellent quality of South Korea cinema, with the movies that have been released in Brazil in the last years. My vote is eight.Title (Brazil): ""Memórias de um Assassino"" (""Memories of an Assassin"")",Memories of Murder
4,kosmasp,Not everyone's taste,8,21 July 2007,"This isn't your typical serial killer thriller. That's something that elevates this above other movies right from the beginning. But as that is, the question is if you're ready for a change? There's nothing wrong with most of the serial killer thrillers, that follow the rule book, of how to make a movie like that.Back to this Korean thriller, that shows us how cops are dealing with a killer on the loose. The behaviour of the cops (the sort of ""good"" guys) is strange to say the least. Their methods to interrogate people is at least unorthodox! And that's things you have to keep in mind before you watch the movie. Because if you think that this might be a problem for you, then it will be a problem for you for sure, after you watch the movie!",Memories of Murder
5,classicsoncall,"""This time be realistic, like in a movie.""",8,29 November 2017,"Starting out I didn't know how to take this movie. The senior police detective is out planting evidence, his belligerent sidekick routinely beats and tortures suspects, and people brought in for questioning admit to crimes they're completely innocent of. It's all very disorienting and doesn't make a lot of sense until about the second half of the movie when the detectives hunker down and involve themselves in routine but exhausting police work.Regarding planted evidence, feeble minded suspect Kwang-ho (No-shik Park) might have been able to out Detective Park (Kang-ho Song) for his dishonest methods if he'd been able to differentiate the underside of his left foot sneaker with the picture the detective showed him of a right shoe footprint. If you go back and check that scene, you'll see that the physical shoe couldn't have made the print in the 'evidence'. The correct sneaker would have made a reverse image print in the dirt.It's kind of ironic actually that the big break in the case occurs because a lowly female desk officer makes a connection between a sad song played on a radio station and rainy nights when a serial killer's murders occur. This while Detective Park is crystallizing his theory about crazy hairless men (trust me, you have to catch that!).When everything finally comes together and the detective on loan Seo Tae-yoon (Sang-kyung Kim) closes in on the suspected serial killer, the rug is pulled out from under him and the viewer with the information from America that the DNA sample sent in is not conclusive. It points to another irony in as much as Seo's insistence on the infallibility of 'written documents' is torn to shreds. At that point, one feels helpless over Park Hyeon-gyu's (Hae-il Park) get away, since most of the circumstantial evidence pointed to him as the killer.I didn't know this film was about a real life serial killer case that went unsolved in South Korea in the Nineties. In fact, I didn't even know about the picture until I ran across it on one of the IMDb top film lists. Fortunately, I'm glad I kept an open mind enough despite the dubious outset, because the story turned out to be a provocatively intriguing one, even if no resolution occurred as a result. The closing scene inspires closure and doubt at the same time, a unique conclusion to a murder mystery that remains unsolved in real life.",Memories of Murder
6,rmax304823,"Insidious and, finally, gripping.",8,23 September 2007,"The first fifteen minutes or so seem kind of slapdash, with over-emphatic acting, undistinguished photography, and exposition that seems to be going nowhere. But if you make it over that bar, you'll find a police procedural with a good deal of personality and a more subtle story than you might have expected.It could easily have been a typical Hollywood serial murder movie. Maybe it still will be. It will star Brad Depp and Julia Theron and will sport a ten-billion dollar budget. Here, in its original form, we have a small-scale story of an unsolved case of serial murders in a small Korean town.Detective Park, a beefy guy with a big chin who is not too bright, investigates a murder. His partner is Detective Cho, even less bright and more impulsive. Soon another corpse turns up and Detective Seo arrives from Seoul, the big city. While the two rural cops are beating the bushes (and some suspects) looking for a solution, Seo intuits that a third murder has been committed, and he's right. The girls were all young, beautiful, wearing red clothes on a rainy night, and the killings were preceded by requests for a rare pop song at a radio station. I know. It all sounds a little familiar and maybe Dennis Hopper should turn up as the crazed murderer.There are quite a few comic scenes in the first half of the film as the cops bang their heads against the wall and follow false leads. They all go out to dinner with the dour Chief of Police. The intense Chief unexpectedly gets so drunk his head falls on the dinner table, but he wakes up when two of the others begin scuffling with one another. Then he vomits and brightens, claiming he's had an inspiration regarding the case. The drunken Detective Cho explains the difference between the Korean police and the American FBI in terms of geography. The FBI has to use brains because the country is so big that they must sit in one place and figure things out, whereas South Korea is the size of Cho's member and can be covered by detectives on foot in no time. Cho doesn't use the word ""member"". There's at least as much obscenity in this film as there will be in the Hollywood remake.By this time, I suspect, you'll be grabbed by the story and it gets more serious. And, I have to say, it's curious to see the law exercised in the Republic of Korea. A public announcement tells us that the president is about to make a visit and we expect bands, speeches, and cheers. What we see instead is a tank growling through the crowded streets and protesters throwing firecrackers and stones at it. The cops beat hell out of whomever they want. If a suspect is confessing on tape to a crime he knows nothing about, the cops don't mind giving him hints. ""Yes -- I strangled her! I strangled her with -- with -- (a cop cups a pair of imaginary breasts) -- with her BRASSIERE!"" They hang an obviously psychotic suspect by his heels and hold him for four days without charging him. On the other hand, only once does a gun appear in a cop's hand, and then in a context that defines it clearly as disapproved of.Things, unanticipated things, happen the way they do in real life. Detective Cho is taken off the case for police brutality, gets drunk, starts a brawl over some bul-kogi, and a bystander interferes by whacking him in the calf with a wooden board, but the board happens to have a rusty nail in it, and Cho winds up with tetanus. Seo, the big-city cop, falls asleep on a stakeout, an important suspect slips away, and another murder takes place.By the end of the movie, the corpses that have provided the occasions for smiles, have become the dead bodies of girls we've gotten to know a little about and it's no longer an occasion for amusement. A suspect is finally identified who looks like the real thing. A young man who operates a computer, handsome almost to the point of femininity, but the FBI's DNA analysis yields ambiguous results. I don't think I'll spoil the ending that, in its own quiet way, is memorable.Well worth seeing.",Memories of Murder
7,Quinoa1984,"a gripping, sad, dark-coming-but-dramatic superior serial killer flick",10,20 October 2009,"Bong Joon-Ho is a director that I knew a little about back in 2006 when I saw his wildly entertaining monster movie the Host. I had only seen that one film from him, but kept him in mind as someone good in the Korean film world (that is someone not Chanwook Park or Kim Ki-Duk). With this film, Memories of Murder, he's more than that now. As one goes through this tight murder mystery, based more on character and on the frustration of a clear pattern of a killer who makes it just a little too hard for the detectives to track down, you forget about the world around you or the time and just focus in on this story, of the grim line that delineates how to find a serial killer. Maybe it's because Joon-Ho knew that he was making a movie about the first ever serial killer in South Korea that he had to make it this way, about clash between inexperience and professionalism and right and wrong that's demonstrated here.It's not an action movie, but a character study, as non-conventional in its outcome or in its style as something like Fincher's films Se7en and Zodiac (for the former there's even so much as a specific shot and scene that is lovingly ripped-off, and the latter, well, just see the results of the case to know what I mean). It's the story of a series of rape/murders in a rural area of South Korea during a time of military dictatorship (watch out those 'citizen' alarms!), where women are being murdered and all in a pattern: wearing a red item of clothing, when it's raining, and when a specific and *sad* song is requested and played on the radio. While the local detectives Park Doo-Man and Cho Yong-koo try and shake down a confession out of a couple of suspects, one obviously mentally retarded, a seemingly hot-shot cop out of Seoul, Seo Tae-Yoon, comes in to help with the investigation and practically takes it over since he is, frankly, best at the job. This is not without some protest from the other detectives, of course, who feel threatened by their means of (nasty) interrogation to get a confession.One of the things that marks this as a departure from a lot of familiar serial killer mystery movies in America is the nature of the characters and how they relate to each other. Take the interrogation scenes early on: would you see in a typical movie an interrogation of a suspect where the suspect starts to go along with the detectives' premise just to get the hell out of the room? It's all about the details in the way the scenes are played out, how specifically and different Song and Kim play their roles, even as they're in the same profession and wanting the same end goal.Bong Joon-Ho also gives actors in small parts some fantastic scenes, such as the actor playing the mentally challenged man, or even the woman who somehow escaped the murderer's grasp but didn't see his face. And we get a real sense of these characters as having real conflicts and lives outside of this- sometimes with humor like Park's attempt to find a ""hairless man"" suspect at a sauna, or with some dark and violent ways like detective Cho who meets a nasty fate after a bar fight. Barely anyone is just two-dimensional, and even the main suspect-killer in the second half plays his blank-faced part perfectly.The characters all work, and the scenario is played out in a superior style (or if nothing else than with efficiency and a clear eye for details in the case arising naturally and without unnecessary melodrama), and on top of this the film looks gorgeous. Joon-Ho and his DP shoot and shoot away, getting some fantastic shots in these fields of the 'Boondocks' where the detectives find the bodies, or in the rain, or in a short burst in slow-motion that is just the right touch. A similar approach to artistry could be found in the Host, where an attention to light and dark and how to paint black and night scenes don't mare anything with the story itself. Particularly haunting is how he films the glimpses of the killer's-scenes-at-work, or in that masterful climax at the railroad tracks at the tunnel. By the end of the film, we don't know for sure if it's all entirely the truth and the whole truth (based on a true case), but it attains a hyper-reality that one can't shake off once it ends. It's a chilling tale that needs to be told, about the dire straits of breaking ground and not everything falling in to place.",Memories of Murder
8,Scarecrow-88,Memories of Murder,10,30 June 2007,"Two rural detectives, their chief & a well-educated Seoul detective search for a serial killer who specifically chooses certain victims when it rains, using their own undergarments to bound and strangle them while he rapes their tied up bodies. We watch as the rural detectives, who often use rough tactics to secure their admittance of guilt from those they question, try to find the killer and how the effected the city detective is when attempts to catch him often fail. We see their dogged, weary pursuit of suspects and the exhaustive, emotional let-down when each is ruled out by one way or another. When a possible suspect emerges, and seems the ideal candidate fitting the profile of the rapist who nearly murdered one living victim(..and also requested a specific song only on the nights the murders took place, not to mention the fact that he started working at a factory right before the murders), they believe that their misery might finally end as they await a DNA semen report from America possibly pinpointing him as the murderer. But, is this suspect the murderer, and better yet, can the rural detectives keep from exploding in anger when they interrogate the suspect? It'll all come to a head when the city detective looses his suspect after falling asleep on his watch and yet another young woman is horribly butchered in a much more heinous manner during one of the town's common blackouts..the detective will take his suspect to an isolated location claiming him guilty even though the American lab results may say otherwise.Powerful, haunting, gut-wrenching, & heartbreaking..we see how these men fail at their methods despite giving their heart and souls to the case day after day. Developed obsessions with possibly suspects even have the detectives at each others' throats. The film is quite absorbing as we see how each detective loses a bit of their humanity as they cripple at the leads that fail them or at an eyewitness who perishes accidentally during a horrible train accident. The Korean leads all bring much to their roles..during the film each character is fleshed out and exposed of their flaws at trying desperately to catch a killer against many odds such as unavailable forensic techniques or civilians trampling over crime scenes. Beautifully crafted by director Joon-ho Bong who adds many humorous bits sprinkled throughout so that the achingly tragic story will not be such a burden to sit through. Bong respects the victims by not dwelling on the murdered bodies too long.",Memories of Murder
9,CinemaSerf,Characterful and enthralling crime drama.,7,19 September 2020,"This is cracking serial killer drama from Bong Joon Ho - with some superb performances - that tracks a police investigation trying almost every technique known to man to trace a rapist/murderer who is terrorising young women (especially if it is raining and if they are wearing red). Kang-ho Song, Sang-kyung Kim and Roe-ha Kim don't exactly see eye to eye as they set about their task, adopting some scientific and not-so scientific approaches to their detection. The stylish and witty writing allows the characters to develop at a slow, but steady and interesting pace - using humour, pathos and violence - and at times it is the methods and attitudes of the police that appear under more scrutiny than the perpetrator of the crimes! Sadly, though, it does sag towards the end. The sharp pace of the writing and the intensity of the performances having reached a pretty high plateau, comes off the boil a bit and I found the ending annoyingly self-defeating: the identity of the criminal being less important to me than the collapsing integrity of those charged with his discovery. We never quite get back to that high standard of storytelling achieved in the first 90 minutes and as the quirkiness of the plot becomes more subsumed into the increasing frustrations of the investigators, the film becomes more and more a generic crime thriller losing much of its uniqueness. Certainly well worth watching, but perhaps it could have been shaved a bit to maintain the jeopardy.",Memories of Murder
