,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Lycontrophy CAN be cool!,5,2 June 2019,"""Teen Wolf"" is an 80s teen movie....with many of the usual 80s teen movie cliches. However, I must admit that it IS unusual because its leading man is a werewolf!Scott seems to be a pretty ordinary teen. He plays basketball for his school team and they are terrible. However, when Scott suddenly realizes he's a werewolf, suddenly he's super popular and an amazingly good basketball player. Not surprisingly, he soon becomes cocky and full of himself. What's next for this oddball teen?The usual 80s teen movie cliches include: MOST of the cast playing high school kids are nearing their 30s, there is a kooky (and VERY inappropriate) best friend, sex and crude stuff parents really did NOT want their teens seeing. And, like so many of these pictures, the marketing was squarely towards teens and adults would have avoided the films like they were plague-ridden. Despite all this, the movie made money and spurred on a sequel.So is it any good? Generally, yes but overall it's a time-passer. The only thing I really did love was how people reacted to Scott becoming a werewolf. No one was scared and they thought he was pretty cool! Strange...but a nice twist on the whole lycanthropy angle. Unfortunately, the rest of it is pretty ordinary and predictable...especially the 'big game' near the end.By the way, Michael J. Fox apparently hated making this film....so much that he refused to appear in the sequel. This was a GREAT decision in hindsight, as the film bombed and has an overall rating of 3.2....placing the sequel at number 62 on IMDB's infamous Bottom 100 List (featuring the 100 worst rated major release films).",Teen Wolf
1,TheLittleSongbird,I liked it,7,21 June 2011,"Teen Wolf is not a perfect film by all means, some of the editing could have flowed better, the story while having some great nice and starting off with very few problems is basic and meanders a bit towards the end and the film could have been longer(just). That said, the film apart from some lacking editing looks good, with nice scenery and lighting, while the soundtrack is superb. There may be the odd cheesy line, but overall the script is solid, and while somewhat predictable the ending is nice. The characters have a certain charm about them, and while the actors are not award-worthy perhaps they all do very likable jobs especially Michael J.Fox. All in all, not a masterpiece, but I liked it. 7/10 Bethany Cox",Teen Wolf
2,bkoganbing,The Beavers have a wolf,6,28 November 2018,"Michael J. Fox got one of his iconic roles in Teen Wolf which spawned a far less
successful sequel and a TV series. This was certainly a new kind of werewolf for
the 80s. No hint of the dilemma Lon Chaney, Jr. had in his many incarnations
as werewolf Lawrence Talbot.I'm still trying to figure why someone as short as Michael J. Fox would be going
out for basketball. Still there he is on his losing high school team the Beavers.But there have been some strange things going on with Fox's body and not all
attributable to puberty. It's then that his father James Hampton shows him
that there's a werewolf strain in the family genetics.Sure enough it comes out under pressure during a basketball game as Fox
wolf's out and immediately becomes popular. That sure wasn't the way folks
reacted to Larry Talbot when he did his thing.No full moon or anything like that to trigger the inner wolf. Hampton and Fox
almost have it under control. It's a werewolf for the Reagan years.Michael J. Fox really makes this film. From his role on TV's Family Ties he had
a nice persona that fans could identify with. It's such a shame that he has
the Parkinson's Disease and that has severely cut down his working.Teen Wolf is pleasant and really goes over well because of Michael J. Fox.",Teen Wolf
3,Leofwine_draca,Probably one of the most dated of the 1980s high school genre,4,9 November 2016,"TEEN WOLF is one of those films that was a hit of the '80s but hasn't dated very well since then. Some might get a kick out of the 'timeless' '80s atmosphere it offers up, full of house parties, discos, kids drinking, and basketball games; the truth is, this isn't a very good film and it just doesn't stand up next to Michael J. Fox's true classic, BACK TO THE FUTURE. The main problem is the script, which takes the simple premise – a high school student is a werewolf – and never takes it anywhere other than a few lame gags. Sure, there are the usual themes here – how a student can become popular and leave his old-time friends behind – but it's nothing that wasn't done in about a billion other movies of the period.So, is there any reason to watch? The '80s atmosphere aside (and you really will love it or hate it), we get another good-natured turn from Michael J. Fox, a cheap and cheesy werewolf costume, some okayish turns from supporting characters (Susan Ursitti is sweet as Fox's faithful love interest) and a fun play-to-the-finish climax at a basketball game which I enjoyed, despite not caring for basketball one bit. Funnily enough, the '50s high-school-werewolf movie, I WAS A TEENAGE WEREWOLF, hasn't aged nearly as much as this. A sequel inevitably followed.",Teen Wolf
4,SnoopyStyle,Charming Michael J. Fox,6,11 April 2014,"Scott Howard (Michael J. Fox) is an average student and an average basketball player on a very bad school team. Popular girl Pamela Wells doesn't care for him. His best friend is the girl Boof (Susan Ursitti) who is secretly in love with him. His other best friend Stiles (Jerry Levine) is a talkative schemer. He is slowly showing signs of something. His father Harold (James Hampton) tells him that their family are werewolves. When he shows his true self on the basketball court, the students surprise by showering him with love as they win games. Even Pamela starts to like the popular Scott angering her boyfriend Mick. However it's not all smooth sailing as he struggles to find his identity.This is a very average teen movie. Michael J. Fox is the only thing that make this compelling. He has a charm that makes this silly concept watchable. There is a good message underneath with Scott trying to figure out his identity like all teenager movie. It's not as stupid as one might think but we're not talking about Shakespeare either.",Teen Wolf
5,gavin6942,Incredible Cheese,5,10 June 2011,"A high schooler (Michael J. Fox) discovers that he is a werewolf.This is not a great film. It may be a pop culture cornerstone, but do not assume that makes it good. The special effects are fairly bad (the transformation is decent but the actual wolf makeup is cheesy). The origin of the werewolf is unclear.Sure, it has Mark Holton (Francis from ""Pee-Wee's Big Adenture"") and a song from Bunny and the Wolf Sisters telling us that he (the wolf) is not stupid like grandma.See it once. Maybe you will like it. My friend Cody does. I thought it was just, um, cheesy. Not a must-see by any means.",Teen Wolf
6,jboothmillard,Teen Wolf,6,1 February 2013,"I had heard about this film so many of television shows, including spoofs on Bo' Selecta! and Celebrity Juice, I assumed it was going to be a naff horror film, I didn't realise it was a comedy, and before the leading young actor became an instant star in the first of what would be a trilogy for Back to the Future, I looked forward to watching this very much. Basically seventeen year old Scott Howard (Michael J. Fox) seems just an ordinary teenage high school student wishing he was something more but hopeless at playing basketball for the Beavers and failing to get the attention of Pamela Wells (Lorie Griffin), the prettiest girl in school, who already boyfriend Mick McAllister (Mark Arnold). He is hitting puberty, but the changes he experiences are more than he expected as he grows more hair than he expected, his teeth become sharp, and his nails become longer, and eventually he locks himself in the bathroom to be a full werewolf. Scott's father Harold (James Hampton) demands for him to open the bathroom door, and he when he does to freak him out he is surprised to see that he is a werewolf as well, his father explains that the werewolf gene is in the family, only sometimes it skips a generation, he was hoping it wouldn't happen to Scott. He tries whatever to keep his newfound werewolf side inside, but during a basketball game he cannot but let it out and reveal it, the people on the court and watching are freaked for a little bit, but he continues to play and proves a hit with newfound skills and wins the game, so after this he continues to play superbly. Becoming the star play for the Beavers team and learning to control of his other side Scott uses his persona as The Wolf to gain to popularity he had always longed for, and he finally gets the attention of Pamela, but he is neglecting best friend Lisa 'Boof' Marconi (Susan Ursitti) who has had feelings for him since they children. Party animal and Scott's other best friend Stiles (Jerry Levine) takes advantage of the popularity for The Wolf by becoming entrepreneurial, he starts selling goods and merchandise for Teen Wolf, in ""wolfmania"" he even trades in his old car for a van he calls the ""Wolfmobile"". The Spring Dance approaches and everyone expects The Wolf to be there, Scott obviously doesn't want to disappoint them, but Boof is against the idea, and it is after a near violent encounter with Mick that he starts wishing he was just simply himself, he even contemplates this before the final basketball game with the Beavers against the Dragons. Scott refuses to become The Wolf, Coach Finstock (Jay Tarses) is sure that the team will fail without the star player, but he proves him wrong, and with penalties by Mick he gets the dramatic ending where he scores the all-important final two baskets to win the game by one point, Pamela expects his attention, but Scott puts arms around Boof and they passionately kiss. Also starring Matt Adler as Lewis and Jim MacKrell as Mr. Thorne. Fox is pretty good as loser turned hero from his alter ego, I slightly agree he is similar to the character of Marty McFly, but obviously the werewolf aspect sways you away from that thought, the makeup effects are very good, and even though it does feel slightly cheesy at times it has some light hearted funny moments, a fun comedy. Worth watching!",Teen Wolf
7,Woodyanders,Very cute and engaging 80's teen comedy romp,8,16 October 2013,"Shy and awkward average guy high school misfit Scott Howard (an excellent and affable performance by Michael J. Fox) suddenly becomes quite cool and popular after he discovers that he's really a werewolf. Director Rod Daniel, working from a sweet script by Jeph Loeb and Matthew Weisman, relates the entertaining lighthearted story at a brisk pace, maintains a good-natured tone throughout, and milks the amusing sense of pleasant humor for a bunch of solid innocuous laughs. The cast have a ball with the upbeat material: James Hampton as Scott's amiable dad Harold, the adorable Susan Ursitti as Scott's loyal and smitten gal pal Boof, Jerry Levine as Scott's shrewd opportunistic hustler buddy Stiles, Mark Holton as jovial fat dude Chubby, Jay Tarses as the laid-back Coach Finstock, and Jim McKrell as mean vice principal Mr. Thorne. Luscious blonde stunner Lorie Griffin heats up the screen as foxy babe Pamela. The sincere message about being true to yourself gives this film some real heart and warmth while the infectiously bouncy soundtrack delivers an extra appealing jolt of happy vitality. Moreover, this movie has an easy'n'breezy charm to it that's impossible to dislike or resist. Miles Goodman's funky syncopated score hits the groovy thumping spot. Tim Suhrstedt's slick cinematography provides an attractive bright look. A nice little item.",Teen Wolf
8,BA_Harrison,With great power comes great fur.,7,17 May 2015,"In Teen Wolf, Michael J. Fox unexpectedly changes from an average teenager into a suave werewolf; having already made the transformation from TV star to movie star a month earlier with Back To The Future, the young actor puts in an effortlessly charismatic turn that goes a long way to making this otherwise corny and predictable teen fantasy a reasonable amount of fun.Fox plays dweebish high-school basketball player Scott, such a loser that he can't even see that his extremely cute longtime friend Boof (Susan Ursitti) has the serious hots for him; instead, he pines after slutty head-cheerleader Pamela (Lorie Griffin), which brings him to blows with her boyfriend Mick, his rival on the basketball court.Scott's luck changes, however, when he discovers that he is a werewolf: as his alter ego, Teen Wolf, he is confident, talented and popular, scoring the hoops, scoring with the ladies, and scorching up the dance-floor. But for Scott to be truly happy, he must be content with who he really is under the fur—and so when his basketball team makes the championship finals, Scott leads the way while Teen Wolf takes a back seat, much to the surprise of his loyal fans.Teen Wolf could definitely have benefited from a few more solid laughs, but with an engaging central performance from Fox, likable supporting characters, lots of 80s atmosphere, and a general good-natured approach, the film has a charm about it that is almost impossible not to like. It's a feel-good movie—nothing more, nothing less—and as such, it does its job well.",Teen Wolf
9,paul_haakonsen,A timeless classic teen movie...,7,31 December 2015,"I have always enjoyed ""Teen Wolf"" since the first time I saw it as a child at about 10 or 11 years old. And even today I still think this is a good movie. It is just one of those types of movies that never becomes outdated.""Teen Wolf"" along with ""Back to the Future"" were the movies that made me become a fan of Michael J. Fox, another thing that still holds true today.The story in ""Teen Wolf"" is about Scott (played by Michael J. Fox) who is a very average teenager in high school who wishes to be outstanding and special. And when he finds odd changes to his body and he turns into a werewolf he surely does become unique and special.This is a fun and enjoyable teenage romantic comedy that is suitable for the whole family. And it is a fine movie in Michael J. Fox's career.If you are not already familiar with ""Teen Wolf"" then I can more than warmly recommend that you sit down and watch it.",Teen Wolf
