,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Charming homage to the early 1960s,7,15 July 2006,"This film is a very slight film that probably won't change your life or have you announcing that it's the greatest thing you have ever saw. But, it is still worth seeing--particularly if you'd like to see a little slice of life film about the early 1960s and the burgeoning rock and roll industry. The movie is about a fictional singing group that called itself the ""Oneders""--a poor choice in names as although they pronounce it ""wonders"", many of the confused fans call them the ""O-needers""! Anyway, despite the poor choice of names, this young local boys perform a song called ""THAT THING YOU DO"" and it becomes a smash sensation--catapulting them to instant, and very brief, stardom. How this journey occurs and how they all ultimately deal with this is what makes the film worth seeing. The characters actually seemed pretty realistic and likable--not just caricatures like you see in some films. A good, fun film for the whole family with enough going for it to held your interest.",That Thing You Do!
1,SnoopyStyle,personification of Tom Hanks,7,8 June 2016,"It's 1964 Erie, Pennsylvania. Drummer Guy Patterson (Tom Everett Scott) chases flirtatious Tina Powers (Charlize Theron) and unhappily works at the family appliance store. Faye Dolan (Liv Tyler) is the girlfriend of Jimmy Mattingly (Johnathon Schaech) who leads a band with Lenny Haise (Steve Zahn), T. B. Player (Ethan Embry), and Chad (Giovanni Ribisi). They get Guy to join after Chad breaks his arm and come up with the name ""Oneders"" (supposedly pronounced Wonders). Guy's fast beats force the band to change their song ""That Thing You Do"" during a competition. The guys sign with manager Phil Horace living out of his camper. They go to Pittsburgh. Mr. White (Tom Hanks) signs them to Play-Tone Records and promptly changes the spelling of their name to The Wonders.This is very much the personification of the Tom Hanks and his sunshine personality. It is fun, mostly happy, deliberately light even when the movie touches on darker issues, and has a catchy tune. It's good that the song is catchy because the movie plays it a lot. The visual is immaculately perky 60s. This is a happy Disney version of an one-hit-wonder rock group. The actors are beautiful. This is not to say this is a blindly perky film. It doesn't dig too deeply in the darker corners.",That Thing You Do!
2,Hitchcoc,Those Things They Did,8,2 January 2017,"What a nice movie. There was a time when a garage band could put together a hit, find someone to listen to it, and get on the charts. Here, a group called the Oneders (pronounced Wonders) writes and performs a song and manages to get noticed by a record producer, played by Tom Hanks. Soon, they find themselves on a band competition where the emcee announces them as the o-need-era. When the achieve a reasonable success, they face the challenges that many bands did, artistic direction. One of the undermines things be not taking the whole thing seriously, and the women in their lives cause other issues. Their lack of experience in the big, bad world is also an issue. How far can they go with what they have. This is a quiet, charming story that focuses in on the lives of these everyday guys.",That Thing You Do!
3,mark.waltz,"You've heard of the ""Jersey Boys"", Well, here come the ""Erie Boys!""",6,2 November 2012,"Yay! Somebody made a movie set in my home town! Historically made famous by early American battles in the infancy of our country, Erie PA is also famous for where a certain overweight US President got stuck in a bathtub, and where a comic named Bob Hope wed his lovely bride, Delores. But for Tom Hanks (here the filmmaker in addition to actor), he uses Erie as the setting for a boy's band which suddenly rises to fame and go through all of the stereotypical star-making egos where many lessons are learned.Fans of 60's rock music will love this for its accurate description of the times, through the music, fashions, beehive hairdo's and those crazy home decors usually found in the old Green Stamps catalogs. Erie residents may not recognize State Street in the few street scenes (with the exception of the still standing facade of the old Boston Store), but mentions of Mercyhurst College and radio/TV station WJET (their ABC affiliate-Channel 24 during my youth), plus constant reminders as the boys go on the road that they are Erie natives, the film becomes a hallmark card to a beautiful city that sometimes takes a ribbing but in truth is actually one of the top tourist attractions in Pennsylvania.Hanks gives an enthusiastic performance as the manager of the band who is determined to rise them to fame. If Detroit can have their Dreamgirls, then Erie is more than allowed to have their Laker Boys! While the real 1960's produced a lot of schlocky rock & roll movies (mainly through some Sam Katzman produced musicals made at Columbia studios or those silly American International Frankie/Annette ""Beach Party"" movies), this is a loving salute to all the glitz from the movies and television shows of this era, with a bit of ""Bye Bye Birdie"" and ""Hairspray"" thrown in. As for the energetic title song, I really was shocked to learn that it was written for the movie, not an actual hit from that era.",That Thing You Do!
4,classicsoncall,"""I led you here Sir, for I am Spartacus!""",7,23 July 2018,"One very weird thing about the movie before I go on to anything else. What's the deal with the bass player who replaced Chad (Giovanni Ribisi) with the broken arm? He doesn't have a name! It never came up in the picture and he's listed in the movie's end credits as T.B. Player, translated here on IMDb as 'The Bass Player"". I wonder what went into that script writing decision. There was even a scene when the band was getting ready to go into the recording studio and Guy Patterson (Tom Everett Scott) was asking for Jimmy (Johnathon Schaech) and Lenny (Steve Zahn), but not Mr. X. That just baffled me. By the way, it was Ethan Embry in the role with that dubious honor. Well this looks like a nifty tribute to all those one hit wonder bands throughout the decades who made it with one big Top 40 hit and were virtually never heard from again. So much so that the band's name in the picture is a spin off of the one-hit wonder concept; they called themselves 'the One-Ders', the gimmick being that everyone else read their name as the 'O-neders'. It would have been simple enough to place a hyphen in their name to eliminate the confusion but apparently they needed to keep a running gag in the flick. That got a little overworked in the story until Tom Hanks came on board to change the spelling and make things right.I'd have to second another reviewer's remarks by stating that it was pretty fresh to see a picture without a lot of swearing and gratuitous sex to appeal to a youthful audience. The actors were a clean cut lot modeled to some extent on The Beatles, which back in 1964 seemed to be the way a lot of the British Invasion bands presented themselves. It was interesting to note that when ""That Thing You Do' made it to Number #71 on the Billboard Top 100, the song immediately above it was 'Tell Me' by the Rolling Stones. So the guys were in pretty good company for a fictitious band. My favorite characters in the picture oddly enough weren't any of the 'One-Ders'. I liked Liv Tyler in her role as the put upon girlfriend of Jimmy Mattingly; her blistering breakup with Jimmy really changed the tone of the story there for a minute. The guy I really liked was hotel owner and doorman Lamarr, effectively portrayed by Obba Babatundé. Unless I'm mistaken, I don't think I've ever seen him before and thought he played a wonderful character. I'll have to keep my eyes open for another appearance of his.Over all, not a bad little story that charts the meteoric rise and fall of one of the era's fictional bands. But don't fret, there were plenty of real ones you can pay tribute to - how about The Surfaris (Wipe Out), The Standells (Dirty Water), and The Capitols (Cool Jerk) to name a few. Any one of those is enough to perk your ears up when they come on the radio.",That Thing You Do!
5,gavin6942,Catchy Tune Propels The Film,7,2 June 2015,"A Pennsylvania band scores a hit in 1964 and rides the star-making machinery as long as it can, with lots of help from its manager (Tom Hanks).There is nothing really new here. A cast of fresh-faced kids (and a young Liv Tyler), rising up in stardom, and stumbling along the way. We all know what happens if we let fame get to our heads and we leave our friends behind.What makes this film stand out is the catchy tune. Even though they play it a dozen times throughout the film, it never really gets old. Had the song been not as good, the film would drag and certainly would not having the staying power it does. (Not unlike ""Eddie and the Cruisers"", which is very much anchored by its ""Dark Side"" song.)",That Thing You Do!
6,lee_eisenberg,Perfectly done,10,5 March 2006,"It seems that most actors and actresses eventually want to direct movies, but when they do, there's always suspicion that it might be little more than a publicity stunt. Well, I can say that Tom Hanks's directorial debut was very good. Portraying a 1960's rock 'n' roll group's rise to fame, ""That Thing Do You!"" makes one truly nostalgic, even if you didn't live through that era (I was born long after the '60's had ended). Obviously, the band portrayed is loosely based on the Beatles, but that's no crime. It's a very cool movie. Even more interesting is that I now know that it was one of Charlize Theron's early movies: she plays the Guy Patterson's (Tom Everett Scott) first hubby. Within a decade of course, she became the first person from Africa to win an Oscar. Liv Tyler also showed the same flair that she would bring to later movies. All in all, really neat.",That Thing You Do!
7,jboothmillard,That Thing You Do!,6,22 September 2005,"I always thought that the twice Academy Award winning actor was good on screen, and then I saw this and I saw that he could be good behind the camera as well. Tom Hanks wrote, starred in and directed this film, I never knew he had it in him. It basically tells the story of a band trying to rise in fame and popularity, especially to be number one. This unknown college band have created their own song called ""That Thing You Do!"" and one day they meet Mr. White (Hanks) who works in the music industry, he believes that the band have talent and he wants them to make this song a record and make it number one. Obviously there are moments of despair when the band members complain about stuff to Mr. White, but it ends pretty well. Starring Tom Everett Scott as Guy Patterson, The Lord of the Rings' Liv Tyler as Faye Dolan, Johnathon Schaech as Jimmy Mattingly, Steve Zahn as Lenny Haise, Ethan Embry as T. B. Player, Monster's Charlize Theron as Tina, Obba Babatundé as Lamarr, Lost in Translation's Giovanni Ribisi as Chad and Chris Ellis as Phil Horace. The song ""That Thing You Do"" was nominated the Oscar and Golden Globe for Best Song. Good!",That Thing You Do!
8,ccthemovieman-1,A Refreshing Throwback,9,25 August 2006,"I remember when I first saw this in the '90s and thinking, ""Wow, what a shock: a modern-day movie with no no villains, no nasty people and nary a cuss word."" I kept waiting for that stuff, and it never appeared. It also has a nice sentimental ending. The story is a simple one about a group of average guys who form a band and become one-hit wonders.Tom Everett Scott, a young Tom Hanks-lookalike, is an appealing lead and Liv Tyler looks very, very pretty in the female lead role. The band in this almost-old-fashioned musical, is good to hear, too. They are a throwback to the old movie musical days of Mickey Rooney and Judy Garland. Yes, you hear the same song (the movie title) over and over but's a great song which is very catchy. The rest of the music is decent, too.Speaking of Hanks, he plays the promoter of the group. It's not a huge part but Hanks, as always, is entertaining. The whole film is, and, is refreshing to see.",That Thing You Do!
9,moonspinner55,"Familiar tale told freshly, honestly, with appealing cast",8,18 March 2001,"We've sorta been down this road before: 1960s pop band makes it out of their dead-end hometown for Hollywood, but fame and fortune unravel the fun. Still, this picture has remarkable focus, careful period detail, and a lovely cast that rarely (if ever) strikes a false note. If some of the young actors sometimes seem like they're doing Tom Hanks impersonations, that's okay because director Hanks (himself a co-star) seems to know these characters inside and out--and he likes them. We in the audience are quick to respond, and even the conventional parts of the movie work because Hanks rides over clichés with verve and enthusiasm and wit. Not a raucous comedy a la ""I Wanna Hold Your Hand"" (which is what it looked like to me in the ads), this has its share of subtle moments. There is a mean-spirited dig at the Frankie & Annette ""Beach Party"" flicks, and the ready-made romance at the end is sugar-coated, but ""That Thing You Do!"" is immensely likable. It has a huge heart. ***1/2 from ****",That Thing You Do!
