,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,There are already over 2000 reviews for this....,8,11 November 2018,"Because more than 2000 folks have already reviewed this film on IMDB, I'll keep my review very brief. After all...what's one more review among so many?!The movie was a bit of a shock when I found it, as somehow I really didn't hear much about it and I wasn't even sure if it had yet debuted. Much of this is because after so many ""Star Wars"" films, I find that a sort of fatigue has set in...much like how I feel about all the super hero films. But, as I was on a 13+ hour flight, I wasn't in a position to be picky and decided to watch the movie.I was surprised to read that the movie is only rated 7.0 (meaning it must have ticked off a lot of fans) and really made almost nothing at the box office. Much of this is because I actually enjoyed the picture...and more than I'd expected. The story about the young Han Solo is exciting throughout and I also appreciated its dark tone and willingness to kill off characters (much like the previous installment)...but perhaps this is why fans were not so impressed by this one. All I know is that I liked seeing a darker film and it kept my interest throughout.",Solo - A Star Wars Story
1,TheLittleSongbird,Going solo,8,3 June 2018,"Am a big fan of the original 'Star Wars' trilogy, with 'The Empire Strikes Back' my favourite but 'A New Hope' is a genre and film landmark. Don't mind the prequels actually but they are very flawed and vastly inferior. Loved 'The Force Awakens', liked very much 'Rogue One' and liked 'The Last Jedi' better than most while considering it a very uneven film.Part of me was excited to see 'Solo: A Star Wars Story', mainly to see how an origin story on one of the franchise's most iconic characters would fare and where it would fit in ranking with the other 'Star Wars' films. Also to see whether my opinions would fit in the like it category or hate it one, considering how divisive 'Solo: A Star Wars Story' would be and how troubled production was. Seeing it yesterday, my opinion leans towards the liked it category with some reservations. In ranking with the other 'Star Wars' films, it is nowhere near as good as the original trilogy or 'The Force Awakens', is on par with 'Rogue One' and quite a bit better than the prequels and 'The Last Jedi'. Am aware that all this is out of step with most fans.'Solo: A Star Wars Story' is a long way from perfect. It does offer very little new (though not exactly a re-hash) and plays it a bit too safe, apart from a couple of big twists towards the end. The romance did have amorous chemistry but didn't develop enough and should have gone further.Found some of the humour forced, especially from outspoken L3-37, who irritates somewhat rather than amuses or intrigues and the outspokenness and gender politics really doesn't gel with the rest of the film. The ending did seem to leave room for a sequel but it felt confused and incomplete.However there is a lot to like. Loved the gritty yet audacious look of the production values, particularly the way it is shot and the exemplary production design. The special effects similarly are spectacular as are the action set pieces, the train sequence is a knockout. The music score is not as iconic as John Williams' scoring, but it is rousing, intense yet also beautiful with loving references to some of the most famous themes. The script is uneven but does provoke intrigue and does entertain and have enough to keep one invested. The story is familiar, but paced tightly and often a mega thrill ride. Absolutely adored Chewbacca, who is hilarious and endearing. His chemistry with Han is one of the film's biggest driving forces and is a sheer delight. Ron Howard does more competently considering the troubled circumstances, striving to make sure that the troubles didn't show on screen and it was a goal handled successfully.Performances are good, with a charming, swaggering and suitably arrogant Aldren Ehrenreich filling in giant shoes more than admirably. The best supporting performances, other than for Chewbacca, come from Woody Harrelson, bringing nuance and command to an unpredictable character, and a charismatic Donald Glover. Paul Bettany similarly deserves praise for making a very underutilised character malevolent and Emilia Clarke is enigmatic and luminous.Overall, a very enjoyable film that had room to be quite a bit better. 8/10 Bethany Cox",Solo - A Star Wars Story
2,bkoganbing,Star Wars back story film,6,14 January 2019,"Young Alden Ehrenreich steps into the large shoes of Harrison Ford as we learn
about the iconic character Han Solo's beginning, including how he teamed up with
a Wookie.Without disturbing the elements of the three classic Star Wars films that George
Lucas did, the Disney company seems determined to explore and dare I say it,
exploit the Star Wars franchise since they acquired the rights.As we saw when we met Han Solo way back in the day he's a guy who's no better than he ought to be, making a living with a little honest smuggling and
piracy. In this case he comes under the tutelage of a master criminal played
by Woody Harrelson.Ehrenreich goes out on a job with Harrelson to steal coaxium, a much in demand hyper fuel which will put anything that flies into warp drive or is that
that other science fiction franchise? It doesn't go as planned, but during the
course of things Han Solo now makes the acquaintance of his lifelong sidekick
Chewbacca.Lando Kalrissian played here by Donald Glover is another guy no better than
he ought and he and Solo hit it off. Even before we reach the time of the
Star Wars prime films, these two will do much business together.Ron Howard with both the characters and the spirit of Star Wars does a nice
job in keeping the saga going. No doubt Disney will do more back story
type films in the future.",Solo - A Star Wars Story
3,Leofwine_draca,Perfectly serviceable,6,26 November 2018,"SOLO is the latest stand-alone STAR WARS adventure and a follow-up to ROGUE ONE. This one's a prequel telling of the origins of Han Solo, how he met all his buddies (Lando, Chewie) and how he ended up as a fighter ace piloting the Millennium Falcon. It's a perfectly serviceable kind of movie, overlong and without much in the way of depth or originality, but certainly watchable and enjoyable at times. The CGI work is generally good and there's a wealth of action to keep your mind off the simplicity of the story. The central casting is less than impressive, with the lead actor doing nothing more than a Harrison Ford impression and Emilia Clarke feeling somehow false, like she did in TERMINATOR: GENISYS. Woody Harrelson plays these roles on autopilot by now and Paul Bettany is given little to do. I still stick by my impression that, of the STAR WARS franchise, only the original trilogy is worth bothering with, and all these prequels and sequels fail to recapture the same magic.",Solo - A Star Wars Story
4,SnoopyStyle,Necessary?,6,15 September 2018,"On the planet Corellia, young runaway couple Han (Alden Ehrenreich) and Qi'ra (Emilia Clarke) struggles under the protection and order of the local gang. Han steals a vial of fuel to bribe themselves off planet but Qi'ra is caught. He joins the Imperial Academy hoping to be a pilot and return to Corellia to save Qi'ra. Instead, he's relegated to being a trooper fighting on a muddy planet. He gets arrested for desertion and befriends a Wookiee named Chewbacca. They escape and join Beckett (Woody Harrelson) and Val (Thandie Newton) on a train heist for more of that fuel. They return to crime lord Dryden Vos (Paul Bettany) where he is surprised to encounter Qi'ra who has become Vos' trusted lieutenant.Movies are not necessary but is this movie even well advised? There may well be a way to do a young Han movie but one must understand his character in episode 4. He's a scoundrel who at the last minute joins the good side. It's an inflection point in his life and it gets diminished when he has a trial run in this movie. That's what this is. It's his journey in episode 4 except he leaves before accepting his medal. This would be better if this character is not named Han Solo and why do we need an explanation of his name Han Solo anyways? As a simple space thriller, it's fine but not great. It tries to be fun and irreverent but I don't find much fun in it. As for the ending reveal, Star Wars keeps making the galaxy smaller and more tightly wound. It needs to expand this world but with all the planet hopping, it never really expands anything. It takes all the little snippets of history from the franchise and manufactured a functional story construction. It works but it inspires nothing.",Solo - A Star Wars Story
5,Prismark10,Flying Solo,6,29 August 2018,"Solo: A Star Wars Story is a film no one really asked for and it had a troubled production history as the original co-directors got fired for having an irrelevant tone.Ron Howard was drafted in as a safe pair of hands and he constructs an exciting enough adventure which most of us will forget few hours after watching the film.The biggest problem is getting an actor to fill Harrison Ford's boots as a young Han Solo. Aldren Ehrenreich goes for more of his own thing which is wise in retrospect.His Solo is a cocky smuggler looking for that elusive break so he can start a new life with his girl, Qi'ra (Emilia Clarke). After forcibly being separated from her, Solo wants to go back looking for her but ends up joining the Empire as a pilot. However he has trouble following orders.Solo then hooks up with crook for hire Tobias Beckett (Woody Harrelson) for an elaborate heist, that one big score but nothing goes his way.We see Solo meet Chewbacca when the soldiers of the Empire throw him to fight with the beast. He plays a crooked game of cards with Lando Calrissian (Donald Glover.) All along he is among people not to be trusted, many have their own agendas, some who have formed deadly alliances.An entertaining spectacle which had one time threatened to be a mess. However this is a minor edition in the Stars Wars canon.",Solo - A Star Wars Story
6,nogodnomasters,I'm an Outlaw,9,19 June 2018,"A film that boosts both Woody Harrelson and Clint Howard can't be all bad. The Han Solo backstory includes his meeting Chewbacca and obtaining the Millennium Falcon. It does not establish his relationship with Jabba the Hutt something that would have made the film more interesting and maybe a Katina scene. The film does allow for a sequel to fill in where it left off and episode IV picks up. The film is not complex. There is no ""force."" It is the simple fun we have come to expect.",Solo - A Star Wars Story
7,kosmasp,Going Solo,6,18 October 2018,"I guess it might be a bit too late. Back when Harrison Ford made the character cool, it might have been relevant, but now? It seems even the hardcore fans didn't really want this. Then there is the timing. Apparently fans are not fond of Star Wars in cinema in the spring time. I guess they could've gone with a release date closer to May the fourth ... you don't have to be a Star Wars nerd to know the reference here.And I am anything but. I really came late to the whole thing. So I'm not really a fan of the first hour. I can't give you that perspective. I liked the movies overall, but I'm not crazy about them. And the same goes for this. I think it's nice, which is also what I think of most of the others too. It's entertainment and it works. None of my ""dreams"" or childhood memories are destroyed by this. It is a movie with cool actors (though Han is a bit bland I must admit, but has great support overall) and of course very well made (effects and all that) ...",Solo - A Star Wars Story
8,classicsoncall,"""You might wanna buckle up, baby!""",9,15 December 2018,"To paraphrase Han Solo regarding the movie, I had a pretty good feeling about it. I thought it had some of the magic reinstituted by ""Rogue 1"" that was missing from ""The Force Awakens"" and ""The Last Jedi"". While watching, I experienced some of the same feelings that I had forty years ago watching a movie that in the future would be retitled ""A New Hope"". Actually, that's what I think I liked about this picture, it filled in some of the gaps that were alluded to in the very first trilogy, like how Han Solo won the Millenium Falcon from Lando Calrissian (Donald Glover) in a card game, or how Han made the Kessel Run in less than twelve parsecs. We even learned here that Han fudged that number by rounding down, which means in the earlier stories, his braggadocio was entirely exaggerated. Not to mention that the route through the Akkadese Maelstrom was actually a short cut, measured in distance and not in time.Given the iconic status of Harrison Ford in the SW universe, I thought Alden Ehrenreich did a capable job filling some mighty big shoes. He had Han's guile and arrogance down fairly well, but still managed a likeability factor as an intergalactic outlaw. The early appearance of Woody Harrelson threw me for a loop, but he made the duplicitous character of Tobias Beckett work in a story that relied on a number of plot twists and surprises. When it came time near the end of the movie to settle accounts, the way Han responded with that unexpected shot that killed Beckett was reminiscent of the way Harrison Ford's character did the same against a tribal warrior as Indiana Jones in ""Raiders of the Lost Ark"". I wouldn't know if that was some kind of nod to the Ford Solo, but one could make the argument.The only thing that bothered me about the movie was the equal rights agenda for robots, pretty much on display any time L3-37 was involved as Lando Calrissian's droid pilot. There was even a hint of a Lando/L3 'romance' that was kind of creepy, so it didn't bother me one bit when the bad guys took L3 apart. But it was all overshadowed by the fun way the movie connected a lot of the previously unknown dots in the Star Wars universe, bringing a degree of fun back into the franchise. If Disney can maintain the same level of writing and sense of adventure with other Star Wars spin-offs, it would be a good thing for long time fans like myself.",Solo - A Star Wars Story
9,jboothmillard,Solo: A Star Wars Story,7,31 May 2018,"One was a really good prequel, fitting nicely in between Revenge of the Sith and A New Hope, this new Star Wars prequel movie fits in a similar position, I was hoping for another worthwhile watch, directed by Ron Howard (Splash, Cocoon, Apollo 13, A Beautiful Mind, Rush). Basically on Corellia, a shipbuilding world of, orphaned children are made to steal in order to survive. Young Han (Hail, Caesar's Alden Ehrenreich) and his lover Qi'ra (Game of Thrones' Emilia Clarke) escape a local gang chasing them. In exchange for passage for outgoing transportation, they bribe an Imperial officer with a stolen sample of the powerful hyperspace fuel coaxium. But before she can board, Qi'ra is apprehended by their pursuers, Han vows to return for her and joins the Imperial Navy as a flight cadet, as he is alone a recruiting officer gives him the surname ""Solo"". Three years later, Han has been expelled from the Imperial Flight Academy for insubordination, he serves as an infantryman during a battle on the planet Mimban, there he encounters a gang of criminals posing as Imperial soldiers led by Tobias Beckett (Woody Harrelson). Han tries blackmailing them to take him with them, but Beckett has him arrested for desertion and thrown into a pit to be fed to a beast, which is a Wookiee named Chewbacca (Joonas Suotamo). Speaking his language, Han persuades the Wookiee to work together to escape confinement, Beckett rescues them, for extra hands, and enlists them in the gang as part of a plot to steal a shipment of coaxium on the planet Vandor. The plan fails when Cloud Riders and their leader Enfys Nest (Erin Kellyman) show up, resulting in the deaths of crew members Val (Thandie Newton) and Rio Durant (Jon Favreau), and the coaxium shipment is destroyed. Beckett reveals he was ordered to steal the shipment for high-ranking crime boss Dryden Vos (Paul Bettany), from the Crimson Dawn syndicate, Han and Chewbacca volunteer to help steal another shipment to repay the debt. They travel to the yacht owned by Vos, where Han finds Qi'ra, she has joined Crimson Dawn and become a top lieutenant. Han suggests a risky plan to steal unrefined coaxium from the mines on the planet Kessel, Vos approves but insists that Qi'ra accompany the team. Qi'ra takes them to accomplished smuggler and pilot Lando Calrissian (Donald Glover), who she hopes will lend them his ship, Han challenges Lando to a game of sabacc, with the wager being Lando's ship. Lando cheats to win, but he agrees to join the mission in exchange for a share of the profits, the team board his ship, the Millennium Falcon, and they head for Kessel. After reaching the planet and infiltrating the mine, Lando's droid co-pilot L3-37 (Phoebe Waller-Bridge) instigates a slave revolt, this confusion allows them to steal a consignment of coaxium, but L3 is severely damaged and Lando is injured during the escape. The crew use L3's navigational computer, hotwired into the Falcon's systems, Han pilots the ship and takes a dangerous route to elude an Imperial blockade, the Falcon is badly damaged and lands on the planet Savareen to process the coaxium. During a confrontation with Enfys, who has tracked the team from Vandor, Lando flees in the Falcon. Enfys explains to Han that she and her crew are not pirates, but rebels trying to prevent the syndicates and the Empire from gaining power. Han becomes sympathetic to their cause and tries to trick Vos, but Beckett has double-crossed Han and already alerted Vos, who sends his guards to kill Enfys, but the Cloud Riders kill them instead, leaving Vos defenseless. Han has anticipated Vos' strategy, he tries to take the coaxium, only for Beckett to escape with it and take Chewbacca hostage. Qi'ra kills Vos and sends Han after Beckett, once she is alone, she contacts Vos's superior, Maul (Ray Park, voiced by Sam Witwer), to inform him about the mission's failure and Vos's position within the syndicate. Han catches up to Beckett and kills him, and he and Chewbacca turn the coaxium over to Enfys, she offers Han a chance to join the rebellion against the Empire, he declines, she says he will one day change his mind. Enfys gives him one vial of coaxium, enough to buy a ship of his own, Han and Chewbacca locate Lando and challenge him to a rematch in sabacc, but Han spots that Lando will cheat him again. Lando once again wagers the Falcon, Han has stolen the card Lando kept up his sleeve in order to cheat, Han wins, and he and Chewbacca leave for Tatooine, where a gangster (Jabba the Hutt) is putting together a crew for a heist. Also starring Linda Hunt as Lady Proxima, Ian Kenny as Rebolt, John Tui as Korso, Warwick Davis as Weazel, Clint Howard as Ralakili and Anthony Daniels as Tak. Ehrenreich is a good choice as the wisecracking smuggler, he does a lot like a younger Harrison Ford, and supporting stars Harrelson, Clarke and Glover give terrific performances, you could argue that is slightly more style over substance, it has great special effects and fast-paced chase and fight sequences, but the story is perhaps not as well crafted in places, at least this film fills in some gap for hardcore fans, it is very possible there will be more prequels to fill in other gaps, all in all this film is a fun science-fiction fantasy action adventure. It was nominated the Oscar for Best Visual Effects. Very good!",Solo - A Star Wars Story
