,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Manages to be even better than New Hope, and that was just as brilliant",10,29 November 2009,"The original trilogy of Star Wars contain three films, all of which are sophisticated, imaginative and enormous fun. I feared it wouldn't be my thing, but it was exactly that. I loved the original trilogy for all those reasons. Empire Strikes Back maintains all the fun of its predecessor, while even darker and more mature. Visually it's a marvel to look at, with the stunning special effects and highly imaginative-looking sets. John Williams's score is just outstanding, epic and monumental in every way. The story is darker than that of New Hope and perhaps more sophisticated, and I loved the fact the filmmakers made the romance between Leia and Han more developed. The battle sequences are mesmerising, the beginning is bound to have you on the edge of your seat, but the battle between Luke and Darth Vader was simply out of this world. The script is still as affectionate as ever, the pace is fast and the acting is great. Mark Hamill is ever as likable as Luke, and Carrie Fisher still has her spunk and vivacity. Harrison Ford is noticeably more subdued, but he is still terrific, and Frank Oz is a perfect Yoda. Chewabacca is hilarious, and Darth Vader is a fantastic villain, especially when voiced so magnificently by James Earl Jones. All in all, a perfect successor to an already brilliant first film. 10/10 Bethany Cox",Star Wars - Episode V - The Empire Strikes Back
1,bkoganbing,Exile To Hoth,9,24 September 2010,"Though the intrepid three heroes of Star Wars destroyed the Death Star commanded by Darth Vader, the rebel army is still on the run. They've taken refuge in a frozen planet called Hoth much like George Washington and the Continental Army at Valley Forge. In the meantime the Empire still searches for the rebel army in The Empire Strikes Back.When the attack comes, it comes full force, the rebels flee as do Luke Skywalker and R2D2 in one ship and Princess Leia, Han Solo, Chewbacca and C3PO. Mark Hamill as Luke Skywalker is given a mission in a dream by the late Alec Guinness, killed in the first Star Wars film to receive Jedi Knight Advanced Training from the legendary Yoda and he seeks him out. Harrison Ford and Carrie Fisher and company seek out Ford's old friend Lando Kalrissian to repair his ship after Ford plays a dangerous cat and mouse game with Darth Vader's battle cruiser.As Lando Kalrissian, Billy Dee Williams steps into the Star Wars pantheon of heroes and proves quite useful if not quite on the up and up. George Lucas continues his tradition of writing about futuristic Homeric like heroes in a galaxy far away. And as cinema, The Empire Strikes Back continues the quality of excellence that the original set. Looks like the Force is definitely with George Lucas.",Star Wars - Episode V - The Empire Strikes Back
2,SnoopyStyle,Best Star Wars FILM,10,6 May 2016,"After the destruction of the Death Star, the Rebel Alliance has been hounded by the Empire. Princess Leia, Luke Skywalker, and Han Solo are with the Rebel forces on the secret base on the planet Hoth. Darth Vader locates the base driving the rebels on the run. Leia, Chewie, and Han with C-3PO escape on the Millennium Falcon eventually ending up in Lando Calrissian's Cloud City. Meanwhile, Luke goes to the Dagobah system and finds Jedi Master Yoda.There are superior popcorn movies in the Star Wars franchise although there is plenty of eye-popping action in this one. This is the best overall film in the series. The dialog is snappier. The combative romance between Leia and Han is the best. Everything looks great. It introduces Yoda and Lando. There are great legendary twists. It is a Star Wars movie for film fans. Even the Special Edition is the best of the original trio. There may be one or two stiff additions but most of them actually help. There are so many incredible moments in this.",Star Wars - Episode V - The Empire Strikes Back
3,Horst_In_Translation,"Okay movie, but not an epic",6,3 February 2016,"""Star Wars: Episode V - The Empire Strikes Back"" is the second film from the ""Star Wars"" franchise and the fifth in terms of chronology of the contents depicted in there. It was directed by Irvin Kershner over 35 years ago and had some success with the Academy Awards, even if not nearly as much as the first film. And I myself must say that I found it not better than the first (even if the IMDb rating says so), but also not much worse. Once again, it delivers especially on the visual side in terms of sets, cinematography and special effects while coming a bit short in terms of the story. The characters are all fairly memorable though, the humans and the others. There are many many characters that appeared in the first film already, for example Obi Wan Kenobi is even back for one scene, but there are also some interesting new additions, most of all the uber-famous Yoda. And Darth Vader is the main villain in here while being just one of several villains in the first film. A great light saber sequence is included here too.I said that I was not too overwhelmed by the story and that implies the plot as a whole, but also minor scenes and references. One example would be Calrissian's character obviously being totally scared of Vader for almost the entire film and then, completely out of nowhere, he suddenly has no fear anymore and joins the resistance fighters. Not very realistic character development. I also did not like the references in terms of mathematical probability early on. This makes it look really unrealistic that Skywalker survived or that Han Solo managed to control the spacecraft some time later.All in all, it was an okay watch at best and the film has several lengths, starts off nicely with the snow planet scenes, gets worse, but gains some momentum again towards the end. However, I believe that they could have done without roughly 20 minutes and kept this movie at 105 minutes instead of over two hours. You have to be very generous to appreciate this film as a whole as there were more than just a few weaknesses to it. Still, the good moments make somewhat up for it, even if the film never reached real greatness. Not once. Nonetheless, I will be generous and give it a cautious thumbs-up, especially for science fiction fans, which I am probably not really.",Star Wars - Episode V - The Empire Strikes Back
4,claudio_carvalho,Fantastic Sequel,10,13 December 2015,"The rebels' new base is hidden in the icy planet Hoth and Princess Leia (Carrie Fisher) commands a unit with Luke Skywalker (Mark Hamill), Han Solo (Harrison Ford) and Chewbacca (Peter Mayhew). During the investigation of a meteor crash, Luke is wounded and captured by a creature but succeeds to escape. While dying on the snow, he has a vision of Obi-Wan Kenobi telling him to go to the Dagobah system to be trained by the Jedi Master Yoda. Later he is saved by Han and they are rescued in the morning by the rebels. Meanwhile Darth Vader (David Prowse) sends probe droids through the galaxy to find the location of the base. The rebels are located and they need to leave the planet under the attack of the Imperial Fleet. However Luke heads to Dagobah to find Yoda while Leia, Han, Chewbacca and C-3PO travel to the planet Bespin to meet his friend Lando Calrissian (Billy Dee Williams) and repair the Millennium Falcon. However, they are betrayed by Lando and captured by Darth Vader. Meanwhile Luke has a premonition with his friends in danger and he decides to interrupt his training with Yoda to save them, despite the warning of Obi-Wan and Yoda. Will Luke be ready to face Darth Vader and save his friends? ""The Empire Strikes Back"", later retitled ""Star Wars: Episode V - The Empire Strikes Back"" is a fantastic sequel of Star Wars, with a great story. The plot has adventure, romance, comedy and betrayal and is engaging until the very end. The characters now are more experienced and bonded. The mannerisms of C-3PO recalls Dr. Smith, from ""Lost in Space"". This is the type of sequel that keeps the high quality of the original film. My vote is ten.Title (Brazil): ""O Império Contra-Ataca"" (""The Empire Strikes Back"")",Star Wars - Episode V - The Empire Strikes Back
5,classicsoncall,"""No! Try not. Do. Or do not. There is no try.""",10,8 June 2007,"The summary line is one of my favorite movie quotes of all time because it embodies a philosophy and a discipline. Whenever I hear someone say 'I'll try', I already know it's a cop out with no intention of getting involved with the task in question. Had George Lucas 'tried' to make the movie, it would never have gotten done. I guess that's why Yoda is my favorite Star Wars character. Yeah OK, he's a puppet, but the character of Yoda is like the Spock of the SW universe, a stabilizing force (Force?) who helps Luke remain grounded and in control of his emotions.I recall some disappointment the first time I saw this film during it's original theatrical release relative to the Han Solo cliffhanger, somehow I felt it took away from the structure I was looking for in the chapter following the original ""Star Wars"". Viewing it today I don't feel the same way. It dealt a momentary reprieve to the Han/Leia romance and allowed for analysis of the Darth/Luke relationship. Vader's attempt to shield his son from the Emperor by promising a turn to the Dark Side was ingeniously turned on it's head with Vader suggesting young Skywalker use his power to defeat the Emperor. The scene was cleverly done and Luke's response hinted at things to come in ""Return Of The Jedi"".My most recent viewing of this episode was only the third time since the original theatrical release, and I find that it hasn't lost any of it's impact, maintaining a vitality and excitement that time hasn't diminished. Watching the remastered DVD version, particularly with the sub titles, offers an entirely new perspective when you can pause and rewind to understand better what certain characters said. Perhaps that's why I found it a lot easier to keep track of the fine points of the story, place names like Hoth, Yavin and Bespin, and secondary characters like Governor Tarkin. All those subtle points add a more defined structure to the story, and helps one appreciate much more the intricacy of the universe created by George Lucas.",Star Wars - Episode V - The Empire Strikes Back
6,gavin6942,The Way Star Wars Was Meant To Be,9,7 April 2010,"Any comments here refer to the theatrical release, not the pile of rubbish known as the special edition. Rick McCollum should be tracked down and given a good kick in the pants.In your epic battles of good and evil, ""Empire Strikes Back"" pretty much takes the cake. We have everything here -- characters with depth, tragedy, romance, adventure... aliens that are believable. It has become cliché to compare ""Star Wars"" to ""Lord of the Rings"", and that's not entirely unfair... but, really, ""Star Wars"" is better and ""Empire Strikes Back"" is the best.As Dante Hicks says in ""Clerks"", this film is the best because it imitates life, ""a series of down endings"". Sometimes life is better than that, but it's often not. And whereas most movies want happiness, this one put Luke and Han in a bunch of bad situations with no hope of escaping unscathed. That's what makes this fantasy very much reality.",Star Wars - Episode V - The Empire Strikes Back
7,lee_eisenberg,I guess that the Force will be with the original series forever!,10,4 October 2005,"I don't know whether or not ""The Empire Strikes Back"" was better than ""Star Wars"" or not, but it's pretty much equally good. Since everyone knows the plot, I figure that I'll just talk about a few aspects. It's weird to think that Yoda was only introduced here; he's been such a central character in the series that it's easy to forget that he didn't star in Episode 4! In some ways, watching ""TESB"", you get the feeling that the people behind the scenes realized how lucky the series was making them, and so they decided to go all out. And they do just that. They played it to good effect here (I personally thought that ""Return of the Jedi"" overdid it a little). But anyway, the Force is with this movie from start to finish!",Star Wars - Episode V - The Empire Strikes Back
8,jboothmillard,Star Wars: Episode V - The Empire Strikes Back,10,4 March 2005,"One of the best film sequels ever made (along with The Godfather, Part II and Terminator 2), this is the second part to great original trilogy, and saga, from writer/creator George Lucas and director Irvin Kershner. ""A long time ago, in a galaxy far, far away"" on the ice world of Hoth, Luke Skywalker (Mark Hamill) is investigating possible Empire activity, only to be attacked by a snow monster. He manages to escape with the help of the Force and his light sabre, but he is still stuck in the blizzard, and before going unconscious and being rescued by Han Solo (Harrison Ford), he sees a vision of Ben (Obi-Wan) Kenobi (Sir Alec Guinness) telling him to go to the Degobah system and find Jedi master Yoda. So after a quick battle between the Rebels and the Empire, Luke, with R2-D2 (Kenny Baker) heads to this planet, and eventually he finds Yoda (a Muppet style creature voiced and performed by Muppet member Frank Oz, aka Miss Piggy and Fozzie Bear), and they start training. Meanwhile, Han, Princess Leia (Carrie Fisher), Chewbacca (Peter Mayhew) and C-3PO (Anthony Daniels) are in the Millennium Falcon, pursued by the Empire (because of a tracking device), and hide for a while in what they thought was the inside of a near meteor, but it was in fact the belly of a giant worm alien. When they do get out, they head for their destination to fix the ship, the planet Bespin, where they are greeted by Han's old shifty gambler friend (and original Millennium Falcon owner), Lando Calrissian (Billy Dee Williams). But what they didn't know is that Darth Vader (acted by David Prowse, voiced by James Earl Jones) and the stormtroopers arrived before them, and they are the bait of Vader's trap to get Luke, who he has become obsessed with finding. As a prize for finding them, Han Solo is frozen in carbonate and (when confirmed he is alive) is give to bounty hunter Boba Fett (Jeremy Bulloch) to be delivered to crime lord Jabba the Hutt (who you saw in the first film). Eventually, Luke does land on the planet, and he and Darth have a long and exciting light sabre fight, while Leih's gang escape in the Millennium Falcon. The pinnacle twist and great quote of the film is, after cutting Luke's hand off, Darth Vader revealing the truth about his father's death, he says ""I am your father!"" After this he is eventually rescued, has his hand replaced, and Lando and Chewbacca fly away in the Millennium Falcon, a more more obvious 'to be continued' moment. Also starring Julian Glover as General Veers. It won the Oscar for Best Sound, and it was nominated for Best Art Direction-Set Decoration, Best Music for John Williams and a Special Achievement Award (for visual effects), it won the BAFTA for Best Original Film Music for John Williams, and it was nominated for Best Production Design/Art Direction and Best Sound, and it was nominated the Golden Globe for Best Original Score. Star Wars was number 24 on The 100 Greatest Pop Culture Icons, the film was number 67 on The Ultimate Film, and along with the Episode IV: A New Hope, both were number 1 on The 100 Greatest Films. Outstanding!",Star Wars - Episode V - The Empire Strikes Back
9,ccthemovieman-1,Big Improvement Over The First Star Wars,9,10 June 2006,"Although called ""Episode V,"" this was second movie in the Star Wars 6-part installment and I've always thought one of the better entries in the series.If you watch the first Star Wars and then this one, you'll immediately see a vast improvement in the special-effects department. There is a much more polished look to this one, and improved sound In fact, the DVD transfer is outstanding considering the age of this film.While the first Star Wars was a bit subdued, this one picks up the action right from the start, although lulls are really appreciated because the first 40 minutes are pretty hectic. The most notable of those scenes are the gigantic robots which were awesome when this film first came out, and are still pretty good. The movie calms down after that opening land war but retains the viewer's interest with other things.The second half of the movie features two stories going on at once: the battle in space with most of the cast involved, and ""Luke Skywalker (Mark Hamill) in a swampland involved in his training sessions with the Master Yoda.Some of the movie's dialog is still corny, especially between Han Solo (Harrison Ford) and Princess Leia (Carrie Fisher) with their love-hate relationship, but it's not overdone. What is overdone is constant bleating noises emanating from ""Chewbacca,"" the wookie. That sheep-in-heat noise can get annoying after awhile. The ""Rambo"" action continues as it did in the first film, with the villains firing everything at our heroes and never hitting them. Ludicrous, but part of the deal. Those things you just put up with as the film, overall, delivers another interesting adventure, far more than the first Star Wars and leading up to the next one, which was even better.",Star Wars - Episode V - The Empire Strikes Back
