,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"As long as you know it ain't really ""Star Trek"" and don't mind, you're in for a nice ride.",8,14 October 2013,"As an old fogey of 49, I can't help but love the original ""Star Trek"" series. To me, this is THE ""Star Trek"". I had difficulty with the last Trek movie, the reboot, as it just seemed to violate so much of the original canon. However, given a bit of time, I guess I can turn off my brain and ignore the inconsistencies between the old and the new--even if the notion of an 'alternate universe' where such inconsistencies are accepted is something I still struggle with a bit.Since this film came out several months ago and by now there are 1832934 reviews (more or less), I won't make my review that long and I won't explain the plot. Sure, it's once again inconsistent--with an entirely new beginning story of how Kirk met his nemesis, Khan. And, it's inconsistent in a few other ways. However, it IS exciting to watch--and never really lets up. Plus, a few of the inconsistencies were still nice homages to the original (such as near the end when a DIFFERENT crew member enters the engines to save the ship and then says goodbye). Overall, a lot of action, a few nice explorations of characters and a film that lovers of Simon Pegg will ADORE since Scotty is given a much larger part in this one than in previous Trek films. Well made all around and well worth seeing. I assume they'll be making more of these and I hope to see them as well...unless they suck like ""Star Trek V"".",Star Trek Into Darkness
1,TheLittleSongbird,"Nowhere near greatness, hardly 'Star Trek's' darkest hour either",6,29 July 2017,"While it was not a perfect series (William Shatner's overacting, less than great production values and an iffy Season 3), the original 'Star Trek' series was a genre landmark and hugely influential and ground-breaking, also a mostly great series in its own right especially for the characters, the relationships and Leonard Nimoy's Spock.The films based on the original series were a mixed bag. A few great ones with 'The Wrath of Khan', 'The Voyage Home' and 'The Undiscovered Country', one in-between film with 'The Search for Spock' and disappointments with 'The Motion Picture' and particularly 'The Final Frontier'. There were ten 'Star Trek' films before this 2009 reboot, four being based on the 'Next Generation series where the only outstanding one was 'First Contact'. 'Generations to me was another in-between film and 'Insurrection' and 'Nemesis' were two other particularly problematic ones.Don't think 'Star Trek Into Darkness' is as good as the generally positive critical reception makes out, despite some really impressive elements (more so than those who dislike the film have made out), it is a heavily flawed film and does disappoint as a 'Star Trek' film. At the same time, as a film on its own 'Star Trek Into Darkness' is pretty decent but admittedly it could have been much better. While the disappointment is understandable and personally concur with a lot of the criticisms, it is nowhere near as bad as 'Star Trek' fans who hated it have said, coming from a subjective person this is not a 1/10 film.Visually, the film mostly looks great. The special effects are mainly fantastic and leave one in awe, while there is audacious and suitably moody cinematography and atmospheric lighting.Michael Giacchino delivers another winner of a music score, don't remember ever being disappointed by this man. Sure it is familiar, but it fits very well with the film and its mood and is unmistakable Giacchino, a beautiful score to listen to and has a lot of atmosphere.Where 'Star Trek Into Darkness' scores highly is in the action, it is staged in a way that generates a huge amount of thrilling excitement, tension and suspense. It's well shot too, and JJ Abrams knows how to deliver on the action and spectacle. The sound effects have a lot of authenticity.Regarding the story, 'Star Trek Into Darkness' evoked mixed reactions from me. It is rich in atmosphere and has some thrilling moments and truly exciting action, while the interplay between Kirk and Spock is brilliantly written and makes one feel quite nostalgic. The casting is in crucial parts bang on with some great performances. Chris Pine has garnered mixed reactions, to me he was more relaxed here and has a charisma that commands the screen.Zachary Quinto once again nails it as Spock, with huge shoes to fill, capturing perfectly what was so iconic about the character in the first place. Karl Urban is suitably cantankerous, Zoe Saldana is sexy and fiery and Leonard Nimoy makes a moving cameo. Best of all is Benedict Cumberbatch, who is sensational as Khan and is the best thing about the film, Khan is also the most interesting and most developed character and Cumberbatch gives him menacing intensity and sympathetic melancholy, a character who you fear but in some way understand his point of view.'Star Trek Into Darkness' has a lot of faults though. The script has some clunky moments, has comedy that really doesn't gel and is not very funny and fails to provoke much thought or have much depth, some of it feels dumbed down. Character development, something that 'Star Trek' at its best was particularly good in, is mostly lacking, outside of Khan, most of the cast actually are criminally underused and are very bland in personality (Urban was fine but was too much in the background), Alice Eve is little more than a window dressing plot device that felt incidental to the story and Simon Pegg (who is very funny in other roles) is irritating comic relief.Despite some good moments, the story was very problematic. That it has a lot of inconsistencies and continuity errors is just one problem, more of an issue was that some of it was in need of much more clarity because some of it is convoluted and under-explored, the big reveal is clumsy and far too obvious and the romance is shoe-horned, forced, underdeveloped and completely unnecessary.Although most of the film was well made, a few of the techniques that distracted a lot in 'Star Trek' (2009), especially the lens flares, still distract and look cheap. Abrams does action and spectacle well, but fails on what is a large part of 'Star Trek's' appeal when at its best which is the writing and the characterisation, both problematically executed and robs the film of heart and soul. The film is all big and noisy, but the brains and heart are missing.Overall, nowhere near greatness but hardly the franchise's darkest hour. 6/10 Bethany Cox",Star Trek Into Darkness
2,bkoganbing,Khan has returned,7,24 June 2013,"Zachary Quinto as Mr. Spock shows more emotion in Star Trek Into Darkness than Leonard Nimoy did during the entire run of the series and the various big screen incarnations. Considering the stress that he and Chris Pine as Captain Kirk are under in this one it is understandable.It's hard to tell who the enemy is in this one. We've got a Star Fleet Admiral played by Peter Weller who is sending the Enterprise on one dangerous mission and it seems more and more like its real purpose was to provoke the Klingons into an all out war.Their mission was to essentially assassinate a man named John Harrison who has defected to the Klingon Empire. But the last time such an assassination was ordered it was for either Admiral Yamamoto and for Osama Bin Laden. And the people carrying those missions out did not have the weaponry of the Enterprise.Instead Kirk takes Harrison alive which fouls up the plans of a lot of people. And Harrison whose real name is Khan and is played by Benedict Cumberbatch has really got an agenda all his own.By the name you'll recognize this as kind of a remake of the classic Star Trek, The Wrath Of Khan. But if you think you know then as a good Trekkie what's coming then you're in for a surprise. Important variations are made to the plot.The high standard of good science fiction and characters of idealism and fortitude that all the incarnations of the Enterprise have shown are faithfully retained here. This is truly the next generation of Star Trek.",Star Trek Into Darkness
3,Leofwine_draca,"Straight-up action, thus better than the first",6,9 September 2017,"STAR TREK INTO DARKNESS is the second film in the rebooted STAR TREK series, following on from the lacklustre first. The good news is that this one's a definite improvement, a straight-up action flick with a fast pace that takes your mind off the less-than-impressive moralising and character development of the cast. It starts off very well indeed, with Kirk and co. at the mercy of an unknown mega-villain running rings around Star Fleet, before turning into a typical outer space adventure in the second half.As an ensemble production, few of the cast get a real look-in, with an annoyingly 'heroic' Chris Pine failing to get the viewer on side (he was much better in UNSTOPPABLE) as Kirk and Zachary Quinto a bit stiff as Spock. Simon Pegg is better in his usual comic relief role (the same as his one in the MISSION IMPOSSIBLE franchise) while newcomer Alice Eve is a bit too chipper. It's left to the old pros like Bruce Greenwood and Peter Weller to really excel, although Benedict Cumberbatch is fine too as the villain of the piece, lit to look very much like an alien. Watch out for a great little cameo late on. The rest is a mash-up of heroism, endless CGI spectacle, and ordinary plotting.",Star Trek Into Darkness
4,SnoopyStyle,JJ Abrams reworks Star Trek 2,6,22 October 2013,"Captain Kirk (Chris Pine) ignores the Prime Directive to save Spock (Zachary Quinto) on a mission. Uhura (Zoe Saldana) is relieved. After terrorist attacks killing Adm. Pike, Adm. Macus (Peter Weller) sends Kirk on a mission to kill renegade John Harrison (Benedict Cumberbatch) who has escaped to the Klingon homeworld Kronos. They are joined by weapons specialist Dr. Carol Marcus (Alice Eve) and a new type of photon torpedo despite objections from Scotty (Simon Pegg).I appreciate the idea of reworking Star Trek 2 in this alternate universe. However if we are to compare the two, there are differences that don't shine a favorable light on this one. Whereas the 1982 original was operatic, poetic, and fun. This one is loud, lumbering, and dark. JJ Abrams must have expected the comparisons. This one is definitely flashier, and better looking. The CG sequences are awe inspiring like most of them today. We have advanced quite a ways.The original was one of good versus evil. They were simple sides. This one, we're trying to use Khan, then we're fighting him. It's not as clean of a storyline. There was a lot of minor questionable things like.... Why hide Enterprise in the ocean? Why put the bodies in the photon torpedoes? How did they get back to Earth all of a sudden? They're all minor and ignorable. But it builds an uneasy sense that something's not right. My analogy is that the 1982 movie is a perfectly solved Rubik's Cube. This one JJ Abrams jumbled all the pieces, put glitter all over it, and photoshop the heck out of it.",Star Trek Into Darkness
5,Hitchcoc,Too Many Fistfights but Enjoyable,8,7 June 2013,"As with most my age (mid-sixties), I've been through them all. Every attempt to nuance the regiment of characters that have spanned the realizable galaxy that is the home of the Star Trek conglomerate. I am pleased that there is less self-caricature than previously, less smirking and lame attempt at humor. This is an admirable attempt at a really good adventure. One of the reviewers likened it to ""Raiders"" and its ilk. The problem for me is that while I was taken in once again by a pretty good adventure story with amazing special effects, when I left, I had nothing that stayed with me more than a few hours. One of the problems with the high-tech world and the incredible expense involved is that we slip back to the lowest common denominator, lest we lose a less hip audience. My contention is that we can have highly intelligent science fiction without catering strictly to the nerd element or comic book purists. That involves writing. That involves not having an incredibly complex set of circumstances resolved through a fistfight on some Harold Lloyd, moving girder set. I think the potential is there. How about stretching things a bit more. When ""The City on the Edge of Tomorrow"" appeared lo those many years ago, the arrogant wunderkind Harlan Ellison took the Trek people to a wonderful place by ""writing a really good script."" Since Hollywood can do things it never could before, how about tapping into it and doing something incredible. I thought that our refugee from Sherlock Holmes had a great sinister quality that should have been embraced. So much for that. He is pretty much talk and pretty vulnerable.Again, I think this is well worth seeing, but I think that there is so much potential for something glorious.",Star Trek Into Darkness
6,claudio_carvalho,The Enemy of My Enemy Is My Friend,8,15 September 2013,"After violating the Prime Directive of the Federation interfering with the primitive inhabitants of Planet Nibiru, saving their lives from a volcanic eruption and exposing the Enterprise to them to save Spock (Zachary Quinto), Captain James Kirk (Chris Pine) is summoned by Admiral Christopher Pike (Bruce Greenwood) and loses the command of the Enterprise.Meanwhile, a Starfleet facility in London is bombed and the high-command has a meeting where the identity of the responsible, the former agent John Harrison (Benedict Cumberbatch), is disclosed. However, Harrison attacks the commanders; kills Spike and flees to Kronos, the land of the Klingons. Admiral Alexander Marcus (Peter Weller) assigns Kirk to kill Harrison and brings seventy-two torpedoes to the Enterprise to accomplish the mission. Chief Engineer Montgomery Scotty (Simon Pegg) refuses to receive the weapons and Pavel Chekov (Anton Yelchin) is relocated to his position and Dr. Carol Wallace (Alice Eve), who is a science officer specialized in weapons, joins the Enterprise crew. When they arrive in Kronos, they are attacked by Klingons but out of the blue, Harrison kills the Klingons and surprisingly surrenders to Kirk after knowing that the torpedoes are on board of the Enterprise. Then he discloses that he is Khan, a superhuman that was awakened by Marcus from a cryogenic pod to prepare the star-ships with powerful weapons for a war against the Klingons. When the Enterprise is intercepted by a mysterious starship commanded by Admiral Marcus, Kirk asks Khan to help him to save his crew.""Star Trek into Darkness"" is a great sci-fi with a good story of Kirk and his crew and a powerful villain. The good acting and direction associated to top-notch special effects make a highly entertaining movie. Surprisingly there are bad reviews in IMDb that must be ignored by those that like this franchise. My vote is eight.Title (Brazil): ""Star Trek Além da Escuridão"" (""Star Trek beyond the Darkness"")",Star Trek Into Darkness
7,nogodnomasters,We can not fire and we can not flee.,10,13 March 2018,"In order to appreciate this film, one must be familiar with the original series as well as the film series. To talk about the plot is pointless, other than to say Khan is back. Benedict Cumberbatch is a rather boring Khan who lacks the exotic look and class of Ricardo Montalban. Fortunately the cast of regulars can carry the film.The film also introduces Carol Marcus (Alice Eve). In the original film version Carol Marcus was an early conquest of Kirk (Chris Pine). She would have his child, a son who was ultimately killed by Klingons. If you have never seen the Khan film, then the juxtapositions in this film will be meaningless and the genius and enjoyment hindered.Another aspect of the early series is that it was reflective of the era with Klingons representing Russia and Romulans being China. That symbolism is meaningless today, so our writers cleverly use the aspect of terrorism as a way to maintain the original flavor of the series. Likewise the character of James Kirk, who did things on hunches and ""out of the box"" is maintained in this film, perhaps the only real reason we tolerated Shatner in that role in the first place.Dialogue is recycled. Zachary Quinto captures Spock. The role of Uhura has been expanded and Zoe Saldana kicks a lot of women to the curb. Bones (Karl Urban) still throws out the metaphors. Simon Pegg still needs to work on Scotty. John Cho is working hard to fill the big shoes of Sulu, whose stardom has multiplied as an Amazon reviewer. There is mention of Nurse Christine Chapel from the original TV and film series which didn't fit into the plot, perhaps a clue to the next script, or maybe I missed something. Perhaps some nice Trekkie could toss me a bone on this one in the comments section and I can edit this review.Be warned, there is zero character introduction. If you don't know who these characters are, the film will just be a special effects meh. The picture has its light moments, but I thought could use some more. Hopefully the next film we can re-introduce Harry Mudd a Star Trek favorite who made two episode appearances.Parental Guide: No f-bombs, sex, or nudity. A man wakes up in bed with two women. Alice Eve bra/panties.",Star Trek Into Darkness
8,kosmasp,Sci Fi light,8,29 August 2013,"To please the mass fan base is very difficult. And Star Trek and/or any of the spin offs that came from it, has a huge fan base. While I was more aware of the Next Generation TV show than the other shows that exist, I still appreciate what they're doing in recreating something known. I liked the first one (even despite the criticism it got) and thought it was really good.This one continues in the same vain, with great action and superb effects. Quinto and Pine really dug into their roles and the relationship they're having is what makes this movie really good. Having Alice Eve as a new face in it (her character will have people trying to guess what she's up to) also helps. Funnily enough her beautiful body seems to have distressed a few people who thought it was too ""erotic"" for a Star Trek movie. Before I even watched the movie I asked around (in Germany) and no one could pin point a scene that they thought was too risky! After watching it, I still think: ""Too much ado about nothing"".So let that not hinder your viewing experience! Enjoy a really good Science Fiction movie",Star Trek Into Darkness
9,classicsoncall,"""Why is there a man in that torpedo?""",7,19 May 2013,"I suppose the problem seasoned citizens like myself (some would call us old farts) have with re-boots like ""Star Trek Into Darkness"", is that we retain a sense of history and continuity with the original TV series or movies upon which the sequels are based. This wouldn't be a concern for the casual movie-goer or Trek fan, but I have an issue when a canonical character like Captain Christopher Pike (Bruce Greenwood) from the original series chapters ""The Menagerie, Parts I and II"", winds up dying in this film instead of peacefully living out his cerebral life on Talos IV the last time Kirk and Spock left him. And that would have been AFTER the events of this movie. I really wish screen writers wouldn't take it upon themselves to destroy continuity like that, but I know I'm barking up the wrong tree on this.There are other things too that don't blend well with Star Trek lore and history. Admiral Marcus (Peter Weller) going rogue the way he did to force a Klingon war would have been way out of bounds for Starfleet Command, and they would certainly have gotten involved before this movie was over. Kirk (Chris Pine) being de-commissioned and promoted again in the space of I don't know, maybe twenty minutes or so felt almost ludicrous to me. Yeah I know, he's the Captain and all, but how about developing that story line a bit if that's the way we're going.Now there were other things one might expect would have bothered me but didn't, so I'd like to touch on those as well. The young Spock (Zachary Quinto) actually crying real tears would be totally out of character for Leonard Nimoy, but I think the film set that up pretty well with remarks about Spock balancing his Vulcan and Earthly origins. Same thing with Uhura's (Zoe Saldana) flirtations with the First Officer; harking back to the first two episodes of the Sixties series ('The Man Trap' and 'Charlie X'), Nichelle Nichols behaved in a similar manner before the Spock character morphed into a being of pure logic. So I thought those precursors to the original Star Trek was a neat way of bringing ST history right in line with the TV show's stated mission of boldly going where no man had gone before.Besides that, most of the rest was simply action, relentless and galaxy defying destructive action on a grand scale. Personally I would forego some of that for the sake of more character and story line development, but alas, this is apparently a different era. I understand that, and for that reason I refrain from skewering the film too badly. I guess there's a place for it for modern day film fans who want over the top excitement and action in every flick, but I wonder what the reaction would be if a they made a film with as much thought and creativity that went into making 'The Menagerie' or 'Space Seed'. I could just hear Spock giving it his single word movie review - 'Fascinating'.",Star Trek Into Darkness
