,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,A highly enthralling game,9,16 February 2018,"With an interesting subject matter, advertising that drew me right into wanting to see it, a great cast (Jessica Chastain, Idris Elba) and one of today's best screen writers in Aaron Sorkin making his directing debut, 'Molly's Game' had a lot going for it and had more than enough to compel me to see it.Saw 'Molly's Game' a few weeks ago but didn't get round to reviewing it due to being so busy and my ""to review"" list being a long one and getting longer all the time. Likewise with my ""films to see"" list. Finally getting round to reviewing 'Molly's Game', to me it was a great film and worthy of every ounce of its positive reception, being one of the year's better reviewed films (another factor in my want to see the film). Not flawless, but one of the year's best? Yes. Absolutely. 'Molly's Game' perhaps runs a little too long and it fizzles somewhat at the end. At this point the momentum grips less and things ring false, particularly in the over-sentimental family elements (Elba's powerful speech makes the courtroom elements worth it).However, Jessica Chastain is a marvel in the lead and she is matched every step of the way by charismatic Idris Elba. Their chemistry blisters. Also worthy of credit are Chris O'Dowd and, more surprisingly, Michael Cera, known for their more comedic roles, being cast against type in very dramatic roles and being every bit as much at ease with them. Kevin Costner also hasn't been this good in years and that is saying a lot. Sorkin's directing debut is a very confident one and shows huge potential and assurance. Despite perhaps being too early to say, he is a better writer than as a director, only because he is so outstanding a writer. The energetic and stylish production values make 'Molly's Game' a visually striking film. The music score is not the most memorable or extraordinary there's ever been, but it at least fits and sounds appealing. On top of all that, 'Molly's Game's' story is fast-paced and highly enthralling. The poker elements fascinate and to me it wasn't talky and the narration wasn't that over-used or over-explanatory, there are far worse examples in film and for no reason at all. Other than the cast the other big star of 'Molly's Game' is the crackling script that sizzles in energy, razor-sharp in wit and consistently thought-provoking and entertaining.In summary, one game that is a must play. 9/10 Bethany Cox",Molly's Game
1,SnoopyStyle,Sorkin almost overwhelms,7,4 April 2018,"Molly Bloom (Jessica Chastain) is driven by her domineering father (Kevin Costner) with trust issues. After a devastating crash during the Olympics ski trial, she decides to live life in LA for a year before starting law school. She's the black sheep of the family. She starts as a waitress, an office manager, and then organizing high stakes poker for her boss. With famous actor Player X (Michael Cera) as one of her regulars, she starts her own game. After some success, it goes wrong and she has to restart in New York. Years later, she is arrested as a part of a Russian mafia trial. Two years earlier, she had written a book about her exploits after the government confiscated all of her money. She hires reluctant Charlie Jaffey (Idris Elba) as her lawyer.Molly is a hard character to empathize with. She has a thick wall between her and the audience. She opens up very slowly but her wall never truly falls down. There is a climatic scene with her father in Central Park where her character breaks down emotionally. That meeting is too convenient. Is it even real? It would have been so much easier for him to be stalking her outside her apartment. There is also a tendency for Aaron Sorkin to overwrite his scenes. I love his poetic machine gun style but sometimes it's too much. For example, Jaffey's outburst at the opposing lawyers is too flashy. A simpler and more effective way would be for him to slowly realize the ridiculous Molly wiretaps and have a giant belly laugh. She doesn't say a word and he tells them about the drug reference. Sorkin needs a bit of silence which would actually elevate the writing. Sometimes, he is too much of a good thing. Molly has a great story. There is a small chance that Sorkin overwhelmed the telling of it.",Molly's Game
2,Horst_In_Translation,It's on,6,15 March 2018,"""Molly's Game"" is a Chinese/American/Canadian new movie that is mostly in the English language and at 2 hours and 20 minutes, it is one of the longest big players this awards season. It culminated in another Oscar nomination for writer Aaron Sorkin, for whom this film is also his very first directorial effort almost at the age of 60. Lead actress Jessica Chastain managed (like Sorkin too) a Golden Globe nomination for her effort here and she is basically in almost every scene from start to finish. The movie is based on the book by the real Molly Bloom and funnily enough Bloom is younger today still than Chastain who played Bloom in the very early stages of her life too, not the childhood scenes though obviously. But Chastain works the part and this film here is definitely better than her also fairly recent ""Miss Sloane"". Idris Elba is probably the male actor with the most screen time here, but honestly his material is very mediocre most of the time and I am saying this as a big fan of Elba, especially on Luther. It is really all about Chastain. All about Bloom and not so much about all the male characters surrounding her. Interestingly enough, there is not really one other female character who even plays a supporting role in the grand scheme of things. For me as a Dark Angel fan, it was a truly nice surprise to see J. C. MacKenzie in here play one of the bigger supporting characters as he is in quite a few scenes. But the male supporting characters were all fairly fun and interesting, be it the completely unskilled poker player Bad Brad who beats the talented one (Harlan) eventually causing his demise, or be it Dean Keith who was fun too in the first half before he disappears. So was Chris O'Dowd in the second half. The only one who really did not fit was Michael Cera to be honest as some kind of business/poker mastermind pulling all kinds of strings. It just did not feel real. Then again, I think Cera is generally pretty limited, so this conclusion does not surprise me.As for the subject, yes it is about poker, but you don't need to know the rules or play the game yourself in order to enjoy the movie. I personally play very rarely and this was not a problem at all. The film is about much more. I do think the writing is the greatest strength of the film next to Chastain's performance. Especially the voice-over sequences felt very competent. But also most of the dialogues. Still there were problems. The ways in which they depicted the character's struggles to gain power over men and eventually quoted this as her key motivation did not always feel smooth and same goes for the parallel they are making towards her past as an athlete compared to her competitive spirit in the now. Or I should say later in the past as the now is really the trial I guess and everything else is just really long flashbacks. Costner did a good job for the most part and elevated the material most of the time, but the father-daughter relationship component, which proves crucial near the very end, did not always work in a way I hoped it would. It all felt a bit for the sake of it giving the movie additional emotional depth without really succeeding in that field and I am not surprised Costner did not receive any big awards attention here despite playing a fairly baity character as we find out at the very end. The film is not scared of depicting pain and violence and this is a good thing as it just fit in convincingly. On the completely opposite side, Sorkin does a good job with getting occasional moments of comedy in like the Kirke reference.On the downside, there were moments when the movie did not always feel 100% realistic and authentic like the pair of kings eventually appearing, but well it can happen of course, but chances are so minimal that it felt more for storytelling purposes really. But all in all, this was certainly a good watch. The film never drags and that is a pretty strong achievement for such a long movie I must say. It is definitely among Sorkin's best from what I've seen and does not need to hide behind his recent television work or ""The Social Network"", which earned him an Oscar and may still be his career-defining work. I definitely recommend Molly's Game and if you like most of the actors as much as I do, then that is the icing on top of the cake that will make it an even better watch for you just like it did for me, but also if not, you may want to check it out. It really is worth seeing. Finally, to close my review: One small reference about how the central character expects phone calls and the first one comes resulting in her dismissal, while the second one does not come after she was beaten up and had her life (and her mother's) threatened by the Russian mob thanks to (for Molly) lucky coincidence. Also interesting how the main character is really depicted as a very likable person despite all she did, also with the help of scenes that show her caring for and helping the poker players when their addiction gets the better of them. They definitely wanted to make sure here that audiences cheer for Molly and don't want her to go to jail for what she did. I have not read the book, so can't say how close the film is to the original literature it is based on. That's all now. Watch it!",Molly's Game
3,Prismark10,Coming up trumps,6,18 January 2018,"Aaron Sorkin delivers another film with sharp dialogue but this time he also takes on directorial duties in Molly's Game based on true eventsMolly Bloom (Jessica Chastain) comes from a family whose father demands excellence. A freak accident prevented Molly from making it to the US Olympic skiing team. On her way to law school, Molly ended up working in a bar in LA and then became a PA to a man who ran underground poker games for the rich and famous. Over time Molly learned the ins and outs of this side gambling operation and took over it by providing a better and more glamourous experience.As always Molly falls foul of the FBI and needs the help of a lawyer Charlie Jaffey (Idris Elba) who wants her to give the FBI some names of her high stake gamblers. Some of them were A list celebrities, others were mobsters.Sorkin adds depth to Molly by making her more than a smart driven woman constantly living of her wits. We see flashbacks of young Molly and her therapist father (Kevin Costner) who she was constantly flippant with.The film moves breezily, Sorkin adds some visual trickery to make poker look exciting but it does have a bloated running time and some of the gambling lingo just goes over your head. The biggest problem is people involved in high stake gambling are never going to be nice people and Molly herself is descending into drink and drug addiction. I also thought the parallels with the book The Crucible which the lawyer's daughter is reading just came across as rather ham fisted. Still Sorkin always try to write a film that has a bit of street smartness about it.",Molly's Game
4,nogodnomasters,Poor Man's Bagels,9,21 January 2018,"The film is based on the true story of Molly Bloom who went from Olympic try-out to cocktail waitress, to running a high stakes poker game for tips. She wrote a book about what happened and was arrested by the FBI. Jessica Chastain once again knocks it out of the park by playing a woman who is intelligent, confrontational, and witty. The biggest ""lie"" in the film was the drama and ability of Idris Elba who played her attorney. Mr. X (Michael Cera) is said to be Toby McGuire with a quick superhero reference to him. The Yankee ballplayer not mentioned by name was Alex Rodriguez. Other stars reported to be in the game were Leonardo DiCaprio, Ben Affleck, Matt Damon, and Macaulay Culkin. Names were changed in the film. Yes, it could have been better if all the stars played themselves. An interesting film with some first person narration. Guide: F-word. No sex or nudity.",Molly's Game
5,kosmasp,Rien ne va plus,8,12 April 2018,"I know this is not about Roulette, but I hope you understand the joke I was trying to make. If not excuse the pun, though I reckon some may already have left without reading after that summary. For those who continue (thanks) let me reassure you, that the movie is about betting and about how a woman put a lot on the line - just because she could, but also because once you're on a certain track ... it's difficult to leave.Jessica Chastain has a powerhouse performance in front of her and it's funny to hear how Aaron Sorkin felt about directing a script written by ... himself. Seems like he got an epiphany. It's not that easy and it's always nice to look at another job. I just hope he doesn't think too much about it, because the scripts he wrote were all good. And don't let the fact that this is based on a true story put it down for you ...",Molly's Game
6,classicsoncall,"""I bet heavy on the favorite.""",8,22 April 2020,"The thing that fascinates me about the life of Molly Bloom is how virtually inconsequential things in and of themselves can have such a major impact on one's life and career. I'm thinking of the little sprig of pine needles that upended her Olympic trial run for which she was a virtual shoo-in. Then there was the jerk Dean Keith (Jeremy Strong) who hired her, and despite his irritating persona, introduced her to the world of high stakes poker gambling which the feisty woman took as a challenge and ran with. Having hung on long enough to learn the game and the major celebrity players involved, Ms. Bloom (Jessica Chastain) eventually struck out on her own and became an even larger force in the gambling world.I've seen Jessica Chastain in a couple of other films (""Zero Dark Thirty"", ""The Zookeeper's Wife""), but never this glamorous or gorgeous. You could understand how the real Molly Brown, who was just as beautiful, would have become a magnet for the high stakes players who showed up at the Cobra Lounge and later, her own digs after the break with Player X (Michael Cera). With a high degree of integrity and personal discipline, Brown built a mini-empire that brought her wealth and made her name a household word in an underground economy.I'd have to agree with a handful of other reviewers here who comment on the length of the picture, playing out a bit longer than necessary by what felt like some repetitious events in Molly's experience. There's also the poker lingo that blows by so quickly you'll wonder just what the heck the voice over narration was talking about; I watched with captioning and it still left me in the dust. There was a great poignant scene later in the movie in which Molly faces her demanding father (Kevin Costner), the source of her early anger by pressuring a total insistence on perfect performance. Up until then, Costner was a minor figure in the story, but in that one scene he took a miniscule role and made it profound.",Molly's Game
7,lee_eisenberg,gaming the system takes some guts,9,13 July 2018,"I had never heard of Molly Bloom before seeing ""Molly's Game"", but I have to say that it's an impressive story. In a way, you have to admire what Bloom was able to pull off. Ethically questionable, sure, but as the judge noted, the Wall Street types commit far worse crimes.Jessica Chastain puts in a fine performance, with good support from Idris Elba as her lawyer. Having seen this movie, I expect continued good output from Aaron Sorkin. I recommend it.",Molly's Game
8,jboothmillard,Molly's Game,7,14 January 2018,"I saw the trailer for this movie before the end of 2017, it looked interesting, then I realised it would be a contender during the upcoming Awards Season, so that gave me more reason to watch it, it is the directorial debut of writer Aaron Sorkin (A Few Good Men, The West Wing, The Social Network, Steve Jobs). Based on the memoir Molly's Game: From Hollywood's Elite to Wall Street's Billionaire Boys Club, My High-Stakes Adventure in the World of Underground Poker by Molly Bloom. Basically Molly Bloom (Golden Globe nominated Jessica Chastain) as a young woman was a competitive skier, at one time ranked third in North America for women's skiers, but she was forced to stop after an accident whilst competing, due to the curvature in her spine. In her search for a new career in Los Angeles, Molly finds a job working for Dean Keith (Jeremy Strong), doing odd jobs, then she discovers the world of poker, and the fortunes it could bring. Using contacts from Dean's mobile phone, she invites a number of wealthy men, and some celebrities, to a high-stakes poker game, she uses the help of the internet to help her work out all the rules and regulations to make sure it runs smoothly. Having made a tidy sum on her first night, Molly decides to create an underground poker empire, renting a premise and hiring high class women as waitresses, her players include Hollywood celebrities, athletes, business titans and the Russian mob. Molly makes sure to go through all the channels to make sure what she is doing is completely legal, she soon gains a number of regular players, who are prepared to gamble and potentially lose fortunes, both the good and the bad players. Soon enough, it becomes apparent that what she is doing may not be strictly legal, so she moves to New York City to set up a new ongoing poker game business, renting hotel rooms, but no longer inviting celebrities. Of course, Molly runs into a number of problems, trouble with the Russian mob, facing bankruptcy, and she delves into drinking and taking illegal drugs, until finally she decides to end her business for good. A decade later however, Molly is arrested in the middle of the night by the FBI, and brought in for questioning, facing federal charges, for money laundering and illegal sport gambling operation, her only ally is criminal defence lawyer Charlie Jaffey (Idris Elba). However, her only support believes there is much more to the story of the poker empire Molly had than the tabloids reported, and that she has written in her book, so he presses her to reveal everything that she has left out. In the end, following a court session, Judge Foxman (Graham Greene) drops the numerous charges, deciding that there are more serious crimes to be examined, Molly is fined $1,000, and sentenced to a year probation, and 200 hours community service. Also starring Kevin Costner as Larry Bloom, Michael Cera as Player X, Chris O'Dowd as Douglas Downey, Bill Camp as Harlan Eustice, Brian d'Arcy James as Brad and Claire Rankin as Charlene Bloom. Chastain looks glamorous and is fantastic as the Olympic skier turned casino queen, nicknamed the ""poker princess"", Elba is great support as the sceptical lawyer, and special mention goes to Costner as the overbearing father, his best scene is on the bench with his daughter, where they are both brutally honest with each other. You don't necessarily have to know a lot about poker, I certainly don't, but knowledge about the complexities of business and making money will help, what could have been a dry and complicated matter is given life by the fast-paced editing and a snappy script full of razor-sharp dialogue, a terrific crime drama. It was nominated the Oscar for Best Adapted Screenplay for Aaron Sorkin, it was nominated the BAFTA for Best Adapted Screenplay, and it was nominated the Golden Globe for Best Screenplay. Very good!",Molly's Game
9,blanche-2,"You gotta know when to hold 'em, know when to fold 'em",8,15 May 2020,"""Molly's Game"" from 2017 is the true story of Molly Bloom, an Olympic-qualifying skiier who, after a couple of bad accidents, moves to Los Angeles and starts running underground poker games.We see Molly (Jessica Chastain) as she works for an awful boss, Dean Keith (Jeremy Strong) for whom she runs underground game and gets tipped by the players. Eventually she starts her own game. An altercation with one of the players (Michael Cera, possibly Toby Maguire in the real story) ruins her game. She leaves Los Angeles and starts over in New York. It's from there that things go downhill.Once the Feds target her, Molly turns to an attorney (Idris Elba) who doesn't want her case. He winds up admiring Molly's discretion, which costs her a great deal.This is really a terrific film, carried by the wonderful Jessica Chastain. She's a strong actress who can show vulnerability, and she's impossibly beautiful. The real Molly came from a very accomplished family - her father a psychiatrist, her brother an Olympic and World Cup skiier - and Molly was on track to become a lawyer. Instead, she chooses money, cache, and glamour. As a result, she ends up living an empty and ultimately empty life.Bloom wanted Chastain to play her, and it was an excellent choice. Chastain was able to play Bloom as the smart, beautiful, attention-getting woman she was, and still is.Supposedly Leonardo di Caprio was also part of Molly's games. He's the character who has on earphones while playing. Sorkin used real poker players in the film.This is a story of survival. Molly Bloom learned the hard way, you can look like you have it all and have nothing.",Molly's Game
