,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,cops are a problem,6,18 May 2021,"Child psychiatrist Anna Fox (Amy Adams) is depressed and agoraphobic. She lives alone in her Boston home. Her husband (Anthony Mackie) and daughter had left her. David (Wyatt Russell) is her tenant living in the basement. The Russell family (Fred Hechinger, Gary Oldman, Julianne Moore, Jennifer Jason Leigh) has moved in across the street. Anna witnesses a murder and calls the cops. Detective Little (Brian Tyree Henry) and Detective Norelli (Jeanine Serralles) do not believe her.Cops are often a problem in thrillers like this. They are made to look stupid for the sake of the plot. In this one, they come in hot and fast, dismissing her in the most arrogant way. It doesn't make sense even if she's wrong in some of the details. That first interaction derails an otherwise intriguing Rear Window wannabe. I am willing to buy that the cops grow distrustful of her story as they investigate more but their first meeting can't be like that. It's working too hard to be Kafkaesque. It needs to build to that. In the end, I can appreciate this despite that glaring misstep. It has great actors and an intriguing style with its premise.",The Woman in the Window
1,kosmasp,The woman beside herself/window,8,17 May 2021,"Yes if you are an avid movie fan and like thrillers, you should be aware of Hitchcock! Actually if you only want to watch one movie with someone bound to their apartment (for a different reason, but who's counting), make it Hitchcocks Rear Window! Having said that, this movie makes no secret where it draws its inspriration from ... right at the start you'll see a screen on the left that has a scene from said Hitchcock movie.Now just paying tribute or acknowledging the master does not make this a good movie. And I totally understand if some do not like this at all. It is a bit messy ... like the lead character. For me it was predictable to a certain extent ... and still I liked the way it handled itself and went on to reveal things slowly.So if you can overcome certain flaws this certainly has and just enjoy the thrill of it all, you may be able to have a good time (pun intended)",The Woman in the Window
2,Sleepin_Dragon,Very average unfortunately.,6,18 September 2021,"A housebound woman witnesses a brutal act in the house opposite, but is all as it seems?I have read the book, it's a great book, this is a moderately good adaptation of it. The issue here, was the pacing, at times it felt very dragged out, with some overlong scenes, and crazily long pauses, there's tension, and then there's overly slow, this couldn't find the balance.We've had the woman on the train, and at times this just felt like a rehashed version of that, only that was much better.I did think the acting was first rate, and despite such an illustrious cast, I did think that Amy Adams was the real standout.It's watchable, I wanted it to be great, 6/10.",The Woman in the Window
3,classicsoncall,"""Everyone else can move on. I can't!""",8,19 May 2021,"I thought the film did a good job of building tension and paranoia for Amy Adams' character, Anna Fox. Having her portray a child psychologist though, didn't seem to make sense, since you would think that a doctor wouldn't be caught up in so much delusion, except for the loss of her family impinging on her psyche. The twist with the phony Jane Russell (Julianne Moore) was a neat touch, and the picture had a way of stringing the viewer along trying to understand how Anna could have gotten things so wrong when the authorities got involved. There was a very cool and stylized blood splatter scene witnessed by Anna as she spied on the Russell apartment, a situation that had Hitchcock's ""Rear Window"" written all over it. What's never accounted for when the story concludes were whether Alistair (Gary Oldman) and the 'real' Jane Russell (Jennifer Jason Leigh) ever reconciled with the fact that their son was a serial murderer. One would hope that with the passage of time, Dr. Fox resolves her guilt and angst over the death of her husband and daughter, since except for the tragedy, she had all the qualities of a promising young woman.P. S. Who knows a psychiatrist who makes house calls?",The Woman in the Window
4,lee_eisenberg,not great but worth seeing,7,1 June 2021,"""The Woman in the Window"" is not a remake of ""Rear Window"". It deals more with questioning one's sanity (whether or not this involves gaslighting). Not a masterpiece, but worth seeing.",The Woman in the Window
5,blanche-2,"A little Rear Window, a little Witness to Murder, a little Copycat, and a hat tip to Hitch",7,28 May 2021,"Amy Adams stars in ""The Woman in the Window"" from 2021 (actually made in 2018), along with Gary Oldman, Fred Hechinger,Julianne Moore,Jennifer Jason Leigh, Wyatt Russell, and Brian Tyree Henry. The screenplay is by Tracy Letts.First things first, I didn't read the book, so my review will have nothing to do with it.Anna Fox is a child psychologist, who, after a tragedy, has become an agoraphobic, pill-popping alcoholic who lives in a dark New York City house with her cat, Punch. She spies on her neighbors and checks them out on the Internet.She befriends a boy from across the street, Ethan (Hechinger) who brings her a gift from his mother. Later, a woman (Julianne Moore) visits Anna. She seems to be Ethan's mother, Jane Russell.Anna is uneasy about Ethan, because after watching their apartment, she thinks his father is intimidating and worries about the boy. The, through her window, she sees Jane stabbed by someone.However, the police don't believe her. Jane's husband (Russell) is livid with her and introduces her to his wife Jane (Leigh) - obviously not the woman Anna met. Despite her protests to the police, Anna is clearly written off as a nut.I actually thought this a very good and effective film. I mentioned Copycat in my subject - I am referring to a very good film starring Sigourney Weaver from some years back. There were elements of it, as well as the obvious homage to Rear Window and the Stanwyck film Witness to Murder.In short, The Woman in the Window is derivative, but still good, with quite a surprising ending. I thought the acting was terrific. Amy Adams, a very pretty woman, manages to look bloated with bags under her eyes in this, which is perfect for the role.One thing I loved were the film references, to Dark Passage, Laura, and Spellbound, as well as the name ""Jane Russell"", and that spiral staircase that screamed Vertigo.I highly recommend this film. I know people who read the book hated it, but if you didn't, I think you'll like it.",The Woman in the Window
6,BandSAboutMovies,The story of the story is better than the story,3,8 September 2021,"Between Nocturnal Animals, Sharp Objects and this, is Amy Adams kinda becoming a giallo queen? Or just a woman in danger of being killed and/or going insane? Umm, isn't that a giallo queen?You know what also seems like a mystery worth digging into? The writer of the book that this was based on, A. J. Finn, is really a book editor named Dan Mallory who may or may not have lied in regards to - according to this New Yorker article - having a doctorate from Oxford, multiple family and personal cancer battles and he death of his still-alive father, mother and brother. Plus, there are allegations that he took on the identity of his brother to send emails about a fake cancer condition - fake online identities are part of the story of The Woman in the Window - and that pretty much the entire story of The Woman in the Window didn't come from his imagination.The article then presents us with a summary of a story: ""An American woman in mid-career, a psychologist with a Ph. D. and professional experience of psychopathy, is trapped in her large home by agoraphobia. She has been there for about a year, after a personal trauma. If she tries to go outside, the world spins. She drinks too much, and recklessly combines alcohol and anti-anxiety medication. Police officers distrust her judgment. Online, she plays chess and contributes to a forum for stress-sufferers, a place where danger lies.""Yes, that could be this movie. But it's also the 1995 Sigourney Weaver-starring film Copycat.And it's also very similar to Sarah A. Denzil's Saving April, including an identical ending.So yes, the world has many magical moments and I believe in the collective unconsciousness, but this is too much to bear.Maybe we should just discuss the movie before I'm tempted to dish on my own experiences with people who continually reached out to me with personal narratives that were easily disproven.Anna Fox lives alone in Manhattan after separating from her husband Edward who lives somewhere else with their daughter - can you guess this plot twist? - and her agoraphobia, prescriptions and alcohol abuse keep her inside the house. Yet one night, she meets her new next-door neighbor Jane Russell (Julianne Moore) and her son Ethan, who seems abused.Then, like Rear Window, she watches Jane die at the hands of her husband Alastair (Gary Oldman). When she calls the cops, she meets Jane again, who is now Jennifer Jason Leigh and reality starts to be untrustworthy for our protagonist.You know how in Scream they make fun of the cliches of slashers while still following them? Like somehow it's just fine to make the same narrative choices as long as you reference them? That's what Anna's collection of Hitchcock films is all about. So if you show scenes from Spellbound, Dark Passage and Laura - as well as Rear Window - you can take as much as you want. Someone get Argento and DePalma on the phone and let them know that critics who took them to task just for referencing so much Hitchcock that if they had only had some clips and hammered home references, all would have been fine.There's also Anna's slightly sleazy boarder David Winter (Wyatt Russell, somehow always a jerk in movies) and the police who are no help - hello, this is a giallo - with Detective Little (Brian Tyree Henry) only coming around to Anna's truth by the end of the film.You know, they should just make the life of Dan Mallory into a movie.But then everyone would think it was ripped off from The Talented Mr. Ripley.",The Woman in the Window
7,Calicodreamin,Slow,5,18 May 2021,"While a solidly twisty end, this movie was just too darn slow. A lot of periphery scenes that didn't add much and the final ten minutes felt wildly out of place. Adams' acting was good, and she looked suitably disheveled for a woman hopped on booze and pills. This was just underwhelming as a psychological thriller.",The Woman in the Window
8,ferguson-6,at least Amy Adams delivers,5,14 May 2021,"Greetings again from the darkness. Agoraphobia (the fear of leaving one's home) has been the topic of a few films over the years, but for whatever reason, none of them have really clicked. Of course, director Alfred Hitchcock brilliantly used a wheelchair-bound James Stewart to create his tension-packed classic REAR WINDOW (1954); however, there's a psychological difference in being stuck at home due to injury, and being mentally and emotionally unable to bring yourself to walk out the front door due to anxiety and fear. Controversial author/editor AJ Finn (pseudonym of Dan Mallory) wrote a 2018 best-selling debut novel around this affliction, and now Tracy Letts has adapted the novel for the screen and director Joe Wright (DARKEST HOUR 2017, ATONEMENT 2007).Amy Adams stars as Anna Fox, a child psychologist suffering from agoraphobia after a horrible car accident. She never leaves her Brownstone. She has groceries and prescription drugs delivered to her door, and conducts business over the phone. She has also mastered the internet and memorized dialogue from numerous classic films. Anna also spends an inordinate amount of time spying ... um, observing ... her neighbors through the window. Anna has a pet cat, and also a tenant living in her basement. We don't learn much about David (Wyatt Russell) until later in the film.The story is broken down by the days of the week, and begins with Monday when Anna meets Ethan (Fred Hechinger), the son of the Russells who just moved in across the street. On Tuesday, Anna meets the character played by Julianne Moore, and the two have a chat about her son Ethan, in addition to bonding over wine ... a beverage of frequent choice for Anna. On Wednesday and Thursday, all heck breaks loose as Anna hears a scream and witnesses a stabbing in the home of her new neighbors. The cops don't believe her and Ethan's dad, Alistair Russell (Gary Oldman), shows up accusing her of lying, boozing, and hallucinating on prescription drugs. It's not a pretty sight for Anna.The first hour does a nice job of setting the scene for Anna and her struggles, plus creating confusion and misdirection on what she's experiencing and ""seeing"" in regards to the situation in the Russell home across the street. We get a feel for the strange dynamic with David, the phone calls with her husband Ed (Anthony Mackie), and her therapy sessions with Dr. Landy (screenwriter Tracy Letts). It's really Act 3 where things went off the rails for me. It seemed there was an attempt to cram too much into too short of time. The ending is clear and helps us make sense of everything that has come before; however, it just came across as forced, and out of step with what we had watched in the first hour.Other supporting roles include Brian Tyree Henry as a Detective, and Jennifer Jason Leigh. In fact, the stellar cast includes two Oscar winners in Julianne Moore and Gary Oldman, a previous Oscar nominee in Jennifer Jason Leigh, and of course, Amy Adams, who has six Oscar nominations. Ms. Adams carries most of the movie with yet another terrific performance, while the others really aren't given much to do. It's rare for me to say this, but I believe the material would have been better served as a two- or three-parter, rather than a relatively short movie. It was initially delayed in 2019 for re-shoots and a re-edit, and then again in 2020 due to COVID. I might have been somewhat disappointed in the final project, but I suspect this will be hugely popular on Netflix.Premieres on Netflix on May 14, 2021.",The Woman in the Window
9,lasttimeisaw,Cinema Omnivore - The Woman in the Window (2021) 6.4/10,6,17 May 2021,"""Set up as a single-location thriller, patterning over Hitchcock's REAR WINDOW (1954), the film asks our housebound heroine Anna Fox (Adams), a child psychiatrist, to play amateur sleuth, after she chances upon witnessing a murder across the street. For one thing, director Joe Wright (whose career is on a slippery slope) maxes out the limited spatiality to pleasingly chromatic effects, the whole movie boasts a sleek sheen which dazzles while the plot either meanders or skitters, and informs you where its money is spent (other than the paycheck for its stellar cast). Oddly, the ambience is ambivalent, the murderous intention or act has no threatening air, as if what you are watching is a prestige drama of a woman fighting for her sanity, and the reveal of the killer is hurried and he is such a featherweight menace to cow even a beaten woman like Anna, and the rickety rooftop has already suggested his slipshod downfall.""",The Woman in the Window
