,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Fast Cars And Those Who Drive Them,5,9 April 2009,"I had just come from a rather desultory day at the movies where I saw the sequel Fast & Furious to this film. I had written in the review that you probably would have had to see the first film in order to fully appreciate what was going on. Wouldn't you know it, the FX channel was broadcasting this tonight. I was partially correct, but this film had a bit more plot to it and didn't concentrate on just the special effects and the violence which was served up fast and furious. Vin Diesel is a criminal who races cars as an avocation and does hijackings for a living. The FBI wants him, the LAPD wants him and Paul Walker is an LAPD cop gone undercover to get him.Walker takes his assignment quite literally and part of getting undercover is under some blankets with Diesel's sister Jordana Brewster and getting it on with the young lady. But he also proves his driving abilities to Diesel.Diesel's racing rivals are some Asian gangbangers headed by Rick Yune and Walker would dearly like to pin something on them. Still it's Diesel his superiors want and it's Diesel they will have come what may.Paul Walker compromised his effectiveness as an undercover agent thoroughly in this film. In fact at the beginning of the sequel it is remarked that he's lucky to still be holding a job. Makes for some rather unbelievable viewing.But fans of fast cars and those who drive them will definitely like The Fast And The Furious.",The Fast and the Furious
1,Leofwine_draca,Good race scenes lift a fast-paced thriller,5,11 July 2016,"Here's a throwaway popcorn flick that manages to be engaging thanks to the central storyline, that old chestnut of the detective going undercover and becoming friends with the man he's supposed to be sending to jail. The old, old plot is given a new spin with a fresh cast and an interesting backdrop – illegal street racing. Given the MTV expectations, the film is as flashy as you would expect thanks to director Rob Cohen, packed with pumped up loud music to drive to and enough testosterone to fill three football fields. Still, have no misconceptions: this is a high-octane thrill-ride and professes to be nothing more and nothing less.The film certainly satisfies on the action front, with some madly exciting car chases and stunts, although there is a definite lull in the action around midway which is a bit surprising. Thankfully things finish off with an expertly done, extended set-piece involving a truck and an amazing car crash to finish things off (ludicrously spoilt in the trailer). Even cooler, the DVD allows you to rewatch the stunt from EIGHT different camera angles, a feature which has made the format for me.The characterisation is a bit thin on the ground but the two leads are strong: Paul Walker does nothing wrong as the young undercover cop, and Vin Diesel manages to be effortlessly cool and a natural born leader again after PITCH BLACK. The supporting cast is ho-hum, but it is interesting to see DIE ANOTHER DAY's Rick Yune without all that makeup on. Not a perfect movie, but fast-paced and interesting enough to be worth a look.",The Fast and the Furious
2,SnoopyStyle,Cars look cool and Babes look hot,7,2 November 2013,"Dominic Toretto (Vin Diesel) leads a group of friends and family to street race in the LA night. Brian O'Conner (Paul Walker) is a cop working undercover to infiltrate his gang of suspected truck robberies. However he finds himself falling under Dominic's charisma and for Dominic's sister Mia (Jordana Brewster).There is a lot of silly action, and unrealistic story lines. This is purely style winning over substance. The cars look cool and babes look hot. But it's the Vin Diesel presence and Paul Walker pretty boy looks that provide the heart of this movie. The boys have amazing chemistry and the gang feels like a real family. The story is almost unnecessary.",The Fast and the Furious
3,Horst_In_Translation,How it all began,4,4 June 2017,"""The Fast and the Furious"" is an American movie from 2001, so this one had its 15th anniversary already last year. It runs for 105 minutes roughly and the script was developed overall by no less than 4 writers, the most known one being David Ayer I guess. The director is Rob Cohen and this is probably still the most known effort from his career. He never returned to direct any other of this franchise's films. And now I said it already that this action movie we have here is the very first from the extremely long-running F&F franchise that is still very strong today. Eight films have been there so far and two more are already greenlit. The franchise seems unstoppable as even the death of number 1 lead actor (at least in this film we have here) Paul Walker did not put an end to the series. But we don't wanna talk about his tragic fate today, but instead focus on this film we have here. Tragic, or at least sad, is also a fitting description for the film I would say as I was not convinced by anything in here really apart from the effects perhaps. People often say that this is a movie for men, but if you take a look at the demographics here you will realize that women have actually given it an 0.3 higher rating, which of course also has to do with the quantity of voters. But still, saying this is a film for men is is pretty inaccurate in my opinion as it would imply that men have worse taste in film than women because honestly there is nothing impressive at all about the story here, the character writing and also the performances.I believe that in terms of depth, the story could have fit in under one hour as well. The rest is mostly ""cool"" quotes that add nothing really, gimmicky behavior from the characters and then of course the pompous action scenes that turn this film into a definite case of style over substance. The core story of a cop infiltrating a gang of very fast drivers in order to get evidence on illegal activities is nothing that hasn't been done before and frequently better. If you read the actors' names, you also know that honestly you can't expect any powerhouse performances in here. It is all subordinated to the visual side and with the casting they absolutely made sure none of the cast members is going to take any attention away from that. The epilogue is probably even more embarrassing than the rest and honestly, having seen none of the many many sequels, I truly hope they managed to step things up and give audiences more than pointlessly spectacular car sequences and when they had enough of that, they switched to motorbikes and even helicopters. With films like this, there is of course always the opportunity for pointless fun, but this requires the film to not take itself as seriously as this one here did on several occasions. I give it a thumbs-down and like I said: If the following films don't show improvement, then I probably cannot be as generous as I was here with my 4/10 rating. Watch something else instead.",The Fast and the Furious
4,kosmasp,Diesel Show,6,11 August 2009,"While Paul Walker is the Protagonist (main role) in this movie, Vin Diesel steals the show. Apart from the car stunts that is. Because if you don't have good stunts, than the movie doesn't work at all. The story as it is, is pretty cliché, but it's nice fun and it's also watchable.Especially because as mentioned, because of a mesmerizing (for this genre) performance from Vin Diesel. A few flops later and nobody remembered why he was called the new Action Hero, but watching this (and of course the superb ""Pitch Black"") might remind you why you liked him in the first place (or could be a reason to discover him for a younger audience). Cars, women, insane stunts, solid/decent acting (for this genre) and nice characters ... what more could you ask for, from a movie like this? Not much more I think :o)",The Fast and the Furious
5,classicsoncall,"""I live my life a quarter mile at a time.""",7,26 July 2021,"I'm really late to the party on this one since it's now twenty years old. My reservation has always been watching a mindless action flick with over the top stunts and CGI enhanced special effects. Well, I wasn't let down in my assumption, but if you can pardon the pun, it was a pretty wild ride. Vin Diesel is one of those bad guys you can't help rooting for, he's like Ric Flair or Randy Savage in the wrestling world. His character is Dom Toretto, leader of a street racing gang, excuse me, 'team', and the story line is built around him and undercover cop Brian O'Conner (Paul Walker), who infiltrates the racing community in order to stop a string of trailer hijackings. The racing action is to be expected, and even somewhat believable until you get to that manic hijacking where the truck driver is pretty adept at protecting his rig, while O'Conner jumps in to pull Toretto's fat out of the fire, along with his top gunslinger Vince (Matt Schulze). It wouldn't be a hot car flick without some hot babes and you have that as well with a couple romantic angles thrown in, but the main attraction is the street cars and the unparalleled stunts they're asked to perform. There's a reason it's called 'Fast and Furious'.",The Fast and the Furious
6,gavin6942,Somehow Created a Series,6,23 August 2016,"Los Angeles police officer Brian O'Connor (Paul Walker) must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.As of now (2016), I cannot even keep track of how many films there are in this series. At least eight, maybe nine, and that's not counting the original version which has almost nothing to do with this one. How this movie spawned a whole industry is beyond me.Not that it is a bad movie, but it really has no depth at all. A guy races cars, and everyone else races cars, and the guy is attracted to another guy's sister. It all falls into place so easily, no hassle, no time to find out who anyone is. And yet, this is the movie that made Paul Walker immortal.",The Fast and the Furious
7,lee_eisenberg,Improbably cool.,7,9 March 2006,"On one level, ""The Fast and the Furious"" is two hours of machismo. But on another level, it does show the subculture of street racing. Before it came out, I'd never known that people soup their cars up with nitrous oxide to increase speed. Vin Diesel plays his typical role, and Paul Walker almost seems like a side character.I should identify that much of the movie looks pretty improbable. I won't divulge the scenes right here for risk of spoiling the movie, but trust me: you'll know these scenes when you see them. But like I said, the movie does give one an insight into the world of street racing. I never saw the sequel; I heard that it was the average kind of sequel (and summer 2003 saw a slew of lousy sequels).",The Fast and the Furious
8,jboothmillard,The Fast and the Furious,6,14 May 2008,"This was the first film in what would become a non-stop high octane franchise full of cool and fast cars racing and chasing each other, including lots of action and some stunts along the way, directed by Rob Cohen (Dragonheart). Basically a string of high-speed truck robberies, stealing millions of dollars worth of electronic equipment, have been occurring, Los Angeles street racing gang leader Dominic Toretto (Vin Diesel) is under suspicion for these hijacking crimes. Brian O'Conner (Paul Walker) is an officer for the LAPD and goes undercover, joining Toretto's highly skilled crew of racers, taking part in many illegal late night street races for high stakes. As time goes by however Brian is compromising his assignment by becoming part of Toretto's life, he is sympathising with the chief suspect, and falling in love with Toretto's sister Mia (The Faculty's Jordana Brewster), he eventually starts to try and prove Toretto's innocence. Also starring Michelle Rodriguez as Toretto's girlfriend Letty, Die Another Day's Rick Yune as Johnny Tran, Chad Lindberg as Jesse, Johnny Strong as Leon, Ted Levine as Sergeant Tanner, Matt Schulze as Vince, rapper Ja Rule as Edwin, Space Jam's Thom Barry as Agent Bilkins and Bruce Almighty's Noel Gugliemi as Hector. Diesel with his gravely voice is cool, Walker is blank most of the time but a reasonable hero, and supporting cast members Brewster and Rodriguez do fine as well. To be honest, the storyline going on is not the thing to pay the fullest attention to, as the title suggests it the pedal-to-the-metal stuff, all the colourful and cool cars fuelled up, with extra rocket boosters and switches, that speed and crash their way around, and the explosions and stunts along the way keep the pace up as well, all in all it is a worthwhile action thriller. Good!",The Fast and the Furious
9,Tweekums,Fun if fairly mindless action flick,7,12 November 2015,"Brian O'Connor is a Los Angeles police officer who is working undercover to discover the identity of a group involved in a series of truck hijackings. To this end he tries to get in with the street racing community. To do this he will not only need to take part in the races he will have to impress the other racers. His bosses are convinced that one Dominic Toretto is behind the crimes but as Brian gets to know him he becomes less sure and is soon convinced that a group of Chinese racers are the ones involved is this really the case or of Brian becoming a bit too friendly with Toretto? He has also fallen for Toretto's beautiful sister which leads to some friction with another one of the group who also has the hots for her.If you are looking for the 'Citizen Kane' of action movies this isn't it; however if you just want some good mindless fun with fast cars and a good looking cast you could do much worse. Early on I thought this would just be 'Point Break' with street racers instead of surfers in many ways it is but there are as many differences as similarities. As one might expect there are a succession of action set pieces; this include several races, fights, shootings and a spectacular truck robbery that goes horribly wrong. These are pretty exciting even if they are a bit unrealistic at times an example of this is the truck hijacking; it takes place on what appears to be a main road but we don't see a single other vehicle for the entire scene if you can ignore this sort of thing this shouldn't detract from the film. The cast might not be Oscar contenders but the do a solid job. Overall this is a solid enough brain-in-neutral action film.",The Fast and the Furious
10,BA_Harrison,The start of Universal's biggest franchise to date.,7,25 July 2015,"A slick, adrenaline-fuelled action flick featuring a hot cast, a cool soundtrack, and countless custom cars, The Fast and the Furious is designed primarily to appeal to the young petrol-head crowd—those who would spend a fortune on a sound system for their ride and then blast crap music out of the windows while sat in a McDonald's car park (at least here in the UK). Anyone heavily into car culture will probably wet themselves in excitement over the modified machines on display.But even if the idea of highly-polished Japanese street cars with more expensive accessories than a Kardashian doesn't get your pistons pumping, there's always the human eye-candy: for the ladies, there's blonde-haired, blue-eyed Paul Walker and bald bit of rough Vin Diesel, while the guys get numerous tasty young women to ogle, including Jordana Brewster as Vin Diesel's younger sister and Michelle Rodriguez as feisty girl-racer Letty. We also get lots of impressive stunts to keep the pulse pounding, with a great chase scene featuring one character dangling from a truck cab while being shot at by the driver, and a white-knuckle jump across railway tracks in front of an oncoming train that results in a spectacular crash.",The Fast and the Furious
