,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Okay, but with a lot of faults",6,13 April 2011,"I have read the book. I loved it, I thought it was both chilling and heartbreaking with a fine story and credible characters. I do think it is much better than the film, which was solid enough but lacking a strong emotional core.I will start with the film's faults. The story is a very intriguing one, but it is quite slow complete with holes and any parts that strived to be heartbreaking came across as mawkish. The script is quite weak often, particularly with Susan Sarandon's character in the sense that it is never quite sure which direction it wants to go. But what hurt the film most was some aspects of Peter Jackson's direction. Jackson is a good director don't get me wrong, but he does make some decisions that detract from the impact of the story rather than enhance it. Especially with the CGI, not that it was bad CGI in fact it looked quite good, what I mean was that there was a complete overload of it and I think some of it was unnecessary.However, the film does look absolutely beautiful, with beautiful scenery and cinematography. The score gives a haunting, eerie and intoxicating quality too. While the story is flawed, there is a good atmosphere especially in the more chilling scenes, where they are quite chilling and that's an understatement. Apart from two performances, the acting is quite good. The best performance comes from the very promising child actress Saiorse Ronan, who is just tremendous here. Stanley Tucci is very chillingly effective too, and Mark Wahlberg is surprisingly good. The two performances I wasn't so taken with were Rachel Weisz, who is wasted, and the normally solid Susan Sarandon, who overplays quite badly.All in all, an okay if inferior adaptation. 6/10 Bethany Cox",The Lovely Bones
1,Leofwine_draca,A boring and impersonal look at the afterlife,4,10 October 2011,"What is it with Peter Jackson? The guy is capable of making excellent movies (BRAINDEAD, the LORD OF THE RINGS trilogy) yet, like Spielberg, he keeps making films that should have been great which end up flawed (the KING KONG remake for one). THE LOVELY BONES is his worst yet, a truly disappointing adaptation of a popular novel about a teenage girl who's murdered and finds herself in a kind of limbo while her family struggle to come to terms with their loss.The film feels watered down and weak. The set-up is fine, and all goes well through the murder and Susie's realisation that she's dead and in some kind of dream/fantasy world that's not quite Heaven. Here the film falls apart with another overly bloated running time and a distinct lack of momentum. I was looking forward to some ruminating on the afterlife, but what we get instead is Jackson letting rip with his CGI dreamscape. There are so many pretty effects going on at all times that narrative drive is totally forgotten about.Back on Earth, things are a little more interesting, although not much. Mark Wahlberg and Stanley Tucci give the best performances as the grieving father and sinister killer respectively. However, the female roles in this film are appalling, with Rachel Weisz playing an unforgivably unsympathetic character (I hated her more than the killer) and Susan Sarandon's bizarrely-judged comic relief role just coming across as, quite frankly, embarrassing. Are we really meant to burst into laughter at her shenanigans considering the maudlin nature of all that's come before?The film does feature flashes of inspiration in places, revealing what it could have been. A suspense sequence in which Susie's sister Lindsey finds herself in grave danger is very well realised, but such moments don't sustain the lengthy run time. Wahlberg's nice-guy personality and Tucci's dodgy behaviour aren't enough to keep us entertained either. Saoirse Ronan is pretty weak, I thought, and I was never once moved by her character's plight as I should have been. No, THE LOVELY BONES is a definite missed opportunity and I hope Jackson rediscovers some of his former magic with his forthcoming Hobbit movies.",The Lovely Bones
2,SnoopyStyle,mishmash of tones,6,25 January 2015,"It's 1973 in a Pennsylvania suburb. Susie Salmon (Saoirse Ronan) is 14 years old living with her parents Jack (Mark Wahlberg), Abigail (Rachel Weisz), younger sister Lindsey (Rose McIver) and brother. She likes Ray Singh who slips a note into her book. As she walks home through the cornfield, she encounters her neighbor George Harvey (Stanley Tucci) who takes her into his underground hiding place. She escapes but eventually figures out that she's actually been murdered. School outcast Ruth lives by a sinkhole. That night, she sees Susie's spirit and finds Ray's note. Detective Len Fenerman (Michael Imperioli) investigates the disappearance and then her murder. Suspicions fall on Harvey but there isn't enough evidence. Holly is another Harvey victim who urges Susie to move on. The Salmon family struggles and Jack asks his hard-drinking mother Lynn (Susan Sarandon) to stay with them.The movie suffers from a mishmash of different tones. The serial killing is dark and horrific. Then there is the magical otherworld which needs to be much more creepy. It's too magical and not enough tension. Saoirse Ronan is terrific who keeps the movie upright. I don't even know what Sarandon is doing in the movie. This movie is trying to slam together a teen girl romanticism and a serial killer horror movie. The mashup doesn't really work but it is an interesting attempt.",The Lovely Bones
3,Hitchcoc,Was It That Bad?,6,12 February 2010,"Having read the book and gone into the theater without reading any reviews, I was astonished at the venom directed at the film. I agree that it is disappointing, but so many said it was about the worst thing ever produced. When one sees speculative fiction like this, we are caught in our own preconceptions of what the afterlife would be. I hated ""What Dreams May Come"" because it had that pretentious view that we are spoon fed our whole lives of a palpable heaven and hell. This one has some of the same elements. What driving force in the universe would bother to solve a murder mystery or bring closure to people who are already dead. However, the acting is good. The story is moderately interesting. The characters are certainly worth the trouble. Stanley Tucci is really marvelous, so it's hard to imagine giving this only a one out of ten.",The Lovely Bones
4,Horst_In_Translation,"Sometimes good, sometimes not so good",6,3 February 2016,"""The Lovely Bones"" is an American 135-minute movie from 7 years ago written and directed by Peter Jackson. He and his wife adapted the popular Alice Sebold novel for their work here. This film was made after Jackson had finished the ""Lord of the Rings"" trilogy and before he moved on to ""The Hobbit"". The genre here is entirely different compared to his epic adventure films. But he still tries to give it a special touch and this is probably what hurt the film the most. I definitely would have preferred this movie with almost no fantasy references at all. It would have been okay with Ronan's character watching her killer and her family deal with the consequences of her murder, but that's it. Sometimes it feels as if Jackson intended to make this really epic, but the whole tone and topic is just not suited for that. I certainly would have preferred this being the chronology of a crime with what happens before, during and after the murder.I believe this was a missed chance. If Jackson had done it the way I wanted, it may have been too different from the base material, but I still would have preferred that. Maybe the book just isn't a good basis for film. The cast in here is very talented and there was absolutely the possibility of this turning out a wonderful experience. I am not saying this is bad or a failure of any kind, but it's more of a missed opportunity. It is still a good film, even great during some occasions. Tucci was nominated for an Oscar for his performance here and even if I preferred him in ""Julie & Julia"" from the same year, I still believe he played his part excellently in ""The Lovely Bones"". His scene with Ronan down in the cave is easily one of the highlights. Wow.. his laugh was so creepy. Another memorable moment would be Ronan realizing what really happened to her when she realizes where the killer put her corpse and the scene with Ronan's character's sister trying to find the evidence in the killer's house was incredibly tense. Great chase sequence.The heart and soul of the film are not only Tucci's and Ronan's performances, but it is also the story about being able to move on after losing a beloved one and, at the same time in this film, for the one who was lost to move on. What I did not like as a consequence was what happened to Tucci's character in the end. It feels like justice somehow and of course, it is somewhat of an audience pleaser, but to me it completely goes against the point of the story. It was all about the family finally being able to leave behind what they had to leave behind in order to lead a fulfilling life again. The fate of the killer became irrelevant to them at this point and what actually happened to him then was a complete contradiction to the family's well-being. On a less important note, I think the way Wahlberg's character realizes who the killer is was not particularly well done. It felt neither credible nor realistic. And if the killer really had such a long history of crimes, then how incompetent must the police be to still not realize he's the one they were looking for. I also did not like the romance parts about Ronan's character and the boy at school and the other girl at school. This reference to letting go did not feel too accurate to me. It was really all about the family.All in all, this was a good film, but not nearly as good as it could have been if it had been closer to Eastwood's ""Mystic River"" for example. But I guess gritty crime thriller just isn't Jackson's thing. Anyway, Ronan and Tucci make this one certainly worth a watch, even if I believe they should have kept it a bit shorter, maybe at 2 hours max and not much of value would have been lost. Overall, I give it a cautious thumbs-up.",The Lovely Bones
5,claudio_carvalho,I Really Wanted to Like This Film.,6,3 July 2010,"On 06 December 1973, in Norristown, Pennsylvania, the fourteen year-old suburban teenager Susie Salmon (Saoirse Rona) is lured and murdered by her pedophile neighbor George Harvey (Stanley Tucci) that hides her remains in a safe in his basement. Susie sees the despair of her beloved family and the serial killer from heaven.I really wanted to like ""The Lovely Bones"", a film that puts Peter Jackson, Susan Sarandon, Rachel Weisz, Mark Wahlberg, Stanley Tucci and the awesome Saoirse Rona working together. Unfortunately the screenplay is awful and the direction of Peter Jackson is terrible, wasting Rachel Weisz with a minimum participation and Susan Sarandon in a silly role. Stanley Tucci is excellent, as usual, and Mark Wahlberg is effective in the role of a grieving father seeking out his missing daughter. The girl Saoirse Rona is fantastic but unfortunately she is unable to save a lame screenplay that oscillates between a beautiful fantasy ""à la Ghost"" to a senseless heavy drama. Peter Jackson does not succeed in balancing the elements of the dramatic story and makes a much messed, unpleasant long film. My vote is six.Title (Brazil): ""Um Olhar do Paraíso"" (""A Look from the Paradise"")",The Lovely Bones
6,kosmasp,To know or not to know,9,8 September 2010,"I have to admit, that I haven't read the novel yet, therefor can not judge the movie, by how faithful it is to the book. Now that that's out of the way, let me tell you that I thought it was one of the best movies I watched this year. It's poetic, it's acted very great and even the fact, that the ""twist"" comes very early on does not have a negative impact on the movie.Of course, it is almost impossible not to know, what the early twist is (even if you haven't read the book, like me). If possible try to avoid reading too much beforehand and just walk into the movie, just knowing Peter Jackson made it. And although even the mystery is taken away (you know who did what), it is beautiful from beginning til end. There are so many great visually stunning scenes, that are also acted great, that I just had to love it.The pace might be a problem for some. But try not to think about it too much. And hopefully you will enjoy it as much as I did.",The Lovely Bones
7,lee_eisenberg,beyond the world of hobbits and giant apes,6,27 February 2019,"Having made his mark on cinema with the LOTR trilogy and ""King Kong"", Peter Jackson took a slightly different turn with ""The Lovely Bones"". I knew pretty much nothing about it when I started watching it, so the material was shocking. I wouldn't call it any sort of masterpiece, but the movie certainly did what it set out to do. I found the grandmother to be the most intriguing character, as she continues her life no matter what happens. I can see why Stanley Tucci (in an Academy Award-nominated performance) wanted to rein in his character's actions. But the bulk of the credit goes to Saoirse Ronan in the lead role. She gives it the same energy that she did in ""Hanna"", ""The Grand Budapest Hotel"" and ""Lady Bird"".In the end, I recommend it.",The Lovely Bones
8,jboothmillard,The Lovely Bones,4,1 August 2011,"I think I saw this reviewed on Film 2009 with Jonathan Ross where he gave it a little bit of a mixed review, and I heard a few things about how the book that this is based on is better, but I willing to give it a chance, from director Peter Jackson (The Lord of the Rings Trilogy, King Kong). Basically Susie Salmon (Atonement's BAFTA nominated Saoirse Ronan) is the fourteen year old girl who is telling the story of her life, and more significantly her death, in 1970's Pennsylvania, from a place between Earth and Heaven. Pedophile serial killer and neighbour George Harvey (Oscar, BAFTA and Golden Globe nominated Stanley Tucci) raped and killed her, despite the fact that she saw herself escaping the room beneath the ground in the field. As she explores this fantasy world where anything is possible, she watches her family, including father Jack (Mark Wahlberg), mother Abigail (Rachel Weisz), sister Lindsey (Rose McIver) and alcoholic Grandma Lynn (Susan Sarandon). They are all obviously distraught at the death of Susie, but also at the disappearance of her body, and it seems to many things that happen on Earth cause change in the new fantasy world. For example Jack had a hobby for placing small model ships in clear bottles, and when one or two of these are smashed this appears in the fantasy world as large full scale ships in bottles crashing to shore. Ultimately Susie is watching over them as they grieve for her, struggling to carry on with any life they can without her, and seeing the evil Harvey seemingly getting away with his crimes, but in the end he gets what he deserves and Susie is allowed to pass on. Also starring Michael Imperioli as Len Fenerman, Jake Abel as Brian Nelson, Amanda Michalka as Clarissa, Reece Ritchie as Ray Singh and Thomas McCarthy as Principal Caden. Ronan gives a good young performance just like her previous film, Tucci as always gives a great performance, here as the dangerous man, and Whalberg, Weisz and Sarandon also get their time on screen. Of course the real star of the show, besides a near enough engaging story told by a dead character, are the special effects to create the beautiful afterlife world, if you think back to Jackson's film Heavenly Creatures it is nearly similar kind of feeling, I can see that the film has its ups and downs, but overall a reasonably enjoyable fantasy drama. Okay!",The Lovely Bones
9,Tweekums,An interesting film despite its flaws,7,28 May 2012,"The opening narration by fourteen year old protagonist Susie Salmon tells us that she is going to be murdered; this doesn't take away from the drama it adds to it as there is a sense of dread as she goes with a trusted neighbour to the place she will die. Even though we know she is going to die it initially looks as if she has got away from the man but it soon becomes apparent that something isn't right; she runs through almost empty streets and the few people she sees don't appear to notice her. By this time she is late home from school and her parents are starting to panic; it is only a matter of time before the police find her hat and a large quantity of blood; there is no sign of her body though. As time passes her father finds it harder and harder to move on; constantly calling the police with his latest theory as to who might have done it. His wife can't take it any more and moves out shortly after her mother moves in. All the while it looks as though the killer is taking an interest in another potential victim; Susie's sister Lindsey. All the while this is going on Susie is somewhere between this life and an afterlife; another girl, who calls herself Holly Golightly, tries to guide her onwards but she isn't ready; not until her family have come to terms with what has happened.I had heard fairly negative comments about this but thought I'd give it a go as I'd enjoyed Saoirse Ronan more recent performance in 'Hanna' and while it had its faults I thought it was a good film. I really cared about the characters and thought the depiction of the family's reaction to their loss was very believable, equally I thought the depiction of the killer as a rather bland person rather than either an obvious monster or a charismatic charmer was realistic. The acting was solid throughout; Saoirse Ronan brought an ethereal quality to the role of Susie and Mark Wahlberg put in a suitably emotional performance as her father. The film wasn't just an emotional drama; there were also some genuinely scary bits such as when her sister went into the killer's house and it looked as though he would catch her. Those are the good things; on the negative side the depiction of the afterlife with its vivid colours and copious CGI didn't work for me. Over all I think it was better than I'd heard and is well worth watching despite its flaws.",The Lovely Bones
