,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Wow...talk about uneven!,5,20 October 2021,"""The Ballad of Buster Scruggs"" is a frustratingly uneven film. It's made up of six stories all set in the old west and the problem is that the tone and quality of the six segments varies widely. The first is, by far, the best and most interesting...and the only one that has anything to do with Buster Scruggs. The segments about the limbless man seems, to me, to be the most pointless and cruel. And the rest all fall somewhere in between. It's also very odd, as the first segment was completely comedic...sort of like a Roy Rogers or Gene Autry film with a sociopathic singing cowboy. But, oddly, most of the rest aren't funny in the least. Because of this, I just felt very frustrated as I watched....it just seemed incoherent overall. I would have much preferred if the first segment had been stretched out to a feature-length film....that would have worked for me. But overall, it just didn't work....with segments ranging from 10 to 2 in score.",The Ballad of Buster Scruggs
1,SnoopyStyle,Coen anthology western,6,7 December 2018,"The first part has a chipper Buster Scruggs (Tim Blake Nelson) who turns out to be a deadly gunslinger. Nelson is such an odd choice for a gunman which only highlights the comedic surrealism of the Coens. It sets a great tone for the rest of the movie.A nameless cowboy (James Franco) gets caught in a bank robbery. He's strung up to hang when the posse is massacred by Indians. He's left to die when he is rescued by a cowboy leading some cattle. This seems to be the most obviously funny. Franco does some sly humor.An Impresario (Liam Neeson) takes his armless, legless charge from settlement to settlement as a sideshow where he reads from the classics. This one is kinda boring and repetitive. The actual act is kinda boring, too.A prospector (Tom Waits) arrives at a remote creek. He's alone in a place without people. He finds gold flakes in the creek bank. I love the beauty and isolation of this natural setting. There is a zen to his digging and the climatic event starts with an intriguing shadow.Alice Longabaugh (Zoe Kazan) is with her older brother on a westward bound wagon train. It's a tough journey that culminates with a desperate fight against an Indian war party. This section starts rather bland. It seems like it's going for a slow romance when it suddenly turns into a old-fashion fight against the Indians. The fight is tense but it does reek of old westerns where the Indians are nameless savages.A stagecoach is carrying five passenger and a dead body. The set is static. This one is the least compelling. With no background, the dialogue is meaningless. It's almost background noise. I don't care about these characters and the reveal has no shock value.The Coen brothers are doing an anthology western. The movie flips through a book where each chapter is presented as a vignette. The last vignette is the most problematic and perplexing. It has few action beats. I can see the guys loving the dark quirkiness but it's not the one to close with. I'd probably close with The Gal Who Got Rattled and its shootout ending.",The Ballad of Buster Scruggs
2,boblipton,How About Them Westerns?,8,18 November 2018,"When they remade TRUE GRIT, the Coen Brothers clearly thought there weren't enough John Ford westerns -- I agree with them -- so they offered the audience one. With THE BALLAD OF BUSTER SCRUGGS they clearly think there aren't enough movies offering the strengths of the classic B and short westerns: open vistas, lone prospectors, wagon trains, bank robbers, cattle rustlers, gunslinging, moralizing singing cowboys who wander the barren west, strumming their ""Radio King"" guitars for their horses, and five people inside a stage yarning to each other. So they stuck together half a dozen stories, got their usual assortment of top talent and offered them to us. I am extremely grateful.Their cinematographer, Bruno Delbonnel, offers us a variety of lighting. I was most impressed by his choices for ""The Girl Who Got Rattled"", which is staged like posters for WESTWARD THE WOMEN and lit like the covers for Louis Lamour paperbacks in the 1960s. There's an air of artificiality that pervades the movie. That's common enough for the Coens, who like to mock their dead cinematic peers, but. like HAIL, CAESAR shows their fondness for their subject.",The Ballad of Buster Scruggs
3,nogodnomasters,People are like ferrets,8,25 November 2018,"This is a Netflix original and consists of a western anthology of unique stories. The first one is clearly an homage film to the singing cowboy. The stories are humorous, sometimes with dark humor. They are not zany like a typical Coen production, but have welcomed twists.No sex or nudity.",The Ballad of Buster Scruggs
4,kosmasp,Addition,10,4 May 2019,"If you are into Western movies and into quirky humor and don't mind violence being displayed on your screen. Some of it is also comedic, but don't get it twisted is is mostly with lethal outcomes. And very vivid at that (so there will be blood). If you don't mind that or rather cherish most of it (in movies that is always), than you will have a field day (no pun intended).And even more without knowing anything about this other than it is in the genre of the Western, my surprise after - well let's call it the introduction (20 minutes in or so) - was quite high. I did not expect this to happen at all. But it works for the movie and it really is gem as others have described it. So while you may have mixed feelings about Netflix or Prime or any other streaming service out there, this is something we have to cherish about them - making great movies like this",The Ballad of Buster Scruggs
5,classicsoncall,"""Things have a way of escalatin' out here in the West...""",9,30 January 2019,"I've never run into a Coen Brothers movie I didn't like. Their skewed way of looking at the world and placing oddball characters into their stories appeals to me tremendously. This film may not win over fans of traditional Westerns like ""True Grit"", which the Coens took a crack at almost a decade ago with favorable results. Their anthology approach here is designed to introduce a diverse assortment of tales with only one common element running through all of them - each one produces a dead body! A couple of the deaths don't actually occur on screen, but are offered in ironic juxtaposition to the story in which they took place. Because of the widely (and wildly) diverse nature of the tales, it's kind of difficult to pick out a favorite, if in fact the word 'favorite' even applies.Each of the chapters in the movie comes with it's own title and introduction, and it starts out on a most favorable note with the appearance of Buster Scruggs (Tim Blake Nelson) astride his white horse Dan. He evokes the memory of Gene Autry in countless B Westerns of the Forties and Fifties, coming on the scene while strumming his guitar and singing an upbeat tune. Of all the little episodes, this is the one that plays most as a caricature of the Western genre, and it contains an element I've never seen in over seven or eight hundred Westerns - it has Buster's nemesis, The Frenchman (David Krumholtz) mount his horse from the right side! Seriously, no one EVER mounts a horse from the right side, and I had to wonder if the Coens' goofing with the audience included this little tidbit intentionally.I'm not going to discuss each of the vignettes offered in the film, or attempt to pick a favorite, because none of them really lend themselves to being particularly likeable in the sense that their resolutions end favorably for the participants. Especially gruesome were the fates of the Artist (Harry Melling) in the segment titled 'Meal Ticket', and that of poor Alice Longabaugh (Zoe Kazan) in 'The Gal Who Got Rattled'. In your traditional Westerns, you'd never have a character like The Artist, and the fate of an Alice Longabaugh would have been anathema for the likes of John Ford or Howard Hawks.The only story I didn't particularly understand upon a first viewing was the final one called 'The Mortal Remains'. It ends somewhat humorously, but everything leading up to it is mere conversation among stagecoach riders in somewhat antagonistic fashion. I'll have to go back to that one to see if there's something I missed. But overall, I got the biggest kick out of this off beat Western in a way I haven't experienced since 1995's ""The Quick and the Dead"". Chances are if you liked that one, you'll like this one too, but of course, the opposite could be just as true as well.",The Ballad of Buster Scruggs
6,lee_eisenberg,the Coens go west,8,24 November 2018,"After the unmitigated disaster that was ""Inside Llewyn Davis"" - no plot and it completely ignored the role that the folk revival played in the Civil Rights Movement - Joel and Ethan Coen could only go up. They certainly did with ""The Ballad of Buster Scruggs"". It's an anthology movie about the old west. Although the title references the first segment, each one has its own perceptive story. There are some truly Coenesque scenes here. Maybe it's no ""Big Lebowski"" or ""Fargo"", but it's still a good one. Definitely see it!",The Ballad of Buster Scruggs
7,jboothmillard,The Ballad of Buster Scruggs,7,28 February 2019,"I looked up all the movies that were nominated during Awards Season, I was really happy to find this one that was made by and featured on Netflix, it was rated very well, so I was looking forward to it, written and directed by Joel Coen and Ethan Coen (Fargo, O Brother, Where Art Thou?, No Country for Old Men, True Grit, Inside Llewyn Davis). Basically the film consists of six unrelated stories that take place in the American frontier, or the Old West. ""The Ballad of Buster Scruggs"" - Buster Scruggs (Tim Blake Nelson) is a cheerful singing cowboy, a wanted man, with great skills with his pistols, he kills a man insulting him. He enters a saloon and replaces a player in a game of poker, after seeing his hand he asks to change cards, but the other players insist he play what he has been dealt. When Buster refuses, large menacing player Çurly Joe (Clancy Brown) stands and gets out a concealed pistol, but Buster repeatedly kicks the table plank, tipping Joe's gun so it points backwards and fires into his face, he shoots himself three times and falls dead. Buster sings a song boisterous song about ""Surly Joe"" to the delight of the crowd, but then Joe's brother Ike (Danny McCarthy) arrives and challenges Buster to a gunfight in the street. Buster gladly obliges and proceeds to shoot off each of Ike's fingers from his right hand, before finishing him off with a shot delivered over the shoulder using a mirror. Then a young gunslinger, The Kid (Willie Watson) rides into town and politely challenges Buster, he obliges, but to his surprise the young man is much faster on the draw, Buster is shot in the forehead, the young man and the spirit of Buster sing a duet as the dead cowboy floats towards heaven. ""Near Algodones"" - a young Cowboy (James Franco) robs an isolated bank on the prairie but is forced to take cover when the jabbering Bank Teller (Stephen Root) shoots at him. He returns fire, but the taller charges at him wearing a washboard and several pots and pans as armour, deflecting the cowboy's bullets, and the teller knocks him out with his rifle butt. The cowboy regains consciousness and finds himself sitting on a horse under a tree with his hands tied and a noose around his neck. A lynching posse, led by a lawman dressed in black (Ralph Ineson), ask for his final words, but the execution is interrupted by ambushing Comanche warriors who slaughter the lawman and posse but leave the cowboy in place upon the horse. The cowboy struggles to stay on the horse, until he is found and freed by a scruffy young Drover (Jesse Luken), who is actually a rustler. But the cowboy winds up captured by another lawman's posse, he is sentenced by the grumpy old fart of a Judge (Michael Cullen), the cowboy stands upon the gallows with three other men, the hangman abruptly hoods him and pulls the trapdoor lever to cheers and applause. ""Meal Ticket"" - an aging Impresario (Liam Neeson) and his artist Harrison (Harry Potter's Harry Melling), a young man with no arms or legs, travel from town to town in a wagon that converts into a small stage. Harrison theatrically recites classics such as Shelley's poem ""Ozymandias"", the biblical story of Cain and Abel, works by Shakespeare, and Abraham Lincoln's Gettysburg Address. The impresario collects money from the audience at the end of each performance, but profits are dwindling as they visit increasingly remote mountain towns with smaller and more indifferent audiences. Following a performance with no profit, the impresario observes a man nearby drawing a crowd with a chicken performing basic maths by pecking at painted numbers to answer addition and subtraction equations called out by the audience. After buying the chicken, the impresario drives the wagon through a mountain pass, stopping by a bridge over a rushing river to drop something into the water, and he continues to travel, the caged chicken as his only passenger. ""All Gold Canyon"" - a grizzled Prospector (Tom Waits) arrives in a pristine mountain valley and starts digging for gold in a grassy meadow beside a river. Over the course of several days, he pans through mounds dirt to find gold specks, trying to identify the source, until digging a deeper hole in the area he believes it is located. On the third day, he digs out gold nuggets of increasing size, until he is overjoyed to find ""Mr. Pocket"", a large gold vein running through the quartz. At that moment he has made the discovery, a young man (Sam Dillon) stands over him aiming a pistol, he shoots the prospector in the back and he falls face down. After leaving him to bleed for a few moments, and presuming he is dead, the young man jumps into the hole to steal the gold, the prospector wrestles with him, and grabs the gun to kill the young man. The prospector cleans his non-fatal wound in the river, and finishes mining the gold, pushes the young man's body into the hole to serve as his grave, and he walks away. ""The Gal Who Got Rattled"" - Alice Longabaugh (Zoe Kazan) and her older brother Gilbert (Jefferson Mays), an inept businessman, are journeying in a wagon train across the prairie towards Oregon. Gilbert dies of cholera shortly after they embark, and the wagon train's leaders, Mr. Billy Knapp (Bill Heck) and Mr. Arthur (Grainger Hines), help Alice bury her brother. Alice decides to continue the trip, Matt (Ethan Dubin), the young man Gilbert hired to lead their wagon, mentions money he was promised when they reach Fort Laramie. Fearing Gilbert's money was buried with him, she conveys her predicament to Billy, who offers his support of what to do next. With continued conversations, Billy becomes fond of Alice, and proposes to solve her dilemma by marrying her in Fort Laramie, to close the debt, and build a family. Alice is surprised with by Billy's proposal, but she has grown fond of him, she accepts, and Billy informs Mr. Arthur that this will be their last ride together. The following morning, Mr. Arthur notices Alice missing, he rides over the hills and finds her, when they spot an Indian army approaching. Mr, Arthur gives Alice a pistol so that if he killed, he can shoot herself and avoid capture. A battle ensues, Mr. Arthur appears to killed by a charging warrior, but he kills the Indian, but he is devastated to find Alice has killed, as he has instructed, he does not know what to say to Billy. ""The Mortal Remains"" - at sunset, five people are travelling to Fort Morgan, Colorado in a stagecoach: Thigpen, an Englishman (Jonjo O'Neill), Clarence, an Irishman (Brendan Gleeson), René, a Frenchman (Saul Rubinek), Mrs. Betjeman, a lady (Tyne Daly), and a fur Trapper (Chelcie Ross). There may be a corpse on the roof of the stagecoach, the Trapper rambles about his past relationship with a Native woman, and the other characters discuss their opinions and experiences of love, often disgusting the devout Christian lady, who has an attack. The driver's policy is not to stop for any reason, but she is calmed down, they then continue their conversation, talking about hunting, until they reach hotel in Fort Morgan where they will all be staying, and a corpse is taken from the top of the coach inside. Also starring David Krumholtz as Frenchman, Paul Rae as Chicken Impresario and Billy Lockwood as Father. I will admit the last two stories are not as interesting as the first four (it was originally supposed to be a television series), but all work to create a heartfelt love poem to the Wild West, the performances are all terrific, and you can tell that the Coen brothers have a deep affection for the genre, a most worthwhile western anthology. It was nominated the Oscar for Best Original Song for ""When a Cowboy Trades His Spurs for Wings"", Best Costume Design and Best Adapted Screenplay for Joel Coen and Ethan Coen, and it was nominated the BAFTA for Best Costume Design. Very good!",The Ballad of Buster Scruggs
8,bevo-13678,Sing song,10,8 March 2021,Great musical and witty dialogue. I like the bit where the bloke shot himself in the face,The Ballad of Buster Scruggs
9,grantss,"Largely lightweight, especially by the Coen Brothers' standards, but always entertaining",7,1 December 2018,"Six stories of the American West, written and directed by Joel and Ethan Coen.I am a huge fan of the Coen Brothers but their output and quality as directors has dropped off over the last few years. Their last brilliant movie was True Grit, released in 2010. Their two movies since then, Inside Llewyn Davis and Hail Caesar!, weren't bad, but weren't of the quality we have come to expect from them. Also, it appears that they are concentrating more on writing nowadays, having written the screenplays for Unbroken, Bridge of Spies and Suburbicon.So it was with some apprehension and degree of intrigue that I viewed The Ballad of Buster Scruggs. Turns out it isn't bad, but, like Inside Llewyn Davis and Hail Caesar!, it isn't brilliant either.The idea of six stories wrapped into one movie was reasonably novel. The six stories are of mixed tone and quality. The first two are largely comedic and contain the key Coen Brothers element of a clever twist. While being entertaining, they are quite lightweight though and this made me set my expectations for the rest of the movie quite low.To my surprise, number 3, the Liam Neeson story, was quite dark and engaging. Entirely drama, with a powerful ending. It did feel too short though - the ending could have been drawn out a bit.The next two stories - Tom Waits as a gold prospector and the Oregon Trail - are the highlights of the movie, the Oregon Trail especially so. Both could have been made into full-length movies as there was enough room for plot and/or character development to work with. Maybe a sign of the Coen Brothers current insecurity as directors or writers that neither of them did become feature films.The six story was interesting, for the most part. Almost entirely dialogue-driven it reminded me of a Quentin Tarantino movie: the long monologues, the clever biting dialogue, the sense of foreboding, as if the dialogue is building up to something. It seemed headed for something powerful and profound but ended rather weakly, leaving me feeling rather disappointed.There is also no links between the six stories - they exist independently and nothing and nobody ties them together at the end - is also a bit disappointing.
Overall - good, but not great. It is never dull and all six stories are worth watching.On a broader note, before watching this I was figuring The Ballad of Buster Scruggs would herald a new era in movie-making. Netflix movies have never really rivalled cinema movies for quality and even the really good ones (e.g. Beasts of No Nation) don't seem to have the same presence and gravitas as a cinema movie. Most tellingly, Netflix movies have never been directed by top-notch cinematic directors, indicating that Netflix was still the poor cousin to cinema.However, with The Ballad of Buster Scruggs being Netflix-produced and -released, it looked like that relationship was about to change. The Coen Brothers feature in the highest pantheon of movie directors and them directing a Netflix movie seems like a major coup, and a revolution / evolution in film-making.The fact that the movie itself is not brilliant, and features a narrative that lends itself more easily to TV movies, has tempered my thoughts on the matter. When a Netflix movie wins a Best Picture or Best Director Oscar (they can be eligible, and Netflix documentaries have won two Oscars) then the revolution will be upon us.",The Ballad of Buster Scruggs
