,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,A Revolution In Another Part Of The Galaxy,10,26 October 2009,"Taking a leaf from Indiana Jones where someone will one day presumably dig up the Ark Of The Covenant out of storage and see how it works, in the inscrutable ways of the Washington bureaucracy, somebody in the Defense Department has taken an interest in something called Stargate and now want to see how it works. The somebody they sent for is archaeologist/linguist James Spader who deciphers some ancient Egyptian writing and poof, the gate is upright and operational.At that point the military takes over led by a hardnosed professional played by Kurt Russell. He's going through that gate with a team of special forces and with James Spader presumably so they can communicate with whatever life is out there.Stargate is a teleportation device and the team travels through time and space and ends up across the galaxy on a primitive planet where the people worship a being called Ra played by Jaye Davidson. He and his much technologically advanced confederates enslave the rest of the population.To see the changes the earth expedition makes and what the connection of this being to the Egyptian sun god Ra you will have to see this very well made and exciting science fiction film, one of the best films made during the Nineties. I saw it in theater when it first came out and seeing it again on the small screen still excites and entertains me. It's one of those films that with repeated viewing you get still another perspective.I liked best the interplay with Kurt Russell and James Spader. Two very opposite men in temperament and in training over the course of the film gradually gain a great respect for each other. Both deliver performances that would rank in the top five for both these players.One of the ways that Ra keeps his people subjugated is the forbidding of any of the nomadic types that are under his thumb to learn to write or even create a written language. In that culture and in every culture, literacy is the strongest weapon against tyranny. In fact one of the characters makes quite a sacrifice to secure the permanence of the revolution they've wrought on this world in another part of the galaxy that has a strange connection to our Earth. Stargate succeeds at being both thinking person's science fiction and also has enough action and adventure to keep you to the edge of your seat, especially in the second half. It's not to be missed when broadcast, ever.",Stargate
1,Leofwine_draca,Fairly typical,5,14 December 2012,"STARGATE should be the perfect movie for me: an interesting premise, grounded in real-life theory (I've been reading Graham Hancock's FINGERPRINTS OF THE GODS recently, and am familiar with Von Daniken's writings) and made with a high enough budget to do the special effects justice.And watching it, it's hard to fault the production. The performances are pretty good, from Kurt Russell's hard-ass soldier to James Spader's nerdy Egyptologist, and the aforementioned SFX are decent. It's just that the film ends up feeling relatively mundane given the extensive set-up; it all turns into an entirely typical good guys vs. the bad guys type film, with little of the intelligence or thought-provoking questions I was hoping for.I'll lay the blame squarely at the door of Roland Emmerich, who has quite the habit of dumbing down his source material (INDEPENDENCE DAY, GODZILLA, need I go on?). Imagine if this had been made by somebody with more interest in the questions raised instead of the size of the guns!",Stargate
2,SnoopyStyle,fun sci-fi with a bit of camp,8,20 February 2015,"It's 1928 in Giza, Egypt. An archaeological dig unearths the Stargate. In the present, Dr. Daniel Jackson (James Spader) is an ancient Egypt expert but his theory is dismissed by everybody. Catherine Langford offers him an opportunity to prove his work. He is brought to an underground base in Creek Mountain, Colorado. Col. Jack O'Neil (Kurt Russell) is the new military commander of the mission. He is suicidal after his son accidentally shots himself and is the perfect man for the job. Daniel assures them that he can dial a return and Jack leads a team to explore the world at the other side of the universe. It is a world ruled by the mercurial dictator Ra (Jaye Davidson).There are a lot of little problems with this movie. There are little logic problems all over the place. However the basic concept of the movie is so cool. James Spader is terrific as the odd science guy. He has his weird Spaderness and is actually slightly funny. Roland Emmerich overcomes any little hiccups with a rip roaring sci-fi that's a little bit campy. Jaye Davidson only adds to that campiness. The CGI and the action needs a little work. The battles could be better but the design is all there. It's simply a fun sci-fi.",Stargate
3,claudio_carvalho,"Almost Twenty Years Later and after Watching at Least Six Times, the Timeless ""Stargate"" is still a Fantastic Sci-Fi",9,21 September 2013,"In 1928, in Egypt, a strange device is found by an expedition. In the present days, the outcast linguist Dr. Daniel Jackson (James Spader) is invited by a mysterious woman to decipher an ancient hieroglyph in a military facility. Soon he finds that the device was developed by an advanced civilization and opens a portal to teletransport to another planet. Dr. Jackson is invited to join a military team under the command of Colonel Jonathan 'Jack' O'Neil (Kurt Russell) that will explore the new world. They find a land that recalls Egypt and humans in a primitive culture that worship and are slaves to Ra, the God of the Sun. But soon they discover the secret of the mysterious ""stargate"". ""Stargate"" is still a fantastic sci-fi after almost twenty years and watching it at least six times. The story is intriguing and entwines action with humor and romance. The cast is excellent, with Kurt Russell and James Spade in the top of their careers. The special effects are still great after almost twenty years. And the haunting music score completes this timeless classic sci-fi with a touch of class. My vote is nine.Title (Brazil): ""Stargate - A Chave para o Futuro da Humanidade"" (""Stargate – The Key for the Future of Mankind"")Note: On 18 May 2017, I saw this film again.",Stargate
4,classicsoncall,"""I created your civilization. Now I will destroy it.""",7,14 May 2021,"This film plays like a blend of Star Wars and Indiana Jones, and if they hadn't come along after this picture, I would include the Brendan Fraser/Tom Cruise 'Mummy' films as well. Consequently, I didn't sense a whole lot of originality or creativity in the story, with it's principal characters going up against an evil ruler on a distant planet that had all the trappings of ancient Egypt. The monarch encountered by crossing through the Stargate even had the name of the Egyptian sun god Ra, and his acolytes went by Horus and Anubis, the idea being I presume, that the corresponding characters of Earth's past history were derived from some connection to this alien world. Ra has subjugated his people to an existence resembling slavery, and once they get the lay of the land, Colonel Jack O'Neill (Kurt Russell) and civilian Daniel Jackson (James Spader) take the lead in fomenting a revolt and freeing the masses from their bondage. Oddly, Ra has fashioned a rather modern appearing bomb with the explosive power of a hundred nuclear weapons he intends to send through the Stargate portal to destroy Earth. Thinking about that, you have to wonder what his motivation might have been, seeing as Earth was on the opposite side of the galaxy. But it's called science fiction for a reason, and sometimes the reason doesn't have to make sense. Visually, the film has some interesting special effects and colorful cinematography, but it's not enough to bolster a mediocre story.",Stargate
5,gavin6942,Illegitimate Child of Indiana Jones?,7,26 February 2006,"Stargate is a science fiction film starring James Spader as a cunning linguist and Kurt Russell as a military action hero with the worst haircut imaginable. After the government has Spader decipher an ancient Egyptian writing, they are able to open a portal which leads to the great unknown. This unknown turns out to be another planet millions of light years away, which mysteriously looks exactly like Egypt.As far as science fiction goes, this one is pretty entertaining. It's not technical enough to scare off the casual viewer, but is original enough to attract even the most reserved of science fiction purists. Are there flaws or plot holes? Of course. Most movies have these things. But you won't find them unless you're looking for them. And besides, where else will you get to see James Spader looking like the kid from those 1980s Encyclopedia Britannica commercials but getting a woman no geek deserves. You know the commercial I mean, where the kid has a report due on space? If you're a conspiracy theorist or believe in aliens as the creators of the pyramids, you're a complete nutcase. But also, this might be the film for you. Because they get to explain the connection between aliens, Egypt and the dawn of civilization. Those plot holes I mentioned above? Your love of conspiracies will help fill those in.But seriously, overall this film had a great plot, good acting, and moved at a respectable pace to keep you in the flow. Unless you have some serious aversion to science fiction or Kurt Russell, you won't have a problem watching this film. Recommended.",Stargate
6,lee_eisenberg,"Roland Emmerich made something so cool here, so why did he betray us with ""Independence Day""?!",7,15 August 2005,"""Stargate"" is unlike anything that you've ever seen. Digging in 1920s Egypt, some people find a ""stargate"" that transports people to another world. In the 1990s, Dr. Daniel Jackson (James Spader) and Col. Jonathan O'Neil (Kurt Russell) decide to try it out. Let me tell you, what they find is more than anyone would expect, especially given that the ""Crying Game"" guy is there.Considering that ""Stargate"" is so interesting, it begs the question: why did Roland Emmerich follow it up with ""Independence Day""? He went from having a plot to spending two hours blowing things up. I mean really...",Stargate
7,jboothmillard,Stargate,7,21 September 2005,"I remember seeing this as a kid, and I knew I had to see it again because I could not remember any of it, including the fact that it is from director Roland Emmerich (Independence Day, The Day After Tomorrow). Basically Egyptologist (translator of the language and hieroglyphics) Dr. Daniel Jackson (Secretary's James Spader) is brought to an underground military base to decode symbols on an Egyptian cover. He decodes them as star constellations, and they are able to activate the alien device known as the Stargate, and lead by Air Force Col. Jonathan 'Jack' O'Neil (Kurt Russell) and Jackson, a team go through the gate, travelling across the known universe to a distant planet. At first it seems like just a deserted desert area with this little temple housing the gate, but soon enough they come across the near culture. For a while they seem to get on well with this civilisation, and Daniel learns to talk their Egyptian language more properly, but this friendship is threatened by the villain who has banned writing and drawing, so the people cannot find out that he is pretending to be the Egyptian sun god Ra (The Crying Game's Jaye Davidson, in his second and last film before returning to his original job as a fashion designer in London). Daniel wasn't aware that O'Neil had brought a nuclear weapon to this world, with orders to destroy the gate when their mission was complete, and unfortunately Ra has plans to destroy their Earth. In the end, everyone stands up for themselves, the bomb is recovered, and they blow Ra with it, and everyone goes home except Daniel, who is happy staying with his love interest Sha'uri (Mili Avital). Also starring Viveca Lindfors as Catherine, Alexis Cruz as Skaara, Leon Rippy as General W.O. West, John Diehl as Lieutenant Kawalsky, Carlos Lauchu as Anubis, Blood Diamond's Djimon Hounsou as Horus and The Mummy's Erick Avari as Kasuf. The special effects are impressive, the depiction of travelling through the gate and being hurtled across the universe at the speed of light is one of these great achievements. The film also has a good plot, good characters, it is just a fun and enjoyable adventure. Very good!",Stargate
8,Tweekums,A quality sci-fi film that launched a franchise,8,5 April 2017,"In 1928 archaeologists in Egypt discover a circular device and an accompanying cover-stone; cutting to the present Dr Daniel Jackson, an Egyptologist with some radical views, finds himself invited to work on a secret project run by the US Air Force; they want him to translate the symbols on the cover stone. At first he can't identify some of the key symbols but then he realises they represent the constellations and together they point to a location the other side of the universe. At this point he is shown the device the 'star gate'. Programming the symbols in activates the device and opens a gateway between it and a second star gate on a distant planet. A team, led by US Air Force Colonel Jack O'Neil is to be sent to explore, Jackson will accompany them to program the other gate to bring them home.Once there they learn that they are no symbols for them to copy into the device; they will have to find them if they are ever to see Earth again. Soon they discover a primitive society, not dissimilar to ancient Egypt. Here they gradually learn the truth about the star gate and things that happened in Egypt millennia ago. An alien being with godlike powers arrived seeking immortality; he took over the body of a young man and took slaves from Earth to work for him before a slave revolt in Egypt shut off his access to Earth until now. When Ra turns up he is far from happy and attacks the people; the small group of troops and Daniel will end up leading a revolt that will save not only the local population but also that of Earth.It shouldn't be a surprise that this film is pretty good given that it led to a successful TV series and various spin offs. The general idea of what is going on is quickly established and little time is wasted before translation difficulties are solved and the team are on the distant planet. This world is interesting without being obviously alien; apart from a creature the only living beings we see are human. I liked the fact that it took a while before they could understand the local; trying to understand each other with gestures seemed more real yet having Daniel eventually realise how their language was related to one he knew meant they could communicate when it was essential. Similarly I liked how the science fiction was combined with ancient Egyptian mythology. The cast do a fine job, most notably James Spader as Dr Jackson and Kurt Russell as Col. O'Neil. There is a decent amount of action although it isn't too violent even so I was a little surprised to see a severed head in a (UK) PG rated film. The effects are pretty good; especially the armour worn by Ra's troops and the Star Gate itself. Overall I'd definitely recommend this to fans of action sci-fi who want a film that is suitable for all but very young viewers.",Stargate
9,ma-cortes,Adventure and fantasy developed with groundbreaking special effects,7,1 October 2007,"The movie tells how an Egyptologist named Daniel Jackson (James Spader) is hired to figure out a weird enigma contained into an underground military base . He decodes Egyptian hieroglyphic and opens the gate for transporting to a distant planet by means of a mechanism called Stargate . Daniel alongside Colonel Jack O'Neil (Kurt Russel) and US troops (John Diehl , French Stewart , among others) realize a quantum leap and travel across a fantastic universe . Arriving in a distant planet encounter an ancient culture ruled by Good Father (Eric Avari) and with naive inhabitants (Alexis Cruz, Mili Avital) . Everybody is dominated by an immortal being named Ra (Jaye Davidson) and his underlings , Horus(Dijimon Honsou) and Anubis (Carlos Lauchu) . The good guys must save earth from the deadly atomic bomb that evil leader wants to explode .This exciting sci-fi movie that was number one in the US box-office , displays spectacular scenarios , adventures , noisy action and is pretty entertaining . This is a blending into universe legends , fantastic myths , astounding science-fiction and Egyptian Gods , including Ra , Horus and Anubis . The movie packs stunning array of technical visuals and amazing sequences . Furthermore , a beautifully executed set design with phenomenal production values . Enjoyable cinematography by Karl Walter Linderlaub and sensational soundtrack by David Arnold . The picture with an interesting script by Dean Devlin , is well directed by Roland Emmerich .It's followed by an overlong series starred and produced by Richard Dean Anderson and a spin-off titled Stargate Atlantis . The motion picture will appeal to TV saga enthusiasts as well as the neophyte who didn't have seen the episodes . It's indispensable and fundamental seeing for Sci-Fi buffs .",Stargate
