,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,It's one of those 80s films you just have to see.,8,9 May 2021,"I found it interesting that the setting of ""Dirty Dancing"" is at a resort in the Catskills. This is because the film and the actual resorts were quite different. Originally, resorts in the Catskill Mountains region sprung up because Jewish families (mostly from New York City) wanted to vacation but in the early to mid-20th century, anti-Semitism meant Jews were not especially welcome in many traditional vacation spots...so they essentially built their own. And, from the early 20th century to the late 60s, these so-called 'Borscht Belt' resorts were popular and packed. But, in recent years, the decline in anti-Semitism, the discontinuation of railroad lines to the area and the new highway system sparked a decline in folks wanting to vacation there...and soon Jewish (and some non-Jewish) families began vacationing other places....and the resorts faded*. I mention all this because when you watch the film, you can't tell anything is Jewish about the resort--the residents, the food or, well, pretty much anything. And, you learn nothing about the history of the places...which is pretty interesting, especially when you read about it and learn about the dozens of famous Jewish comedians who plied their trade and often got their starts at these resorts.The film begins when the Houseman family arrive at one of these resorts for vacation. The oddly named 'Baby' Houseman (Jennifer Grey) is a very kind-hearted young lady, as when she learns that one of the dancers at the resort is pregnant, she tries to do what she can to help. Much of this is training with Johnny (Patrick Swayze) to fill in for his pregnant dance partner who is pregnant. Ultimately, however, this ends up putting her in hot water with her father (Jerry Orbach), as he thinks that Baby is having an affair with Johnny ...and that Johnny ALSO is the guy who got this other girl pregnant. Well, Dad is right that Johnny and Baby are in love...but he's not the pig who got the girl pregnant and then walked away. This is the major tension through most of the film. And, because of that, Baby has to sneak around to see Johnny...that is, of course, until the end of the film.While the story and romance are pretty good, the reason to see this film (and hear it) is because of all the great old tunes from the 60s as well as the iconic tunes from the 80s that became ubiquitous on the radio following the release of this film. So many Top 10 songs from this film....ones that if you lived through the era you'll never forget. My only complaint is minor...some of the hairstyles and fashions occasionally look MUCH more like the 80s than the 60s! Still, an excellent and unique movie...one you really should see.*By the 1980s, nearly all of the old Catskills resorts had closed. Because of that, Virginia and North Carolina fill in for New York State in this film.",Dirty Dancing
1,TheLittleSongbird,Truly excellent with jaw-dropping dance routines.,8,14 March 2009,"Dirty Dancing is an excellent movie. No, it isn't perfect, but it is solid entertainment for those into dancing. There are two flaws with the film. The script is not the best script in the world, to be honest, there are some clichés. Also, as much as Cynthia Rhodes puts a lot of energy into the dance routines, her acting isn't as good unfortunately.However, putting those minor discrepancies aside, the highlights are the jaw-dropping if rather erotic dance routines and the ever-popular soundtrack. The famous lift in the best dance of the film is very hard to do properly, and as far as I'm aware, it was very well-done. The soundtrack isn't like Charlie's Angels or anything similar to that, where the songs get too much. If anything, they capture the feel-good nature of the film perfectly.Now for the performances. I have already mentioned Cynthia Rhodes, but I thought that Patrick Swayze and Jennifer Grey gave the roles of their careers in Dirty Dancing. Their partnership was like Torvill and Dean on ice, unquestionably brilliant. Jerry Orbach gives a wonderful performance also as the earnest Jake Housemann.In conclusion, with a couple of minor flaws, Dirty Dancing is a treat, for those into dancing.8/10. Bethany Cox",Dirty Dancing
2,Leofwine_draca,Not my cup of tea,5,18 September 2021,"A rare film aimed almost entirely at a female audience for a change. Some good dancing scenes and a charismatic performance from Patrick Swayze are about all this had to offer me as a male viewer. I can see why it's classic and well-regarded, it's pretty obvious that Swayze has a lot of allure, but it's not my cup of tea.",Dirty Dancing
3,SnoopyStyle,iconic memorable charming melodrama,7,8 February 2014,"It's 1963 in more innocent times. Baby (Jennifer Grey) is a daddy's girl who only wants to be in the Peace Corps. She and her family is spending the summer in Kellerman's Mountain House in upstate New York's Catskill Mountains. It's a vanilla existence until she starts to see the world behind the curtains. The waiters are all recruited from the ivy leagues in order to flirt with the daughters especially the dogs. The owner's son is a jerk that is pushed on Baby. Then she discovers the help's party. When Penny Johnson (Cynthia Rhodes) needs an abortion, Baby agrees to take her place in a dance show with charismatic dancer Johnny Castle (Patrick Swayze). Then Penny gets horribly ill, and her doctor father (Jerry Orbach) comes to the rescue discovering that Baby lied to get the money for the abortion. He forbids her to associate with those people, and Baby is forced to disobey his father for the first time in her life.This is an absolute charmer. It is very old school melodrama. Like the time period, this movie is a much more innocent fare. Of course, there are the iconic scenes, the memorable dance move, the fun, and the great song. On top of everything, there is the beautiful Jennifer Grey and the charming Patrick Swayze. The biggest complaint seems to be the clinches and the sentimentality. However that's most of its charm. It's an uncomplicated times gone by.",Dirty Dancing
4,Prismark10,Do the mashed potato,7,23 December 2014,"Dirty Dancing was a sleeper hit that launched a phenomenal hit album. It is now regarded as a romantic musical classic. Some of the songs from the film have become unforgettable hits and the dance moves are now much mimicked.The film is set in the Catskill mountain holiday resort in the summer of 1963. Dr Houseman and his family are taking their annual three weeks holiday there. The youngest daughter Baby has taken a shine to the dance teacher, Johnny Castle who introduces her to a more wild style of dancing that the entertainment staff get up to.When Castle's female dance partner falls pregnant by one of the waiter's, Baby gets some money for her to have an abortion which gets botched and she has to go to her father to help her out. Her father is angry and forbids her to have anything do with Castle and the rest of the entertainment team. However she continues to see and learn to dance with Castle and they fall in love.The film is cheesy with some predictable plotting and a few bad lines including the now infamous, 'nobody puts Baby in a corner.' It has some hissable characters such as the immoral waiter and wannabee doctor who is dating Baby's sister and who knocked up Johnny's dance partner and then washed his hands off her. There is also the slimy nephew of the holiday camp owner with his constant veiled threats against the camp staff.Given all that it is still an enjoyable film now ripe with nostalgia and some cracking songs. Jennifer Grey is vulnerable enough and she has a good chemistry with Patrick Swayze. But this is really Swayze's film, he dances, he broods, he sings and he steals the film.Dirty Dancing shows a world that is changing something Dr Houseman wants to resist with his regular holiday at the Catskills with his daughters. Even the camp owner has realised that times are changing as young people want to go to Europe rather than spend a few weeks at the camp. The dance teachers are bored of the sedate dance lessons when they know that they are capable of more hip and happening dance styles and of course Vietnam war is round the corner. Its almost a final visit to a fading lifestyle and an emergence of a new youth culture that Dirty Dancing celebrates.",Dirty Dancing
5,kosmasp,Forbidden Dance,8,29 June 2021,"Is the movie predictable? Does it ooze with Cliches? Might it annoy you with its romantic/soft tones? Well the latter question is one only you can answer ... the other ones are quite easy to answer. No matter if you like the movie or not ... but it is beloved for many reasons. One that is not mentioned enough is the soundtrack! Just great songs all the way through.The other obvious reasons are the main actors/characters. You have Patrick Swayze - the hot rebel ... hard on the inside, soft as cotton on the inside. So frail that some men may have quite a few issues with him. But this is not aimed at any macho loving public - this is aimed at women! And their fantasy - most of them that is, because as with men you can't say they are all the same.The fact that this man, who seems so full of confidence has no idea ... makes him more than attractive to women ... and some men of course. Let's not forget about them as well. So while you can dissect this really easy ... you can also just enjoy the romp - and maybe carry a watermelon ... although you probably are more likely to get excited about the nobody puts baby in the corner line ... if you don't get goosebumps towards the end ... well it is an indication that you probably won't like the movie as much.A clash of rich and poor ... of sex through dance ... those motions ... those hip movements ... there was a time where this was not only dirty dancing, but also illegal dancing ... good thing we do not live in a time like that, right? That aside, the movie really is quite the experience ... in a really good sense.",Dirty Dancing
6,gavin6942,"Very Memorable Film, Timeless",7,28 July 2010,"In the 1960s, during a family summer getaway, Frances ""Baby"" Houseman (Jennifer Grey) meets dancer Johnny Castle (Patrick Swayze) and falls hard for him... with his bad reputation and her father (Jerry Orbach) being a reputable doctor, what will become of this relationship? ""Dirty Dancing"" is one of the quintessential films of the 1980s. If you grew up in the 80s, you probably saw this film a dozen times. I know I did. I recall seeing it again and again in the summer of 1992, and have returned to it many times since.Patrick Swayze should not be underestimated, and this is one of the cornerstones of his career (along with ""Ghost"" and ""Road House""). And Jennifer Grey is 1980s through and through -- aside from this and ""Feris Bueller"", what can you say for her? But the film has charm, is very quotable, and despite delving into some questionable territory (both ethical and political questions are hinted at) it is at its heart a family values film: daughter growing up and a father who loves and supports her maturity and independence.",Dirty Dancing
7,lee_eisenberg,"Dance, she said.",10,17 March 2006,"By now, it seems that no one debates that ""Dirty Dancing"" is probably the best dance-related movie ever. The plot of course has pampered Jewish teenager Frances ""Baby"" Houseman (Jennifer Grey) feeling unfulfilled with the Catskill resort where her family stays in summer, 1963, and falling in love with dance instructor Johnny Castle (Patrick Swayze). The movie is good in many respects: aside from the ultra-cool soundtrack, it shows the disgusting-ness inherent in the resort, and the unpleasant - if not dorky - people who stay there.All in all, this is a movie not to be missed. You'll love both Baby and Johnny, and Baby's sister is sure to make your skin crawl. A great movie.",Dirty Dancing
8,jboothmillard,Dirty Dancing,8,25 June 2007,"There are many movies that define the 1980s, and chick flicks that everyone recommends, this is one of the best examples, and from the year I was born, directed by Emile Ardolino (Three Men and a Little Lady, Sister Act). Basically set in the 1960s, seventeen-year-old Frances ""Baby"" Houseman (Golden Globe nominated Jennifer Grey) is vacationing with her family at Kellerman's resort in the Catskill Mountains, her doctor father Jake (Jerry Orbach) is the personal physician for resort proprietor Max Kellerman (Jack Weston). Baby befriends Max's grandson Neil (Lonny Price), and develops a crush on the resort's dance instructor Johnny Castle (Golden Globe nominated Patrick Swayze), she is fascinated by his ""dirty dancing"". Baby discovers Johnny's dance partner Penny Johnson (Cynthia Rhodes) is pregnant, womanising waiter Robbie Gould (Max Cantor) is the father, he is also dating and cheating on Baby's older sister Lisa (Jane Brucker). Baby borrows money from her father, she does not tell him it is for an illegal abortion for Penny, she accepts the money, but she and Johnny are due to perform a weekly dance at the nearby resort Sheldrake, she will miss the performance if she goes ahead with the abortion, and they will forfeit their season salary, Billy suggests Johnny to teach Baby to dance and take her place. Johnny begins to teach Baby, the two have many awkward practise sessions together, but she gradually begins to improve, and a romantic attraction develops between them, their performance at the Sheldrake Hotel is mostly successful, although Baby was too nervous to do the final lift. Johnny and Baby return to find Penny in agony, it turns out the doctor who performed the abortion was a back alley hack, Jake treats her, despite her anger with Baby using money to pay for the procedure, he forbids her to associate with Johnny or his friends. But Baby returns to Johnny to apologise for her father's behaviour, they dance together, and afterwards have sex, Jake tells his family they will be leaving early, but Lisa protests, wanting to sing at the end-of-season talent show, Jake gives in, and despite her father's warning, Baby continues to see Johnny. With his feelings for Baby, Johnny refuses payment to have sex with Vivian Pressman (Miranda Garrison), Vivian instead pays Robbie for sex, they are caught by Lisa, the following morning Vivian sees Baby leaving Johnny's cabin. Later, Max and Neil (Lonny Price) reveal to the Housemans that the wallet of Moe Pressman (Garry Goodrow) was stolen, Vivian accuses Johnny of the theft, in jealousy over his rejection, Johnny cannot give a verifiable alibi, but Baby saves him, confessing that she was him all night, so is not responsible. Johnny is cleared of the theft, it is revealed two elderly guests, Mr. and Mrs. Schumacher, are the culprits, but Max fires Johnny anyway for having a fraternising affair with Baby, Johnny and Baby embrace and bid farewell to each other, saying they have no regrets, despite the objections of her father. The end-of-season talent show is in progress, Jake takes back a recommendation letter for medical school for Robbie when he reveals he got Penny pregnant and insults and Baby, and Johnny walks in as staff and guests, including Lisa, are together on stage singing the closing song. Johnny leads Baby onstage to interrupt the show, he has returned to do the last dance of the season, he makes a brief speech about how ""Frances"" has made him a better man. Baby and Johnny perform a more provocative version of their Mambo duet, other ""dirty dancers"" join, Baby runs to Johnny and executes the lift they'd practised, all guests join the celebration, Jake apologises to Johnny and reconciles with Baby, the couple embrace and everyone dances joyously. Also starring Kelly Bishop as Marjorie Houseman, Charles 'Honi' Coles as Tito Suarez, 'Cousin Brucie' Morrow as Magician and Wayne Knight as Stan. Then unknown Swayze became a huge star following his great charismatic performance, Grey is equally great as the feisty middle-class teenager, they are a very convincing on screen couple. The story is nice and simple, the love story formed over dancing is sweet, the soundtrack is fantastic, with recognisable 60s songs, and original songs, including ""Hungry Eyes"" by Eric Carmen and ""She's Like the Wind"" by Patrick Swayze, and the very erotic and raunchy dance sequences are superbly choreographed, it is a most enjoyable romantic drama. It was nominated the Golden Globe for Best Motion Picture - Comedy/Musical. It was number 93 on 100 Years, 100 Passions, it was number 37 on The 100 Greatest Sexy Moments, it was number 98 on 100 Years, 100 Quotes (""Nobody puts Baby in the corner.""), and it was number 86 on 100 Years, 100 Songs for the Oscar and Golden Globe winning ""(I've Had) The Time of My Life"". Very good!",Dirty Dancing
9,ccthemovieman-1,"If You've Grown Up, Skip This Movie",1,13 August 2007,"This reminded me of many of the 1970s sleazy films with tons of unlikeable characters with low morals and being portrayed by the sick scriptwriters as ""good people."" This movie was a favorite of of many, especially teenage girls who saw a real poor role model in Jennifer Grey's ""Frances 'Baby' Houseman."" Grey was extremely irritating to watch to listen to, a big pain in the butt. I laugh at some of these reviews that cite her ""depth"" and ""dimension."" Give me a break: she's a slimeball. Only a likewise immature bimbo would enjoy this movie.As bad as Grey's character is in here, Patrick Swayze's ""Johnny Castle"" isn't a whole lot better. He's a guy trying to seduce a teenager via his dancing prowess. That's all we need to see in that age of child sex molesters on the web and who knows where else. At least she was 17 so I guess the filmmakers felt that was old enough.From the sex-obsessed leads, to abortions, to the father changing his mind and giving approval to this male scum, this script offers nothing redeemable. ""Baby"" has no clue about anything and is one of the dumbest characters ever seen on film. I am not surprised to read about so many reviewers who thought this was ""cool"" when they were young and stupid, but now that they are a lot more mature, look at this film again almost in shock at how bad it looks to them now. Good for them; at least they've grown up.",Dirty Dancing
