,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Juvenile,3,4 January 2020,"MANDY is a rock 'n' roll horror flick that also so happens to be a slice of juvenile nonsense. I was once into this kind of silly stuff, especially when it came from the 1980s, but it leaves me increasingly cold and wishing for proper scripting and story development. Instead, this film offers pretty colours and visuals, some shocking scenes of carnage, and lots of gore. On the downside, it has a weak story stretched out to breaking point; a lack of narrative cohesion so that it feels more like a series of set-pieces strung together; and the collected talents of Cage, Linus Roache, Richard Brake, etc. wasted on a sophomoric script. I rate the whole thing a waste of time.",Mandy
1,SnoopyStyle,uniquely Panos,7,21 September 2018,"It's 1983. Red Miller (Nicolas Cage) and his beloved Mandy Bloom live in a remote house in the woods. She's generally a recluse due to a facial disfigurement. They are taken prisoner by a cult led by Jeremiah Sand. When she laughs at his naked body, they burn her alive. Red manages to survive and seeks bloody revenge.The start is generally slow artistry. Anyone familiar with Panos Cosmatos would know his style. It's visual, it's experimental, and it's usually slow. The tension is ratcheted up after the couple is taken by the cult. I like the psychedelics and I love her laughter. The revenge second half is fine but lacks intensity. It's a series of stylized face-offs. There is no investigating or searching. There is a metal pouring of a ridiculous axe. It's all very nightmarish and over-the-top. It's fascinating and unique. It's very much Panos.",Mandy
2,nogodnomasters,I didn't know they were in season.,7,13 October 2018,"At the bottom of it all, this is a murder-revenge film....on acid. No literally, everyone in the film has taken face-melting acid. Jerimiah (Linus Roache ) is a cult leader of ""Children of the Dawn"" who desires lumberjack Red Miller's partner Mandy Bloom (Andrea Riseborough). Mandy has a plain unadorned yet haunting look. Red (Nicolas Cage) goes Bronson all over them. The movie takes place on The Shadow Mountain in 1983 near Crystal Lake. The film takes a good hour to develop with a lot of slow scenes that were weak at building character. Afterward, the production takes off in cultish grindhouse fashion with lots of blood and the Horn of Abraxas. Not to give too much away, but there is a rather awkward chainsaw battle not as good as the one in ""Motel Hell"" but what can top a man wearing a Hog's head? Guide: F-word. Sex on TV. Male and cartoon nudity.",Mandy
3,kosmasp,Color me --- Dead,8,29 January 2019,"Nicolas Cage is very well known for going all out. There are memes out there depicting this. And you would be excused for thinking he is like that in real life. But if you watch his interviews you realize he is different. Soft spoken and so different from what he portrays. Seems like he gets it out of his system, when he plays those characters.But back to the movie, that will split people and their perception of it (someone wrote a review saying that you'll either love it or hate - half the people agree and ... well you get the point). The coloring is amazing, the soundtrack is amazing too. And the movie is ultra violent and quite vivid when it comes to the depiction of it. Not for the squeamish then ... And quite crazy overall",Mandy
4,Tweekums,A brilliantly bonkers trippy revenge horror,9,8 April 2019,"Red Miller and his girlfriend Mandy Bloom have a peaceful life in America's Pacific Northwest until a strange cult arrives in the area. Mandy catches the eye of the cults Mansonesque leader, Jeremiah, and he has her and Red kidnapped by the Black Skulls; a biker gang on acid with a penchant for human blood! Needless to say bad things happen. Red is left by their tormentors and the next day he sets off on his personal mission of revenge. This will involve a crossbow, battle axe and a chainsaw fight before he ultimately faces Jeremiah again.This is a distinctly strange film but very effective. Once the bad things start to happen the violence is intense and quite disturbing. As Red sought his revenge many things that happened I couldn't help thinking of the quote from Friedrich Nietzsche 'He who fights with monsters might take care lest he thereby become a monster'... Red certainly does some monstrous things. There is something very surreal about what is happening; almost as if it were meant to be viewed as a nightmare or a bad hallucination rather than real events. Nicolas Cage is on top form as Red; his performance is more than a little crazed but that is what the role demanded. Andrea Riseborough and Linus Roache also impress as Mandy and Jeremiah. This clearly won't be for everybody but I'd recommend it to horror fans who enjoy the weird as well as the gory.",Mandy
5,BA_Harrison,Arthouse horror with chainsaws.,3,20 September 2018,"I'm going to lay my cards on the table: I love revenge movies, the bloodier the better; I believe that Nic Cage can make most films watchable (notable exception: Ghost Rider: Spirit of Vengeance); but I generally loathe arthouse movies.As I suspected, I enjoyed the revenge aspect of Mandy, and Cage delivered the craziness, but director Panos Cosmatos's arthouse approach seriously ruined what might have otherwise been a very enjoyable movie.Cosmatos really lays it on thick, his trippy visuals, slow as molasses storytelling and languorous performances making the first hour a total bore. Things pick up a tad once Cage gets wild-eyed and reminds us of why we love him so much, but there is still the pretentious aesthetic to contend with, everything in this film swathed in bright red light, with the occasional totally incomprehensible moment to draw one out of the film (those crappy animated sequences being the worst).With cenobite-style bikers on acid, a bizarre cult, and Cage wielding a variety of weapons (including an outlandish home-made axe, a crossbow and a chainsaw), Mandy should have been a bonkers blood-drenched blast, but instead we get a film that only occasionally satisfies.Watch if you enjoyed the likes of Under the Skin, Annihilation, The Witch or Only God Forgives, but if, like me, you find that style of film-making annoying, avoid this one like the plague.",Mandy
6,paul_haakonsen,Stay away from this one...,2,4 October 2019,"I finally got around to watching the 2018 movie ""Mandy"" from director Panos Cosmatos, and I had been hearing lots of good things about it.Imagine my disappointment when I managed to endure 44 minutes of the abysmal ordeal that is known as ""Mandy"". This movie was an artsy heap of stinking rubbish. The storyline made no sense and it was just downright idiotic and boring. And the constant red and purple lighting to the movie made it annoying.Plus I can't really say that I found anything of any interest in the characters in the movie, despite the fact that the movie had Richard Brake on the cast list.""Mandy"" is a movie that I will never be returning to finish watching. I was tempted to turn it off 25 minutes into the ordeal, but decided to keep with it, because of all the nice things I had heard. But no such things came to fruition and the movie was so far from what I had been lead to believe it to be.This was a massive swing and a miss of a movie in terms of me liking it, and it was in fact one of the most boring movies that I have had the misfortune of suffering through - well, partially through, as I called it quits 44 minutes into the downward spiral.No. Just no.""Mandy"" scores a low two out of ten stars from me.",Mandy
7,BandSAboutMovies,Everything I want in a movie,10,14 September 2018,"""It didn't make any sense. They were bikers and gnarly psychos and...crazy evil."" That's a line from one of Nicholas Cage's many breakdowns in Mandy and there's no better line to describe this to those not ready to behold its majesty.This movie is pure heavy metal. Not the pablum that passes for metal today, trying in vain to frighten old people inside dying malls from shiny black plastic fake Hot Topic environs, but the kind of metal that envelopes you within its darkness. From the opening strains of King Crimson's ""Starless"" to the slow, druggy doom drone that each scene in the first hour or so makes you feel to the actual bravura moment that the title of the film appears 75 minutes into the picture and transforms into a black metal spiral of roots and trees and black infinity, this isn't a movie influenced by metal or referencing it. It has become pure heavy metal. This is a t-shirt with holes in it that the kid in the back of the class wears. This is staring at the details on the cover painting of ""Somewhere in Time."" This is slowly losing your mind as you stare at a blacklight poster and that thudding slow bass and wait for the riff to slow down enough for the screaming to begin.Let's get one thing straight: Nicholas Cage is the only person who could be in this movie. One of my friends has often scoffed that no actor has squandered their promise more than Cage, following his Best Actor Oscar win for Leaving Las Vegas with Face/Off. I disagree. This is the actor who has referred to himself as the ""California Klaus Kinski."" Someone who has inspired impressions that refer to the Cage Rage. No one else could bring such a feral intensity to films that probably don't deserve it. I would argue that true art is the kind found in the gutter; if that is true, then Cage has imbued films like Con Air with a heart and bloody soul that a lesser actor would just see as dollar signs.At heart, Mandy is a simple story. In 1983, logger Red Miller (Cage) has settled into a quiet life in the woods with his soulmate, an artist named Mandy (Andrea Riseborough, Birdman). A gang of ""homicidal Jesus freaks"" kidnaps her when their leader, Jeremiah (Linus Roache, Thomas Wayne from Nolan's Batman Begins), falls for her. When she rebuffs his advances and has the gall to laugh at his music, the gang unleashes its fury by torturing Red and setting his love ablaze.As her ashes fall through his fingers, we're treated to Cage doing what he does best -- pure raw emotion, screaming and sobbing as he washes blood and pain away with a bottle of vodka, shrieking in a 70's style bathroom clad only on tighty whities and a t-shirt with a tiger's face on it. If you watched this scene and any other actor attempted to essay it, it would derail the film, forcing it into parody or low pathos. But this is Nicholas Cage, an actor who you can't avoid or look away from. You are forced to see Red's pain as he marshalls his energies and begins to rebuild.Oh -- did I mention that the gang isn't all human and that there are demon bikers among their number? Or that Cage responds by grabbing a crossbow and hammering boiling hot metal into a gigantic scythe?Beyond metal, Mandy also draws inspiration from the artwork you'd shouting at you from 1970's science fiction and horror paperbacks, with title cards torn directly from those pulpy pageturners.This is the kind of work that only emerges when an artist has pure control of his vision. Here, that artist is Panos Cosmatos, who bestowed on us the truly touched film Beyond the Black Rainbow. The inherent promise of that film is realized here. Forget pundits blabbing about how horror must be elevated so that the stigma of the genre title doesn't impact art. This is a movie that recognizes that the only difference between the arthouse and the grindhouse is the neighborhood your film plays in.I always wonder if films can still surprise me after all of the craziness that I've witnessed. I'm happy to report that Mandy has shown me -- in one scene -- that I am not jaded. Not yet. Have you ever seen a movie where the hero comes upon one of the villains doing coke and watching scummy looking 1970's porn, only to attack said hero with a demonic sword phallus? And what if the hero slices open the villain and laughs like a lunatic while blood sprays all over his face and in his mouth? And then that hero decides to do some of that leftover coke? Until you see this one, you haven't seen anything yet.Beyond Cage, there are also great performances here from Richard Brake (the only good part of Rob Zombie's 31) as The Chemist whose drugs have set the Children of the New Dawn cult on a path they may never walk away from; Bill Duke (Predator) in a brief role as Caruthers; and the aforementioned Riseborough and Roache. And the music by the late Jóhann Jóhannsson (who scored Prisoners and mother!) is a drone masterpiece, echoing the sounds of bands like Sleep.I have so many questions. In the end, does Red become Kali, the destroyer of worlds, as he hacks off head after head in his quest for vengeance? Part of me thinks this is true, with his distorted voice saying lines like, ""I'm your god now."" How amazing is that shot of Cage's face while his truck speeds through the night his face awash in blood, dreaming of his dead love with big eyes and a maniacal look on his face? And how frightening is that scene of Ronald Regan's disembodied voice on the radio, reminding us of the uncertainty and terror that 1983 had, the year that both this film and Beyond the Black Rainbow share? How rad is the artwork that Boris Vallejo's collaborator and wife Julie Bell created for the film?Honestly, this is the best movie I've seen all year. It may be the best movie I'll see for a couple of years. It's as if I asked Cosmatos to include everything that I want to see in one film: demon bikers, chainsaw battles, animated sequences that echo Heavy Metal, commercial parodies where goblins vomit cereal, tigers roaring against a dayglo night sky and geysers of gore. And after all that noise, the credits roll to total silence. I often remark that certain movies are better with various substances. Mandy needs no other stimulants. It is a powerful and transformative hallucinogen all its own.",Mandy
8,Coventry,"I never realized how psycho you made me, oh Mandy.",6,1 November 2018,"Five days after watching ""Mandy"" at a charming little genre festival in my home country, I only established one thing so far: that it's a damn difficult movie to review! Admittedly I also didn't watch ""Mandy"" the way it is 'supposed to' be watched. All I ever read about this film is how it's an experimental, abstract, trippy and even artistic masterwork, but yours truly simply and desperately wanted to see a straightforward and outrageously violent revenge flick with a completely derailed Nicolas Cage in one of the best roles of his career.And thus, I did! Throughout the entire second half, ""Mandy"" is a fantastically absurd, blood-soaked, blackly comical and bizarrely intense horror delight, and that's what I primarily want to remember! This means, of course, that I found the first hour often tedious (with incomprehensibly muttered lines by Andrea Riseborough), pretentious (most notably the animated sequences) and surreal just for the sake of being surreal. Quite frankly, I didn't understand one iota about where those Cenobite bikers came from or what was the significance of that Seraph with his tiger. What I did understand, and loved, was that Cage's manly and robust lumberjack character goes bonkers when a clique of Jesus freaks kidnap and kill his beloved muse Mandy, so he manufactures himself a giant shiny axe and heads out for a massacre! The violence is masterfully choreographed and delightfully explicit, Cage unleashes his acting demons for 200% and the Jóhannsson soundtrack is truly unique.",Mandy
9,michaelRokeefe,How revenge relates to Hell,8,8 December 2018,"Living in rural Pacific Northwest, Red Miller (Nicolas Cage) is leading a loving and peaceful life with his girlfriend Mandy Bloom (Andrea Riseborough), when a blissful existence is savagely destroyed, when a sadistic cult leader Jeremiah Sand (Linus Roache) has Mandy kidnapped. Red's devotion sends him on a relentless and unstoppable quest to exact bloody revenge. Cage pulls out all the stops and turns in one of his greatest performances in a very long time. Unlike his ""Law and Order"" image, Roache is satanic and menacing.",Mandy
