,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,claudio_carvalho,Pay Attention and You Will See an Intriguing Sci-Fi,7,10 October 2019,"In 1988, in Philadelphia, Police Detective Locke (Boyd Holbrook) and his partner Maddox (Bokeem Woodbine) hunt down a female serial killer. Locke kills her in the subway and the case is closed by his chief Holt (Michael C. Hall) without identification of the killer. In 2007, similar crimes happen and Locke and Maddox believe in a copycat. However Locke finds that the killer is the same woman he killed nine years ago. Locke becomes obsessed with the case along the years and Locke believes she travels in time in the opposite timeline. When the woman reappears nine years later, Locke is waiting for her.""In the Shadow of the Moon"" is an intriguing and original sci-fi with a good story. The slow pace is a problem and if the viewer loses a part of the film, he or she may not understand the plot. But if the viewer pays attention to the details, he or she may have a good surprise. My vote is seven.Title (Brazil): ""Sombra Lunar"" (""Moon Shadow"")",In the Shadow of the Moon
1,nogodnomasters,I have dead people waiting on me,6,12 December 2019,"Thomas Locke (Boyd Holbrook) is a cop playing detective in Philadelphia in 1988. There are strange killings happening with people being injected in the back of their neck and their brains bleeding out through their nose. Nine years, he is a detective and it is happening again, even though the suspect was killed.Plot Spoiler: This is a time travel, kill Hitler's parents before he was born type of film. The events happen every nine years as the moon cycle allows for time travel.This is a decent Netflix film. It was well done , but nothing to get excited over. Clearly it sees the far right as a danger to the planet.Guide: F-word. No sex or nudity.",In the Shadow of the Moon
2,kosmasp,Some shadow it is,7,23 November 2020,"Overall the movie or the concept it presents is quite interesting. But it is also quite flawed. There are many things that do not work in its favor, especially towards the ending and when it comes to logic. I also thought this was quite predictable - at least for me, maybe you have a different viewpoint on that.Having said that and as you can see by my rating, I still found it entertaining enough. Technically sound (really well shot, good sound and all that jazz, minus actually jazz), it is let down by plot holes or the general problem movies with different time lines have ... does it make sense? I think not ... but if you blend that out, you can at least have some fun with it",In the Shadow of the Moon
3,CinemaSerf,"Sorry, but this is a bit of a howler....",5,25 June 2020,"Now this could have been a really good sci-fi thriller if only Jim Mickle had got the casting and the pacing right. Sadly, he didn't and what we end up with is a rather episodic story of a policeman on the trail of a serial killer. The difference is, the killings don't seem to have any rationale and the killer is privy to secret facts about ""Locke"" (Boyd Holbrook) that leads him to believe that there is much more going on than meet the eye. To make this work, this plot had to deliver us a sense of why this was all happening - at all, and to him in particular. We needed clues to engage our little grey cells. What we got though, was rather sloppy, no other word for it. We just don't ever seem to get up enough of a head of steam (partly due to the chronology of the narrative) to really get to grips with either the quite intriguing story, or the rather puddle-deep characterisations. Funnily enough, it might actually work better as a serialisation - but starting again, from scratch.",In the Shadow of the Moon
4,grantss,Initial intrigue quickly turns to dull derivativeness,5,29 September 2019,"1988. A police officer investigates a series of murders. The only thing connecting the victims appears to be the murder method. The police manage to piece together an image of the murderer from one of their would-be victims. Now the hunt is on.Was drawn to this by the trailer, as the movie looked like a good murder-mystery. Unfortunately, it turns out this is much more a sci fi thriller than a murder drama, and I'm generally far more into the latter than the former.This said, the movie still had potential, but this potential was wasted. It becomes quite dull and derivative. Throw in some twists for twists sake, plot developments that don't make much sense or are just there for empty sentimentality's sake, an irritating, unconvincing performance from Michael C Hall (of Dexter fame) and a tame conclusion and it is all quite unsatisfying.",In the Shadow of the Moon
5,Calicodreamin,"Kind of sad, not a happy ending.",6,30 September 2019,"The storyline is a little convoluted at times, the story focuses on a police officer who devotes his life to solving the murders of numerous people, they all died in the same way by the same person, but they only occur every nine years. The officer wastes his whole life on this, losing his daughter and living out of his car, and in the end for it all to be for naught. It was a very sad ending for multiple reasons, and I feel like with a few choice words at the beginning it literally all could have been avoided. Acting was pretty good, storyline thought out, and the characters well developed.",In the Shadow of the Moon
6,Wizard-8,"Good beginning, but then starts falling apart",3,17 November 2019,"It's going to be difficult to critique this movie without giving out massive spoilers, but I will try my best. About the most I will reveal is that the plot of the movie revolves around time travel, though I think the majority of viewers will realize that is going on in the first fifteen or so minutes. Anyway, you have to be pretty ingenious to make a time travel story plausible, and while the movie thinks it's pretty smart, it really isn't. As other IMDb users have pointed out, once you have watched the entire movie and learned what is going on and why, it doesn't make sense. It seems to indicate that time travel CAN work and CAN'T work. Not only that, the screenplay also falls far short with the narrative of the obsessed police officer going through the years, not explaining fully how he learned so much between acts. Also, there are glaring plot holes elsewhere, ranging from why the high tech device found in 1988 is never analyzed, why witnesses are not fully questioned after incidents, and also why the time travelling woman needed an airplane. Though I admit that the movie was not boring, the lack of clear and proper explanation prevented me from getting enough enjoyment.",In the Shadow of the Moon
7,phd_travel,What was that all about?,2,2 October 2019,I concentrated through the exciting chase scenes and then the lulls. When I got the Terminator like send back in time thing all seemed to be coming together. Also it was interesting to see Boyd Holbrook of Narcos age through the years. But ultimately the big let down at the end. Are we supposed to just accept the rationale for killing the people to prevent a bigger catastrophe without some details about what was being prevented? And how come she keeps coming back if she gets killed in the beginning? With this half baked ending it all felt like a waste of time. Guess I must be really dumb since I didn't get the point of this movie.,In the Shadow of the Moon
8,trashgang,weird one,8,17 June 2020,"Picked this one out of the blue on Netflix. Not knowing what it was going to be, no research whatsoever to see whats it all about.Glad that I have seen it, this was a hell of a ride. Starting as like a serial killer is out there this one turns into something like The Terminator. Excellent performances espescially from Boyd Holbrook. Great story that you can't see coming.Nice to see Michael C. Hall again, been a while.If you like your flicks weird then this is one to see. Not one boring moment.
Gore 1/5
Nudity 0/5
Effects 3/5
Story 4/5
Comedy 0/5",In the Shadow of the Moon
9,siderite,"A mediocre time travel movie, starting from a disturbing premise",7,4 December 2020,"I have watched enough movies to know that I hate time travel. It is only used for two things: to make a bland idea seem smarter and to reboot things when they went sideways. In the Shadow of the Moon is part of the first category, and is in fact a mediocre detective film with a time travel theme. Remove that and it's boring.Now, the sci-fi theme might have improved the film if it made sense, which it doesn't, or if it wasn't based on a really disgusting concept which is painted as good by the filmmakers. I don't want to spoil the premise, but if you think about it it's the worst thing that can happen to humanity and it's presented as a solution to all problems. It is, quite literally, the final solution.Bottom line: it was not a bad movie, but it was not a good one either.",In the Shadow of the Moon
10,sddavis63,Not At All What I Was Expecting,5,2 November 2019,"This certainly took a turn that I wasn't expecting. I thought it would be a pretty straightforward movie about the search for a serial killer - the twists in it being that the serial killer was a female (unusual) and that the murders she commits happen every nine years (a strange cycle.) I watched it largely because one of the stars was Michael C. Hall - whose work I generally enjoy - but he wasn't really a particularly central character as it turned out. The lead was Boyd Holbrook (with whom I wasn't particularly familiar) as Officer Lockhart, who becomes obsessed with trying to figure out these murders.I have to confess that as the first murders were being investigated (involving puncture wounds on the necks of the victims) I began to think that this was going to unexpectedly turn out to be a vampire movie, but the real ""twist"" in the movie turns out to be time travel - so it does eventually have something of a sci-fi (rather than horror) twist to it. The murderer is travelling backward through time killing people in order to prevent a future tragedy. So it's dealing with the old ethical dilemma of ""If you could go back in time would you kill Hitler as a baby in his crib? Or his parents before he was born? Or his grandparents before they were born?"" There are other twists that eventually get revealed, but I'll leave them for those who choose to view the movie to discover.The time travel element was a successful twist. It made the story more intriguing than it otherwise might have been. Having said that, I thought it was a middling sort of movie. Some are complaining about the supposed political agenda behind it. I just thought the story was insufficient to carry the movie and by about the halfway point I was losing interest in what was happening on the screen. I give this some credit for turning out to be not at all what I was expecting it to be, but that alone isn't enough to really save it. (5/10)",In the Shadow of the Moon
11,wellthatswhatithinkanyway,Ambitious but misfiring sci-fi drama,4,30 December 2019,"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday MorningIn 1988, Detective Locke (Boyd Holbrook) walks the beat, with a heavily pregnant wife at home. But he is about to plunged into something beyond his wildest comprehension, when he and his partner Maddox (Bokeem Woodbine) are called to the scene of several grisly deaths, where the victims have brutally died in seemingly unfathomable circumstances. Locke closes in on the suspect, Rya (Cleopatra Coleman) who appears to meet her death on a railway line. But nine years later, a series of copycat murders crop up, and Rya once again seems to be behind them, driving Locke in a desperation to get to a truth that will shake him to the very core.We're presently living in the most politically and socially tumultuous of times in quite a while, where the extremes of both sides of the divide are at each other's throats in a way that many of us will not have experienced in our lifetimes. There is a real fear from many of what the future holds, and how everything panning out now will come to bear on it. And so In the Shadow of the Moon, a Netflix production directed by Jim Mickle, is certainly quite timely and relevant. Unfortunately, while intriguing and fairly original, it's all too far fetched and increasingly nonsensical to work.Once the original concept of the story has played out, it manifests into a tale of one man and his obsession to get to the bottom of a case over a number of years and progressions in his life, but this was done to better effect in David Fincher's 2007 film Zodiac, about a real life murderer. When the end revelation does come by, it presents a moral quandary about the killer's motivations that has divided opinion among reviewers, and there is a clever and genuinely surprising twist at the end of it, but it's a real struggle to get there.Ultimately, this is a uniquely beautiful film, that ultimately gets weighed down by it's own disconnect from reality. **",In the Shadow of the Moon
12,MOscarbradley,Something of a guilty pleasure.,6,1 March 2020,"Jim Mickle's ""In the Shadow of the Moon"" is a cross between a sci-fi film and a serial killer thriller and if the sci-fi elements far outweigh the serial killer parts it hardly matters because this enjoyable, reasonably intelligent and rather daft movie never stops to draw breath and gives its leading actor, Boyd Holbrook, a part he can finally get his teeth into. He's a cop investigating a series of murders in Philadelphia in 1988 that end with the apparent death of the killer. Skip forward nine years and the exact same kind of killings start all over again.Of course, with this kind of movie you have to suspend disbelief from the start and if you are prepared to give yourself over to it, it's actually a lot of fun. In a good supporting cast Michael C. Hall is a stand out as a senior detective who seems slower on the uptake than he ought to be. Excellent cinematography, too, from David Lanzenberg and a good score from Jeff Grace make this something of a guilty pleasure.",In the Shadow of the Moon
