,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Ill-conceived prequel,4,19 June 2018,"LEATHERFACE is an ill-conceived prequel to the Texas Chainsaw Massacre franchise, supposedly telling of Leatherface's back story and the events that made him a killer. Not that it does. Instead this plays out as a cheesy murder mystery for the most part, with lots of cheesy and over the top gruesome death sequences. The original Tobe Hooper classic was all about what you didn't see, whereas this is a film that delights in showing bodily dismemberment and chainsaws penetrating chest cavities and lopping off limbs. The asylum setting is an unusual one that doesn't really fit, while the subsequent road movie action feels like it belongs in another movie. Of the cast, only the old timers (Stephen Dorff, Lili Taylor, Christopher Adamson) impress, while the rest are bogged down by the sheer numb-headed predictability of it all.",Leatherface
1,SnoopyStyle,lost me in the first five minutes,3,21 January 2018,"It's 1955 rural Texas. Matriarch Verna Sawyer (Lili Taylor) rules over her brutal pig-farming family. Her youngest son Jed is reluctant. They lure young Betty to her death. Her father Sheriff Hartman (Stephen Dorff) sends the Sawyer kids to mental hospital, Gorman House. Ten years later, nurse Lizzy befriends good-natured Jackson and Bud. Verna comes to visit and a riot breaks out. Crazed couple Ike and Clarice take the group on the run.The moment that Betty starts chasing an unknown little boy to an unknown place is the moment the movie lost me. I'm willing to give this movie every chance. I'm willing to forget any connections to the franchise. I'm willing to ignore any inconsistency. I can't take ridiculous stupidity. Why would she run after him? What's the thought process? I stop caring about the characters. The name change is unnecessary. Keeping him Jed would be more compelling. It's an unnecessary misdirection which doesn't pay off. I do like the misdirection at the end with Bud but it's too little too late.",Leatherface
2,claudio_carvalho,The Origin of Leatherface,7,22 October 2017,"In 1955, in Texas, the teenage daughter of Sheriff Hartman (Stephen Dorf), Betty (Lorina Kamburova) and her boyfriend Ted (Julian Kostov) are driving along a lonely road kissing each other when Ted almost hit something on the road. He stops his truck and Betty realizes that is a child is asking for help. She follows him and is trapped in a derelict barn and killed by the dysfunctional Sawyer family under the command of the matriarch Verna (Lili Taylor). When Sheriff Hartman learns that he beloved daughter was killed, he sends the boy Jed Sawyer to a mental institution called the Gorman House Youth Reformatory as avenge. Ten years later, the idealistic nurse Elizabeth ""Lizzie"" White (Vanessa Grasse) is hired by the Gorman House and soon she befriends the teenagers Bud (Sam Coleman) and Jackson (Sam Strike). But Verna comes to the institution with a lawyer bringing an injunction expecting to see her son Jed that had his name changed. However the director Doctor Lang (Christopher Adamson) rejects the document and Verna leaves the security doors open to let the patients to escape. There is a havoc in the mental institution and the violent Ike (James Bloor) and his girlfriend Clarice (Jessica Madsen) steal a car and bring Bud and Jackson and decide to abduct Lizzie as hostage. Hartman learns what happened in the Gorman House and hunts the escapees down with his men, following the crime spree left by Ile and Clarice.""Leatherface"" is a horror film that explains the origin of Leatherface from The Texas Chainsaw Massacre franchise. The film is underrated maybe because its release timing more than forty years after the release of the original ""The Texas Chainsaw Massacre"" (1974). But the storyline, screenplay, direction, performances and makeup are remarkable. My vote is seven.Title (Brazil): Not Availale",Leatherface
3,nogodnomasters,Needs puttin' down,5,2 October 2017,"This is the second prequel to the series and one that grossly conflicts with the superior Jordana Brewster film. We see the Sawyer family lose their children to the state and they become institutionalized with different names. They managed to escape, go on a Rob Zombie style killing spree and we have to guess who is Leatherface. Bud (Sam Coleman) is the only guy big enough and he is socially inept too. But excuse me for the plot spoiler that they opt for the puny guy to wield a chainsaw as if it was a plastic prop.As a straight out slasher style film, it passes. As a prequel to a classic, it doesn't make it. Nothing like Texas justice. They did get grandpa right.Guide: F-word, sex, nudity (Nicole Andrews).",Leatherface
4,kosmasp,Before the Origins,7,18 October 2017,"So the duo of French directors (responsible for ""Inside"") are on this. In the same year a US-Remake of their most famous (and over the top) movie is being released. I haven't seen the Remake, though the directors don't seem to mind or think ill of it. But back to this, a movie that is more than decent. It is dark and gritty and it has the horror one should and would expect of it.There's also a bit of a guessing game, of who is who, since we get a couple of teenagers in this. Good acting overall but I'm not sure this will be for everyone, as the rating also is showing. While respectful to the legacy, it's still building something of its own. The have been worse TCM movies, but as we can clearly see, the Texas Chainsaw never rests ...",Leatherface
5,BA_Harrison,Another disappointing horror origin movie.,4,1 October 2017,"As a child, Jed Sawyer is taken from his murderous hillbilly family and put in the Gorman House Youth Reformatory, where he spends the next ten years with a new identity. When the prisoners revolt, a small group make a bid for freedom with pretty nurse Lizzy (Vanessa Grasse) and fellow inmate Jackson as their hostages.Tobe Hooper's original The Texas Chain Saw Massacre ranks as one of the scariest films ever made, its iconic killer Leatherface its most frightening creation. With this latest film in the series, they've gone and done what Rob Zombie did with his godawful Halloween remake: give the killer a back story. In humanising the character, they have lessened his effectiveness as an object of fear. Once an emotionless, uncontrollable monster, impossible to reason with, he is now someone we can identify with and feel a level of pity for. It didn't work for Michael Myers and it doesn't work here.The origins story-line also makes much of the film seem frustratingly unlike a Texas Chainsaw movie, at times even reminding me of a Tarantino flick (the escape from Gorman House made me think of Natural Born Killers while the BBQ stop massacre was redolent of both NBK and Pulp Fiction). Only in the film's closing moments do things actually feel like they belong to the franchise, with Lizzy trying to escape the Sawyer's charnel house, a chainsaw wielding Jed (soon to become Leatherface) hot on her heels. Directors Alexandre Bustillo and Julien Maury don't hold back on the brutality and blood, but even so, I can imagine many fans of the series being disappointed with the level of splatter (too much for some, not enough for others).5.5 out of 10, rounded down to 5 for that really dumb scene in which three people (including one really fat guy) hide from the law by climbing inside the festering carcass of a steer. A really big steer. Also, minus half a point for the unbelievable necro sex scene. And another half point subtracted for Jed's sudden (and also completely unbelievable) transformation from rational human being to hulking homicidal maniac.",Leatherface
6,paul_haakonsen,Talk about a pointless prequel...,4,9 June 2018,"I didn't even know that they made this movie and happened to come across it by sheer luck. And being a huge horror fan, I did of course grab it immediately, because ""Texas Chainsaw Massacre"" is indeed a mastodon in the horror genre.But wow! This movie disappointed tremendously, as it had a very pointless storyline, which offered nothing much to the franchise. And it was a very anti-climatic and disappointing backstory to an otherwise iconic horror character.I will say that the acting in the movie was adequate, and that was actually one of the brighter sides to this otherwise abysmal prequel.There were a few good kills in the movie, but hardly enough to make up for all of the other shortcomings that made up the ""Leatherface"" movie.""Leatherface"" is not a movie that you should run out to invest in right away, unless you find it a super bargain discount bin and if you are an overly huge fan of the ""Texas Chainsaw Massacre"" franchise.",Leatherface
7,Coventry,French master-gore in Texas,6,19 March 2018,"I had good faith and strong confidence that this horror sequel (or prequel, whatever) would be worth checking out. Not so much because I swear by the genius of ""The Texas Chainsaw Massacre"" franchise, but mainly because I'm a huge admirer of the French writers/directors' duo Alexandre Bustillo and Julien Maury. I've been following these two ever since their shockingly brilliant 2007 debut ""Inside"", and if there's one thing I can guarantee, it's this: Bustillo and Maury know how to make audiences cringe with fear and disgust. Their previous French films, ""Inside"" and the extremely underrated ""Among the Living"", are masterpieces of raw, uncompromising and sadist horror; - thus making them the ideal candidates for the next installment in one of the most notoriously sick & twisted horror franchises of all times. If anything, ""Leatherface"" truly is a nasty slasher with a tremendous body count, shockingly gross slaughtering and a variety of other (and totally random) raunchy stuff. Unfortunately, that's where the positivity ends, since the story is quite poor and derivative of numerous other movies (horror as well as non-horror). In their everlasting quest for financial benefit and exploiting success formulas, Hollywood clearly still hasn't learned that providing monster icons with a humane background actually weakens their frightful image. It happened to Michael Myers and now it's Leatherface's turn. 10-year-old Jed is taken away from his deranged Sawyer family and placed into an institute where the guards and head doctor aren't exactly role models, neither. When his crazed mother Verna comes to run amok, Jed escapes with three other juvenile delinquents - far more lunatic than he - and they take a cute young nurse hostage. They're heading for Mexico, with the obsessive and vengeful Sheriff Hartman on their tail, but it's Jed inescapable fate that he'll end up back at the Texas family farm. I'm not entirely sure if we were meant to know who of the three troubled adolescents was Jed/Leatherface, but it was pretty obvious. Their violent road trip is a series of unoriginal events, but entertaining to watch for the sick puppies among us. Gratuitous necrophilia, for example, has never contributed to the essence of a plot, but it sure helps to get your horror movie noticed! I will remain a big fan of Bustillo and Maury, but I hope they'll be working from their own screenplays in the future.",Leatherface
8,michaelRokeefe,From less than admirable beginnings,5,11 December 2018,"Recounted in this prequel is the formative years of the killer to be known as Leatherface. As a teenager, the psycho, escapes from ten years locked up in a reform institute for problem youth with a couple more ""white trash"" heathens with an abducted nurse in tow. It is time now for full tilt mayhem with grisly murder the main line of order. This film does sustain a sheer sense of horror, but falls a ton of bloody guts short of showing how Leatherface came to be. Not as scary as it is expected to be.",Leatherface
9,AlsExGal,Yet another prequel to the 40+ year old horror franchise,4,3 July 2021,"Starting out in 1954, the story follows the Sawyer family, a rural Texas band of miscreants and murderers. When a cop's daughter is killed by one of the family, the child culprit is taken away and put into a home for disturbed youth. Cut to ten years later, and new nurse Lizzy (Vanessa Grasse) is assigned to the disturbed teens ward. When the Sawyer family matriarch Verna (Lili Taylor) causes a riot during a visit, several of the inmates escape, taking Lizzy with them as a hostage. One of the escaped mental patients will grow up to become Leatherface, the mask-wearing, chainsaw-wielding terror of the earlier films, but which one will it be: volatile Ike (James Bloor), hulking idiot Bud (Sam Coleman), or troubled nice guy Jackson (Sam Strike)? Also starring Stephen Dorff as a violent cop, and Jessica Marsden as another homicidal escaped inmate.There's a lot wrong here, from the easy-to-guess ""mystery"" of who will become Leatherface (a transformation that doesn't take place until the movie's final 10 minutes, so be forewarned), to the many anachronisms for a story supposedly taking place in 1964. The production values are low, and you don't have to look at the minor cast credits or crew listings to guess that this was made on the cheap in Eastern Europe (Bulgaria, to be specific). There's some bloody gore, but not presented in any original or at least humorous way. The acting is all barely serviceable, with Dorff turning in another loathsome jerk role, and Taylor seriously slumming as the killer family boss. This is the eighth movie in the series, although most of them are unrelated, with perpetual reboots, prequels or just dismissal of previous films the norm.",Leatherface
